ID Autor, Número de documentos
35607315000, 29
7003611288, 20
7005998786, 20
56228715900, 16
35892704700, 13
6507667256, 12
54790571900, 12
7004607719, 12
7006194463, 12
57218162630, 11
57191605505, 11
8378384300, 10
54386925600, 10
57194614861, 10
7005915405, 10
57218324841, 10
55511544300, 10
57208740826, 10
57191601241, 10
14039835700, 10
37057344600, 9
7003541892, 9
6602759886, 9
56033429500, 8
36902630800, 8
23976265000, 8
56031197600, 7
6506093146, 7
57677849600, 7
8525890000, 7
18040985700, 7
7005763990, 7
6602264773, 7
57203910389, 7
35729066200, 7
24721365800, 7
56217468000, 6
13402823200, 6
22235291400, 6
7801345595, 6
56426583500, 6
6602995816, 6
55809241300, 6
56786349900, 6
14071664200, 6
6701541012, 6
56439198800, 6
36716645500, 6
10044311600, 6
14019182600, 6
23977886600, 5
58753854300, 5
36998799200, 5
7005041365, 5
57226281627, 5
57193443653, 5
36636729800, 5
35236747400, 5
23468326500, 5
6506171108, 5
57204927959, 5
23098548200, 5
37010381500, 5
56662884200, 5
57194591144, 5
7005737962, 5
57190186629, 5
35935149200, 5
53663212300, 5
24174461000, 5
55026436500, 5
23111075100, 5
35240042500, 5
55329838500, 5
6602319526, 5
56173118600, 5
55886005000, 5
9333012100, 5
57214393490, 5
15925973400, 5
55382841600, 5
24376067900, 5
7004127474, 5
6506771996, 5
8258189800, 4
16303126000, 4
57208085196, 4
6507821139, 4
57992701900, 4
11839002700, 4
57189728476, 4
7004684713, 4
56830108100, 4
35588706600, 4
57203465885, 4
57205295763, 4
25935741800, 4
57206568700, 4
24074069200, 4
56707915200, 4
8721679400, 4
55748534000, 4
56145985800, 4
8968299700, 4
12792054500, 4
37110538700, 4
57202785028, 4
56112626500, 4
7102687880, 4
6603097194, 4
57191772902, 4
56469847800, 4
24477094500, 4
26767546600, 4
6603425158, 4
23010589600, 4
57194203608, 4
26325828900, 4
7006013768, 4
57188741412, 4
57188743407, 4
6701540576, 4
57189322968, 4
56704961200, 4
23391819800, 4
6603299384, 4
23091409000, 4
55764306200, 4
57204684560, 4
7003986053, 4
56013545300, 4
14049289000, 4
8919295200, 4
7402010018, 4
24474760300, 4
6506439753, 4
54681826100, 4
35197262700, 4
7406499971, 4
25821852000, 4
37018844000, 4
7801434275, 4
6507725950, 4
7007165044, 4
35409350100, 4
6602095459, 3
57208795183, 3
15027401600, 3
56297667700, 3
57195377796, 3
57207890186, 3
55734483800, 3
56515099300, 3
57202439294, 3
6701695514, 3
55619673300, 3
56013535700, 3
57218759131, 3
57193681982, 3
56536249700, 3
15756413800, 3
55234809100, 3
55311816300, 3
