number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
25,0.14108426868915558,2023-09-03 23:53:07.655726,2023-09-03 23:54:39.327177,0 days 00:01:31.671451,Leaky,ReLU,,,2,3,18.0,,,0.004931710713554338,2,100,0.5917251194811018,5.284670430915016e-05,COMPLETE
26,0.11722587794065475,2023-09-03 23:54:39.327623,2023-09-03 23:54:50.083840,0 days 00:00:10.756217,Leaky,,,,10,14,,,,0.0023110800424539805,1,100,0.4234480544923256,2.9250046771510384e-05,COMPLETE
27,0.11122863739728928,2023-09-03 23:54:50.084252,2023-09-03 23:55:46.107710,0 days 00:00:56.023458,Tanh,Sigmoid,Sigmoid,,4,11,24.0,9.0,,0.008431643989728243,3,80,0.7159831749976979,0.0006664362648717249,COMPLETE
28,0.12379243969917297,2023-09-03 23:55:46.108156,2023-09-03 23:56:24.614400,0 days 00:00:38.506244,ReLU,Sigmoid,Sigmoid,Leaky,4,19,24.0,8.0,24.0,0.012052478373085967,4,80,0.6805895393232716,0.0006142176501925798,COMPLETE
29,0.12710286676883698,2023-09-03 23:56:24.614691,2023-09-03 23:56:39.488246,0 days 00:00:14.873555,Leaky,Sigmoid,Sigmoid,,4,11,5.0,9.0,,0.0014557658496277008,3,80,0.5903006267984118,0.0018195111910460607,COMPLETE
30,0.1214725449681282,2023-09-03 23:56:39.488529,2023-09-03 23:57:05.553061,0 days 00:00:26.064532,Tanh,Sigmoid,ReLU,ReLU,4,10,24.0,19.0,15.0,0.0032862259679716185,4,80,0.7666023435446209,0.00019539532746835444,COMPLETE
31,0.1260659098625183,2023-09-03 23:57:05.553342,2023-09-03 23:57:14.821778,0 days 00:00:09.268436,Tanh,Sigmoid,Sigmoid,,16,8,21.0,10.0,,0.006681464865564126,3,80,0.5152877137192485,0.0003928388518134469,COMPLETE
32,0.12617246806621552,2023-09-03 23:57:14.822239,2023-09-03 23:57:29.662190,0 days 00:00:14.839951,Tanh,ReLU,ReLU,,16,12,19.0,12.0,,0.027852116956932422,3,80,0.567875160624454,0.00016650889634730476,COMPLETE
33,0.11858140677213669,2023-09-03 23:57:29.662676,2023-09-03 23:57:51.886319,0 days 00:00:22.223643,Tanh,ReLU,,,4,9,12.0,,,0.007701949228735406,2,60,0.7119113506041223,8.059866865815717e-05,COMPLETE
34,0.1597769856452942,2023-09-03 23:57:51.886587,2023-09-03 23:57:54.472333,0 days 00:00:02.585746,Sigmoid,Leaky,,,16,14,4.0,,,0.0013968231894597493,2,80,0.4588499250404812,0.00047410572641438595,COMPLETE
35,0.13879308104515076,2023-09-03 23:57:54.472611,2023-09-03 23:57:59.121684,0 days 00:00:04.649073,Tanh,Sigmoid,Sigmoid,,16,11,8.0,20.0,,0.0031173404825749805,3,100,0.37461787826215326,0.0012270643062906874,COMPLETE
36,0.12201090902090073,2023-09-03 23:57:59.122137,2023-09-03 23:58:09.663133,0 days 00:00:10.540996,Leaky,Sigmoid,,,10,7,4.0,,,0.035750715612389385,2,80,0.6677213398444871,0.00025825682577660893,COMPLETE
37,0.13109414279460907,2023-09-03 23:58:09.663403,2023-09-03 23:58:16.951363,0 days 00:00:07.287960,Tanh,Tanh,ReLU,,4,9,7.0,5.0,,0.014019940240262221,3,60,0.3634924572856796,0.00010798824347129186,COMPLETE
38,0.20826591551303864,2023-09-03 23:58:16.951635,2023-09-03 23:58:20.897791,0 days 00:00:03.946156,Sigmoid,Sigmoid,Sigmoid,,8,14,13.0,1.0,,0.0008996749769726885,3,40,0.5572230227684319,6.22772195376699e-05,COMPLETE
39,0.11817753314971924,2023-09-03 23:58:20.898073,2023-09-03 23:58:37.823485,0 days 00:00:16.925412,ReLU,Leaky,,,2,10,11.0,,,0.00496597431112227,2,100,0.29462296008936517,0.0007188497377298754,COMPLETE
40,0.10985752940177917,2023-09-03 23:58:37.823768,2023-09-03 23:58:38.974425,0 days 00:00:01.150657,Leaky,ReLU,Sigmoid,Tanh,30,18,17.0,11.0,1.0,0.009333681990583702,4,40,0.4754859401925249,0.0001622487863329683,COMPLETE
41,0.11520426720380783,2023-09-03 23:58:38.974715,2023-09-03 23:58:40.087320,0 days 00:00:01.112605,Leaky,ReLU,Sigmoid,Tanh,30,18,16.0,7.0,1.0,0.009911257883159089,4,40,0.4621495116747156,0.00015719149796300313,COMPLETE
