number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.12761634588241577,2023-09-03 18:39:14.548728,2023-09-03 18:39:17.111047,0 days 00:00:02.562319,ReLU,,,,16,17,,,,0.00949678840929319,1,60,0.24675785171197948,3.236585044954197e-05,COMPLETE
1,0.25036147236824036,2023-09-03 18:39:17.111553,2023-09-03 18:40:21.008191,0 days 00:01:03.896638,ReLU,Leaky,Sigmoid,,2,1,22.0,10.0,,0.040468547956717595,3,100,0.7341728942891821,0.038758850309256146,COMPLETE
2,0.19027931988239288,2023-09-03 18:40:21.008481,2023-09-03 18:40:21.983861,0 days 00:00:00.975380,ReLU,Sigmoid,ReLU,ReLU,30,2,18.0,6.0,8.0,0.0016086237867120273,4,80,0.20327967450556106,0.0013544930380134915,COMPLETE
3,0.198558509349823,2023-09-03 18:40:21.984152,2023-09-03 18:40:23.285021,0 days 00:00:01.300869,ReLU,,,,4,6,,,,0.03644953494562323,1,40,0.1662389110076368,0.013486063979182365,COMPLETE
4,0.15853659808635712,2023-09-03 18:40:23.285291,2023-09-03 18:40:26.603270,0 days 00:00:03.317979,Leaky,Sigmoid,Sigmoid,,2,5,5.0,23.0,,0.017104843011816324,3,40,0.13454522571236055,1.208842156865153e-05,COMPLETE
5,0.12969860434532166,2023-09-03 18:40:26.603556,2023-09-03 18:40:28.131122,0 days 00:00:01.527566,Leaky,ReLU,Tanh,,16,14,9.0,23.0,,0.0037189853968638232,3,60,0.28148962323787685,0.00821028291419005,COMPLETE
6,0.13765066862106323,2023-09-03 18:40:28.131409,2023-09-03 18:40:31.018927,0 days 00:00:02.887518,Leaky,Leaky,ReLU,,2,14,5.0,9.0,,0.0010472459840160041,3,40,0.11685630216699648,7.167963912240657e-05,COMPLETE
7,0.13594913482666016,2023-09-03 18:40:31.019223,2023-09-03 18:40:31.874970,0 days 00:00:00.855747,ReLU,,,,12,20,,,,0.0042070711497713895,1,60,0.19688200065518327,1.074999008493596e-05,COMPLETE
8,0.14871647953987122,2023-09-03 18:40:31.875224,2023-09-03 18:40:35.510474,0 days 00:00:03.635250,Leaky,Tanh,ReLU,,10,10,22.0,8.0,,0.00140145789731372,3,100,0.26184508549980234,0.0018261023965811054,COMPLETE
9,0.5291463732719421,2023-09-03 18:40:35.510743,2023-09-03 18:40:36.603208,0 days 00:00:01.092465,Sigmoid,,,,8,18,,,,3.236936273918228e-05,1,40,0.26567825012932944,0.055708581251725946,COMPLETE
10,0.16564369201660156,2023-09-03 18:40:36.603460,2023-09-03 18:40:38.508549,0 days 00:00:01.905089,Tanh,Tanh,,,16,24,14.0,,,0.0894598903153287,2,60,0.4441593684519604,0.00015445274525601574,COMPLETE
11,0.179724782705307,2023-09-03 18:40:38.508816,2023-09-03 18:40:39.989652,0 days 00:00:01.480836,Sigmoid,ReLU,,,16,14,10.0,,,0.007486119992654768,2,60,0.3449684751750956,0.005595251014563687,COMPLETE
12,0.1380981057882309,2023-09-03 18:40:39.989910,2023-09-03 18:40:42.252714,0 days 00:00:02.262804,Leaky,ReLU,Tanh,Tanh,16,18,1.0,24.0,22.0,0.0002611764925227904,4,60,0.365845080275094,0.00037424970053100517,COMPLETE
13,0.16234198212623596,2023-09-03 18:40:42.252990,2023-09-03 18:40:42.731901,0 days 00:00:00.478911,Tanh,ReLU,,,16,11,11.0,,,0.008100942457719576,2,60,0.10115937907612194,0.00421042460415509,COMPLETE
14,0.15357312560081482,2023-09-03 18:40:42.732163,2023-09-03 18:40:44.091220,0 days 00:00:01.359057,ReLU,ReLU,,,16,22,15.0,,,0.00031349676631929396,2,80,0.22918008700395093,0.000568212731726219,COMPLETE
15,0.1411876231431961,2023-09-03 18:40:44.091489,2023-09-03 18:40:46.100285,0 days 00:00:02.008796,Leaky,ReLU,Leaky,Sigmoid,8,16,7.0,17.0,2.0,0.004831046481455077,4,60,0.16851144836856471,3.5845248483628564e-05,COMPLETE
16,0.12566718459129333,2023-09-03 18:40:46.100572,2023-09-03 18:40:46.783377,0 days 00:00:00.682805,Tanh,,,,30,9,,,,0.015211840876594452,1,60,0.33206039889306277,0.0004279471002115652,COMPLETE
17,0.11710196733474731,2023-09-03 18:40:46.783623,2023-09-03 18:40:47.686521,0 days 00:00:00.902898,Tanh,,,,30,9,,,,0.017607043770824848,1,60,0.44795280393573284,0.00018718725633064964,COMPLETE
18,0.11978836357593536,2023-09-03 18:40:47.686780,2023-09-03 18:40:49.376298,0 days 00:00:01.689518,Tanh,,,,30,8,,,,0.021843325477653303,1,100,0.5030571565322648,0.00023049346653758747,COMPLETE
19,0.13795551657676697,2023-09-03 18:40:49.376543,2023-09-03 18:40:51.112698,0 days 00:00:01.736155,Tanh,,,,30,7,,,,0.0815139573096583,1,100,0.5181851521560261,0.0001734104345286133,COMPLETE
20,0.12782996892929077,2023-09-03 18:40:51.112963,2023-09-03 18:40:53.555251,0 days 00:00:02.442288,Tanh,Tanh,,,30,4,18.0,,,0.03179486213609892,2,100,0.5843145065177854,0.0001754101886919527,COMPLETE
21,0.13663332164287567,2023-09-03 18:40:53.555506,2023-09-03 18:40:54.777449,0 days 00:00:01.221943,Tanh,,,,30,8,,,,0.014226716039394294,1,100,0.3575292173142628,0.000621523262803092,COMPLETE
