number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
25,0.39064472913742065,2023-09-03 15:04:19.851699,2023-09-03 15:04:24.784065,0 days 00:00:04.932366,Tanh,Tanh,Sigmoid,,8,14,12.0,8.0,,0.006628628279543105,3,80,0.38550541210442635,0.0010454888347762477,COMPLETE
26,0.36616721749305725,2023-09-03 15:04:24.784340,2023-09-03 15:04:26.750335,0 days 00:00:01.965995,Tanh,ReLU,,,12,20,4.0,,,0.013698945915995329,2,40,0.5285208282556453,8.402015039426941e-05,COMPLETE
27,0.37594038248062134,2023-09-03 15:04:26.750600,2023-09-03 15:04:28.691934,0 days 00:00:01.941334,Tanh,,,,12,10,,,,0.0046390014652015815,1,40,0.6904787536600557,0.00031158742519905543,COMPLETE
28,0.36687517166137695,2023-09-03 15:04:28.692190,2023-09-03 15:04:35.162689,0 days 00:00:06.470499,Tanh,Leaky,,,8,17,7.0,,,0.0008705857072021111,2,80,0.6100725731424332,0.0011425404577748452,COMPLETE
29,0.32901883125305176,2023-09-03 15:04:35.162936,2023-09-03 15:04:36.161417,0 days 00:00:00.998481,Tanh,Sigmoid,Tanh,,30,5,13.0,18.0,,0.01615749577179865,3,40,0.4918439427673967,0.000569062289758093,COMPLETE
30,0.39633285999298096,2023-09-03 15:04:36.161684,2023-09-03 15:04:39.055239,0 days 00:00:02.893555,Sigmoid,,,,12,15,,,,0.0020082765426022724,1,80,0.5098520407155098,1.0811264351497798e-05,COMPLETE
31,0.3173770308494568,2023-09-03 15:04:39.055499,2023-09-03 15:04:40.043257,0 days 00:00:00.987758,Tanh,Sigmoid,Tanh,,30,6,14.0,18.0,,0.015644475330644947,3,40,0.4805940739104389,0.000574063291338298,COMPLETE
32,0.41817179322242737,2023-09-03 15:04:40.043528,2023-09-03 15:04:40.975404,0 days 00:00:00.931876,Tanh,Sigmoid,Tanh,,30,2,17.0,18.0,,0.0088214162524737,3,40,0.45431353893250875,0.0007010159060714555,COMPLETE
33,0.3397718071937561,2023-09-03 15:04:40.975674,2023-09-03 15:04:42.143472,0 days 00:00:01.167798,ReLU,Sigmoid,Tanh,,30,10,16.0,14.0,,0.019622524319944164,3,40,0.5736510447214229,0.00019619680258472848,COMPLETE
34,0.3704775869846344,2023-09-03 15:04:42.143751,2023-09-03 15:04:43.278382,0 days 00:00:01.134631,Tanh,Sigmoid,ReLU,Sigmoid,30,5,11.0,21.0,24.0,0.005771433357642349,4,40,0.4512253819435297,0.00044580224360705746,COMPLETE
35,0.3803681433200836,2023-09-03 15:04:43.278663,2023-09-03 15:05:00.141748,0 days 00:00:16.863085,Tanh,Sigmoid,,,2,7,13.0,,,0.033281476842389926,2,60,0.5701721839525217,0.0001287151814838177,COMPLETE
36,0.314190149307251,2023-09-03 15:05:00.142005,2023-09-03 15:05:01.358501,0 days 00:00:01.216496,Tanh,Leaky,,,30,18,11.0,,,0.008570203638738108,2,40,0.7143611882172858,0.00027731369860881154,COMPLETE
