number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,1.058119773864746,2023-09-05 14:04:55.325641,2023-09-05 14:04:55.594135,0 days 00:00:00.268494,ReLU,Tanh,Sigmoid,Sigmoid,58,20,16.0,15.0,19.0,2.8911016188699413e-05,4,57,0.35236394466484167,0.0026725857358827826,137.36276927747224,COMPLETE
1,0.6532642841339111,2023-09-05 14:04:55.594449,2023-09-05 14:04:55.953831,0 days 00:00:00.359382,Sigmoid,Leaky,,,67,24,7.0,,,0.0005746500743464727,2,159,0.3395628351817488,0.0354394793426836,139.72295530911148,COMPLETE
2,0.5531408786773682,2023-09-05 14:04:55.954098,2023-09-05 14:04:56.035244,0 days 00:00:00.081146,ReLU,,,,44,24,,,,0.0037253421582782603,1,291,0.22222442112904361,0.0032382418411620807,124.37874995640345,COMPLETE
3,0.3392873704433441,2023-09-05 14:04:56.035487,2023-09-05 14:05:07.297156,0 days 00:00:11.261669,Leaky,ReLU,Leaky,,10,15,19.0,5.0,,3.494140747834152e-05,3,470,0.521361951796343,5.939820391692759e-05,165.42058566478974,COMPLETE
4,0.5258815884590149,2023-09-05 14:05:07.297435,2023-09-05 14:05:07.710354,0 days 00:00:00.412919,Tanh,,,,33,3,,,,0.0009792094804052245,1,498,0.25720858151949805,0.0034277200727387646,168.44618617466517,COMPLETE
5,0.4699101746082306,2023-09-05 14:05:07.710601,2023-09-05 14:05:08.140729,0 days 00:00:00.430128,Tanh,ReLU,,,80,7,3.0,,,0.003729823242572057,2,406,0.508397732225842,0.08622560657144103,116.84374704900777,COMPLETE
6,0.5105817914009094,2023-09-05 14:05:08.140997,2023-09-05 14:05:10.225116,0 days 00:00:02.084119,Leaky,,,,51,21,,,,0.00015064976954612313,1,372,0.7015470066290977,0.0019511369855855537,112.94734511836883,COMPLETE
7,0.33360573649406433,2023-09-05 14:05:10.225387,2023-09-05 14:05:10.443301,0 days 00:00:00.217914,Tanh,Tanh,Leaky,ReLU,73,19,21.0,9.0,18.0,0.016050560781364586,4,378,0.7669134911342631,2.2432181033899637e-05,127.98654732337364,COMPLETE
8,1.0454380512237549,2023-09-05 14:05:10.443568,2023-09-05 14:05:11.173750,0 days 00:00:00.730182,Sigmoid,Tanh,,,88,6,3.0,,,3.671010950265928e-05,2,160,0.658541774926947,0.00011896863830122321,151.7701569080353,COMPLETE
9,0.4673944115638733,2023-09-05 14:05:11.174006,2023-09-05 14:05:11.452587,0 days 00:00:00.278581,Sigmoid,,,,71,23,,,,0.007462581049968105,1,108,0.35459893341508864,0.00011698526105213738,144.8219731648763,COMPLETE
10,0.5921347737312317,2023-09-05 14:05:11.452837,2023-09-05 14:05:11.539635,0 days 00:00:00.086798,Tanh,Sigmoid,Leaky,ReLU,90,15,23.0,23.0,7.0,0.09983403225984912,4,254,0.13586497115523666,1.3085830120565379e-05,185.7484558507016,COMPLETE
11,0.5443953275680542,2023-09-05 14:05:11.539911,2023-09-05 14:05:27.032479,0 days 00:00:15.492568,Leaky,ReLU,Leaky,,11,15,21.0,3.0,,1.2280122507364753e-05,3,499,0.7402070751320359,4.0042110123254334e-05,163.52051998283676,COMPLETE
12,0.3895740509033203,2023-09-05 14:05:27.032760,2023-09-05 14:05:31.248360,0 days 00:00:04.215600,Leaky,ReLU,Leaky,,19,17,16.0,6.0,,0.0002356350508598608,3,394,0.5202803488376496,1.007612621523077e-05,98.18744956258793,COMPLETE
13,0.3397134840488434,2023-09-05 14:05:31.248629,2023-09-05 14:05:31.615275,0 days 00:00:00.366646,Tanh,Tanh,Tanh,Tanh,33,11,19.0,10.0,24.0,0.02942484315987046,4,433,0.7813798153199963,0.0001922235608636465,135.5260550181071,COMPLETE
14,0.5677510499954224,2023-09-05 14:05:31.615549,2023-09-05 14:05:32.771415,0 days 00:00:01.155866,Leaky,Sigmoid,ReLU,,100,12,12.0,11.0,,9.844206292612623e-05,3,316,0.4818029498233991,4.145155108483666e-05,168.21102161648906,COMPLETE
15,0.9251381754875183,2023-09-05 14:05:32.771760,2023-09-05 14:05:35.656315,0 days 00:00:02.884555,Tanh,Leaky,Leaky,ReLU,65,17,18.0,1.0,14.0,1.0162573891179769e-05,4,444,0.5811119421182087,0.00042612505914215446,152.9554905418877,COMPLETE
16,0.5128942131996155,2023-09-05 14:05:35.656603,2023-09-05 14:05:37.777403,0 days 00:00:02.120800,Leaky,ReLU,Leaky,,37,9,24.0,7.0,,0.0004307911353408369,3,335,0.4448422757148277,3.429891538023478e-05,230.57632050052766,COMPLETE
17,0.6224849224090576,2023-09-05 14:05:37.777765,2023-09-05 14:05:38.228426,0 days 00:00:00.450661,ReLU,Tanh,ReLU,Leaky,13,19,12.0,15.0,1.0,0.0016380536893142476,4,255,0.5955619471036212,0.00043077343442036374,132.0166082943187,COMPLETE
18,0.35571035742759705,2023-09-05 14:05:38.228716,2023-09-05 14:05:38.980184,0 days 00:00:00.751468,Tanh,ReLU,Sigmoid,,24,14,15.0,6.0,,0.01446400899725704,3,462,0.79631322298851,2.47142630549923e-05,98.28777712041682,COMPLETE
19,0.33344778418540955,2023-09-05 14:05:38.980454,2023-09-05 14:05:39.269792,0 days 00:00:00.289338,Leaky,Tanh,Tanh,ReLU,77,17,21.0,20.0,15.0,0.0018115478659668474,4,359,0.4299638929693694,6.175176385288166e-05,189.04342088543,COMPLETE
20,0.45115751028060913,2023-09-05 14:05:39.270063,2023-09-05 14:05:39.534571,0 days 00:00:00.264508,Leaky,Tanh,Tanh,ReLU,77,18,9.0,22.0,15.0,0.0019224126751765588,4,354,0.39921572946449396,1.5342002582623327e-05,151.99223622104577,COMPLETE
21,0.40736156702041626,2023-09-05 14:05:39.534836,2023-09-05 14:05:40.847843,0 days 00:00:01.313007,Leaky,Tanh,Tanh,ReLU,56,21,20.0,19.0,19.0,0.000547713269602417,4,403,0.5978569470441417,6.664094296482936e-05,131.18867327219033,COMPLETE
22,0.5672478675842285,2023-09-05 14:05:40.848118,2023-09-05 14:05:41.708414,0 days 00:00:00.860296,Leaky,Tanh,Tanh,,81,14,23.0,10.0,,7.162052096105336e-05,3,215,0.45074434642121364,6.601762023438459e-05,226.99093326302463,COMPLETE
23,0.4388365149497986,2023-09-05 14:05:41.708688,2023-09-05 14:05:42.543256,0 days 00:00:00.834568,Leaky,Tanh,Leaky,ReLU,91,17,21.0,15.0,9.0,0.0002562843499795566,4,451,0.6291028411837017,2.134445722024304e-05,137.67528189553155,COMPLETE
24,0.4809967875480652,2023-09-05 14:05:42.543526,2023-09-05 14:05:43.051935,0 days 00:00:00.508409,Leaky,Leaky,Leaky,,72,11,18.0,19.0,,0.0009401148521534516,3,371,0.5369167655094591,2.106432453398885e-05,114.10811584164398,COMPLETE
25,0.3494737446308136,2023-09-05 14:05:43.052203,2023-09-05 14:05:43.451855,0 days 00:00:00.399652,Tanh,Sigmoid,Tanh,Tanh,64,16,22.0,8.0,19.0,0.011127927036493037,4,317,0.6522385204672727,1.0523702788371688e-05,136.63327594831878,COMPLETE
26,0.3814377188682556,2023-09-05 14:05:43.452136,2023-09-05 14:05:43.661409,0 days 00:00:00.209273,ReLU,ReLU,,,46,22,15.0,,,0.0033114188433900262,2,416,0.4135010717803051,5.35973286324847e-05,186.6667276426803,COMPLETE
27,0.49314355850219727,2023-09-05 14:05:43.661668,2023-09-05 14:05:44.729588,0 days 00:00:01.067920,Sigmoid,Tanh,Leaky,,99,19,18.0,3.0,,0.00175370105605931,3,472,0.5347863462481496,0.00027615464598701483,177.46041466030678,COMPLETE
28,0.37840309739112854,2023-09-05 14:05:44.729848,2023-09-05 14:05:44.943602,0 days 00:00:00.213754,Leaky,Tanh,ReLU,Sigmoid,84,14,24.0,13.0,24.0,0.026313425716422055,4,353,0.691148397721491,0.00011093577848217485,147.81726021602236,COMPLETE
29,0.8125158548355103,2023-09-05 14:05:44.943870,2023-09-05 14:05:46.227765,0 days 00:00:01.283895,ReLU,ReLU,Sigmoid,Leaky,60,20,20.0,4.0,11.0,4.3681526900443e-05,4,282,0.36026995089780584,2.9870060706754433e-05,106.90276136465953,COMPLETE
