number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
22,0.3613301217556,2023-09-05 16:01:38.111471,2023-09-05 16:01:38.886826,0 days 00:00:00.775355,Tanh,Leaky,Leaky,Leaky,,82,3,9.0,12.0,8.0,,0.001030767188683635,4,446,0.24415487935425834,3.695575436541369e-05,275.7708788391546,COMPLETE
23,0.37700432538986206,2023-09-05 16:01:38.887087,2023-09-05 16:01:40.081156,0 days 00:00:01.194069,Tanh,Leaky,Leaky,Leaky,,82,1,11.0,10.0,7.0,,0.0008922137479486156,4,362,0.32305916419827824,1.0004789143834903e-05,243.76165575480593,COMPLETE
24,0.5978655815124512,2023-09-05 16:01:40.081422,2023-09-05 16:01:41.023447,0 days 00:00:00.942025,Tanh,Leaky,Leaky,Leaky,,67,2,9.0,5.0,9.0,,0.00038321298193556933,4,442,0.16476120227834756,3.136322334375486e-05,161.95372333785528,COMPLETE
25,0.42563486099243164,2023-09-05 16:01:41.023716,2023-09-05 16:01:42.166956,0 days 00:00:01.143240,Tanh,Tanh,Leaky,Sigmoid,,61,3,14.0,12.0,10.0,,0.0011314418770009876,4,407,0.2452529157003361,7.40673075531906e-05,1197.3160036155343,COMPLETE
26,0.3582998216152191,2023-09-05 16:01:42.167219,2023-09-05 16:01:42.585865,0 days 00:00:00.418646,Tanh,Sigmoid,,,,92,6,18.0,,,,0.0053922408892376145,2,347,0.2928420813412316,3.520979057375873e-05,467.5058219446003,COMPLETE
27,0.35528215765953064,2023-09-05 16:01:42.586110,2023-09-05 16:01:42.902423,0 days 00:00:00.316313,ReLU,Sigmoid,,,,89,7,17.0,,,,0.008756829553513815,2,325,0.3338062395067219,2.5040523175584036e-05,197.8525785248855,COMPLETE
28,0.4242168664932251,2023-09-05 16:01:42.902671,2023-09-05 16:01:43.021753,0 days 00:00:00.119082,ReLU,,,,,92,10,,,,,0.0123405700788242,1,308,0.3278086218973282,1.6248347345697195e-05,2720.01434135437,COMPLETE
29,0.33535274863243103,2023-09-05 16:01:43.021988,2023-09-05 16:01:43.269250,0 days 00:00:00.247262,ReLU,Sigmoid,,,,71,14,22.0,,,,0.0064660690349322755,2,251,0.29875577791953506,3.1420782799712964e-05,240.46359593035226,COMPLETE
30,0.3090074956417084,2023-09-05 16:01:43.269497,2023-09-05 16:01:43.586331,0 days 00:00:00.316834,ReLU,Sigmoid,ReLU,,,71,15,21.0,4.0,,,0.013147629224815004,3,224,0.3482132562105594,2.238777813184109e-05,169.4808374730552,COMPLETE
31,1.159764051437378,2023-09-05 16:01:43.586589,2023-09-05 16:01:43.666292,0 days 00:00:00.079703,ReLU,Sigmoid,ReLU,,,70,14,22.0,4.0,,,0.008807117690897726,3,230,0.32290530871903844,1.7878064901017317e-05,120.95808113945856,COMPLETE
32,0.2623487710952759,2023-09-05 16:01:43.666558,2023-09-05 16:01:43.848053,0 days 00:00:00.181495,ReLU,Sigmoid,,,,76,15,22.0,,,,0.021022394053914945,2,254,0.3651810378971092,0.00010048740061720032,152.6234221024947,COMPLETE
33,0.251956969499588,2023-09-05 16:01:43.848300,2023-09-05 16:01:44.074760,0 days 00:00:00.226460,ReLU,Sigmoid,ReLU,,,55,15,24.0,4.0,,,0.02217079639130237,3,179,0.36877252836005353,5.623202021716898e-05,247.66061878204346,COMPLETE
34,0.31490063667297363,2023-09-05 16:01:44.075012,2023-09-05 16:01:44.277233,0 days 00:00:00.202221,ReLU,Sigmoid,ReLU,,,54,17,24.0,4.0,,,0.022563922469589534,3,173,0.38018080615865785,0.00010221699366039767,178.88197757036258,COMPLETE
35,1.08926522731781,2023-09-05 16:01:44.277497,2023-09-05 16:01:44.387459,0 days 00:00:00.109962,ReLU,Sigmoid,ReLU,,,61,17,22.0,7.0,,,0.03851404578201048,3,135,0.47468083863994265,5.325771520050355e-05,100.87885553696576,COMPLETE
36,1.0140808820724487,2023-09-05 16:01:44.387725,2023-09-05 16:01:44.529679,0 days 00:00:00.141954,ReLU,Sigmoid,ReLU,,,62,14,20.0,4.0,,,0.01642731701480371,3,197,0.5609388874807366,9.812332020802433e-05,109.88707006545295,COMPLETE
37,0.5692855715751648,2023-09-05 16:01:44.529947,2023-09-05 16:01:44.806039,0 days 00:00:00.276092,Sigmoid,Sigmoid,ReLU,,,47,11,24.0,2.0,,,0.033276293752074894,3,273,0.3695708430278781,0.0003679859649589267,459.18358274606555,COMPLETE
