number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
22,0.30607375502586365,2023-09-05 14:37:38.093585,2023-09-05 14:37:38.281299,0 days 00:00:00.187714,Tanh,Sigmoid,ReLU,,,91,15,17.0,17.0,,,0.09576552121033198,3,215,0.46957273982221653,2.7770770650925704e-05,265.9986997331892,COMPLETE
23,0.3072664737701416,2023-09-05 14:37:38.281561,2023-09-05 14:37:38.830482,0 days 00:00:00.548921,Tanh,Sigmoid,ReLU,,,93,16,16.0,17.0,,,0.010445522476538967,3,113,0.6047613637294981,2.6096605709608977e-05,171.46544034013124,COMPLETE
24,0.2825990319252014,2023-09-05 14:37:38.830736,2023-09-05 14:37:39.111634,0 days 00:00:00.280898,Tanh,Tanh,ReLU,,,79,21,22.0,16.0,,,0.016650800865767777,3,197,0.7888347892884354,6.22690062710122e-05,136.8625457351272,COMPLETE
25,0.31941455602645874,2023-09-05 14:37:39.111890,2023-09-05 14:37:39.587079,0 days 00:00:00.475189,Tanh,Tanh,ReLU,,,59,21,23.0,14.0,,,0.01125739707891999,3,186,0.7235558412842058,5.702043596937981e-05,175.36826824319775,COMPLETE
26,0.2840832471847534,2023-09-05 14:37:39.587338,2023-09-05 14:37:41.297060,0 days 00:00:01.709722,Tanh,Tanh,ReLU,Sigmoid,,11,20,21.0,21.0,23.0,,0.019103645727077522,4,290,0.7961579507241698,1.0004400892712044e-05,188.67333366757347,COMPLETE
27,0.3304870128631592,2023-09-05 14:37:41.297328,2023-09-05 14:37:41.498160,0 days 00:00:00.200832,Tanh,Tanh,ReLU,,,76,12,20.0,14.0,,,0.03620096263903857,3,160,0.6569097296529944,6.760507443341061e-05,185.09383494059244,COMPLETE
28,0.3443935513496399,2023-09-05 14:37:41.498419,2023-09-05 14:37:41.715910,0 days 00:00:00.217491,Tanh,,,,,71,22,,,,,0.013930507224750104,1,101,0.5454437545347698,2.294699590860377e-05,226.1218381014737,COMPLETE
29,0.3831997513771057,2023-09-05 14:37:41.716147,2023-09-05 14:37:42.080858,0 days 00:00:00.364711,Sigmoid,Leaky,ReLU,Sigmoid,,78,13,22.0,8.0,13.0,,0.007495836908843732,4,54,0.6277936950445284,0.0002811953881300917,349.90829100432217,COMPLETE
30,0.3964301347732544,2023-09-05 14:37:42.081129,2023-09-05 14:37:42.358223,0 days 00:00:00.277094,Leaky,Tanh,,,,56,4,24.0,,,,0.0484841416837822,2,241,0.7320448997354002,0.00010499084284993493,159.1169598228053,COMPLETE
31,0.9945549964904785,2023-09-05 14:37:42.358475,2023-09-05 14:37:43.413093,0 days 00:00:01.054618,Tanh,Tanh,ReLU,Sigmoid,ReLU,11,21,21.0,21.0,23.0,1.0,0.0251809766552016,5,294,0.7230689281349695,1.0856617438072395e-05,115.00841256846552,COMPLETE
32,0.2600060701370239,2023-09-05 14:37:43.413382,2023-09-05 14:37:43.802162,0 days 00:00:00.388780,Tanh,Tanh,ReLU,Sigmoid,,35,19,20.0,20.0,17.0,,0.0157611127812348,4,320,0.7661452581603326,2.2434625871627303e-05,414.2476976834811,COMPLETE
33,0.2330855429172516,2023-09-05 14:37:43.802435,2023-09-05 14:37:44.507531,0 days 00:00:00.705096,Tanh,Tanh,ReLU,Sigmoid,,38,19,19.0,17.0,18.0,,0.014647541279455919,4,328,0.791408124355593,4.2453757992746655e-05,387.48621054256665,COMPLETE
34,0.3566007614135742,2023-09-05 14:37:44.507801,2023-09-05 14:37:45.157348,0 days 00:00:00.649547,Tanh,Tanh,Tanh,Sigmoid,Sigmoid,35,18,19.0,20.0,17.0,23.0,0.04923885255161598,5,329,0.6212406054808761,4.328428997004956e-05,246.89103317260742,COMPLETE
35,0.4046557545661926,2023-09-05 14:37:45.157631,2023-09-05 14:37:45.451596,0 days 00:00:00.293965,Tanh,Tanh,Sigmoid,Sigmoid,,37,19,15.0,18.0,18.0,,0.0357264964774654,4,324,0.5346124797572489,2.172162788160747e-05,252.45236153438174,COMPLETE
36,0.2988465130329132,2023-09-05 14:37:45.451865,2023-09-05 14:37:45.998422,0 days 00:00:00.546557,Tanh,ReLU,ReLU,Sigmoid,,46,17,12.0,15.0,10.0,,0.007670511434637243,4,372,0.6611122100899675,3.6736724659696184e-05,213.9011038321036,COMPLETE
37,0.7639957070350647,2023-09-05 14:37:45.998705,2023-09-05 14:37:46.760284,0 days 00:00:00.761579,Tanh,Tanh,ReLU,Sigmoid,Sigmoid,26,12,10.0,22.0,19.0,1.0,0.0260997711205081,5,467,0.5762738178394985,2.2193612171371377e-05,383.214950243632,COMPLETE
38,0.3171893358230591,2023-09-05 14:37:46.760581,2023-09-05 14:37:47.762008,0 days 00:00:01.001427,Sigmoid,Leaky,ReLU,Sigmoid,,33,8,19.0,19.0,13.0,,0.012330343615993085,4,443,0.5336121228468611,0.00017292627524403297,200.76274896704632,COMPLETE
39,0.31349173188209534,2023-09-05 14:37:47.762287,2023-09-05 14:37:48.560161,0 days 00:00:00.797874,Leaky,ReLU,ReLU,Tanh,,43,17,16.0,13.0,20.0,,0.001731635056362448,4,265,0.6612070488721327,3.949944749607803e-05,216.76451956259237,COMPLETE
40,0.43512922525405884,2023-09-05 14:37:48.560436,2023-09-05 14:37:49.416273,0 days 00:00:00.855837,Tanh,Tanh,Sigmoid,Leaky,Tanh,50,10,1.0,20.0,7.0,8.0,0.004208069660322097,5,392,0.7879516272782918,1.8408812263859418e-05,329.482969864555,COMPLETE
41,0.3184114694595337,2023-09-05 14:37:49.416559,2023-09-05 14:37:50.704553,0 days 00:00:01.287994,Tanh,Tanh,ReLU,,,19,19,22.0,16.0,,,0.019041940165534024,3,174,0.7352247810516538,5.9931599692185795e-05,172.00393283728397,COMPLETE
42,0.28618574142456055,2023-09-05 14:37:50.704837,2023-09-05 14:37:51.083675,0 days 00:00:00.378838,Tanh,Tanh,ReLU,ReLU,,68,21,23.0,16.0,15.0,,0.014894904398960617,4,139,0.7778766840745528,4.815211834370508e-05,495.01615124213987,COMPLETE
43,0.2609146237373352,2023-09-05 14:37:51.083954,2023-09-05 14:37:51.376939,0 days 00:00:00.292985,Tanh,Tanh,ReLU,,,80,22,20.0,18.0,,,0.00554074967273709,3,229,0.690825400418877,8.460729484335139e-05,203.13443998856977,COMPLETE
44,0.32875654101371765,2023-09-05 14:37:51.377211,2023-09-05 14:37:52.023239,0 days 00:00:00.646028,Tanh,Tanh,ReLU,Sigmoid,,30,23,20.0,18.0,20.0,,0.006772625020447807,4,315,0.5857280098297517,2.840224826615009e-05,374.04313270718444,COMPLETE
45,0.31129682064056396,2023-09-05 14:37:52.023514,2023-09-05 14:37:52.397677,0 days 00:00:00.374163,ReLU,ReLU,Tanh,,,39,15,18.0,24.0,,,0.004961277062192697,3,357,0.6827596253363715,1.7539933837652862e-05,163.7939479282924,COMPLETE
46,0.27416056394577026,2023-09-05 14:37:52.397951,2023-09-05 14:37:53.231209,0 days 00:00:00.833258,Leaky,Sigmoid,Sigmoid,,,95,23,13.0,22.0,,,0.002606595283688418,3,345,0.6775604369657388,8.125866543465679e-05,232.1889794839395,COMPLETE
47,0.2862595319747925,2023-09-05 14:37:53.231483,2023-09-05 14:37:54.081430,0 days 00:00:00.849947,Leaky,Tanh,Sigmoid,,,95,23,7.0,22.0,,,0.00243402615038648,3,346,0.7001453422715253,0.000501767358297105,233.7512699613635,COMPLETE
48,0.3610137104988098,2023-09-05 14:37:54.081697,2023-09-05 14:37:55.215221,0 days 00:00:01.133524,Leaky,Sigmoid,Sigmoid,,,100,24,14.0,20.0,,,0.0010261410527200327,3,379,0.5001957289676078,0.000201960578745812,456.7107189783751,COMPLETE
49,0.2801969349384308,2023-09-05 14:37:55.215488,2023-09-05 14:37:55.755972,0 days 00:00:00.540484,Leaky,Sigmoid,Sigmoid,,,88,22,10.0,22.0,,,0.00372352323100515,3,271,0.5756598221656378,9.747868399075222e-05,153.27057971594468,COMPLETE
50,0.3032461702823639,2023-09-05 14:37:55.756257,2023-09-05 14:37:56.980682,0 days 00:00:01.224425,Leaky,Leaky,Leaky,Sigmoid,,18,19,13.0,18.0,15.0,,0.00556369474964165,4,345,0.6329284280708382,8.649677234997807e-05,164.86840109097756,COMPLETE
