number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.45767495036125183,2023-09-05 14:04:57.321648,2023-09-05 14:04:57.685112,0 days 00:00:00.363464,ReLU,Leaky,,,55,10,12.0,,,0.00259118856249202,2,231,0.12996199438653186,0.018994920185073788,183.16182025067218,COMPLETE
1,0.9693947434425354,2023-09-05 14:04:57.685391,2023-09-05 14:04:57.979070,0 days 00:00:00.293679,Sigmoid,Tanh,,,90,13,9.0,,,3.26250822687578e-05,2,82,0.49740022785105686,2.8435960051961142e-05,122.21281023723323,COMPLETE
2,1.176450252532959,2023-09-05 14:04:57.979385,2023-09-05 14:04:58.140779,0 days 00:00:00.161394,Tanh,Sigmoid,Leaky,,64,19,6.0,11.0,,0.00010959452947705631,3,108,0.10072671787313042,0.001470147360480072,155.63435151841907,COMPLETE
3,0.5278740525245667,2023-09-05 14:04:58.141052,2023-09-05 14:05:00.618889,0 days 00:00:02.477837,Sigmoid,Tanh,Sigmoid,Sigmoid,16,4,7.0,16.0,9.0,0.0007364661290985207,4,277,0.28173691468786216,0.00015007938051512555,278.63635880152384,COMPLETE
4,0.6502384543418884,2023-09-05 14:05:00.619208,2023-09-05 14:05:00.780097,0 days 00:00:00.160889,ReLU,Tanh,,,73,13,9.0,,,0.026811983540127676,2,111,0.5553410644181147,0.09661598449667728,226.50882982526505,COMPLETE
5,0.49839329719543457,2023-09-05 14:05:00.780355,2023-09-05 14:05:01.148130,0 days 00:00:00.367775,Sigmoid,,,,50,23,,,,0.0012191917051680007,1,113,0.6874202340210197,0.020663381386914603,148.62402271089098,COMPLETE
6,0.6585995554924011,2023-09-05 14:05:01.148371,2023-09-05 14:05:01.412413,0 days 00:00:00.264042,Sigmoid,Tanh,,,76,20,11.0,,,0.00093928046778537,2,119,0.2621132133797943,0.006505896586225826,643.2154576918658,COMPLETE
7,0.31056317687034607,2023-09-05 14:05:01.412681,2023-09-05 14:05:02.027863,0 days 00:00:00.615182,Leaky,ReLU,Leaky,,22,20,17.0,12.0,,0.003832352484129643,3,148,0.6344098580453268,1.4059915375001486e-05,1378.2278323289825,COMPLETE
8,0.5378916263580322,2023-09-05 14:05:02.028127,2023-09-05 14:05:02.082798,0 days 00:00:00.054671,ReLU,,,,46,14,,,,0.08188610930486633,1,284,0.23154015199902214,0.002169130551339491,311.25923295454544,COMPLETE
9,0.35328754782676697,2023-09-05 14:05:02.083026,2023-09-05 14:05:02.327592,0 days 00:00:00.244566,Tanh,Leaky,Leaky,Tanh,18,24,13.0,19.0,19.0,0.0049078608616845276,4,276,0.217360057385983,0.00013040985535113,1101.7294692993164,COMPLETE
10,0.674956202507019,2023-09-05 14:05:02.327846,2023-09-05 14:05:03.182348,0 days 00:00:00.854502,Leaky,ReLU,Tanh,,33,1,22.0,1.0,,0.013740904866720643,3,428,0.7852460577384063,1.262599043945674e-05,1188.411278123122,COMPLETE
11,0.304715096950531,2023-09-05 14:05:03.182611,2023-09-05 14:05:03.941812,0 days 00:00:00.759201,Leaky,ReLU,Leaky,Tanh,13,24,18.0,24.0,22.0,0.005376613531189499,4,378,0.4167820674061377,8.403486034449479e-05,468.6497806549072,COMPLETE
12,0.2736998498439789,2023-09-05 14:05:03.942088,2023-09-05 14:05:04.316337,0 days 00:00:00.374249,Leaky,ReLU,Leaky,Leaky,29,18,19.0,24.0,24.0,0.008588651450082918,4,410,0.42935750994558886,6.911007614612114e-05,211.3984007964263,COMPLETE
13,0.3482379913330078,2023-09-05 14:05:04.316604,2023-09-05 14:05:04.517426,0 days 00:00:00.200822,Leaky,ReLU,ReLU,Leaky,34,17,21.0,23.0,23.0,0.019667429921106143,4,441,0.4242458019168166,0.00023392568787936722,205.39326893199575,COMPLETE
14,0.3679357171058655,2023-09-05 14:05:04.517705,2023-09-05 14:05:05.428300,0 days 00:00:00.910595,Leaky,ReLU,Leaky,Leaky,11,24,17.0,24.0,24.0,0.007947223486676347,4,370,0.3648408601486322,6.691667095284227e-05,128.76583959701213,COMPLETE
15,0.46623674035072327,2023-09-05 14:05:05.428582,2023-09-05 14:05:05.683880,0 days 00:00:00.255298,Leaky,ReLU,Leaky,Tanh,33,17,1.0,19.0,16.0,0.06423139968049074,4,499,0.3605375824970114,0.00042771914096481395,517.0041466915246,COMPLETE
16,0.5072453022003174,2023-09-05 14:05:05.684151,2023-09-05 14:05:09.096269,0 days 00:00:03.412118,Leaky,Sigmoid,Sigmoid,,27,9,18.0,24.0,,0.0003350295555432025,3,356,0.4760958241655949,3.328973947772873e-05,199.09412266163343,COMPLETE
17,0.3539090156555176,2023-09-05 14:05:09.096541,2023-09-05 14:05:09.635583,0 days 00:00:00.539042,Leaky,ReLU,ReLU,ReLU,42,22,24.0,6.0,3.0,0.0063549217313123435,4,353,0.40281203632748747,0.0006671491283584983,144.64602527618408,COMPLETE
18,0.2966349422931671,2023-09-05 14:05:09.635852,2023-09-05 14:05:10.349466,0 days 00:00:00.713614,Leaky,ReLU,Tanh,,25,16,15.0,20.0,,0.023722135511756063,3,412,0.5834875590104401,6.438677182328788e-05,162.91122913360596,COMPLETE
19,0.31094813346862793,2023-09-05 14:05:10.349730,2023-09-05 14:05:10.785189,0 days 00:00:00.435459,Tanh,ReLU,Tanh,,25,16,14.0,19.0,,0.03506072338278916,3,496,0.5996032557718421,0.00035868450736166235,241.21749045632103,COMPLETE
20,0.3864341378211975,2023-09-05 14:05:10.785458,2023-09-05 14:05:11.044018,0 days 00:00:00.258560,Leaky,Sigmoid,Tanh,,40,10,20.0,16.0,,0.09635490028478955,3,433,0.7950920932848635,5.535936045713396e-05,231.60330345517113,COMPLETE
21,0.34263667464256287,2023-09-05 14:05:11.044290,2023-09-05 14:05:11.701959,0 days 00:00:00.657669,Leaky,ReLU,Tanh,Tanh,10,21,15.0,21.0,19.0,0.011137346450771635,4,393,0.5152282908191941,8.866515961953919e-05,261.2511506514116,COMPLETE
22,0.3500351011753082,2023-09-05 14:05:11.702236,2023-09-05 14:05:12.044643,0 days 00:00:00.342407,Leaky,ReLU,Leaky,Leaky,25,18,18.0,21.0,10.0,0.015080996503512922,4,331,0.3547129659651978,0.0001959316046596989,255.4972512986925,COMPLETE
23,0.3798227906227112,2023-09-05 14:05:12.044916,2023-09-05 14:05:12.718551,0 days 00:00:00.673635,Leaky,ReLU,Leaky,,16,16,15.0,16.0,,0.002229446983973595,3,402,0.46016406459687087,3.696069612972546e-05,208.78581403649372,COMPLETE
24,0.3529573082923889,2023-09-05 14:05:12.718816,2023-09-05 14:05:12.942466,0 days 00:00:00.223650,Leaky,Leaky,Tanh,ReLU,99,15,20.0,22.0,24.0,0.03313202138115473,4,319,0.5679479376280739,9.953012170841338e-05,167.49514389038086,COMPLETE
25,0.3493749499320984,2023-09-05 14:05:12.942737,2023-09-05 14:05:13.243167,0 days 00:00:00.300430,Leaky,ReLU,Leaky,,31,8,24.0,24.0,,0.006892958947397669,3,224,0.3237747509298742,2.4136930513969734e-05,246.40064099370215,COMPLETE
26,0.2880246639251709,2023-09-05 14:05:13.243436,2023-09-05 14:05:13.641578,0 days 00:00:00.398142,Leaky,ReLU,ReLU,Sigmoid,38,22,16.0,20.0,16.0,0.01287581792580973,4,468,0.4601413364975985,5.342641171224834e-05,210.04637179167375,COMPLETE
27,0.4078466594219208,2023-09-05 14:05:13.641850,2023-09-05 14:05:13.846456,0 days 00:00:00.204606,ReLU,ReLU,ReLU,Sigmoid,42,19,16.0,14.0,14.0,0.03535754463530337,4,463,0.5241317550056013,1.4531583494709227e-05,351.6667078191584,COMPLETE
28,0.2939588129520416,2023-09-05 14:05:13.846728,2023-09-05 14:05:14.309656,0 days 00:00:00.462928,Tanh,ReLU,ReLU,,52,21,11.0,9.0,,0.014587604183289138,3,462,0.6626717770204318,4.735301725229372e-05,263.09225273132324,COMPLETE
29,0.26489248871803284,2023-09-05 14:05:14.309921,2023-09-05 14:05:15.995725,0 days 00:00:01.685804,Tanh,Sigmoid,,,58,22,11.0,,,0.0023553196024839193,2,470,0.6876703861379214,0.00023118342601153574,170.9826932841834,COMPLETE
