number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.6264618635177612,2023-09-04 17:54:28.320578,2023-09-04 17:54:29.109216,0 days 00:00:00.788638,ReLU,Leaky,,,56,2,8.0,,,0.014173695150017535,2,407,0.21238876738159537,0.02793773174371925,129.2664797041151,COMPLETE
1,1.002049446105957,2023-09-04 17:54:29.109502,2023-09-04 17:54:31.163244,0 days 00:00:02.053742,ReLU,Tanh,Sigmoid,Sigmoid,10,12,12.0,20.0,12.0,0.0008229572746051517,4,377,0.7410738707676934,0.028782499301591186,101.54548835754395,COMPLETE
2,0.32025599479675293,2023-09-04 17:54:31.163546,2023-09-04 17:54:33.374126,0 days 00:00:02.210580,ReLU,Leaky,,,23,16,19.0,,,0.002717443717771419,2,416,0.5714767431819621,1.1317072356418292e-05,89.40666918484669,COMPLETE
3,0.40417391061782837,2023-09-04 17:54:33.374399,2023-09-04 17:54:35.394464,0 days 00:00:02.020065,Tanh,,,,41,20,,,,0.010214295409593345,1,438,0.5040440489240101,0.006616633690603389,104.46733499687409,COMPLETE
4,0.4035498797893524,2023-09-04 17:54:35.394736,2023-09-04 17:54:35.930765,0 days 00:00:00.536029,Tanh,Sigmoid,,,37,17,8.0,,,0.007459455547109948,2,303,0.12361634474412929,0.0009675682842798658,117.57935738269194,COMPLETE
5,0.318845272064209,2023-09-04 17:54:35.931034,2023-09-04 17:54:36.636652,0 days 00:00:00.705618,ReLU,ReLU,Leaky,Leaky,68,24,19.0,24.0,6.0,0.009139236092749758,4,430,0.6798661141727577,0.0011240940567095483,113.09188493092854,COMPLETE
6,0.41075292229652405,2023-09-04 17:54:36.636957,2023-09-04 17:54:38.523066,0 days 00:00:01.886109,Leaky,Leaky,Tanh,,54,23,5.0,21.0,,0.0015256427991597857,3,383,0.7602772473680889,0.024288373948102238,101.82771394963851,COMPLETE
7,0.35049763321876526,2023-09-04 17:54:38.523390,2023-09-04 17:54:42.422117,0 days 00:00:03.898727,ReLU,Sigmoid,,,41,5,17.0,,,0.003700373207413568,2,391,0.45217068854572506,7.45162615458409e-05,111.75547634657993,COMPLETE
8,0.38266709446907043,2023-09-04 17:54:42.422394,2023-09-04 17:54:43.945613,0 days 00:00:01.523219,ReLU,Tanh,,,50,14,22.0,,,0.0006815646266211669,2,87,0.4439985795880177,1.4619814984015312e-05,130.81048215668778,COMPLETE
9,0.983414351940155,2023-09-04 17:54:43.945885,2023-09-04 17:54:44.243434,0 days 00:00:00.297549,ReLU,Sigmoid,Tanh,,94,1,9.0,4.0,,0.012731835122345506,3,207,0.49299639448331684,0.05785116873868563,100.10075645446777,COMPLETE
10,0.4092974066734314,2023-09-04 17:54:44.243707,2023-09-04 17:54:44.791163,0 days 00:00:00.547456,Sigmoid,ReLU,Leaky,Leaky,79,24,24.0,10.0,1.0,0.09508514303188112,4,256,0.29354249576206776,0.0010474957935356912,129.54107666015625,COMPLETE
11,0.4173739552497864,2023-09-04 17:54:44.791460,2023-09-04 17:55:21.973099,0 days 00:00:37.181639,Sigmoid,,,,13,8,,,,0.00017178600395490926,1,488,0.7795520908763943,1.3055961586285501e-05,120.05836685368273,COMPLETE
12,0.543664813041687,2023-09-04 17:55:21.973367,2023-09-04 17:55:28.200284,0 days 00:00:06.226917,Leaky,Leaky,Leaky,,72,19,18.0,24.0,,1.1451684548600806e-05,3,498,0.324349530674787,0.00020268983058914527,157.80678397488882,COMPLETE
13,0.5054653882980347,2023-09-04 17:55:28.200571,2023-09-04 17:55:29.605449,0 days 00:00:01.404878,ReLU,ReLU,ReLU,ReLU,24,13,18.0,14.0,7.0,0.03921849872371148,4,281,0.5914550191821504,8.75476504716743e-05,118.47740300496419,COMPLETE
14,0.3053988814353943,2023-09-04 17:55:29.605750,2023-09-04 17:55:30.884194,0 days 00:00:01.278444,ReLU,ReLU,Leaky,,70,16,15.0,15.0,,0.0033754209848230713,3,334,0.6077726623707308,0.001323043306782617,111.76371160046807,COMPLETE
15,0.348753958940506,2023-09-04 17:55:30.884474,2023-09-04 17:55:31.538876,0 days 00:00:00.654402,ReLU,ReLU,Leaky,Leaky,72,9,13.0,15.0,21.0,0.03747861252788602,4,327,0.3982322895513091,0.002873660833170962,124.86266659467648,COMPLETE
16,0.3735805153846741,2023-09-04 17:55:31.539163,2023-09-04 17:55:32.557990,0 days 00:00:01.018827,Sigmoid,ReLU,Leaky,,89,21,14.0,8.0,,0.004016855889809504,3,185,0.6090312110152596,0.0006927561878497469,125.81693973181383,COMPLETE
17,0.4829595386981964,2023-09-04 17:55:32.558273,2023-09-04 17:55:39.079648,0 days 00:00:06.521375,Leaky,ReLU,Leaky,Tanh,65,17,21.0,18.0,1.0,0.0004704434522144404,4,351,0.3762711002786645,0.005997506957706417,164.48065452464468,COMPLETE
18,0.3743513822555542,2023-09-04 17:55:39.079937,2023-09-04 17:55:44.258621,0 days 00:00:05.178684,Tanh,ReLU,Sigmoid,,84,21,2.0,23.0,,0.0014339405668083664,3,459,0.6376849921290987,0.0003274705612872734,108.49213145573934,COMPLETE
19,0.4574245810508728,2023-09-04 17:55:44.258897,2023-09-04 17:55:46.345181,0 days 00:00:02.086284,ReLU,ReLU,ReLU,Leaky,98,9,15.0,17.0,22.0,0.00025510813546256406,4,246,0.22530023303269778,0.003021694488569695,344.1258804197234,COMPLETE
20,0.33100447058677673,2023-09-04 17:55:46.345462,2023-09-04 17:55:47.519821,0 days 00:00:01.174359,ReLU,ReLU,Leaky,,64,24,11.0,11.0,,0.005688712290480015,3,118,0.6442814095573526,0.001905020722485103,94.07527176877285,COMPLETE
21,0.30142396688461304,2023-09-04 17:55:47.520094,2023-09-04 17:55:49.173294,0 days 00:00:01.653200,ReLU,Leaky,,,22,16,21.0,,,0.0021498738966434375,2,431,0.5253221591355872,0.0003950669671643476,127.67512603033157,COMPLETE
22,0.38021165132522583,2023-09-04 17:55:49.173566,2023-09-04 17:55:50.392954,0 days 00:00:01.219388,ReLU,,,,63,15,,,,0.0034261718041180113,1,346,0.5386263100766557,0.0005155765262651997,100.48251528856231,COMPLETE
23,0.3057492971420288,2023-09-04 17:55:50.393200,2023-09-04 17:55:52.469376,0 days 00:00:02.076176,ReLU,Leaky,,,76,11,21.0,,,0.0019717424379743155,2,454,0.7963571360808265,0.0002961268654887275,4318.419483531605,COMPLETE
24,0.3395361304283142,2023-09-04 17:55:52.469629,2023-09-04 17:55:54.852082,0 days 00:00:02.382453,ReLU,Leaky,,,80,11,24.0,,,0.001591006098812771,2,462,0.6957047662092823,0.00019784939194169524,98.66355889638265,COMPLETE
25,0.3170705735683441,2023-09-04 17:55:54.852350,2023-09-04 17:55:56.970394,0 days 00:00:02.118044,ReLU,Leaky,,,28,11,21.0,,,0.00216782279904372,2,317,0.529774876378845,0.00036207734594059565,103.10807704925537,COMPLETE
26,0.36216291785240173,2023-09-04 17:55:56.970807,2023-09-04 17:56:08.378035,0 days 00:00:11.407228,Sigmoid,,,,76,18,,,,0.0009504526545237695,1,466,0.7440681560608153,0.00013321760617285422,104.26629013257988,COMPLETE
27,0.3119997978210449,2023-09-04 17:56:08.378281,2023-09-04 17:56:11.502933,0 days 00:00:03.124652,Leaky,Leaky,,,87,6,16.0,,,0.0024309639321961622,2,365,0.7936499637960384,0.00037132829144578307,96.39851900557397,COMPLETE
28,0.5591092705726624,2023-09-04 17:56:11.503196,2023-09-04 17:56:22.825265,0 days 00:00:11.322069,Tanh,Leaky,Sigmoid,,55,14,22.0,1.0,,0.00044676358960040965,3,431,0.594883861541391,5.68186291515926e-05,142.0799058294662,COMPLETE
29,0.4046339988708496,2023-09-04 17:56:22.825534,2023-09-04 17:56:24.585703,0 days 00:00:01.760169,ReLU,,,,48,5,,,,0.01844682942636094,1,408,0.4527364740466208,0.0006001794535900908,112.63997784176388,COMPLETE
30,0.317857950925827,2023-09-04 17:56:24.586117,2023-09-04 17:56:27.154698,0 days 00:00:02.568581,ReLU,Leaky,,,16,15,20.0,,,0.0057517701901439915,2,291,0.36555400163444873,0.0015899984857964094,262.6613765898205,COMPLETE
31,0.3501715660095215,2023-09-04 17:56:27.154959,2023-09-04 17:56:29.292959,0 days 00:00:02.138000,Leaky,Leaky,,,87,6,16.0,,,0.001633032490459804,2,358,0.7946531248306344,0.00034620317340505383,102.39265740778028,COMPLETE
32,0.3520672917366028,2023-09-04 17:56:29.293220,2023-09-04 17:56:30.330157,0 days 00:00:01.036937,Leaky,Leaky,,,94,12,16.0,,,0.0023490864802182413,2,380,0.6998385621439014,0.0005294498795366192,105.10007142184074,COMPLETE
33,0.4059899151325226,2023-09-04 17:56:30.330415,2023-09-04 17:56:33.017078,0 days 00:00:02.686663,Leaky,Tanh,,,60,3,14.0,,,0.004054866349443135,2,406,0.7988690108596513,0.0002023453302941558,135.2105115640043,COMPLETE
34,0.32255977392196655,2023-09-04 17:56:33.017338,2023-09-04 17:56:34.789307,0 days 00:00:01.771969,Leaky,Leaky,Tanh,,72,10,23.0,7.0,,0.0027457580766088053,3,360,0.6471144798247347,0.0008364140696214841,98.34027039377312,COMPLETE
35,0.473376989364624,2023-09-04 17:56:34.789601,2023-09-04 17:56:37.839740,0 days 00:00:03.050139,ReLU,Leaky,,,84,7,11.0,,,0.0010825663025381478,2,445,0.5557821059040876,0.0003517724860812615,192.6855442162716,COMPLETE
36,0.4792773425579071,2023-09-04 17:56:37.840013,2023-09-04 17:56:39.739761,0 days 00:00:01.899748,Tanh,,,,32,3,,,,0.005136817343051474,1,325,0.699391727410778,0.0014198046155311122,136.7251900434494,COMPLETE
37,0.33572492003440857,2023-09-04 17:56:39.740044,2023-09-04 17:56:40.949771,0 days 00:00:01.209727,Leaky,Leaky,,,100,16,17.0,,,0.008299719447961608,2,412,0.5039693334115454,0.0008325805316722861,99.6464445415296,COMPLETE
38,0.32453280687332153,2023-09-04 17:56:40.950027,2023-09-04 17:56:43.820744,0 days 00:00:02.870717,ReLU,Tanh,,,76,13,20.0,,,0.003174605529529505,2,479,0.5853470792699991,0.00014735446093234198,93.71701579307442,COMPLETE
39,0.31446945667266846,2023-09-04 17:56:43.821159,2023-09-04 17:56:46.359075,0 days 00:00:02.537916,ReLU,Leaky,ReLU,,42,18,19.0,14.0,,0.008294480161065553,3,388,0.7067732765979103,0.002423186758424785,102.6898675101144,COMPLETE
40,0.3379333019256592,2023-09-04 17:56:46.359437,2023-09-04 17:56:52.315091,0 days 00:00:05.955654,ReLU,Sigmoid,,,91,16,12.0,,,0.0020870716319761244,2,429,0.6231689721552768,0.0011606048901578881,93.24431810880962,COMPLETE
41,0.3324941396713257,2023-09-04 17:56:52.315348,2023-09-04 17:56:53.219602,0 days 00:00:00.904254,ReLU,Leaky,ReLU,,40,20,19.0,14.0,,0.00814219061329675,3,387,0.7117938555014296,0.0022689243813681405,92.86584437977184,COMPLETE
42,0.32178398966789246,2023-09-04 17:56:53.219873,2023-09-04 17:56:54.806655,0 days 00:00:01.586782,ReLU,Leaky,ReLU,,47,17,18.0,17.0,,0.013087280497465947,3,398,0.6967070517991147,0.005816966849721993,109.11146081012228,COMPLETE
43,0.3283543884754181,2023-09-04 17:56:54.806923,2023-09-04 17:56:56.981876,0 days 00:00:02.174953,ReLU,Leaky,ReLU,,19,18,20.0,10.0,,0.007271426468840329,3,338,0.7999324486925908,0.0033823472124482603,91.09800309401292,COMPLETE
44,0.3374517560005188,2023-09-04 17:56:56.982140,2023-09-04 17:57:00.451923,0 days 00:00:03.469783,ReLU,Leaky,,,33,14,16.0,,,0.0011233598589316203,2,368,0.540864106721537,0.0011901702714207107,114.12361602783203,COMPLETE
45,0.3102231025695801,2023-09-04 17:57:00.452216,2023-09-04 17:57:05.921522,0 days 00:00:05.469306,Sigmoid,Leaky,ReLU,,82,19,22.0,12.0,,0.002707792612202615,3,445,0.6680409151949606,0.001823615594291858,117.72097316709888,COMPLETE
46,0.6141189336776733,2023-09-04 17:57:05.921952,2023-09-04 17:57:09.339373,0 days 00:00:03.417421,Sigmoid,Sigmoid,,,69,21,22.0,,,0.002547275528016397,2,440,0.660993211392401,0.012460324626736586,139.4104528550978,COMPLETE
47,0.366078644990921,2023-09-04 17:57:09.339635,2023-09-04 17:57:11.971411,0 days 00:00:02.631776,Sigmoid,Tanh,ReLU,,80,19,23.0,5.0,,0.00501143774615964,3,494,0.46376277350873873,0.0007042950527241097,121.78033998277452,COMPLETE
48,0.42783477902412415,2023-09-04 17:57:11.971675,2023-09-04 17:57:16.716791,0 days 00:00:04.745116,Sigmoid,Leaky,,,84,15,9.0,,,0.0006989653903416937,2,305,0.563760421135134,0.0012817204762049796,110.50662208932346,COMPLETE
49,0.5987436175346375,2023-09-04 17:57:16.717051,2023-09-04 17:57:23.622678,0 days 00:00:06.905627,Sigmoid,Leaky,Sigmoid,,10,1,21.0,11.0,,0.001622689083343364,3,264,0.4897609663916887,0.0004410962413488246,210.18610642831536,COMPLETE
50,0.32845965027809143,2023-09-04 17:57:23.622947,2023-09-04 17:57:24.974577,0 days 00:00:01.351630,Tanh,Leaky,,,77,22,24.0,,,0.0036429198654894276,2,426,0.7458293881011168,0.000829037121887111,90.69285596211752,COMPLETE
51,0.3097432553768158,2023-09-04 17:57:24.974846,2023-09-04 17:57:26.717819,0 days 00:00:01.742973,ReLU,Leaky,ReLU,,58,18,19.0,15.0,,0.002679762005715554,3,451,0.6489359482309237,0.0020341178552890546,93.85957503318787,COMPLETE
52,0.3091215193271637,2023-09-04 17:57:26.718096,2023-09-04 17:57:28.322508,0 days 00:00:01.604412,Leaky,Leaky,ReLU,,58,19,17.0,16.0,,0.0022480446196645426,3,464,0.6215260268113633,0.0017921154779363035,95.76722628275553,COMPLETE
53,0.33943966031074524,2023-09-04 17:57:28.322779,2023-09-04 17:57:32.678153,0 days 00:00:04.355374,Sigmoid,Leaky,ReLU,,59,20,19.0,16.0,,0.0014021298606627854,3,471,0.6092736981471877,0.0016785287456149527,96.23059937300955,COMPLETE
54,0.3597366511821747,2023-09-04 17:57:32.678414,2023-09-04 17:57:37.693714,0 days 00:00:05.015300,ReLU,Sigmoid,ReLU,,51,19,17.0,19.0,,0.0008373882212480027,3,451,0.6465159461853629,0.004193199755832109,103.22014293931935,COMPLETE
55,0.3134583830833435,2023-09-04 17:57:37.693990,2023-09-04 17:57:38.437485,0 days 00:00:00.743495,ReLU,Leaky,ReLU,,69,16,18.0,12.0,,0.003687857768027667,3,480,0.5780304135560218,0.00180092895841339,96.50073062672334,COMPLETE
56,0.2986941337585449,2023-09-04 17:57:38.437763,2023-09-04 17:57:40.700385,0 days 00:00:02.262622,Leaky,ReLU,ReLU,Tanh,60,22,23.0,13.0,16.0,0.001785912332673504,4,455,0.5212369308760799,0.004394044593946802,94.5244384039016,COMPLETE
57,0.34945157170295715,2023-09-04 17:57:40.700698,2023-09-04 17:57:42.051943,0 days 00:00:01.351245,Leaky,ReLU,ReLU,Tanh,60,23,14.0,16.0,16.0,0.0018600232992928344,4,497,0.4147716291445838,0.00963959767089685,97.76095387473035,COMPLETE
58,0.32791152596473694,2023-09-04 17:57:42.052251,2023-09-04 17:57:43.988211,0 days 00:00:01.935960,Leaky,ReLU,ReLU,Tanh,52,17,23.0,20.0,16.0,0.0012271028954547924,4,234,0.5066528826592029,0.004361852255042909,91.26164095166703,COMPLETE
59,0.32409781217575073,2023-09-04 17:57:43.988514,2023-09-04 17:57:45.872601,0 days 00:00:01.884087,Leaky,ReLU,ReLU,ReLU,64,20,21.0,13.0,17.0,0.0019830532195604027,4,145,0.5260504996839495,0.0026825035250736913,112.06217605189273,COMPLETE
60,0.32024824619293213,2023-09-04 17:57:45.872906,2023-09-04 17:57:50.591441,0 days 00:00:04.718535,Leaky,ReLU,Tanh,Sigmoid,57,22,20.0,16.0,11.0,0.0005304529766628952,4,418,0.6125916130759455,0.0010493831677752094,151.9842040233123,COMPLETE
61,0.32812079787254333,2023-09-04 17:57:50.591746,2023-09-04 17:57:52.038997,0 days 00:00:01.447251,ReLU,ReLU,ReLU,,66,18,22.0,13.0,,0.0028094501094049376,3,444,0.6647257480146676,0.0020846988433158046,95.3624386703759,COMPLETE
62,0.3993537127971649,2023-09-04 17:57:52.039305,2023-09-04 17:57:55.303037,0 days 00:00:03.263732,Sigmoid,ReLU,ReLU,,72,19,23.0,12.0,,0.0011662578717259965,3,452,0.7390443964889897,0.0038121007177304043,169.6984470814198,COMPLETE
