number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.6114852428436279,2023-09-04 17:54:22.443452,2023-09-04 17:54:23.990896,0 days 00:00:01.547444,ReLU,Tanh,,,90,12,18.0,,,0.0004081579072772165,2,478,0.11791788565673055,0.004974347880128998,255.1440210082099,COMPLETE
1,0.3811904191970825,2023-09-04 17:54:23.991185,2023-09-04 17:54:24.976579,0 days 00:00:00.985394,Sigmoid,Tanh,Tanh,,74,20,8.0,17.0,,0.016739283458872038,3,159,0.32604383343059046,0.0001228935578692098,270.66288012993044,COMPLETE
2,0.5502845644950867,2023-09-04 17:54:24.976864,2023-09-04 17:54:26.639883,0 days 00:00:01.663019,Tanh,ReLU,,,34,15,4.0,,,0.002002123174690595,2,242,0.12210044925510735,0.017094976045352272,202.08125778072136,COMPLETE
3,0.6782511472702026,2023-09-04 17:54:26.640173,2023-09-04 17:54:26.808231,0 days 00:00:00.168058,ReLU,ReLU,ReLU,,72,12,10.0,4.0,,0.07613358030696019,3,72,0.1542242805880733,0.034653327818631854,382.13506753104076,COMPLETE
4,0.6120807528495789,2023-09-04 17:54:26.808516,2023-09-04 17:54:27.640642,0 days 00:00:00.832126,Sigmoid,,,,89,9,,,,0.001387075148008009,1,290,0.11153977639643001,0.006859228087818114,194.06884818241514,COMPLETE
5,0.4269324839115143,2023-09-04 17:54:27.640918,2023-09-04 17:54:27.912462,0 days 00:00:00.271544,Tanh,,,,65,22,,,,0.012311619127207218,1,87,0.15855715102228998,4.549724331789339e-05,132.25770923069544,COMPLETE
6,0.9488973617553711,2023-09-04 17:54:27.912732,2023-09-04 17:54:39.426413,0 days 00:00:11.513681,ReLU,Leaky,Sigmoid,,64,15,1.0,19.0,,1.5746223552442465e-05,3,337,0.4719741657385234,0.003769132445561445,105.02093881669313,COMPLETE
7,0.8064199686050415,2023-09-04 17:54:39.426903,2023-09-04 17:54:40.800686,0 days 00:00:01.373783,ReLU,Tanh,ReLU,Tanh,42,22,1.0,20.0,8.0,0.07253527898094646,4,465,0.25111990068494816,0.00967079494701214,174.68304290771485,COMPLETE
8,0.4063151478767395,2023-09-04 17:54:40.801160,2023-09-04 17:54:43.486094,0 days 00:00:02.684934,ReLU,Leaky,Sigmoid,Tanh,73,11,19.0,11.0,9.0,0.000908012254409891,4,420,0.3005155071477696,1.9626419729346624e-05,170.91702348442487,COMPLETE
9,0.6227127313613892,2023-09-04 17:54:43.486381,2023-09-04 17:54:45.088668,0 days 00:00:01.602287,Leaky,ReLU,Sigmoid,,80,19,15.0,17.0,,0.00013866096602156128,3,204,0.22486676511006137,0.002019539886105311,161.89047884473612,COMPLETE
10,0.7658282518386841,2023-09-04 17:54:45.088937,2023-09-04 17:54:47.161112,0 days 00:00:02.072175,Sigmoid,Sigmoid,Tanh,Sigmoid,48,1,9.0,11.0,24.0,0.008708930016802672,4,132,0.7931189900674976,0.0003008813902316024,344.47388763427733,COMPLETE
11,0.5706905126571655,2023-09-04 17:54:47.161400,2023-09-04 17:54:48.477956,0 days 00:00:01.316556,Sigmoid,Leaky,Leaky,Leaky,99,6,24.0,11.0,2.0,0.005629463038645328,4,371,0.35399401957839305,1.5148748638897165e-05,306.23666167677493,COMPLETE
12,0.3826455771923065,2023-09-04 17:54:48.478267,2023-09-04 17:54:59.414280,0 days 00:00:10.936013,Leaky,Tanh,Tanh,Tanh,10,16,21.0,6.0,14.0,0.00034908754493105345,4,187,0.3511372646030597,0.00014664459494436342,174.40052242407063,COMPLETE
13,0.49729621410369873,2023-09-04 17:54:59.414578,2023-09-04 17:55:09.846199,0 days 00:00:10.431621,Leaky,Tanh,Tanh,,13,18,8.0,2.0,,0.00026360751296553947,3,170,0.4450437402593561,0.00039307217765962226,184.77922094008503,COMPLETE
14,0.5135540962219238,2023-09-04 17:55:09.846469,2023-09-04 17:55:17.751802,0 days 00:00:07.905333,Leaky,Tanh,,,10,18,24.0,,,7.37356517529143e-05,2,150,0.36113243855623767,0.00010926931184497885,207.9581046549479,COMPLETE
15,0.41835641860961914,2023-09-04 17:55:17.752077,2023-09-04 17:55:18.655149,0 days 00:00:00.903072,Leaky,Tanh,Tanh,ReLU,26,24,13.0,15.0,20.0,0.023694349594374633,4,244,0.219090328712295,0.0009996803835022933,151.7162936898165,COMPLETE
16,0.39639347791671753,2023-09-04 17:55:18.655446,2023-09-04 17:55:21.923020,0 days 00:00:03.267574,Sigmoid,Sigmoid,Tanh,,56,16,6.0,24.0,,0.0035643137224283354,3,294,0.5099557198428645,0.00013344456928125934,465.9516371676796,COMPLETE
17,1.0166714191436768,2023-09-04 17:55:21.923305,2023-09-04 17:55:22.673232,0 days 00:00:00.749927,Leaky,Tanh,Tanh,Tanh,28,21,19.0,6.0,15.0,0.0009465135600291273,4,195,0.30051060176629224,0.08905729009875565,105.65388884367766,COMPLETE
18,0.4375602900981903,2023-09-04 17:55:22.673512,2023-09-04 17:55:23.480819,0 days 00:00:00.807307,Sigmoid,Tanh,Leaky,,54,8,15.0,7.0,,0.02322989312519033,3,112,0.19554586346301542,5.590508903952445e-05,137.81522377768715,COMPLETE
19,0.4179137349128723,2023-09-04 17:55:23.481106,2023-09-04 17:55:24.533969,0 days 00:00:01.052863,Tanh,Tanh,,,20,24,12.0,,,0.0032590968070598503,2,50,0.25995622885326275,0.0005009819498514987,181.3973602294922,COMPLETE
20,0.4840541481971741,2023-09-04 17:55:24.534236,2023-09-04 17:55:29.445618,0 days 00:00:04.911382,Sigmoid,Sigmoid,Tanh,ReLU,39,20,21.0,8.0,15.0,0.0005676248267784204,4,196,0.37888975493312177,0.00021560410531638681,216.73147030265963,COMPLETE
21,0.3969154953956604,2023-09-04 17:55:29.445925,2023-09-04 17:55:33.393989,0 days 00:00:03.948064,Sigmoid,Sigmoid,Tanh,,59,16,5.0,24.0,,0.003932618491831811,3,283,0.5513600230405618,0.00010268596894214681,162.96150675541213,COMPLETE
