number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,150.0556022320974,2023-09-04 19:27:27.964490,2023-09-04 19:27:30.852417,0 days 00:00:02.887927,Sigmoid,Tanh,Tanh,,73,16,18.0,18.0,,2.2827305036898024e-05,3,307,0.24581480655651555,0.0011638914620667883,0.8158289194107056,COMPLETE
1,233.19316061949118,2023-09-04 19:27:30.852726,2023-09-04 19:27:31.586436,0 days 00:00:00.733710,Tanh,,,,47,18,,,,0.004930465253458636,1,195,0.5511770884422128,0.03823039992674642,0.611799418926239,COMPLETE
2,102.36399522339556,2023-09-04 19:27:31.586705,2023-09-04 19:27:35.651384,0 days 00:00:04.064679,Sigmoid,Tanh,Sigmoid,Leaky,88,7,7.0,24.0,6.0,2.9598968100373795e-05,4,354,0.31224991658468054,0.0005177126514503925,0.9904698729515076,COMPLETE
3,225.37745414896213,2023-09-04 19:27:35.651708,2023-09-04 19:27:37.631573,0 days 00:00:01.979865,ReLU,Sigmoid,,,47,22,2.0,,,0.0031489293119808643,2,322,0.2543013940188214,0.01006403322394727,0.6038587689399719,COMPLETE
4,414.2379903793335,2023-09-04 19:27:37.631863,2023-09-04 19:27:38.125807,0 days 00:00:00.493944,Sigmoid,ReLU,Leaky,,83,8,9.0,17.0,,0.09075089759845362,3,254,0.4693293102230765,0.00018438311221596643,0.6179690361022949,COMPLETE
5,180.51083047532717,2023-09-04 19:27:38.126090,2023-09-04 19:27:42.866726,0 days 00:00:04.740636,ReLU,Sigmoid,,,98,14,5.0,,,0.0012065659239041539,2,451,0.26499456497330476,2.758453148396384e-05,0.41248366236686707,COMPLETE
6,225.69037034776477,2023-09-04 19:27:42.867207,2023-09-04 19:27:43.614429,0 days 00:00:00.747222,Tanh,,,,86,8,,,,0.050559897172434205,1,245,0.2498614480979302,0.0011993035393157126,0.5008013248443604,COMPLETE
7,926.5548389979771,2023-09-04 19:27:43.614901,2023-09-04 19:27:45.105286,0 days 00:00:01.490385,ReLU,Tanh,,,56,17,20.0,,,0.013753751562559985,2,136,0.3811377717462884,0.00010111691119412113,0.34557241201400757,COMPLETE
8,275.3818832923626,2023-09-04 19:27:45.105561,2023-09-04 19:27:47.733042,0 days 00:00:02.627481,Leaky,ReLU,,,14,20,15.0,,,0.03030014512105813,2,111,0.6564690100050101,0.003078160727747364,0.4325556755065918,COMPLETE
9,116.06241124990035,2023-09-04 19:27:47.733326,2023-09-04 19:27:49.640723,0 days 00:00:01.907397,Sigmoid,Leaky,,,67,6,11.0,,,9.911483996677528e-05,2,392,0.13441053028531338,5.216853315616653e-05,0.755778968334198,COMPLETE
10,255.99458612714494,2023-09-04 19:27:49.641022,2023-09-04 19:27:59.321572,0 days 00:00:09.680550,Leaky,Tanh,Sigmoid,Leaky,20,1,7.0,1.0,5.0,0.0001697339787205592,4,479,0.7121941186774009,1.024706441342047e-05,0.8344290256500244,COMPLETE
11,102.44766622601134,2023-09-04 19:27:59.322183,2023-09-04 19:28:01.932017,0 days 00:00:02.609834,Sigmoid,Leaky,Sigmoid,Leaky,69,6,12.0,24.0,18.0,1.0161263707531626e-05,4,396,0.1398675824781216,0.00019444689874715661,1.04346764087677,COMPLETE
12,102.42760049920334,2023-09-04 19:28:01.932321,2023-09-04 19:28:03.692413,0 days 00:00:01.760092,Sigmoid,Leaky,Sigmoid,Leaky,97,3,14.0,24.0,20.0,1.1311760872462589e-05,4,380,0.11628813783666159,0.00026724844176536543,0.9550085067749023,COMPLETE
13,123.01277475771697,2023-09-04 19:28:03.692701,2023-09-04 19:28:06.569649,0 days 00:00:02.876948,Sigmoid,Leaky,ReLU,ReLU,97,1,24.0,23.0,22.0,4.601988088391472e-05,4,368,0.18393381435281508,0.000404634441417906,0.8237313032150269,COMPLETE
14,246.97179867967063,2023-09-04 19:28:06.569951,2023-09-04 19:28:08.520158,0 days 00:00:01.950207,Sigmoid,Leaky,Sigmoid,,86,11,15.0,9.0,,1.0982270563601077e-05,3,347,0.10929207220706239,0.00047997285350448644,1.1298060417175293,COMPLETE
15,209.43603033953548,2023-09-04 19:28:08.520447,2023-09-04 19:28:11.079911,0 days 00:00:02.559464,Sigmoid,Tanh,Sigmoid,Leaky,99,4,3.0,24.0,8.0,0.00023247205400477177,4,446,0.34697203631597284,0.0025236736113160934,0.753452718257904,COMPLETE
16,112.61815157458557,2023-09-04 19:28:11.080222,2023-09-04 19:28:13.931316,0 days 00:00:02.851094,Sigmoid,Tanh,Sigmoid,Tanh,30,11,7.0,19.0,14.0,3.94222550550947e-05,4,201,0.17281811326050905,0.0003887199329594174,0.7994523644447327,COMPLETE
17,171.7415341419779,2023-09-04 19:28:13.931614,2023-09-04 19:28:14.579707,0 days 00:00:00.648093,Leaky,Leaky,Tanh,,79,4,15.0,12.0,,0.0005574438831863417,3,412,0.10271550425232755,9.44208304760592e-05,0.5797322988510132,COMPLETE
18,301.8583189766362,2023-09-04 19:28:14.580032,2023-09-04 19:28:15.134197,0 days 00:00:00.554165,Tanh,Sigmoid,ReLU,Sigmoid,56,9,9.0,19.0,1.0,7.839191088336631e-05,4,53,0.20085760534598815,0.009353535014262688,1.3997849225997925,COMPLETE
