number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
24,0.2111445665359497,2023-08-31 19:34:48.072037,2023-08-31 19:35:01.472090,0 days 00:00:13.400053,Leaky,Leaky,,,,8,13,24.0,,,,0.004702079476987836,2,60,0.5611483712672679,2.5610647597219563e-05,COMPLETE
25,0.20133113861083984,2023-08-31 19:35:01.472498,2023-08-31 19:35:12.133650,0 days 00:00:10.661152,Leaky,Sigmoid,,,,8,22,21.0,,,,0.02363816823381802,2,60,0.4425520324154195,6.877034108326078e-05,COMPLETE
26,0.2703479528427124,2023-08-31 19:35:12.134064,2023-08-31 19:35:25.230022,0 days 00:00:13.095958,Tanh,,,,,8,5,,,,,0.010921362639287998,1,100,0.6942732671393408,2.097552698333302e-05,COMPLETE
27,0.2084493637084961,2023-08-31 19:35:25.230289,2023-08-31 19:35:29.102642,0 days 00:00:03.872353,ReLU,Tanh,Sigmoid,,,8,19,16.0,24.0,,,0.003029657657493476,3,40,0.5628951446289511,0.00011225864035459142,COMPLETE
28,0.21258337795734406,2023-08-31 19:35:29.102900,2023-08-31 19:35:35.231491,0 days 00:00:06.128591,Sigmoid,Leaky,,,,10,10,17.0,,,,0.036283054955134585,2,80,0.6776695887586089,1.0225034343435794e-05,COMPLETE
29,0.21166490018367767,2023-08-31 19:35:35.231746,2023-08-31 19:35:36.296398,0 days 00:00:01.064652,Tanh,Leaky,Sigmoid,,,30,17,22.0,6.0,,,0.019982409995488414,3,40,0.48576155332162924,0.0003057280570199895,COMPLETE
30,1.0252039432525635,2023-08-31 19:35:36.296657,2023-08-31 19:36:51.016567,0 days 00:01:14.719910,Leaky,Leaky,ReLU,ReLU,Leaky,2,15,18.0,17.0,12.0,24.0,0.04535294164211173,5,60,0.5879167397143512,4.501969091960586e-05,COMPLETE
31,0.14982429146766663,2023-08-31 19:36:51.017031,2023-08-31 19:37:09.607814,0 days 00:00:18.590783,Leaky,Leaky,,,,8,19,24.0,,,,0.006210191778600869,2,60,0.7728240136509285,1.6860304400154684e-05,COMPLETE
32,0.1377491056919098,2023-08-31 19:37:09.608226,2023-08-31 19:37:28.676583,0 days 00:00:19.068357,Leaky,Leaky,,,,8,22,24.0,,,,0.008408192054571143,2,60,0.7905130168974177,2.1151043453003675e-05,COMPLETE
33,0.24214032292366028,2023-08-31 19:37:28.676993,2023-08-31 19:37:41.817327,0 days 00:00:13.140334,Leaky,,,,,8,23,,,,,0.012040699050971009,1,60,0.7251187572281452,2.4758638214362908e-05,COMPLETE
34,0.21147628128528595,2023-08-31 19:37:41.817729,2023-08-31 19:37:54.073865,0 days 00:00:12.256136,Leaky,Leaky,,,,12,22,22.0,,,,0.02657647436640142,2,60,0.7291535929903907,3.597565019670824e-05,COMPLETE
35,0.1968667358160019,2023-08-31 19:37:54.074300,2023-08-31 19:38:03.929711,0 days 00:00:09.855411,Leaky,Leaky,Tanh,,,16,18,21.0,1.0,,,0.008694433581243588,3,60,0.6215092802480432,2.0390114457254705e-05,COMPLETE
36,0.2007363736629486,2023-08-31 19:38:03.930159,2023-08-31 19:38:11.143958,0 days 00:00:07.213799,Leaky,Leaky,Sigmoid,,,30,23,24.0,6.0,,,0.017843388157125255,3,60,0.7860687085076922,4.1227345600377164e-05,COMPLETE
37,0.29886767268180847,2023-08-31 19:38:11.144392,2023-08-31 19:38:19.648526,0 days 00:00:08.504134,ReLU,,,,,8,22,,,,,0.004214137554975035,1,40,0.6939539910809376,1.788036069664115e-05,COMPLETE
38,0.2068876028060913,2023-08-31 19:38:19.648937,2023-08-31 19:39:13.280905,0 days 00:00:53.631968,Leaky,Tanh,ReLU,Sigmoid,,4,20,20.0,20.0,24.0,,0.0017566508144763527,4,80,0.5514287197702469,3.037618661872223e-05,COMPLETE
39,0.5384495854377747,2023-08-31 19:39:13.281365,2023-08-31 19:39:17.241121,0 days 00:00:03.959756,Sigmoid,,,,,8,2,,,,,0.09558445564001565,1,60,0.6234483911652486,8.494885377792554e-05,COMPLETE
40,0.19526661932468414,2023-08-31 19:39:17.241368,2023-08-31 19:39:27.065237,0 days 00:00:09.823869,Tanh,ReLU,,,,10,13,14.0,,,,0.0010558887858036217,2,60,0.7103864158797945,1.7201143234701277e-05,COMPLETE
41,0.20063132047653198,2023-08-31 19:39:27.065668,2023-08-31 19:39:33.616840,0 days 00:00:06.551172,Leaky,Leaky,,,,8,20,23.0,,,,0.00803093699838678,2,60,0.7722014121092684,1.0022420602615604e-05,COMPLETE
42,0.16675212979316711,2023-08-31 19:39:33.617093,2023-08-31 19:39:46.639673,0 days 00:00:13.022580,Leaky,Leaky,,,,8,24,24.0,,,,0.006184316043062263,2,60,0.7878527475501713,1.5271206526908412e-05,COMPLETE
43,0.19353464245796204,2023-08-31 19:39:46.639917,2023-08-31 19:39:52.733305,0 days 00:00:06.093388,Leaky,Leaky,Tanh,,,8,21,23.0,8.0,,,0.012278542238479642,3,60,0.6242297718941193,3.458439718901265e-05,COMPLETE
44,0.19249218702316284,2023-08-31 19:39:52.733571,2023-08-31 19:40:08.499136,0 days 00:00:15.765565,Leaky,ReLU,,,,2,18,20.0,,,,0.005273002287758809,2,60,0.5268015829819888,1.812223112210171e-05,COMPLETE
45,0.1537851095199585,2023-08-31 19:40:08.499394,2023-08-31 19:40:13.475923,0 days 00:00:04.976529,Leaky,Tanh,,,,16,21,23.0,,,,0.0028421732339985756,2,100,0.7045787595827248,5.055564963747618e-05,COMPLETE
46,0.1676209717988968,2023-08-31 19:40:13.476173,2023-08-31 19:40:18.739585,0 days 00:00:05.263412,Leaky,Tanh,Tanh,,,16,21,22.0,16.0,,,0.0023101363817072114,3,100,0.6079947989853155,4.8265856341082625e-05,COMPLETE
47,0.17528320848941803,2023-08-31 19:40:18.739847,2023-08-31 19:40:23.847951,0 days 00:00:05.108104,Leaky,Tanh,,,,16,23,21.0,,,,0.0037948583269784278,2,100,0.7205312315288372,6.175928642592069e-05,COMPLETE
48,0.3338930308818817,2023-08-31 19:40:23.848225,2023-08-31 19:40:27.403305,0 days 00:00:03.555080,ReLU,,,,,16,17,,,,,0.0018266347377964354,1,100,0.6556905856689589,3.027182277143339e-05,COMPLETE
49,0.28214162588119507,2023-08-31 19:40:27.403549,2023-08-31 19:40:39.657834,0 days 00:00:12.254285,Sigmoid,Tanh,,,,4,7,12.0,,,,0.001369367070681584,2,100,0.49835466730737504,1.715623627627037e-05,COMPLETE
50,0.17434364557266235,2023-08-31 19:40:39.658095,2023-08-31 19:40:45.925272,0 days 00:00:06.267177,Leaky,Tanh,Leaky,,,16,24,9.0,3.0,,,0.015548566480921403,3,100,0.7373021440540148,0.0001001683128783567,COMPLETE
51,0.1963580995798111,2023-08-31 19:40:45.925537,2023-08-31 19:40:52.255686,0 days 00:00:06.330149,Leaky,Sigmoid,,,,8,20,23.0,,,,0.00924827055739878,2,60,0.799573661852039,1.4688883845560083e-05,COMPLETE
52,0.19380269944667816,2023-08-31 19:40:52.255941,2023-08-31 19:40:57.081217,0 days 00:00:04.825276,Leaky,Leaky,,,,12,18,23.0,,,,0.006773006429531153,2,80,0.6652681451606298,2.570578572896393e-05,COMPLETE
53,0.1736505776643753,2023-08-31 19:40:57.081471,2023-08-31 19:41:02.805950,0 days 00:00:05.724479,Leaky,Leaky,,,,8,19,24.0,,,,0.00286501310263941,2,60,0.7307123673107786,1.3580316408153456e-05,COMPLETE
54,0.18743284046649933,2023-08-31 19:41:02.806201,2023-08-31 19:41:07.421357,0 days 00:00:04.615156,Leaky,ReLU,,,,8,21,19.0,,,,0.005057077954032889,2,60,0.578300840191202,3.8939547263113015e-05,COMPLETE
55,0.2745836079120636,2023-08-31 19:41:07.421612,2023-08-31 19:41:10.023151,0 days 00:00:02.601539,Leaky,,,,,8,15,,,,,0.013145387417750442,1,40,0.6494494449327357,1.3206123549751415e-05,COMPLETE
56,0.1530783623456955,2023-08-31 19:41:10.023402,2023-08-31 19:41:13.170663,0 days 00:00:03.147261,Tanh,Leaky,,,,16,11,23.0,,,,0.0036521046024791943,2,60,0.7455534070543743,2.3647648471972086e-05,COMPLETE
57,0.1784670650959015,2023-08-31 19:41:13.170922,2023-08-31 19:41:16.904768,0 days 00:00:03.733846,Tanh,Tanh,,,,16,11,21.0,,,,0.0035400596727698146,2,100,0.5310183525718732,2.3643392232582297e-05,COMPLETE
58,0.2786925137042999,2023-08-31 19:41:16.905029,2023-08-31 19:41:19.398149,0 days 00:00:02.493120,Tanh,Leaky,,,,16,10,23.0,,,,0.0007840406734865444,2,60,0.5840413481367783,5.4382773924939504e-05,COMPLETE
