number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
24,0.49494078755378723,2023-08-24 11:56:20.759011,2023-08-24 11:56:21.056122,0 days 00:00:00.297111,ReLU,,,,,8,20,,,,,0.0003180216159581706,1,40,0.5257173405222009,0.0013913426599945517,COMPLETE
25,0.23298296332359314,2023-08-24 11:56:21.056359,2023-08-24 11:56:21.519191,0 days 00:00:00.462832,ReLU,Tanh,,,,8,22,18.0,,,,0.0013439832453463532,2,40,0.698135488953482,0.02433833432504396,COMPLETE
26,0.3696526885032654,2023-08-24 11:56:21.519436,2023-08-24 11:56:22.341577,0 days 00:00:00.822141,Sigmoid,Tanh,Leaky,,,8,19,18.0,19.0,,,0.0002352368008573399,3,60,0.7118008984041096,0.02564165523132456,COMPLETE
27,0.30639874935150146,2023-08-24 11:56:22.341842,2023-08-24 11:56:22.703059,0 days 00:00:00.361217,Tanh,,,,,16,22,,,,,0.0010653879239327705,1,80,0.5670249393910972,0.02007858731002522,COMPLETE
28,0.23035229742527008,2023-08-24 11:56:22.703298,2023-08-24 11:56:23.780137,0 days 00:00:01.076839,Leaky,Tanh,,,,8,24,14.0,,,,0.005188760158083464,2,100,0.6554520851664801,0.0025572049692775614,COMPLETE
29,0.30293405055999756,2023-08-24 11:56:23.780397,2023-08-24 11:56:24.594053,0 days 00:00:00.813656,Leaky,Sigmoid,ReLU,,,12,6,15.0,9.0,,,0.0038825549930884226,3,100,0.5774270538724492,0.0025059306099216015,COMPLETE
30,0.2577841877937317,2023-08-24 11:56:24.594318,2023-08-24 11:56:27.120581,0 days 00:00:02.526263,Leaky,Leaky,,,,2,4,13.0,,,,0.004894312199195449,2,100,0.4174330011574245,0.00969028227110578,COMPLETE
31,0.26088809967041016,2023-08-24 11:56:27.120830,2023-08-24 11:56:28.296470,0 days 00:00:01.175640,Leaky,Tanh,,,,8,24,18.0,,,,0.0024051876626411976,2,100,0.709173736756818,0.006330424762688422,COMPLETE
32,0.25489532947540283,2023-08-24 11:56:28.296720,2023-08-24 11:56:29.273838,0 days 00:00:00.977118,Leaky,Tanh,Sigmoid,,,8,22,16.0,2.0,,,0.00592233096250672,3,100,0.49472747999046196,0.004294890576027433,COMPLETE
33,0.27826985716819763,2023-08-24 11:56:29.274102,2023-08-24 11:56:29.462779,0 days 00:00:00.188677,ReLU,,,,,30,20,,,,,0.0029786894438225335,1,60,0.6326993908341176,0.002126333748430151,COMPLETE
