number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
23,0.22225724160671234,2023-08-31 22:02:01.577322,2023-08-31 22:02:09.686446,0 days 00:00:08.109124,Tanh,Sigmoid,Leaky,Sigmoid,Sigmoid,10,11,10.0,5.0,1.0,1.0,0.0028552979908764904,5,80,0.5560100134652215,9.211675240913274e-05,COMPLETE
24,0.22453057765960693,2023-08-31 22:02:09.686745,2023-08-31 22:02:14.797414,0 days 00:00:05.110669,Tanh,Sigmoid,Leaky,ReLU,,12,19,16.0,5.0,12.0,,0.04692310350663681,4,80,0.4688488869914453,0.0002692518968798876,COMPLETE
25,0.2106177806854248,2023-08-31 22:02:14.797700,2023-08-31 22:02:21.438528,0 days 00:00:06.640828,Leaky,ReLU,Leaky,,,10,14,20.0,1.0,,,0.021694152675516044,3,80,0.6288822246485559,8.202525854262623e-05,COMPLETE
26,0.2048473358154297,2023-08-31 22:02:21.438804,2023-08-31 22:02:28.130188,0 days 00:00:06.691384,Tanh,Tanh,Sigmoid,Leaky,,10,7,13.0,10.0,16.0,,0.01503664549292071,4,80,0.5332067229109831,0.00024845689152420747,COMPLETE
27,0.2239314317703247,2023-08-31 22:02:28.130476,2023-08-31 22:02:38.665219,0 days 00:00:10.534743,Tanh,Sigmoid,Tanh,ReLU,ReLU,10,20,9.0,16.0,5.0,10.0,0.04215791979522759,5,80,0.7205139145002101,2.1420100236034372e-05,COMPLETE
28,0.16929756104946136,2023-08-31 22:02:38.665512,2023-08-31 22:02:47.553883,0 days 00:00:08.888371,Leaky,Sigmoid,ReLU,,,10,10,17.0,23.0,,,0.007793584034461385,3,80,0.7975972242114083,8.193736783585913e-05,COMPLETE
29,0.2987575829029083,2023-08-31 22:02:47.554156,2023-08-31 22:02:55.042126,0 days 00:00:07.487970,Leaky,Sigmoid,ReLU,,,12,2,22.0,23.0,,,0.00499553195175599,3,80,0.7942136221481767,9.261190997365305e-05,COMPLETE
30,0.24500776827335358,2023-08-31 22:02:55.042400,2023-08-31 22:03:10.157925,0 days 00:00:15.115525,Leaky,,,,,2,13,,,,,0.011663065107341686,1,60,0.6679001193239129,2.644207945138266e-05,COMPLETE
31,0.19227823615074158,2023-08-31 22:03:10.158183,2023-08-31 22:03:16.061586,0 days 00:00:05.903403,Leaky,Sigmoid,ReLU,,,10,10,17.0,24.0,,,0.023324393627840723,3,80,0.520233134403643,0.00019584825617757886,COMPLETE
32,0.19776564836502075,2023-08-31 22:03:16.061855,2023-08-31 22:03:21.700236,0 days 00:00:05.638381,Leaky,Sigmoid,ReLU,,,10,8,17.0,24.0,,,0.01811945559829181,3,80,0.5038119421632086,0.00015100387540776603,COMPLETE
33,0.199992835521698,2023-08-31 22:03:21.700504,2023-08-31 22:03:26.348585,0 days 00:00:04.648081,Leaky,ReLU,ReLU,,,10,10,18.0,23.0,,,0.009013842807801589,3,80,0.426353893719573,0.00020241507309772607,COMPLETE
34,0.9714846611022949,2023-08-31 22:03:26.348858,2023-08-31 22:03:48.793427,0 days 00:00:22.444569,Leaky,Sigmoid,ReLU,,,4,6,19.0,16.0,,,0.05561418743524451,3,100,0.6830320380492049,6.665123131874847e-05,COMPLETE
35,0.25012335181236267,2023-08-31 22:03:48.793709,2023-08-31 22:03:50.515768,0 days 00:00:01.722059,Leaky,Sigmoid,,,,30,23,16.0,,,,0.0007812398638158524,2,80,0.5076015356520875,0.0001283840226340718,COMPLETE
36,0.18533888459205627,2023-08-31 22:03:50.516026,2023-08-31 22:03:58.408250,0 days 00:00:07.892224,Leaky,Tanh,ReLU,Tanh,,10,9,12.0,18.0,24.0,,0.0035080028150681654,4,80,0.6014343048037977,2.676225271698573e-05,COMPLETE
37,0.1915307492017746,2023-08-31 22:03:58.408580,2023-08-31 22:04:05.777654,0 days 00:00:07.369074,Sigmoid,Tanh,ReLU,Tanh,,8,13,12.0,18.0,23.0,,0.002914393302638184,4,60,0.6068354265904443,2.9744484044808174e-05,COMPLETE
38,0.19280065596103668,2023-08-31 22:04:05.777941,2023-08-31 22:04:34.446282,0 days 00:00:28.668341,Leaky,Tanh,ReLU,Tanh,,4,7,4.0,21.0,19.0,,0.001977703983023133,4,100,0.7352902206390051,1.200448266733274e-05,COMPLETE
39,0.1631944477558136,2023-08-31 22:04:34.446584,2023-08-31 22:04:42.563758,0 days 00:00:08.117174,Leaky,Tanh,ReLU,Tanh,,10,9,9.0,11.0,24.0,,0.004079964084623679,4,80,0.6254061879388757,5.804517633739416e-05,COMPLETE
40,0.32238131761550903,2023-08-31 22:04:42.564039,2023-08-31 22:04:45.881588,0 days 00:00:03.317549,Sigmoid,Tanh,ReLU,Sigmoid,Sigmoid,30,8,5.0,11.0,16.0,16.0,0.001408812665525142,5,60,0.7959911075457858,6.755213198757058e-05,COMPLETE
41,0.1832837164402008,2023-08-31 22:04:45.881881,2023-08-31 22:04:53.849354,0 days 00:00:07.967473,Leaky,Tanh,ReLU,Tanh,,10,9,9.0,18.0,24.0,,0.0036332929590674645,4,80,0.6197906442408229,3.287450725477061e-05,COMPLETE
42,0.18085159361362457,2023-08-31 22:04:53.849651,2023-08-31 22:05:02.842436,0 days 00:00:08.992785,Leaky,Tanh,ReLU,Tanh,,10,11,8.0,11.0,21.0,,0.006953631797563346,4,80,0.6853198596845238,4.9155472618482584e-05,COMPLETE
43,0.1914670616388321,2023-08-31 22:05:02.842730,2023-08-31 22:05:11.784404,0 days 00:00:08.941674,Leaky,Tanh,ReLU,Tanh,,10,11,8.0,15.0,21.0,,0.004321488291997679,4,80,0.6893710038692021,1.013419250877465e-05,COMPLETE
44,0.1655813306570053,2023-08-31 22:05:11.784697,2023-08-31 22:05:20.039511,0 days 00:00:08.254814,Leaky,Tanh,ReLU,Tanh,,10,14,5.0,12.0,22.0,,0.0074326346591277095,4,80,0.640063137253872,5.2513408213283716e-05,COMPLETE
45,0.15643563866615295,2023-08-31 22:05:20.039796,2023-08-31 22:05:27.689904,0 days 00:00:07.650108,ReLU,Tanh,ReLU,,,10,21,5.0,14.0,,,0.006653939553950197,3,80,0.7292547153783686,1.9070763249781125e-05,COMPLETE
46,0.17141038179397583,2023-08-31 22:05:27.690173,2023-08-31 22:05:39.887580,0 days 00:00:12.197407,ReLU,Tanh,Sigmoid,,,8,22,1.0,14.0,,,0.009397076972139639,3,100,0.7516518935565786,1.7190340044700087e-05,COMPLETE
47,0.17673328518867493,2023-08-31 22:05:39.887859,2023-08-31 22:05:44.832105,0 days 00:00:04.944246,ReLU,Tanh,,,,10,21,4.0,,,,0.006207197128547303,2,80,0.5715681874909758,1.9101726674666142e-05,COMPLETE
48,0.15264099836349487,2023-08-31 22:05:44.832377,2023-08-31 22:05:48.064919,0 days 00:00:03.232542,ReLU,Tanh,Tanh,,,12,20,5.0,7.0,,,0.008890336362429556,3,40,0.725745831589239,0.00013527070541362367,COMPLETE
49,0.2293882519006729,2023-08-31 22:05:48.065194,2023-08-31 22:05:51.292872,0 days 00:00:03.227678,ReLU,Tanh,Tanh,,,12,15,3.0,7.0,,,0.0019061760039501678,3,40,0.7322819928497261,5.446539628492701e-05,COMPLETE
50,0.18226130306720734,2023-08-31 22:05:51.293155,2023-08-31 22:05:53.633204,0 days 00:00:02.340049,ReLU,Tanh,,,,12,23,6.0,,,,0.007164717921841677,2,40,0.6299217643742674,0.00011983503068917396,COMPLETE
51,0.19253723323345184,2023-08-31 22:05:53.633464,2023-08-31 22:05:57.146622,0 days 00:00:03.513158,ReLU,Tanh,Tanh,,,12,20,6.0,12.0,,,0.014216657135519457,3,40,0.7862818011631314,3.738667196148639e-05,COMPLETE
52,0.21953734755516052,2023-08-31 22:05:57.146893,2023-08-31 22:06:00.252836,0 days 00:00:03.105943,ReLU,Tanh,Tanh,,,12,18,2.0,3.0,,,0.009642501814672523,3,40,0.7085406699360508,0.00011436543113456602,COMPLETE
53,0.1840444952249527,2023-08-31 22:06:00.253105,2023-08-31 22:06:02.519974,0 days 00:00:02.266869,ReLU,Tanh,ReLU,,,16,21,5.0,7.0,,,0.004692990968817094,3,40,0.6563990373736729,7.85037194381918e-05,COMPLETE
54,0.21319466829299927,2023-08-31 22:06:02.520241,2023-08-31 22:06:16.517751,0 days 00:00:13.997510,ReLU,ReLU,Tanh,,,4,24,3.0,13.0,,,0.01579488394745662,3,80,0.5567130597510245,5.643746063634714e-05,COMPLETE
55,0.19653527438640594,2023-08-31 22:06:16.518028,2023-08-31 22:06:21.521171,0 days 00:00:05.003143,ReLU,Leaky,ReLU,,,10,19,6.0,9.0,,,0.005759392356732856,3,80,0.47538102494317197,0.00015654840229548453,COMPLETE
56,0.1821502149105072,2023-08-31 22:06:21.521435,2023-08-31 22:06:25.626203,0 days 00:00:04.104768,ReLU,Tanh,,,,10,16,2.0,,,,0.008305569934360432,2,60,0.6376352753513825,4.147177091249197e-05,COMPLETE
57,0.16299137473106384,2023-08-31 22:06:25.626471,2023-08-31 22:07:01.882732,0 days 00:00:36.256261,Sigmoid,Tanh,ReLU,,,2,22,8.0,3.0,,,0.004201286970956139,3,80,0.7291594224253543,1.705618900100713e-05,COMPLETE
58,0.15617765486240387,2023-08-31 22:07:01.883004,2023-08-31 22:07:25.459506,0 days 00:00:23.576502,Sigmoid,Tanh,ReLU,Tanh,,2,22,7.0,3.0,18.0,,0.0036710419597019805,4,40,0.7960351969881603,1.7514470049671257e-05,COMPLETE
59,0.18401700258255005,2023-08-31 22:07:25.459800,2023-08-31 22:07:47.166139,0 days 00:00:21.706339,Sigmoid,Tanh,ReLU,Tanh,,2,23,8.0,6.0,19.0,,0.004024204828234146,4,40,0.7318466780855952,1.3312949537968092e-05,COMPLETE
60,0.18778188526630402,2023-08-31 22:07:47.166422,2023-08-31 22:08:04.718288,0 days 00:00:17.551866,Sigmoid,Tanh,ReLU,Tanh,,2,22,5.0,4.0,20.0,,0.00246287125276639,4,40,0.5915432321187845,1.7636559641905367e-05,COMPLETE
61,0.14225512742996216,2023-08-31 22:08:04.718580,2023-08-31 22:08:28.288037,0 days 00:00:23.569457,Sigmoid,Tanh,ReLU,Tanh,,2,24,7.0,3.0,22.0,,0.0055207395923259055,4,40,0.7856497780788579,2.1795652889243985e-05,COMPLETE
