number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
24,0.31246474385261536,2023-08-31 22:59:50.719626,2023-08-31 23:00:01.579188,0 days 00:00:10.859562,Leaky,Leaky,,,,4,6,20.0,,,,0.016338406177325026,2,40,0.6769568175571509,0.0012615262359303755,COMPLETE
25,0.20151731371879578,2023-08-31 23:00:01.579441,2023-08-31 23:00:11.998397,0 days 00:00:10.418956,Leaky,Leaky,Tanh,,,4,13,19.0,16.0,,,0.002036559753516689,3,40,0.5458057371646686,0.00011993137350601762,COMPLETE
26,0.21681617200374603,2023-08-31 23:00:11.998671,2023-08-31 23:00:21.952291,0 days 00:00:09.953620,Leaky,Leaky,Tanh,,,4,15,19.0,17.0,,,0.0016685897248151463,3,40,0.5249380310924533,0.00046960098715163737,COMPLETE
27,0.21890346705913544,2023-08-31 23:00:21.952565,2023-08-31 23:00:27.482739,0 days 00:00:05.530174,Leaky,Leaky,Tanh,ReLU,,16,21,20.0,14.0,10.0,,0.0006662400595923069,4,100,0.41347565444314505,8.736311318976307e-05,COMPLETE
28,0.21664509177207947,2023-08-31 23:00:27.483015,2023-08-31 23:00:42.805048,0 days 00:00:15.322033,Leaky,Sigmoid,Tanh,,,4,13,17.0,19.0,,,0.0026253362330797467,3,60,0.5582613155075234,0.0009041201802141753,COMPLETE
29,0.7474330067634583,2023-08-31 23:00:42.805314,2023-08-31 23:00:45.832070,0 days 00:00:03.026756,Tanh,,,,,8,1,,,,,0.0017129292043111303,1,40,0.42486722006746047,2.8465214692531818e-05,COMPLETE
30,0.18452753126621246,2023-08-31 23:00:45.832506,2023-08-31 23:01:19.259362,0 days 00:00:33.426856,Leaky,Leaky,Leaky,,,4,12,22.0,8.0,,,0.0006179031761834779,3,100,0.7206570402819754,1.0060526968551346e-05,COMPLETE
31,0.21732032299041748,2023-08-31 23:01:19.259632,2023-08-31 23:01:51.250307,0 days 00:00:31.990675,Leaky,Leaky,Leaky,,,4,12,22.0,8.0,,,0.0007858283108223545,3,100,0.6932352367188415,1.2355773133859816e-05,COMPLETE
32,0.1479199379682541,2023-08-31 23:01:51.250576,2023-08-31 23:02:28.196811,0 days 00:00:36.946235,Leaky,Leaky,Leaky,,,4,13,19.0,12.0,,,0.003178281307203211,3,100,0.7962403258366588,2.585650110612985e-05,COMPLETE
33,0.1675737053155899,2023-08-31 23:02:28.197077,2023-08-31 23:03:09.826350,0 days 00:00:41.629273,Leaky,Leaky,Leaky,Tanh,,4,16,21.0,13.0,14.0,,0.0016139764948586443,4,100,0.7846420464077923,2.1560172932321824e-05,COMPLETE
