number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3016165494918823,2023-09-01 00:11:21.574357,2023-09-01 00:11:24.889969,0 days 00:00:03.315612,ReLU,,,,,8,21,,,,,4.740477642243415e-05,1,60,0.5445225442752252,0.0015691141095095095,COMPLETE
1,0.45411747694015503,2023-09-01 00:11:24.890257,2023-09-01 00:11:33.254522,0 days 00:00:08.364265,Tanh,ReLU,Sigmoid,Tanh,,4,3,5.0,23.0,23.0,,5.329448581158238e-05,4,80,0.27604899197436045,0.02088149654519613,COMPLETE
2,0.2847330570220947,2023-09-01 00:11:33.254812,2023-09-01 00:11:33.603686,0 days 00:00:00.348874,Tanh,,,,,30,24,,,,,0.008571724845746686,1,60,0.16539246741860017,2.190268831268439e-05,COMPLETE
3,0.30199146270751953,2023-09-01 00:11:33.603934,2023-09-01 00:11:36.453372,0 days 00:00:02.849438,ReLU,Leaky,Sigmoid,Tanh,,16,4,14.0,6.0,9.0,,0.01062512851435066,4,80,0.3522678686271825,0.002472206904243072,COMPLETE
4,0.26835906505584717,2023-09-01 00:11:36.453652,2023-09-01 00:11:41.209416,0 days 00:00:04.755764,ReLU,Sigmoid,ReLU,,,12,7,7.0,16.0,,,0.00022992213518261304,3,60,0.7156332372367931,0.015998693885657955,COMPLETE
5,0.2910332977771759,2023-09-01 00:11:41.209692,2023-09-01 00:11:43.463838,0 days 00:00:02.254146,Tanh,Leaky,Sigmoid,,,12,7,20.0,15.0,,,0.0006159093710224091,3,100,0.20060234043404832,1.6504506711404728e-05,COMPLETE
6,1.0041396617889404,2023-09-01 00:11:43.464117,2023-09-01 00:11:51.674294,0 days 00:00:08.210177,Sigmoid,ReLU,,,,4,21,2.0,,,,0.017864559449085604,2,80,0.39034589243763523,0.0007803953047546203,COMPLETE
7,0.33584803342819214,2023-09-01 00:11:51.674589,2023-09-01 00:11:55.917334,0 days 00:00:04.242745,Leaky,Sigmoid,,,,12,8,12.0,,,,0.03876723010104161,2,100,0.4740913126029977,0.03317700278262434,COMPLETE
8,0.3254517912864685,2023-09-01 00:11:55.917606,2023-09-01 00:11:57.168444,0 days 00:00:01.250838,ReLU,Sigmoid,Leaky,,,12,6,4.0,13.0,,,0.07106049824767968,3,80,0.13778406208562205,0.0026462580785200853,COMPLETE
9,0.3254542052745819,2023-09-01 00:11:57.168717,2023-09-01 00:11:58.795510,0 days 00:00:01.626793,Leaky,,,,,10,4,,,,,0.00024060533002728758,1,40,0.5006444572473694,1.5185285719932907e-05,COMPLETE
10,1.0165600776672363,2023-09-01 00:11:58.795763,2023-09-01 00:12:38.700748,0 days 00:00:39.904985,Sigmoid,Tanh,ReLU,Leaky,Tanh,2,13,10.0,22.0,3.0,5.0,1.0113220146344011e-05,5,60,0.7832399079305549,0.09691731651618327,COMPLETE
11,0.2984142005443573,2023-09-01 00:12:38.701040,2023-09-01 00:12:39.041119,0 days 00:00:00.340079,Tanh,Sigmoid,,,,30,13,22.0,,,,0.0033946912038307847,2,60,0.12207796644762559,0.00010809551895253387,COMPLETE
12,0.26612547039985657,2023-09-01 00:12:39.041381,2023-09-01 00:12:39.437512,0 days 00:00:00.396131,ReLU,,,,,30,17,,,,,0.003427836031043803,1,60,0.1896298586488001,0.00013054331864528708,COMPLETE
13,0.2583718001842499,2023-09-01 00:12:39.437747,2023-09-01 00:12:39.880464,0 days 00:00:00.442717,ReLU,Tanh,Tanh,ReLU,ReLU,30,16,7.0,2.0,23.0,24.0,0.002170742470097713,5,60,0.10101970551480158,0.0002526626960734196,COMPLETE
14,0.2686915695667267,2023-09-01 00:12:39.880753,2023-09-01 00:12:40.203312,0 days 00:00:00.322559,ReLU,Tanh,Tanh,ReLU,ReLU,30,17,17.0,1.0,24.0,24.0,0.0027121106292457603,5,40,0.10639152292186065,0.0002353890308022861,COMPLETE
15,0.312947541475296,2023-09-01 00:12:40.203618,2023-09-01 00:12:40.595875,0 days 00:00:00.392257,ReLU,Tanh,Tanh,ReLU,,30,16,8.0,6.0,16.0,,0.0021428396846449875,4,60,0.10160963226034393,8.423452962350837e-05,COMPLETE
16,0.355680912733078,2023-09-01 00:12:40.596175,2023-09-01 00:12:41.376703,0 days 00:00:00.780528,ReLU,Tanh,Tanh,Sigmoid,Sigmoid,30,16,1.0,1.0,16.0,24.0,0.0014385252325268476,5,60,0.18612440503304228,0.00041709894801819213,COMPLETE
17,0.22355952858924866,2023-09-01 00:12:41.377001,2023-09-01 00:12:42.404266,0 days 00:00:01.027265,ReLU,Tanh,,,,16,10,15.0,,,,0.005804175192698838,2,60,0.2348978912602839,8.322851549611232e-05,COMPLETE
18,0.22402310371398926,2023-09-01 00:12:42.404514,2023-09-01 00:12:44.208113,0 days 00:00:01.803599,Sigmoid,Tanh,,,,16,11,14.0,,,,0.0946401365460189,2,100,0.2501594830023212,4.1640912086231765e-05,COMPLETE
19,0.2052111178636551,2023-09-01 00:12:44.208365,2023-09-01 00:12:46.016628,0 days 00:00:01.808263,Sigmoid,Tanh,,,,16,10,16.0,,,,0.08362997170186083,2,100,0.2508673519525144,4.2490841157699586e-05,COMPLETE
20,0.20326894521713257,2023-09-01 00:12:46.016882,2023-09-01 00:12:47.687115,0 days 00:00:01.670233,Sigmoid,Tanh,,,,16,10,18.0,,,,0.031410494632620065,2,100,0.2336166277129824,4.4385543494545575e-05,COMPLETE
21,0.2290501743555069,2023-09-01 00:12:47.687369,2023-09-01 00:12:49.303170,0 days 00:00:01.615801,Sigmoid,Tanh,,,,16,10,17.0,,,,0.034010454106922855,2,100,0.22562911205367678,4.056810460768678e-05,COMPLETE
22,0.39010950922966003,2023-09-01 00:12:49.303432,2023-09-01 00:12:51.315512,0 days 00:00:02.012080,Sigmoid,Tanh,,,,16,1,18.0,,,,0.0229128592635657,2,100,0.2858388650010782,4.597306864959306e-05,COMPLETE
