number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
101,0.1803782880306244,2023-09-01 23:56:58.253308,2023-09-01 23:57:02.171491,0 days 00:00:03.918183,Leaky,ReLU,ReLU,Leaky,,,30,16,15.0,23.0,21.0,,,0.0026330095447753385,4,80,0.7656043516576395,0.0011531940361687,COMPLETE
102,0.13956505060195923,2023-09-01 23:57:02.171784,2023-09-01 23:57:11.351982,0 days 00:00:09.180198,Leaky,ReLU,ReLU,Leaky,,,10,12,15.0,24.0,23.0,,,0.0036374716929078663,4,80,0.6883361853140186,0.00041111802080785,COMPLETE
103,0.18966242671012878,2023-09-01 23:57:11.352279,2023-09-01 23:57:20.554612,0 days 00:00:09.202333,Leaky,ReLU,ReLU,Leaky,,,10,12,12.0,24.0,24.0,,,0.004302276804331822,4,80,0.6939659173871126,0.00040779937931592993,COMPLETE
104,0.18165446817874908,2023-09-01 23:57:20.554901,2023-09-01 23:57:26.309533,0 days 00:00:05.754632,Leaky,ReLU,ReLU,Leaky,,,16,12,18.0,22.0,23.0,,,0.0056748540226664755,4,80,0.6445876248939606,0.0002766244725235399,COMPLETE
105,0.18290570378303528,2023-09-01 23:57:26.309829,2023-09-01 23:57:38.195920,0 days 00:00:11.886091,Leaky,ReLU,Leaky,Sigmoid,ReLU,Sigmoid,10,11,13.0,24.0,18.0,9.0,2.0,0.0020517699121912264,6,80,0.7247581120926396,0.0009041855839183369,COMPLETE
106,0.20155926048755646,2023-09-01 23:57:38.196245,2023-09-01 23:57:46.968254,0 days 00:00:08.772009,Leaky,Sigmoid,Leaky,,,,8,19,17.0,19.0,,,,0.004737394328831522,3,80,0.6838005774766305,0.0003759089582444971,COMPLETE
107,0.15722347795963287,2023-09-01 23:57:46.968551,2023-09-01 23:57:50.088607,0 days 00:00:03.120056,Leaky,Leaky,Sigmoid,,,,30,12,16.0,14.0,,,,0.002651865934785398,3,80,0.7896483531966266,0.0005681483330531385,COMPLETE
108,0.1617543250322342,2023-09-01 23:57:50.088898,2023-09-01 23:57:54.316933,0 days 00:00:04.228035,Leaky,Leaky,ReLU,Leaky,Tanh,,30,13,16.0,14.0,23.0,5.0,,0.00298390766206286,5,80,0.7997842213076473,0.0005010427262326336,COMPLETE
109,0.2859525978565216,2023-09-01 23:57:54.317246,2023-09-01 23:57:56.041496,0 days 00:00:01.724250,Sigmoid,Leaky,Sigmoid,Leaky,,,30,11,24.0,17.0,21.0,,,0.003720231117847235,4,40,0.7359401392509142,0.002439467553386952,COMPLETE
110,0.18626047670841217,2023-09-01 23:57:56.041792,2023-09-01 23:57:59.070625,0 days 00:00:03.028833,ReLU,ReLU,Sigmoid,,,,30,14,14.0,2.0,,,,0.006925956641140099,3,80,0.7679525899220913,0.0007721413987610831,COMPLETE
111,0.22654315829277039,2023-09-01 23:57:59.070910,2023-09-01 23:58:01.846454,0 days 00:00:02.775544,Leaky,Leaky,Sigmoid,,,,30,12,15.0,18.0,,,,0.0023508453998293275,3,80,0.7049310988213043,0.0005453500336786616,COMPLETE
112,0.1682814359664917,2023-09-01 23:58:01.846752,2023-09-01 23:58:10.330642,0 days 00:00:08.483890,Leaky,Leaky,Sigmoid,,,,8,12,16.0,20.0,,,,0.0027156386707956975,3,80,0.6676060056521319,0.00029048385380905115,COMPLETE
113,0.16795970499515533,2023-09-01 23:58:10.330941,2023-09-01 23:58:18.220816,0 days 00:00:07.889875,Leaky,Leaky,Leaky,,,,10,13,14.0,13.0,,,,0.0014567599705440355,3,80,0.7761158458181072,0.000399769266515776,COMPLETE
114,0.19394223392009735,2023-09-01 23:58:18.221106,2023-09-01 23:58:27.606858,0 days 00:00:09.385752,Leaky,Leaky,Leaky,,,,8,11,17.0,16.0,,,,0.0018192577180843612,3,80,0.7411071283165053,0.0009037046037575244,COMPLETE
115,0.1687038540840149,2023-09-01 23:58:27.607155,2023-09-01 23:58:35.361591,0 days 00:00:07.754436,Leaky,Leaky,Leaky,Tanh,,,10,10,15.0,21.0,11.0,,,0.005546255083385581,4,80,0.6322216997783795,0.0006289868947826702,COMPLETE
116,0.18474166095256805,2023-09-01 23:58:35.361890,2023-09-01 23:59:09.636702,0 days 00:00:34.274812,Leaky,Leaky,Sigmoid,,,,2,18,21.0,15.0,,,,0.004506965667693359,3,80,0.7025047823094459,0.0004319037931372828,COMPLETE
117,0.2617414593696594,2023-09-01 23:59:09.636991,2023-09-01 23:59:21.869014,0 days 00:00:12.232023,Leaky,Leaky,Leaky,ReLU,,,8,1,13.0,18.0,16.0,,,0.0027506181164451663,4,80,0.7980974961818342,0.0013971517725213402,COMPLETE
118,0.18912473320960999,2023-09-01 23:59:21.869318,2023-09-01 23:59:26.557883,0 days 00:00:04.688565,Leaky,Tanh,,,,,10,12,18.0,,,,,0.003918379401538687,2,60,0.7372630039240776,0.0003168197143465243,COMPLETE
119,0.1837904006242752,2023-09-01 23:59:26.558163,2023-09-01 23:59:35.176898,0 days 00:00:08.618735,Leaky,Leaky,ReLU,,,,8,11,19.0,17.0,,,,0.0009828282841323195,3,80,0.6625846628363858,0.0005460628483917729,COMPLETE
120,0.15423254668712616,2023-09-01 23:59:35.177189,2023-09-01 23:59:39.101459,0 days 00:00:03.924270,Leaky,ReLU,Leaky,Leaky,,,30,17,20.0,20.0,19.0,,,0.0033476216630505653,4,80,0.7992527348772341,0.0018610726636243003,COMPLETE
121,0.1544319987297058,2023-09-01 23:59:39.101760,2023-09-01 23:59:42.765849,0 days 00:00:03.664089,Leaky,ReLU,Leaky,Leaky,,,30,17,20.0,19.0,23.0,,,0.003372220909576798,4,80,0.7637134859084768,0.0017576758475645418,COMPLETE
122,0.16441494226455688,2023-09-01 23:59:42.766147,2023-09-01 23:59:46.797873,0 days 00:00:04.031726,Leaky,ReLU,Leaky,Leaky,,,30,17,20.0,19.0,23.0,,,0.003490431872262893,4,80,0.7963449008480651,0.001861548422998131,COMPLETE
123,0.1646166741847992,2023-09-01 23:59:46.798171,2023-09-01 23:59:50.888389,0 days 00:00:04.090218,Leaky,ReLU,Leaky,Leaky,,,30,19,19.0,21.0,21.0,,,0.004752935297413221,4,80,0.7610613829985647,0.0025217865784390135,COMPLETE
124,0.16345886886119843,2023-09-01 23:59:50.888686,2023-09-01 23:59:54.737721,0 days 00:00:03.849035,Leaky,ReLU,Leaky,Leaky,,,30,16,20.0,22.0,24.0,,,0.0034019330218996043,4,80,0.7286172241223519,0.003100588866645299,COMPLETE
125,0.14934007823467255,2023-09-01 23:59:54.738019,2023-09-01 23:59:58.529654,0 days 00:00:03.791635,Leaky,ReLU,Leaky,Leaky,,,30,17,23.0,20.0,22.0,,,0.007066957490040413,4,80,0.6947897819089831,0.0018362871377918194,COMPLETE
126,0.16238686442375183,2023-09-01 23:59:58.529949,2023-09-02 00:00:02.059367,0 days 00:00:03.529418,Leaky,ReLU,Leaky,Leaky,,,30,17,21.0,20.0,19.0,,,0.009945954402484936,4,80,0.6780662460680592,0.0019020660715681535,COMPLETE
127,0.1761409491300583,2023-09-02 00:00:02.059664,2023-09-02 00:00:06.114947,0 days 00:00:04.055283,Leaky,ReLU,Leaky,Leaky,,,30,16,22.0,23.0,23.0,,,0.00663354451652558,4,80,0.7104645897236426,0.0037811218739032364,COMPLETE
128,0.17674700915813446,2023-09-02 00:00:06.115252,2023-09-02 00:00:09.398276,0 days 00:00:03.283024,Leaky,ReLU,Leaky,Sigmoid,,,30,17,20.0,24.0,21.0,,,0.01212721888011057,4,80,0.6171776577532835,0.001120902497436666,COMPLETE
129,0.19429519772529602,2023-09-02 00:00:09.398593,2023-09-02 00:00:13.160682,0 days 00:00:03.762089,Sigmoid,ReLU,Leaky,ReLU,,,30,10,23.0,11.0,19.0,,,0.00796919356031523,4,80,0.7434627921370317,0.001640434820049962,COMPLETE
130,0.20228108763694763,2023-09-02 00:00:13.161004,2023-09-02 00:00:14.318999,0 days 00:00:01.157995,Leaky,ReLU,,,,,30,15,18.0,,,,,0.002321474772769606,2,40,0.6894179480248878,0.0030388937797304516,COMPLETE
131,0.1668889969587326,2023-09-02 00:00:14.319292,2023-09-02 00:00:18.254477,0 days 00:00:03.935185,Leaky,ReLU,Leaky,Leaky,,,30,18,23.0,19.0,22.0,,,0.005664276014138296,4,80,0.7571671534196605,0.0021241146907603867,COMPLETE
132,0.16740304231643677,2023-09-02 00:00:18.254782,2023-09-02 00:00:23.365246,0 days 00:00:05.110464,Leaky,ReLU,ReLU,Leaky,Sigmoid,,30,18,24.0,20.0,23.0,14.0,,0.004021363109672142,5,80,0.7718575574356128,0.0013876599026878755,COMPLETE
133,0.17316289246082306,2023-09-02 00:00:23.365551,2023-09-02 00:00:33.770369,0 days 00:00:10.404818,Leaky,ReLU,Leaky,Leaky,,,10,19,23.0,18.0,24.0,,,0.002942179331611672,4,80,0.7944211420201573,0.0016737969886821947,COMPLETE
134,0.17352013289928436,2023-09-02 00:00:33.770670,2023-09-02 00:00:37.129081,0 days 00:00:03.358411,Leaky,ReLU,ReLU,Leaky,,,30,20,19.0,5.0,21.0,,,0.0015462189008468566,4,80,0.7186386149377276,0.0012269060957433835,COMPLETE
135,0.16975852847099304,2023-09-02 00:00:37.129378,2023-09-02 00:00:43.545224,0 days 00:00:06.415846,Leaky,Tanh,Leaky,Tanh,,,16,17,21.0,21.0,22.0,,,0.005052132558831733,4,80,0.7992941107800677,0.0008134544929181398,COMPLETE
136,0.22372332215309143,2023-09-02 00:00:43.545520,2023-09-02 00:00:48.446404,0 days 00:00:04.900884,ReLU,Sigmoid,Sigmoid,Leaky,,,10,18,22.0,19.0,20.0,,,0.0035006197339711976,4,80,0.3912940521660204,0.0020111074159785613,COMPLETE
137,0.20602981746196747,2023-09-02 00:00:48.446708,2023-09-02 00:00:51.787752,0 days 00:00:03.341044,Leaky,ReLU,ReLU,Leaky,,,30,17,24.0,22.0,23.0,,,0.0019529632839237014,4,80,0.6473806272793791,0.0010354860726379497,COMPLETE
138,0.21782580018043518,2023-09-02 00:00:51.788051,2023-09-02 00:00:58.095035,0 days 00:00:06.306984,Leaky,Tanh,,,,,10,14,17.0,,,,,0.002657978141433231,2,80,0.7431519303968659,0.004292571052111168,COMPLETE
139,0.1986839473247528,2023-09-02 00:00:58.095321,2023-09-02 00:01:38.399462,0 days 00:00:40.304141,Leaky,ReLU,Leaky,Leaky,,,2,13,16.0,17.0,24.0,,,0.00620725112416712,4,80,0.6798778495947793,0.0015522379317594209,COMPLETE
140,0.17378082871437073,2023-09-02 00:01:38.399786,2023-09-02 00:01:45.973270,0 days 00:00:07.573484,Leaky,Leaky,ReLU,Leaky,,,10,16,19.0,20.0,17.0,,,0.004271735182327669,4,60,0.7628822689472027,0.0009960008480715606,COMPLETE
141,0.1690339297056198,2023-09-02 00:01:45.973569,2023-09-02 00:01:55.031239,0 days 00:00:09.057670,Leaky,Leaky,Leaky,,,,8,12,15.0,18.0,,,,0.002163225371185226,3,80,0.7149075773691208,0.0007609379444312535,COMPLETE
142,0.19298213720321655,2023-09-02 00:01:55.031536,2023-09-02 00:02:03.866869,0 days 00:00:08.835333,Leaky,Leaky,Leaky,,,,8,11,18.0,19.0,,,,0.0017231870080586156,3,80,0.6930710311650154,0.0006518421910620753,COMPLETE
143,0.20335586369037628,2023-09-02 00:02:03.867170,2023-09-02 00:02:08.508751,0 days 00:00:04.641581,Leaky,Leaky,Leaky,,,,8,13,14.0,18.0,,,,0.0031656370272123246,3,80,0.3645029987826029,0.0004521302716024908,COMPLETE
144,0.19483159482479095,2023-09-02 00:02:08.509074,2023-09-02 00:02:15.288278,0 days 00:00:06.779204,Leaky,Leaky,,,,,8,12,23.0,,,,,0.0012597097683913002,2,80,0.6530701904768343,0.0005286101249009679,COMPLETE
145,0.19439296424388885,2023-09-02 00:02:15.288559,2023-09-02 00:02:17.596068,0 days 00:00:02.307509,Leaky,Leaky,Leaky,,,,30,10,16.0,16.0,,,,0.0025114341649896386,3,80,0.587642329099322,0.0003541156940077384,COMPLETE
146,0.1967792809009552,2023-09-02 00:02:17.596354,2023-09-02 00:02:28.845373,0 days 00:00:11.249019,Leaky,Leaky,Leaky,Sigmoid,,,8,11,15.0,19.0,8.0,,,0.007606928488735051,4,80,0.7320328944386756,0.002438786352812297,COMPLETE
147,0.16500124335289001,2023-09-02 00:02:28.845678,2023-09-02 00:02:37.224482,0 days 00:00:08.378804,Leaky,Tanh,ReLU,,,,10,19,24.0,17.0,,,,0.002035092157416229,3,80,0.7698484713920646,0.0013457892300114962,COMPLETE
148,0.16608840227127075,2023-09-02 00:02:37.224774,2023-09-02 00:02:40.316894,0 days 00:00:03.092120,Leaky,ReLU,Leaky,ReLU,,,30,12,20.0,18.0,22.0,,,0.0035617949446712554,4,80,0.6182357117155188,0.0006817711562706686,COMPLETE
149,0.1833638846874237,2023-09-02 00:02:40.317189,2023-09-02 00:02:47.623052,0 days 00:00:07.305863,Leaky,Leaky,,,,,8,17,21.0,,,,,0.0048844111488681955,2,80,0.7024565253323449,0.00024385656770544532,COMPLETE
150,0.13360503315925598,2023-09-02 00:02:47.623340,2023-09-02 00:02:55.833783,0 days 00:00:08.210443,Leaky,Leaky,ReLU,,,,10,21,13.0,20.0,,,,0.002881254514162456,3,80,0.7693691452095913,0.0009033318082914872,COMPLETE
151,0.20051032304763794,2023-09-02 00:02:55.834077,2023-09-02 00:03:04.170086,0 days 00:00:08.336009,Leaky,Leaky,ReLU,,,,10,22,13.0,20.0,,,,0.0029598830886470645,3,80,0.772746337373145,0.0008550264696110406,COMPLETE
152,0.20127160847187042,2023-09-02 00:03:04.170380,2023-09-02 00:03:12.097017,0 days 00:00:07.926637,Leaky,Leaky,ReLU,,,,10,12,14.0,21.0,,,,0.0014217895120885516,3,80,0.7404921234846393,0.0011621065113072422,COMPLETE
153,0.17759723961353302,2023-09-02 00:03:12.097303,2023-09-02 00:03:20.679151,0 days 00:00:08.581848,Leaky,Leaky,ReLU,,,,10,22,12.0,23.0,,,,0.004118016982244973,3,80,0.795437025841981,0.0005816470994634928,COMPLETE
154,0.1698051393032074,2023-09-02 00:03:20.679436,2023-09-02 00:03:27.734295,0 days 00:00:07.054859,Leaky,Leaky,ReLU,,,,10,13,13.0,19.0,,,,0.002369212861424578,3,80,0.6675860096323459,0.00043616635084696784,COMPLETE
155,0.1670169234275818,2023-09-02 00:03:27.734597,2023-09-02 00:03:36.577650,0 days 00:00:08.843053,Leaky,Leaky,Sigmoid,Leaky,,,10,20,15.0,20.0,20.0,,,0.003026618013064009,4,80,0.7195457077408528,0.0019493493755968012,COMPLETE
156,0.1794654279947281,2023-09-02 00:03:36.577948,2023-09-02 00:03:41.922776,0 days 00:00:05.344828,Leaky,ReLU,ReLU,,,,16,21,14.0,18.0,,,,0.0017376298952833861,3,80,0.7637389322855156,0.0009738868080998775,COMPLETE
157,0.21681836247444153,2023-09-02 00:03:41.923064,2023-09-02 00:03:47.226377,0 days 00:00:05.303313,Sigmoid,Sigmoid,Leaky,Tanh,,,8,18,11.0,17.0,19.0,,,0.005868996771413901,4,40,0.691117472517938,0.0007043287393044663,COMPLETE
158,0.18412262201309204,2023-09-02 00:03:47.226675,2023-09-02 00:03:49.867004,0 days 00:00:02.640329,Leaky,Leaky,,,,,30,15,22.0,,,,,0.003664365634001575,2,80,0.7999944039299014,0.0014993371422783652,COMPLETE
159,0.15517161786556244,2023-09-02 00:03:49.867288,2023-09-02 00:04:08.438416,0 days 00:00:18.571128,Leaky,Tanh,ReLU,,,,4,16,19.0,21.0,,,,0.002591691484165337,3,80,0.7390521151918741,0.00019012939554574772,COMPLETE
160,0.17948393523693085,2023-09-02 00:04:08.438702,2023-09-02 00:04:27.269979,0 days 00:00:18.831277,ReLU,Tanh,ReLU,,,,4,16,18.0,22.0,,,,0.004509111908468451,3,80,0.7383064002703773,0.0003195336682405316,COMPLETE
161,0.15599332749843597,2023-09-02 00:04:27.270270,2023-09-02 00:04:46.541359,0 days 00:00:19.271089,Leaky,Tanh,ReLU,,,,4,16,19.0,21.0,,,,0.002314469570511655,3,80,0.7557183987475925,0.00017752817647998843,COMPLETE
162,0.15622778236865997,2023-09-02 00:04:46.541655,2023-09-02 00:05:06.017033,0 days 00:00:19.475378,Leaky,Tanh,ReLU,,,,4,16,19.0,21.0,,,,0.0025126013719867493,3,80,0.7632730705853933,0.00013714627908302358,COMPLETE
163,0.16345731914043427,2023-09-02 00:05:06.017325,2023-09-02 00:05:24.982088,0 days 00:00:18.964763,Leaky,Tanh,ReLU,,,,4,15,19.0,21.0,,,,0.002536576216606544,3,80,0.7446927777417928,0.0001606007801637824,COMPLETE
164,0.15015487372875214,2023-09-02 00:05:24.982387,2023-09-02 00:05:43.102499,0 days 00:00:18.120112,Leaky,Tanh,ReLU,,,,4,16,19.0,22.0,,,,0.0021651580149184167,3,80,0.706972085431347,0.00018509093427921192,COMPLETE
165,0.22724278271198273,2023-09-02 00:05:43.102794,2023-09-02 00:05:49.365883,0 days 00:00:06.263089,Leaky,Tanh,ReLU,,,,4,16,20.0,22.0,,,,0.001796689019570855,3,80,0.23982331682691999,0.00013996984951914396,COMPLETE
166,0.18084816634655,2023-09-02 00:05:49.366177,2023-09-02 00:06:07.324700,0 days 00:00:17.958523,Leaky,Tanh,ReLU,,,,4,16,19.0,23.0,,,,0.0020825261082392226,3,80,0.700415823948738,0.00018772192468944284,COMPLETE
167,0.20888014137744904,2023-09-02 00:06:07.324998,2023-09-02 00:06:18.437669,0 days 00:00:11.112671,Leaky,Tanh,ReLU,,,,4,23,20.0,21.0,,,,0.0010721008651793258,3,80,0.43819543385853993,0.00010733526503789906,COMPLETE
168,0.17450734972953796,2023-09-02 00:06:18.437960,2023-09-02 00:06:35.843174,0 days 00:00:17.405214,Leaky,Tanh,ReLU,,,,4,16,19.0,20.0,,,,0.0025928829090055418,3,80,0.6777268168270338,0.00024745885200595373,COMPLETE
169,0.15380121767520905,2023-09-02 00:06:35.843475,2023-09-02 00:06:54.243021,0 days 00:00:18.399546,Leaky,Tanh,ReLU,,,,4,17,20.0,21.0,,,,0.001604003841575286,3,80,0.7222689283190071,0.0001351810539770036,COMPLETE
170,0.1904395967721939,2023-09-02 00:06:54.243321,2023-09-02 00:07:10.710626,0 days 00:00:16.467305,Leaky,Tanh,ReLU,,,,4,17,21.0,22.0,,,,0.0013087755514566322,3,80,0.6422263994190781,0.00016701898585746796,COMPLETE
171,0.16457709670066833,2023-09-02 00:07:10.710917,2023-09-02 00:07:29.019616,0 days 00:00:18.308699,Leaky,Tanh,ReLU,,,,4,17,20.0,21.0,,,,0.001544049433178897,3,80,0.7176225702302185,0.00012913370843738455,COMPLETE
172,0.14880262315273285,2023-09-02 00:07:29.019909,2023-09-02 00:07:48.536107,0 days 00:00:19.516198,Leaky,Tanh,ReLU,,,,4,16,19.0,22.0,,,,0.00225589389347489,3,80,0.7536971213301922,0.00019688634885790048,COMPLETE
173,0.1851372867822647,2023-09-02 00:07:48.536397,2023-09-02 00:08:07.729671,0 days 00:00:19.193274,Leaky,Tanh,ReLU,,,,4,15,19.0,22.0,,,,0.0021465423365773814,3,80,0.7442903111773549,0.0001962502689097969,COMPLETE
174,0.17580927908420563,2023-09-02 00:08:07.729973,2023-09-02 00:08:25.884649,0 days 00:00:18.154676,Leaky,Tanh,ReLU,,,,4,17,18.0,23.0,,,,0.00176096367736208,3,80,0.7109751224721484,9.389475066743561e-05,COMPLETE
175,0.14400705695152283,2023-09-02 00:08:25.884952,2023-09-02 00:08:45.480821,0 days 00:00:19.595869,Leaky,Tanh,ReLU,,,,4,16,19.0,21.0,,,,0.0030951212705330284,3,80,0.7615979113384402,0.00016239912362217025,COMPLETE
176,0.1695646494626999,2023-09-02 00:08:45.481112,2023-09-02 00:08:58.416655,0 days 00:00:12.935543,Leaky,Tanh,ReLU,,,,4,16,20.0,24.0,,,,0.003121913449080875,3,60,0.6697752818571291,0.0001688295244333521,COMPLETE
177,0.1912223845720291,2023-09-02 00:08:58.416948,2023-09-02 00:09:11.978238,0 days 00:00:13.561290,Leaky,Tanh,ReLU,,,,4,15,18.0,20.0,,,,0.0014336112153749013,3,80,0.5277536650125315,0.00022252531079924794,COMPLETE
178,0.1567874252796173,2023-09-02 00:09:11.978531,2023-09-02 00:09:30.686801,0 days 00:00:18.708270,Leaky,Tanh,ReLU,,,,4,17,19.0,22.0,,,,0.003337470760019365,3,80,0.7262819678851443,0.0002755489799943455,COMPLETE
179,0.1634185016155243,2023-09-02 00:09:30.687096,2023-09-02 00:09:48.468503,0 days 00:00:17.781407,Leaky,Tanh,ReLU,,,,4,16,20.0,21.0,,,,0.000855657872661191,3,80,0.6967728875725097,0.00015186260596200402,COMPLETE
180,0.17797961831092834,2023-09-02 00:09:48.468802,2023-09-02 00:10:07.944624,0 days 00:00:19.475822,Leaky,Tanh,ReLU,,,,4,17,20.0,24.0,,,,0.002065416165873601,3,80,0.7635287132687988,7.211805740515373e-05,COMPLETE
181,0.1785959005355835,2023-09-02 00:10:07.944924,2023-09-02 00:10:27.413565,0 days 00:00:19.468641,Leaky,Tanh,ReLU,,,,4,16,19.0,21.0,,,,0.002393666943796199,3,80,0.7606713163178144,0.00019828908315897427,COMPLETE
182,0.15779121220111847,2023-09-02 00:10:27.413858,2023-09-02 00:10:46.112690,0 days 00:00:18.698832,Leaky,Tanh,ReLU,,,,4,16,19.0,20.0,,,,0.002879388238238239,3,80,0.7335662408359519,0.00012458096714204308,COMPLETE
183,0.15911313891410828,2023-09-02 00:10:46.112980,2023-09-02 00:11:00.585328,0 days 00:00:14.472348,Leaky,Tanh,ReLU,,,,4,15,19.0,21.0,,,,0.002287923386530374,3,80,0.5613846974360018,0.00015361729633913817,COMPLETE
184,0.15150108933448792,2023-09-02 00:11:00.585631,2023-09-02 00:11:19.923794,0 days 00:00:19.338163,Leaky,Tanh,ReLU,,,,4,17,18.0,23.0,,,,0.0017622507029267554,3,80,0.7575915712132876,0.00010724492341389712,COMPLETE
185,0.23720836639404297,2023-09-02 00:11:19.924091,2023-09-02 00:11:24.215911,0 days 00:00:04.291820,Leaky,Tanh,Tanh,,,,4,18,17.0,23.0,,,,0.0011394669908379753,3,80,0.16910066526564388,9.769886426658725e-05,COMPLETE
186,0.1652822494506836,2023-09-02 00:11:24.216201,2023-09-02 00:11:41.277867,0 days 00:00:17.061666,Leaky,Tanh,ReLU,,,,4,17,18.0,23.0,,,,0.0018686666376657116,3,80,0.6724493080461594,5.40949814895526e-05,COMPLETE
187,0.2040168046951294,2023-09-02 00:11:41.278165,2023-09-02 00:11:49.355607,0 days 00:00:08.077442,Leaky,ReLU,ReLU,,,,4,17,12.0,22.0,,,,0.0014978359483769816,3,80,0.3163661186536523,0.00023942376463154173,COMPLETE
188,0.16315264999866486,2023-09-02 00:11:49.355900,2023-09-02 00:12:07.804659,0 days 00:00:18.448759,Leaky,Tanh,ReLU,,,,4,18,21.0,22.0,,,,0.0036243106672621786,3,80,0.7145985954412742,0.00033765969087082314,COMPLETE
189,0.13130956888198853,2023-09-02 00:12:07.804970,2023-09-02 00:12:16.272970,0 days 00:00:08.468000,Leaky,ReLU,ReLU,Leaky,,,12,17,18.0,19.0,17.0,,,0.0016994543113462474,4,80,0.7969592532336148,0.00017493455121051247,COMPLETE
190,0.13004019856452942,2023-09-02 00:12:16.273273,2023-09-02 00:12:24.958948,0 days 00:00:08.685675,Leaky,ReLU,ReLU,Leaky,,,12,18,18.0,20.0,17.0,,,0.0016317447401413467,4,80,0.7996297958768624,0.0001186648181168346,COMPLETE
191,0.1472402811050415,2023-09-02 00:12:24.959244,2023-09-02 00:12:33.559538,0 days 00:00:08.600294,Leaky,ReLU,ReLU,Leaky,,,12,18,18.0,20.0,16.0,,,0.0016256340876021564,4,80,0.7984016614414299,9.147287580351898e-05,COMPLETE
192,0.15432363748550415,2023-09-02 00:12:33.559846,2023-09-02 00:12:42.183578,0 days 00:00:08.623732,Leaky,ReLU,ReLU,Leaky,,,12,18,18.0,20.0,16.0,,,0.0019583915670226626,4,80,0.7932298585418459,0.00011526716578821804,COMPLETE
193,0.17263497412204742,2023-09-02 00:12:42.183879,2023-09-02 00:12:50.732554,0 days 00:00:08.548675,Leaky,ReLU,ReLU,Leaky,,,12,18,17.0,19.0,16.0,,,0.0016242823009395976,4,80,0.7853485130225206,0.00010668173106961852,COMPLETE
194,0.19790305197238922,2023-09-02 00:12:50.732862,2023-09-02 00:12:59.298767,0 days 00:00:08.565905,Leaky,ReLU,ReLU,Leaky,,,12,18,18.0,20.0,15.0,,,0.0018944407505223496,4,80,0.7960659654528147,7.744572867665565e-05,COMPLETE
195,0.17348265647888184,2023-09-02 00:12:59.299073,2023-09-02 00:13:08.074663,0 days 00:00:08.775590,Sigmoid,ReLU,ReLU,Leaky,,,12,19,17.0,19.0,17.0,,,0.001168165919308245,4,80,0.7981931077721616,0.0001167537311115526,COMPLETE
196,0.17674371600151062,2023-09-02 00:13:08.074980,2023-09-02 00:13:12.246766,0 days 00:00:04.171786,Leaky,ReLU,ReLU,Leaky,,,12,19,18.0,20.0,15.0,,,0.0013706130270929253,4,40,0.7682684646319007,8.436536564324852e-05,COMPLETE
197,0.1566452980041504,2023-09-02 00:13:12.247075,2023-09-02 00:13:20.479734,0 days 00:00:08.232659,Leaky,ReLU,ReLU,Leaky,,,12,17,18.0,19.0,18.0,,,0.001669109222636024,4,80,0.7693874829497284,0.00012086898835577088,COMPLETE
198,0.14749957621097565,2023-09-02 00:13:20.480040,2023-09-02 00:13:30.164993,0 days 00:00:09.684953,Tanh,ReLU,Leaky,Leaky,,,12,18,18.0,20.0,16.0,,,0.0010234736185259976,4,100,0.7399937582830789,8.970131842330613e-05,COMPLETE
199,0.17625518143177032,2023-09-02 00:13:30.165304,2023-09-02 00:13:40.584693,0 days 00:00:10.419389,Tanh,ReLU,ReLU,Leaky,,,12,18,17.0,20.0,16.0,,,0.0009556045139531574,4,100,0.79655729344255,9.475784203426962e-05,COMPLETE
200,0.16645972430706024,2023-09-02 00:13:40.584995,2023-09-02 00:13:50.376674,0 days 00:00:09.791679,Tanh,ReLU,Leaky,Leaky,,,12,17,18.0,20.0,17.0,,,0.0011330411712629264,4,100,0.7463136104444148,7.192195019414428e-05,COMPLETE
201,0.1633574664592743,2023-09-02 00:13:50.376985,2023-09-02 00:13:59.977652,0 days 00:00:09.600667,Leaky,ReLU,Leaky,Leaky,,,12,18,18.0,19.0,14.0,,,0.0018524428163601775,4,100,0.7269715183196173,0.0001362195079066697,COMPLETE
202,0.1912786066532135,2023-09-02 00:13:59.977959,2023-09-02 00:14:05.125941,0 days 00:00:05.147982,Tanh,ReLU,Leaky,Leaky,,,12,18,17.0,20.0,14.0,,,0.0007828446614032496,4,80,0.4858331637549629,0.00010966873835535538,COMPLETE
203,0.13245786726474762,2023-09-02 00:14:05.126241,2023-09-02 00:14:15.153085,0 days 00:00:10.026844,Tanh,ReLU,Leaky,Leaky,,,12,17,18.0,19.0,15.0,,,0.0015298526130430089,4,100,0.7650610910172514,8.793524325410833e-05,COMPLETE
204,0.1421320140361786,2023-09-02 00:14:15.153404,2023-09-02 00:14:25.251546,0 days 00:00:10.098142,Tanh,ReLU,Leaky,Leaky,,,12,17,18.0,19.0,15.0,,,0.0013182695401979087,4,100,0.7728964779159858,8.956389846390245e-05,COMPLETE
205,0.14136068522930145,2023-09-02 00:14:25.251858,2023-09-02 00:14:35.401701,0 days 00:00:10.149843,Tanh,ReLU,Leaky,Leaky,,,12,19,18.0,24.0,15.0,,,0.0012805681115182156,4,100,0.7718528837473012,8.914787146582332e-05,COMPLETE
