number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
27,0.2192707657814026,2023-09-01 23:00:59.293202,2023-09-01 23:01:03.401058,0 days 00:00:04.107856,Sigmoid,,10,22,,0.010695829034529775,1,100,0.5030774387764966,0.00010175680169562606,COMPLETE
28,0.21725614368915558,2023-09-01 23:01:03.401301,2023-09-01 23:01:06.993120,0 days 00:00:03.591819,Sigmoid,,10,21,,0.03659612878483025,1,80,0.5526806304186263,0.00014165621024616912,COMPLETE
29,0.19727778434753418,2023-09-01 23:01:06.993360,2023-09-01 23:01:11.549135,0 days 00:00:04.555775,Sigmoid,,12,17,,0.013528031211366358,1,100,0.658152948680463,6.554720744350522e-05,COMPLETE
30,0.23408730328083038,2023-09-01 23:01:11.549369,2023-09-01 23:01:15.965146,0 days 00:00:04.415777,Sigmoid,,12,17,,0.001794440651245402,1,100,0.6377089044051288,6.553066821236815e-05,COMPLETE
31,0.17848002910614014,2023-09-01 23:01:15.965398,2023-09-01 23:01:21.266444,0 days 00:00:05.301046,Sigmoid,,12,15,,0.0143547164566808,1,100,0.7661067646042062,3.942511120793968e-05,COMPLETE
32,0.213563933968544,2023-09-01 23:01:21.266711,2023-09-01 23:01:26.646911,0 days 00:00:05.380200,Sigmoid,,12,15,,0.005221412454911136,1,100,0.7787707933202732,3.961210176675e-05,COMPLETE
33,0.21858151257038116,2023-09-01 23:01:26.647159,2023-09-01 23:01:31.432294,0 days 00:00:04.785135,Sigmoid,,12,18,,0.01123872489502734,1,100,0.6903677037734703,9.130665931685954e-05,COMPLETE
34,0.18056939542293549,2023-09-01 23:01:31.432538,2023-09-01 23:01:35.458033,0 days 00:00:04.025495,Sigmoid,,12,22,,0.011045985042091392,1,100,0.5813123115394693,2.9251341079338128e-05,COMPLETE
35,0.24176208674907684,2023-09-01 23:01:35.458274,2023-09-01 23:01:39.415733,0 days 00:00:03.957459,Sigmoid,,12,18,,0.002176409938659666,1,100,0.5711817250337551,2.28600055436938e-05,COMPLETE
36,0.20353542268276215,2023-09-01 23:01:39.415979,2023-09-01 23:01:44.335899,0 days 00:00:04.919920,Sigmoid,,12,24,,0.003455703290142834,1,100,0.7088278879299147,4.825326659294388e-05,COMPLETE
