number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
25,0.22992898523807526,2023-09-01 23:01:46.062499,2023-09-01 23:01:49.605575,0 days 00:00:03.543076,Leaky,Tanh,,,12,15,15.0,,,0.00072600163812467,2,80,0.48550983465085057,4.5005008709458454e-05,COMPLETE
26,0.24743890762329102,2023-09-01 23:01:49.605831,2023-09-01 23:01:56.637874,0 days 00:00:07.032043,Leaky,Tanh,,,8,18,20.0,,,0.0003056569165520179,2,80,0.6579688685983881,1.255502083996089e-05,COMPLETE
27,0.19882851839065552,2023-09-01 23:01:56.638138,2023-09-01 23:02:01.957681,0 days 00:00:05.319543,Leaky,Tanh,ReLU,,10,14,24.0,23.0,,0.0012093137384174477,3,80,0.48425896388134987,0.00016808139283238665,COMPLETE
28,0.21569353342056274,2023-09-01 23:02:01.957954,2023-09-01 23:02:08.250762,0 days 00:00:06.292808,Leaky,,,,8,21,,,,0.0028357316717230402,1,80,0.7749679129271232,6.319549581952866e-05,COMPLETE
29,0.20548179745674133,2023-09-01 23:02:08.251015,2023-09-01 23:02:15.082496,0 days 00:00:06.831481,ReLU,Tanh,,,10,20,13.0,,,0.0005087940767170805,2,100,0.6297322149700619,2.2717633186626035e-05,COMPLETE
30,0.2681238353252411,2023-09-01 23:02:15.082760,2023-09-01 23:02:21.104119,0 days 00:00:06.021359,Leaky,Tanh,Leaky,,12,11,16.0,17.0,,8.541784817247447e-05,3,80,0.6834769584150454,0.00029278700447989364,COMPLETE
31,0.19016504287719727,2023-09-01 23:02:21.104388,2023-09-01 23:02:23.803592,0 days 00:00:02.699204,Leaky,Tanh,,,30,23,18.0,,,0.0012854113970574292,2,80,0.7994879685791891,3.279892265421772e-05,COMPLETE
32,0.21270152926445007,2023-09-01 23:02:23.803847,2023-09-01 23:02:25.674651,0 days 00:00:01.870804,Leaky,Tanh,,,30,17,19.0,,,0.0010548397873650934,2,80,0.5539099904189059,3.6519323017579075e-05,COMPLETE
33,0.2119855284690857,2023-09-01 23:02:25.674921,2023-09-01 23:02:28.371021,0 days 00:00:02.696100,Leaky,Tanh,,,30,22,21.0,,,0.00027724955225894666,2,80,0.7963754310148914,1.9449680476653036e-05,COMPLETE
34,0.21766459941864014,2023-09-01 23:02:28.371283,2023-09-01 23:02:48.891967,0 days 00:00:20.520684,Leaky,Tanh,,,2,14,17.0,,,0.0006842339968341341,2,60,0.6856321893095296,9.023295875900471e-05,COMPLETE
35,0.17553436756134033,2023-09-01 23:02:48.892229,2023-09-01 23:03:03.307229,0 days 00:00:14.415000,Leaky,Tanh,Sigmoid,,4,20,12.0,18.0,,0.0014825353255179027,3,80,0.5685434635452623,5.227873104125567e-05,COMPLETE
36,0.1901060938835144,2023-09-01 23:03:03.307504,2023-09-01 23:03:11.413738,0 days 00:00:08.106234,Tanh,Leaky,Sigmoid,,4,17,12.0,18.0,,0.00383401552480378,3,60,0.4265457016878348,1.0942473088814505e-05,COMPLETE
37,0.1768995225429535,2023-09-01 23:03:11.414012,2023-09-01 23:03:19.386551,0 days 00:00:07.972539,Tanh,Leaky,Sigmoid,,4,19,12.0,18.0,,0.004650038544565774,3,60,0.4187251018628828,1.2648858745062325e-05,COMPLETE
38,0.1621158868074417,2023-09-01 23:03:19.386829,2023-09-01 23:03:27.097552,0 days 00:00:07.710723,Tanh,Leaky,Sigmoid,,4,19,12.0,18.0,,0.004463314351897821,3,60,0.4043330379545013,1.0279485794436866e-05,COMPLETE
39,0.17065782845020294,2023-09-01 23:03:27.097826,2023-09-01 23:03:34.695583,0 days 00:00:07.597757,Tanh,Leaky,Sigmoid,,4,19,12.0,18.0,,0.004423806614180268,3,60,0.39785578934531873,1.0162013170113007e-05,COMPLETE
40,0.17317864298820496,2023-09-01 23:03:34.695869,2023-09-01 23:03:41.871476,0 days 00:00:07.175607,Tanh,Leaky,Sigmoid,,4,19,14.0,20.0,,0.012848327733611185,3,60,0.3764028450075761,1.5471076574564196e-05,COMPLETE
