number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.4039640426635742,2023-08-31 19:23:02.133303,2023-08-31 19:23:15.404517,0 days 00:00:13.271214,ReLU,Sigmoid,ReLU,,,4,23,8.0,19.0,,,6.395976282623636e-05,3,100,0.41327653573593476,0.0024723903329591664,COMPLETE
1,0.7368825078010559,2023-08-31 19:23:15.404826,2023-08-31 19:23:24.939815,0 days 00:00:09.534989,Leaky,Leaky,Sigmoid,Tanh,,2,22,13.0,4.0,10.0,,0.0781207513087347,4,100,0.12798615996019067,0.002629534327355704,COMPLETE
2,0.41025203466415405,2023-08-31 19:23:24.940120,2023-08-31 19:23:25.580155,0 days 00:00:00.640035,Leaky,ReLU,,,,30,22,9.0,,,,0.00038938845076828593,2,60,0.24406322724660104,0.00041327593249466596,COMPLETE
3,0.8960336446762085,2023-08-31 19:23:25.580433,2023-08-31 19:23:28.583725,0 days 00:00:03.003292,Tanh,ReLU,Leaky,Sigmoid,Leaky,8,11,8.0,14.0,18.0,10.0,1.3100783459504053e-05,5,60,0.22047756889867787,0.0742604049854151,COMPLETE
4,0.9596493244171143,2023-08-31 19:23:28.584029,2023-08-31 19:23:35.234605,0 days 00:00:06.650576,Sigmoid,ReLU,Sigmoid,Sigmoid,ReLU,8,4,17.0,9.0,5.0,23.0,0.00021282739252630802,5,60,0.476834728458699,0.06279467080594071,COMPLETE
5,0.34842923283576965,2023-08-31 19:23:35.234904,2023-08-31 19:23:36.921681,0 days 00:00:01.686777,Sigmoid,,,,,16,12,,,,,0.004410205211684886,1,60,0.5168476648811604,8.889695226705094e-05,COMPLETE
6,0.9086824059486389,2023-08-31 19:23:36.921928,2023-08-31 19:23:45.353835,0 days 00:00:08.431907,Leaky,Tanh,Leaky,Leaky,,8,9,3.0,9.0,11.0,,1.3136449702087511e-05,4,100,0.44562846910832055,0.00931375286779322,COMPLETE
7,1.0434739589691162,2023-08-31 19:23:45.354116,2023-08-31 19:23:47.368949,0 days 00:00:02.014833,ReLU,Sigmoid,Leaky,,,10,16,19.0,3.0,,,0.0055419758320987495,3,60,0.2253138555498295,0.008005309733913033,COMPLETE
8,0.6116612553596497,2023-08-31 19:23:47.369206,2023-08-31 19:23:53.611631,0 days 00:00:06.242425,Leaky,Tanh,ReLU,Tanh,,8,9,15.0,19.0,18.0,,1.7532419444568658e-05,4,100,0.3144373110370333,0.001050967555163655,COMPLETE
9,0.3798356354236603,2023-08-31 19:23:53.611889,2023-08-31 19:24:00.450424,0 days 00:00:06.838535,ReLU,Tanh,Sigmoid,ReLU,,2,19,17.0,21.0,16.0,,0.0002265701295160015,4,60,0.1511276048225177,0.005425681611641692,COMPLETE
