number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3794444799423218,2023-08-31 19:28:16.774456,2023-08-31 19:28:20.842658,0 days 00:00:04.068202,Tanh,Leaky,Tanh,ReLU,Leaky,10,23,2.0,1.0,18.0,2.0,0.001997703146934098,5,60,0.25211652980818317,0.020034968537415335,COMPLETE
1,0.4161602854728699,2023-08-31 19:28:20.843007,2023-08-31 19:28:23.390819,0 days 00:00:02.547812,Tanh,ReLU,Leaky,Sigmoid,,12,13,12.0,15.0,4.0,,0.00010675550639491449,4,80,0.2227353760471924,0.004979336414408492,COMPLETE
2,0.24225012958049774,2023-08-31 19:28:23.391127,2023-08-31 19:28:30.150692,0 days 00:00:06.759565,Sigmoid,,,,,2,16,,,,,0.00328099201269866,1,60,0.2998813733500697,8.521340768104478e-05,COMPLETE
3,0.25082865357398987,2023-08-31 19:28:30.150949,2023-08-31 19:28:31.923319,0 days 00:00:01.772370,ReLU,,,,,10,17,,,,,0.0036641743900227976,1,40,0.3027327349656381,0.00951479776912067,COMPLETE
4,0.9785857796669006,2023-08-31 19:28:31.923725,2023-08-31 19:28:39.640665,0 days 00:00:07.716940,ReLU,ReLU,Tanh,Sigmoid,Tanh,10,19,2.0,7.0,6.0,5.0,0.005883936799351897,5,100,0.269740107291682,0.008559778121086105,COMPLETE
5,0.364647775888443,2023-08-31 19:28:39.640940,2023-08-31 19:28:40.667427,0 days 00:00:01.026487,Leaky,ReLU,,,,16,21,21.0,,,,4.802098623620786e-05,2,40,0.3357880908941499,0.0005728682739986916,COMPLETE
6,0.24064722657203674,2023-08-31 19:28:40.667679,2023-08-31 19:28:51.158182,0 days 00:00:10.490503,Leaky,Tanh,Tanh,,,2,6,10.0,5.0,,,0.010456730553328757,3,100,0.16603603191273816,0.00010876438663809371,COMPLETE
7,0.3752506971359253,2023-08-31 19:28:51.158465,2023-08-31 19:28:52.064485,0 days 00:00:00.906020,Tanh,Tanh,,,,10,22,1.0,,,,0.017342669965450683,2,40,0.21065291265776787,0.05507257646177808,COMPLETE
8,0.3893149197101593,2023-08-31 19:28:52.064740,2023-08-31 19:28:52.500070,0 days 00:00:00.435330,ReLU,Sigmoid,,,,30,9,2.0,,,,0.0017637940844912078,2,100,0.1006060036585874,0.005383845239965603,COMPLETE
9,0.30968162417411804,2023-08-31 19:28:52.500316,2023-08-31 19:28:55.093399,0 days 00:00:02.593083,Leaky,ReLU,Sigmoid,,,2,14,11.0,15.0,,,0.0013297337962816062,3,40,0.10337219880936824,0.003265344833563393,COMPLETE
10,0.8043807744979858,2023-08-31 19:28:55.093657,2023-08-31 19:29:10.972317,0 days 00:00:15.878660,Leaky,Tanh,ReLU,Tanh,,8,3,22.0,22.0,21.0,,0.09393828649293716,4,100,0.7712447979131993,2.291748789499147e-05,COMPLETE
11,0.3635134696960449,2023-08-31 19:29:10.972593,2023-08-31 19:29:14.471521,0 days 00:00:03.498928,Sigmoid,,,,,2,6,,,,,0.0003286544906607296,1,60,0.1602081273987183,9.510649625808159e-05,COMPLETE
