number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.34673675894737244,2023-09-01 21:59:33.444871,2023-09-01 21:59:34.238163,0 days 00:00:00.793292,Tanh,,,,,16,2,,,,,0.060923801523612334,1,60,0.22925943032910887,0.026877200028803228,COMPLETE
1,0.9630466103553772,2023-09-01 21:59:34.238438,2023-09-01 21:59:44.059783,0 days 00:00:09.821345,Leaky,Tanh,Leaky,ReLU,,2,1,23.0,2.0,19.0,,0.07387079537233328,4,60,0.2148805373122812,0.0011432669486917898,COMPLETE
2,0.9668801426887512,2023-09-01 21:59:44.060070,2023-09-01 21:59:47.103021,0 days 00:00:03.042951,Leaky,Sigmoid,Sigmoid,,,4,24,1.0,11.0,,,6.620085745791376e-05,3,80,0.12247608369518766,0.0012058939044144467,COMPLETE
3,0.4284694194793701,2023-09-01 21:59:47.103309,2023-09-01 21:59:50.568156,0 days 00:00:03.464847,Tanh,ReLU,Leaky,ReLU,,12,12,14.0,8.0,9.0,,2.4089447024252934e-05,4,60,0.4421547388278046,0.00030524517696079204,COMPLETE
4,0.3435271978378296,2023-09-01 21:59:50.568450,2023-09-01 21:59:52.685974,0 days 00:00:02.117524,Sigmoid,,,,,12,2,,,,,0.08841639501434746,1,80,0.3849727439351845,0.0008410006910353027,COMPLETE
5,0.5139709711074829,2023-09-01 21:59:52.686222,2023-09-01 21:59:53.578459,0 days 00:00:00.892237,ReLU,Tanh,Tanh,Sigmoid,,30,7,4.0,5.0,3.0,,0.00019755890081493292,4,60,0.2546665879840845,0.0036508970996495444,COMPLETE
6,0.31226882338523865,2023-09-01 21:59:53.578729,2023-09-01 22:00:07.291547,0 days 00:00:13.712818,Leaky,,,,,2,4,,,,,0.0017751920991356939,1,100,0.37139403833814133,2.7142694495561414e-05,COMPLETE
7,0.3091217875480652,2023-09-01 22:00:07.291822,2023-09-01 22:00:10.332399,0 days 00:00:03.040577,ReLU,ReLU,Leaky,Sigmoid,,10,4,9.0,12.0,21.0,,0.0005742046198980621,4,100,0.19162439840947557,0.0010482827305672911,COMPLETE
8,0.25780802965164185,2023-09-01 22:00:10.332677,2023-09-01 22:00:10.818025,0 days 00:00:00.485348,Leaky,Leaky,Leaky,,,30,22,11.0,4.0,,,0.0028697260164302772,3,80,0.11545056435588653,0.02147386168081557,COMPLETE
9,1.0465948581695557,2023-09-01 22:00:10.818296,2023-09-01 22:00:16.337104,0 days 00:00:05.518808,Sigmoid,Tanh,Leaky,Sigmoid,,16,7,19.0,6.0,14.0,,1.0540373278530787e-05,4,100,0.5472210581843169,0.001554821964115511,COMPLETE
