number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.9923998117446899,2023-09-01 09:12:29.667045,2023-09-01 09:12:36.203171,0 days 00:00:06.536126,Tanh,ReLU,Sigmoid,,,8,10,15.0,24.0,,,0.010764033778088164,3,60,0.5466647210529757,0.06699483686293818,COMPLETE
1,0.6131445169448853,2023-09-01 09:12:36.203479,2023-09-01 09:12:36.653013,0 days 00:00:00.449534,ReLU,,,,,30,10,,,,,0.0022750879315946494,1,60,0.16427949561162575,0.09591576325741275,COMPLETE
2,0.5375306606292725,2023-09-01 09:12:36.653262,2023-09-01 09:12:39.725869,0 days 00:00:03.072607,ReLU,ReLU,Tanh,Leaky,,12,15,10.0,4.0,2.0,,0.002700591457859701,4,100,0.2026485145657056,0.00011269853348109259,COMPLETE
3,0.9448664784431458,2023-09-01 09:12:39.726166,2023-09-01 09:12:42.217406,0 days 00:00:02.491240,Leaky,Leaky,Tanh,Sigmoid,,8,21,22.0,14.0,8.0,,4.2323181205140236e-05,4,40,0.28381487207928646,0.028394689462304994,COMPLETE
4,0.7849844098091125,2023-09-01 09:12:42.217710,2023-09-01 09:13:00.037362,0 days 00:00:17.819652,Leaky,Sigmoid,Leaky,ReLU,,4,5,11.0,17.0,20.0,,1.688253867448249e-05,4,100,0.4132619104024417,6.477923063884255e-05,COMPLETE
5,0.3956518769264221,2023-09-01 09:13:00.037661,2023-09-01 09:13:00.796082,0 days 00:00:00.758421,ReLU,,,,,10,22,,,,,0.04370222946142568,1,40,0.16863128014949688,3.750913255460063e-05,COMPLETE
6,1.0522559881210327,2023-09-01 09:13:00.796316,2023-09-01 09:13:10.090579,0 days 00:00:09.294263,Leaky,Leaky,ReLU,ReLU,Leaky,16,22,12.0,16.0,2.0,1.0,0.0006494467691906067,5,100,0.7196218062100421,0.00018088050839014922,COMPLETE
7,1.0184314250946045,2023-09-01 09:13:10.090873,2023-09-01 09:14:09.197002,0 days 00:00:59.106129,Tanh,Sigmoid,Leaky,Tanh,Leaky,2,13,22.0,19.0,12.0,9.0,0.0002595941809720917,5,80,0.7784284790122786,0.06556191085654609,COMPLETE
8,0.8018577098846436,2023-09-01 09:14:09.197277,2023-09-01 09:14:39.103003,0 days 00:00:29.905726,Leaky,Tanh,Sigmoid,ReLU,,4,16,4.0,16.0,1.0,,0.0016027208135393277,4,100,0.6719004117265509,0.021770304505676158,COMPLETE
9,0.8104905486106873,2023-09-01 09:14:39.103255,2023-09-01 09:15:05.614502,0 days 00:00:26.511247,Tanh,Sigmoid,Leaky,,,2,9,20.0,1.0,,,6.50414271013699e-05,3,100,0.34498844762577163,0.0004638755432605241,COMPLETE
10,0.388557106256485,2023-09-01 09:15:05.614756,2023-09-01 09:15:06.151287,0 days 00:00:00.536531,Sigmoid,,,,,10,24,,,,,0.09509495403004968,1,40,0.11666733247437523,1.1899444384251333e-05,COMPLETE
11,0.35348621010780334,2023-09-01 09:15:06.151526,2023-09-01 09:15:06.683011,0 days 00:00:00.531485,Sigmoid,,,,,10,24,,,,,0.09776098069506468,1,40,0.11545456185036537,1.0411816843162582e-05,COMPLETE
12,0.47891539335250854,2023-09-01 09:15:06.683234,2023-09-01 09:15:07.267028,0 days 00:00:00.583794,Sigmoid,Tanh,,,,10,24,3.0,,,,0.0862486503180825,2,40,0.10436948024188472,1.6244107001738598e-05,COMPLETE
13,0.33102595806121826,2023-09-01 09:15:07.267271,2023-09-01 09:15:07.879947,0 days 00:00:00.612676,Sigmoid,ReLU,,,,10,19,17.0,,,,0.024540934885928442,2,40,0.10863665540067613,1.3212446597024549e-05,COMPLETE
14,0.3251246213912964,2023-09-01 09:15:07.880197,2023-09-01 09:15:08.454474,0 days 00:00:00.574277,Sigmoid,ReLU,,,,10,18,16.0,,,,0.018107689184563017,2,40,0.10217894501333352,1.136817497928603e-05,COMPLETE
15,0.3503766357898712,2023-09-01 09:15:08.454712,2023-09-01 09:15:09.580646,0 days 00:00:01.125934,Sigmoid,ReLU,,,,10,18,17.0,,,,0.014065032553795414,2,80,0.1014316821940925,3.532567069689958e-05,COMPLETE
16,0.35925087332725525,2023-09-01 09:15:09.580892,2023-09-01 09:15:10.248231,0 days 00:00:00.667339,Sigmoid,ReLU,,,,12,18,17.0,,,,0.013423105701608767,2,40,0.14307829154723642,0.0015148019970823165,COMPLETE
17,0.5284578204154968,2023-09-01 09:15:10.248480,2023-09-01 09:15:11.010960,0 days 00:00:00.762480,Sigmoid,ReLU,,,,16,2,7.0,,,,0.005845693216429705,2,40,0.21229808575501516,3.065947771982533e-05,COMPLETE
