number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
29,0.16813623905181885,2023-09-02 12:23:43.920204,2023-09-02 12:23:48.053747,0 days 00:00:04.133543,Sigmoid,8,23,0.00039761705432877673,1,80,0.2503275321314273,1.8102835390030786e-05,COMPLETE
30,0.11132591962814331,2023-09-02 12:23:48.053993,2023-09-02 12:24:01.201715,0 days 00:00:13.147722,Leaky,2,19,0.0016547230950971039,1,80,0.21719875761626853,5.529568159053759e-05,COMPLETE
31,0.10869797319173813,2023-09-02 12:24:01.201967,2023-09-02 12:24:06.060654,0 days 00:00:04.858687,ReLU,8,18,0.0037771457437315438,1,80,0.29710982331741753,2.644605017015467e-05,COMPLETE
32,0.11677202582359314,2023-09-02 12:24:06.060899,2023-09-02 12:24:10.735441,0 days 00:00:04.674542,ReLU,8,17,0.0027860612494293164,1,80,0.2862003318849071,1.5994251695158076e-05,COMPLETE
33,0.10581468045711517,2023-09-02 12:24:10.735688,2023-09-02 12:24:16.672901,0 days 00:00:05.937213,ReLU,8,19,0.005491377297082804,1,80,0.36222557540540234,3.7874872928983665e-05,COMPLETE
34,0.11932915449142456,2023-09-02 12:24:16.673145,2023-09-02 12:24:21.070568,0 days 00:00:04.397423,ReLU,8,13,0.007637888822751757,1,60,0.362043139744378,4.410901644725737e-05,COMPLETE
35,0.1342765837907791,2023-09-02 12:24:21.070819,2023-09-02 12:24:38.898222,0 days 00:00:17.827403,ReLU,4,22,0.019175696485666135,1,80,0.5784491180562125,2.0225626211852145e-05,COMPLETE
36,0.11807805299758911,2023-09-02 12:24:38.898473,2023-09-02 12:24:41.700543,0 days 00:00:02.802070,Leaky,12,17,0.0046092817773297455,1,60,0.3315759998477674,1.138453453418226e-05,COMPLETE
37,0.20012636482715607,2023-09-02 12:24:41.700784,2023-09-02 12:25:04.723176,0 days 00:00:23.022392,ReLU,2,15,0.04784516827585967,1,80,0.38630373586053096,4.1865025306781146e-05,COMPLETE
38,0.11578391492366791,2023-09-02 12:25:04.723419,2023-09-02 12:25:08.166218,0 days 00:00:03.442799,Sigmoid,16,20,0.014369581870560625,1,100,0.31328469046392843,0.00011922426611415195,COMPLETE
39,0.11641201376914978,2023-09-02 12:25:08.166456,2023-09-02 12:25:11.176942,0 days 00:00:03.010486,Leaky,10,11,0.007238884106320605,1,40,0.4584828940332337,5.5097259266430676e-05,COMPLETE
40,0.13600663840770721,2023-09-02 12:25:11.177181,2023-09-02 12:25:13.410065,0 days 00:00:02.232884,ReLU,30,7,0.0015066914526983396,1,80,0.4293525044570605,2.6594723685863724e-05,COMPLETE
41,0.11413281410932541,2023-09-02 12:25:13.410300,2023-09-02 12:25:18.051105,0 days 00:00:04.640805,ReLU,8,19,0.0026855063285067577,1,80,0.2848844199507975,2.8764408965215237e-05,COMPLETE
42,0.10860269516706467,2023-09-02 12:25:18.051348,2023-09-02 12:25:24.047379,0 days 00:00:05.996031,ReLU,8,18,0.005409124892810954,1,80,0.371712493718999,1.515129041384417e-05,COMPLETE
43,0.10764382779598236,2023-09-02 12:25:24.047624,2023-09-02 12:25:31.646602,0 days 00:00:07.598978,ReLU,8,18,0.004591449834948371,1,100,0.3731669593078319,1.4066515861454426e-05,COMPLETE
44,0.10908303409814835,2023-09-02 12:25:31.646840,2023-09-02 12:25:39.462342,0 days 00:00:07.815502,ReLU,8,21,0.009376350009255163,1,100,0.3809415613298413,1.4654286037507511e-05,COMPLETE
45,0.10858302563428879,2023-09-02 12:25:39.462587,2023-09-02 12:25:43.203365,0 days 00:00:03.740778,Sigmoid,16,15,0.006234790525875328,1,100,0.34085588752288104,1.0240345699894084e-05,COMPLETE
46,0.10186721384525299,2023-09-02 12:25:43.203602,2023-09-02 12:25:48.938758,0 days 00:00:05.735156,Sigmoid,16,15,0.015301145758673593,1,100,0.5263069435415403,1.2745908711826212e-05,COMPLETE
47,0.10755031555891037,2023-09-02 12:25:48.939005,2023-09-02 12:25:54.406030,0 days 00:00:05.467025,Sigmoid,16,13,0.01669891604740955,1,100,0.5065304163469324,4.1770622626966845e-05,COMPLETE
48,0.1158769354224205,2023-09-02 12:25:54.406270,2023-09-02 12:26:00.274665,0 days 00:00:05.868395,Sigmoid,16,13,0.027704143289048463,1,100,0.5479549753844976,0.000159286914485928,COMPLETE
49,0.11004965007305145,2023-09-02 12:26:00.274900,2023-09-02 12:26:05.957343,0 days 00:00:05.682443,Sigmoid,16,10,0.01620494861134255,1,100,0.5309236515442334,6.685798673790715e-05,COMPLETE
50,0.10735167562961578,2023-09-02 12:26:05.957583,2023-09-02 12:26:13.560258,0 days 00:00:07.602675,Sigmoid,16,14,0.04386565508087033,1,100,0.7023278361860321,4.4266004859314224e-05,COMPLETE
51,0.1125936284661293,2023-09-02 12:26:13.560507,2023-09-02 12:26:20.645630,0 days 00:00:07.085123,Sigmoid,16,14,0.041650258023488394,1,100,0.6556071389545961,3.52732441314819e-05,COMPLETE
52,0.10784382373094559,2023-09-02 12:26:20.645875,2023-09-02 12:26:28.674743,0 days 00:00:08.028868,Sigmoid,16,16,0.024417109868242005,1,100,0.7440351262310063,4.721433831328843e-05,COMPLETE
53,0.11847060918807983,2023-09-02 12:26:28.674990,2023-09-02 12:26:34.061308,0 days 00:00:05.386318,Sigmoid,16,11,0.015164692685641962,1,100,0.4996829746963127,7.719063982760982e-05,COMPLETE
54,0.10921461880207062,2023-09-02 12:26:34.061552,2023-09-02 12:26:38.781637,0 days 00:00:04.720085,Sigmoid,16,13,0.03437705359014845,1,100,0.4388967509279561,2.310131007527916e-05,COMPLETE
55,0.118232361972332,2023-09-02 12:26:38.781881,2023-09-02 12:26:40.548664,0 days 00:00:01.766783,Sigmoid,16,15,0.05780144200949571,1,40,0.4047732446531241,3.8829691163719225e-05,COMPLETE
56,0.1227981224656105,2023-09-02 12:26:40.548914,2023-09-02 12:26:49.128720,0 days 00:00:08.579806,Tanh,12,12,0.011766280735263365,1,100,0.6145748339786349,0.0001402269717376161,COMPLETE
57,0.11311870068311691,2023-09-02 12:26:49.128955,2023-09-02 12:26:52.380063,0 days 00:00:03.251108,Sigmoid,30,14,0.025691406889286877,1,100,0.4984891329622854,7.910488992394582e-05,COMPLETE
58,0.10808844864368439,2023-09-02 12:26:52.380303,2023-09-02 12:26:57.557272,0 days 00:00:05.176969,Tanh,16,16,0.01862475715833496,1,100,0.47596762175208374,1.9992488426563935e-05,COMPLETE
59,0.12146933376789093,2023-09-02 12:26:57.557514,2023-09-02 12:27:01.999751,0 days 00:00:04.442237,Sigmoid,10,10,0.06860767320743175,1,40,0.681998260544728,6.009961760377843e-05,COMPLETE
60,0.12080454081296921,2023-09-02 12:27:01.999995,2023-09-02 12:27:07.085809,0 days 00:00:05.085814,Tanh,16,17,0.040087902358413655,1,60,0.7820064897125041,0.00016647392847053487,COMPLETE
61,0.11422763019800186,2023-09-02 12:27:07.086055,2023-09-02 12:27:32.780462,0 days 00:00:25.694407,Sigmoid,2,16,0.00952195138847652,1,100,0.3422031692805136,1.5401104876493083e-05,COMPLETE
62,0.11300036311149597,2023-09-02 12:27:32.780703,2023-09-02 12:27:48.645716,0 days 00:00:15.865013,Sigmoid,4,20,0.01295860915863645,1,100,0.40676691673489673,1.2458592795073262e-05,COMPLETE
63,0.11055324226617813,2023-09-02 12:27:48.645969,2023-09-02 12:27:55.899028,0 days 00:00:07.253059,Tanh,10,15,0.004701544599147464,1,100,0.4381146760999506,2.073584991686331e-05,COMPLETE
64,0.1094776839017868,2023-09-02 12:27:55.899288,2023-09-02 12:27:59.790845,0 days 00:00:03.891557,Leaky,16,18,0.007946668681781417,1,100,0.3539078577361521,3.1132453186342083e-05,COMPLETE
65,0.12062224745750427,2023-09-02 12:27:59.791091,2023-09-02 12:28:06.408458,0 days 00:00:06.617367,Sigmoid,8,12,0.02107675885617046,1,100,0.3295962361269008,0.0001030958599825419,COMPLETE
66,0.10960597544908524,2023-09-02 12:28:06.408716,2023-09-02 12:28:11.934797,0 days 00:00:05.526081,Tanh,12,14,0.011605794528864767,1,100,0.3912842185364509,1.3459295254276219e-05,COMPLETE
67,0.1379862129688263,2023-09-02 12:28:11.935052,2023-09-02 12:28:18.160433,0 days 00:00:06.225381,ReLU,8,13,0.029492985425726377,1,100,0.30816049766556736,4.3766707091623244e-05,COMPLETE
68,0.11552752554416656,2023-09-02 12:28:18.160684,2023-09-02 12:28:23.253888,0 days 00:00:05.093204,Sigmoid,10,17,0.0041808952492908965,1,60,0.5148466860572027,2.5234238447280044e-05,COMPLETE
69,0.11209920793771744,2023-09-02 12:28:23.254138,2023-09-02 12:28:26.176931,0 days 00:00:02.922793,ReLU,30,11,0.007734041115634228,1,80,0.555868206549736,1.028998208970866e-05,COMPLETE
70,0.1254272162914276,2023-09-02 12:28:26.177167,2023-09-02 12:28:30.943868,0 days 00:00:04.766701,Leaky,8,22,0.015647536947527116,1,40,0.5841552792530608,1.8475146865312085e-05,COMPLETE
71,0.10720305144786835,2023-09-02 12:28:30.944120,2023-09-02 12:28:38.674847,0 days 00:00:07.730727,Sigmoid,16,16,0.022250350684358825,1,100,0.7129872523623842,4.541887931439912e-05,COMPLETE
72,0.12505093216896057,2023-09-02 12:28:38.675092,2023-09-02 12:28:46.130779,0 days 00:00:07.455687,Sigmoid,16,16,0.09858721876609276,1,100,0.6910476318835908,3.589361273163685e-05,COMPLETE
73,0.11334461718797684,2023-09-02 12:28:46.131018,2023-09-02 12:28:54.243343,0 days 00:00:08.112325,Sigmoid,16,19,0.006321168444752511,1,100,0.7410516375911615,1.5561978806890766e-05,COMPLETE
74,0.10889112204313278,2023-09-02 12:28:54.243592,2023-09-02 12:29:01.139184,0 days 00:00:06.895592,Sigmoid,16,15,0.019926374036203745,1,100,0.63633773001547,5.141171916787457e-05,COMPLETE
