number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
27,0.09726344794034958,2023-09-02 12:25:33.306785,2023-09-02 12:25:42.438839,0 days 00:00:09.132054,Leaky,Tanh,16,15,11.0,0.0010779461239778703,2,100,0.6454335037194504,3.909713258966717e-05,COMPLETE
28,0.10200344026088715,2023-09-02 12:25:42.439098,2023-09-02 12:25:49.864373,0 days 00:00:07.425275,Leaky,Sigmoid,16,16,6.0,0.0011755063382715171,2,100,0.5258140638041948,5.432918831345582e-05,COMPLETE
29,0.10969530791044235,2023-09-02 12:25:49.864649,2023-09-02 12:25:56.303504,0 days 00:00:06.438855,Leaky,ReLU,16,11,11.0,0.0007702192212144167,2,100,0.4572693254853966,3.717247608046897e-05,COMPLETE
30,0.10805485397577286,2023-09-02 12:25:56.303768,2023-09-02 12:26:05.800583,0 days 00:00:09.496815,Leaky,Tanh,16,7,15.0,0.0010409117467403846,2,100,0.6712854210448176,5.989372909020732e-05,COMPLETE
31,0.10046637058258057,2023-09-02 12:26:05.800843,2023-09-02 12:26:14.600407,0 days 00:00:08.799564,Leaky,Tanh,16,14,11.0,0.00343185702083794,2,100,0.6203538851702466,1.841419476387239e-05,COMPLETE
32,0.09757716953754425,2023-09-02 12:26:14.600660,2023-09-02 12:26:24.299023,0 days 00:00:09.698363,Leaky,Tanh,16,13,12.0,0.004597639671858471,2,100,0.6970671431231185,2.4299304777046407e-05,COMPLETE
33,0.096300408244133,2023-09-02 12:26:24.299278,2023-09-02 12:26:34.438918,0 days 00:00:10.139640,Leaky,Tanh,16,12,12.0,0.0017727985731379073,2,100,0.727728465434651,2.067259343001204e-05,COMPLETE
34,0.08997967839241028,2023-09-02 12:26:34.439187,2023-09-02 12:26:45.871979,0 days 00:00:11.432792,Leaky,Tanh,16,17,19.0,0.001822977869625617,2,100,0.7935308939036042,1.0352559466918314e-05,COMPLETE
35,0.0852217897772789,2023-09-02 12:26:45.872242,2023-09-02 12:27:00.264543,0 days 00:00:14.392301,Leaky,Tanh,12,18,19.0,0.0019050724238750295,2,100,0.7786838136034737,1.6579146525111365e-05,COMPLETE
36,0.09155076742172241,2023-09-02 12:27:00.264803,2023-09-02 12:27:08.982757,0 days 00:00:08.717954,Leaky,Tanh,12,18,19.0,0.002048342235896012,2,60,0.7876087124389903,1.0346709240815956e-05,COMPLETE
37,0.15057764947414398,2023-09-02 12:27:08.983025,2023-09-02 12:27:15.724993,0 days 00:00:06.741968,Sigmoid,,12,20,,0.0005821756301648203,1,60,0.7936094779551199,1.0304619949561434e-05,COMPLETE
38,0.09885171055793762,2023-09-02 12:27:15.725255,2023-09-02 12:27:21.948486,0 days 00:00:06.223231,Leaky,Tanh,12,22,20.0,0.007459379702647764,2,60,0.5558236495452713,1.808008993767621e-05,COMPLETE
39,0.10419166088104248,2023-09-02 12:27:21.948754,2023-09-02 12:27:28.446443,0 days 00:00:06.497689,Leaky,ReLU,12,18,21.0,0.0015362058954225557,2,60,0.5783654506514211,1.0116035827027061e-05,COMPLETE
40,0.10422252118587494,2023-09-02 12:27:28.446706,2023-09-02 12:27:34.729992,0 days 00:00:06.283286,Leaky,,12,21,,0.002453248856197052,1,60,0.730087931460728,1.7277385370383344e-05,COMPLETE
41,0.10437828302383423,2023-09-02 12:27:34.730247,2023-09-02 12:27:49.989103,0 days 00:00:15.258856,Leaky,Tanh,10,17,19.0,0.0022932983939672816,2,100,0.6997356098244224,3.581808700426178e-05,COMPLETE
42,0.09523504227399826,2023-09-02 12:27:49.989369,2023-09-02 12:27:56.646825,0 days 00:00:06.657456,Leaky,Tanh,12,19,21.0,0.0015221429803579187,2,60,0.5948240989624938,1.709847025544926e-05,COMPLETE
43,0.11417866498231888,2023-09-02 12:27:56.647088,2023-09-02 12:28:02.598226,0 days 00:00:05.951138,Leaky,Sigmoid,12,19,22.0,0.0006808165989740289,2,60,0.5317673296370585,1.4234249383016095e-05,COMPLETE
