number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
26,0.1183127760887146,2023-09-02 12:24:59.960262,2023-09-02 12:25:02.698469,0 days 00:00:02.738207,ReLU,,,30,24,,,0.0011234990905484386,1,80,0.511472274380899,0.0016386250755822168,COMPLETE
27,0.13276199996471405,2023-09-02 12:25:02.698715,2023-09-02 12:25:05.745123,0 days 00:00:03.046408,ReLU,Leaky,,30,23,15.0,,0.00028554143110267726,2,80,0.44986615368367455,0.008337004065987894,COMPLETE
28,0.10807744413614273,2023-09-02 12:25:05.745378,2023-09-02 12:25:55.180612,0 days 00:00:49.435234,ReLU,Leaky,,2,18,17.0,,0.0028321953798888795,2,80,0.61330762750415,0.0015360665676455302,COMPLETE
29,0.14313557744026184,2023-09-02 12:25:55.180879,2023-09-02 12:25:57.052141,0 days 00:00:01.871262,Tanh,,,30,21,,,0.0005847017993203108,1,80,0.34619625632320766,0.0026299966586623216,COMPLETE
30,0.10081694275140762,2023-09-02 12:25:57.052384,2023-09-02 12:26:00.928699,0 days 00:00:03.876315,ReLU,Leaky,Tanh,30,21,21.0,24.0,0.001239879145641713,3,80,0.46719944646457257,0.0006954277147093211,COMPLETE
31,0.11003626883029938,2023-09-02 12:26:00.928964,2023-09-02 12:26:04.778552,0 days 00:00:03.849588,ReLU,Leaky,Tanh,30,21,21.0,24.0,0.001115389264413863,3,80,0.4655565951140826,0.0008286746018776917,COMPLETE
32,0.10363747924566269,2023-09-02 12:26:04.778826,2023-09-02 12:26:07.189008,0 days 00:00:02.410182,ReLU,Leaky,,30,24,18.0,,0.0019555848617834252,2,80,0.35338942962952474,0.0006518633717938597,COMPLETE
33,0.12682577967643738,2023-09-02 12:26:07.189267,2023-09-02 12:26:34.992681,0 days 00:00:27.803414,ReLU,Leaky,,2,20,14.0,,0.0005550836511616169,2,60,0.45099347753465907,0.010146698076855894,COMPLETE
34,0.09942635148763657,2023-09-02 12:26:34.992951,2023-09-02 12:26:40.066376,0 days 00:00:05.073425,ReLU,Leaky,Tanh,30,22,22.0,18.0,0.005071277227179231,3,80,0.590174896835741,0.0020953978348109024,COMPLETE
35,0.12000187486410141,2023-09-02 12:26:40.066643,2023-09-02 12:26:45.065661,0 days 00:00:04.999018,Sigmoid,Leaky,Tanh,30,23,21.0,18.0,0.004890809960453919,3,80,0.607806733175925,0.0015485228300041473,COMPLETE
