number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,-0.15640580654144287,Tanh,96,218,4,4.207988669606632e-05,1,0.4582013868952863,0.0024810409748678114,1.673295497894287,1.1723301410675049,-0.15640580654144287,COMPLETE
1,0.21450740098953247,Tanh,98,59,5,5.3370327626039544e-05,1,0.5646386642932582,7.068974950624602e-05,1.3365156650543213,0.8356426954269409,0.21450740098953247,COMPLETE
2,0.45840030908584595,Sigmoid,22,325,19,0.0006672367170464204,1,0.18358318781006536,0.0002920433847181409,1.132546067237854,0.5221473574638367,0.45840030908584595,COMPLETE
3,0.3720877170562744,Sigmoid,25,324,20,0.07286653737491042,1,0.1144846978456873,0.06245139574743072,1.2976933717727661,0.6883251070976257,0.3720877170562744,COMPLETE
4,-0.06054818630218506,Sigmoid,55,105,16,0.00010842262717330161,1,0.10741277311947185,0.0433792069749094,1.0795029401779175,1.1478548049926758,-0.06054818630218506,COMPLETE
5,0.7021281719207764,Leaky,80,487,23,0.002463768595899745,1,0.7054270142609772,0.03795853142670639,1.2736544609069824,0.34381797909736633,0.7021281719207764,COMPLETE
6,0.5305960178375244,Leaky,34,225,14,0.000132965214572995,1,0.560305062386961,0.00026730883107816685,1.6152993440628052,0.5004595518112183,0.5305960178375244,COMPLETE
7,0.6208838224411011,ReLU,28,398,18,0.00672093005015611,1,0.10115491015452849,0.018274508859816022,2.0205655097961426,0.41930681467056274,0.6208838224411011,COMPLETE
8,0.3752697706222534,Sigmoid,66,439,8,0.00017535949529764417,1,0.1989897438445013,1.795698422567761e-05,1.1115647554397583,0.6022337079048157,0.3752697706222534,COMPLETE
9,0.7591007947921753,ReLU,74,103,12,0.012130221181165156,1,0.48647145240701695,0.0017583640270008513,0.9431597590446472,0.2519286572933197,0.7591007947921753,COMPLETE
10,0.7367811799049377,ReLU,53,143,10,0.0267005212249283,1,0.35535684006392254,0.00362403824754904,5.0959062576293945,0.2573968470096588,0.7367811799049377,COMPLETE
11,0.731850266456604,ReLU,50,154,10,0.030140816146116214,1,0.35332893336418875,0.0030385196773828633,3.585235357284546,0.26221421360969543,0.731850266456604,COMPLETE
12,0.7282462120056152,ReLU,74,156,11,0.017099793400811306,1,0.3515028062127629,0.00713323178648783,2.8221945762634277,0.2658177316188812,0.7282462120056152,COMPLETE
13,0.4105030298233032,ReLU,45,56,1,0.09255468887446192,1,0.3845220108106665,0.0014403910932208489,2.863157272338867,0.5913113355636597,0.4105030298233032,COMPLETE
14,0.7469170093536377,ReLU,70,147,13,0.008265353182417865,1,0.7989400854982043,0.009610708569061648,1.0142699480056763,0.26781409978866577,0.7469170093536377,COMPLETE
15,0.7750924825668335,ReLU,83,221,14,0.005598576473073856,1,0.7443668660257697,0.011048841890429291,1.0423496961593628,0.24526989459991455,0.7750924825668335,COMPLETE
16,0.7554523348808289,ReLU,86,235,15,0.0020809622306598376,1,0.650942276403956,0.0005258542882273801,0.9964380264282227,0.26709243655204773,0.7554523348808289,COMPLETE
17,0.5371849536895752,ReLU,88,290,7,0.0008367441669527838,1,0.49352965730802334,0.09469910150946931,1.6877954006195068,0.4879615604877472,0.5371849536895752,COMPLETE
18,0.3934468626976013,Tanh,66,195,23,1.3225983256500542e-05,1,0.7136054663525246,0.0010726458193931372,1.4341113567352295,0.6911241412162781,0.3934468626976013,COMPLETE
19,0.7296926975250244,Leaky,11,94,17,0.005737169762863561,1,0.6240852488243605,0.01532586932852381,1.0724812746047974,0.2907184064388275,0.7296926975250244,COMPLETE
20,0.7424768805503845,ReLU,81,272,12,0.0020175060964083987,1,0.7983883080573946,0.005019235997405512,1.041902780532837,0.2728583514690399,0.7424768805503845,COMPLETE
21,0.7615171670913696,ReLU,86,252,15,0.0025011811124182356,1,0.620975861489973,0.0004509484347804799,0.985954761505127,0.2569613456726074,0.7615171670913696,COMPLETE
22,0.7560829520225525,ReLU,91,354,14,0.009397987158364738,1,0.48545276090754336,0.0006943045846991676,0.9938140511512756,0.2545968294143677,0.7560829520225525,COMPLETE
23,0.7569712996482849,ReLU,75,265,21,0.004634104869493863,1,0.5756479614794542,0.002297348024510318,0.8355963826179504,0.25518539547920227,0.7569712996482849,COMPLETE
24,0.7439435720443726,ReLU,60,206,16,0.014297269228297304,1,0.43875936836133267,0.0011532151575690153,5.097053527832031,0.26508256793022156,0.7439435720443726,COMPLETE
25,0.6540964245796204,ReLU,81,179,9,0.0005323131113144299,1,0.6215545527964155,0.006018613600166493,1.6310335397720337,0.3736914098262787,0.6540964245796204,COMPLETE
26,0.7500982284545898,ReLU,99,101,13,0.0034558605288772357,1,0.6966392584463118,0.013274235265491686,1.1969280242919922,0.2836991548538208,0.7500982284545898,COMPLETE
27,0.7435743808746338,Leaky,92,250,12,0.001186680100281776,1,0.550242837433319,0.0003813947268715428,1.3444511890411377,0.2771705090999603,0.7435743808746338,COMPLETE
28,0.6116496324539185,Tanh,62,302,6,0.0044826079510571805,1,0.41821861132148447,0.024030703047182293,5.74168586730957,0.4009273946285248,0.6116496324539185,COMPLETE
29,0.5518495440483093,Tanh,75,375,3,0.0013445164035646555,1,0.46820847787023573,0.0018036857951270616,2.009049892425537,0.46003204584121704,0.5518495440483093,COMPLETE
30,0.7368636131286621,ReLU,92,181,15,0.015394738039165001,1,0.5003980193798347,0.002410688594680387,1.1124781370162964,0.2780468165874481,0.7368636131286621,COMPLETE
31,0.7564481496810913,ReLU,76,268,21,0.003958269888596991,1,0.5712386351815653,0.0025315819310867366,1.0019797086715698,0.25817352533340454,0.7564481496810913,COMPLETE
32,0.7547785639762878,ReLU,84,244,24,0.0037945845913108754,1,0.6164750807477094,0.0039059062077656625,0.9939242601394653,0.2649698257446289,0.7547785639762878,COMPLETE
33,0.7327920198440552,ReLU,70,324,21,0.007639980219623864,1,0.5297149869690523,0.00016996331160023292,0.8700371980667114,0.2854238748550415,0.7327920198440552,COMPLETE
34,0.7870174050331116,ReLU,96,215,18,0.0022790308418378035,1,0.7247679407420283,0.0007356771553387259,1.0394643545150757,0.24272094666957855,0.7870174050331116,COMPLETE
35,0.4774249196052551,Sigmoid,96,215,18,0.00044784822715334104,1,0.7179819307926742,0.0007692131246402283,1.8747522830963135,0.6003143191337585,0.4774249196052551,COMPLETE
36,0.6300246715545654,Tanh,100,80,19,0.0016168170287363705,1,0.6657940886373043,0.0001661550007914002,1.3792352676391602,0.40990400314331055,0.6300246715545654,COMPLETE
37,0.6579166650772095,Sigmoid,87,178,16,0.0024170597345695042,1,0.7779851103962955,0.0013877473123027012,1.432920217514038,0.36619341373443604,0.6579166650772095,COMPLETE
38,0.6246590614318848,Leaky,94,127,14,0.0009501322745652731,1,0.6039316831920363,0.0005478577886090179,1.5989357233047485,0.3955059051513672,0.6246590614318848,COMPLETE
39,0.7749024629592896,ReLU,80,301,17,0.0029511348280302665,1,0.5233744194070755,0.0008488043468194519,0.8987798690795898,0.24212956428527832,0.7749024629592896,COMPLETE
40,0.7616246938705444,ReLU,82,304,18,0.003076277721225827,1,0.7032502842241553,0.0009327502714378046,0.7941965460777283,0.27324795722961426,0.7616246938705444,COMPLETE
41,0.7791346311569214,ReLU,82,305,18,0.001980869440667363,1,0.7203689157615407,0.0007940667733409255,0.850989818572998,0.2522607445716858,0.7791346311569214,COMPLETE
42,0.7904134392738342,ReLU,80,305,19,0.002684520425707391,1,0.7339960787718733,0.0010096987070828728,0.9973683953285217,0.24042409658432007,0.7904134392738342,COMPLETE
43,0.7831346392631531,ReLU,79,345,20,0.0013533949244228802,1,0.7354756171378308,0.00028672701696785683,2.0694289207458496,0.24356646835803986,0.7831346392631531,COMPLETE
44,0.7807461023330688,ReLU,91,357,20,0.0014784643730810657,1,0.7386145468644899,0.00026771833699627064,0.8543223142623901,0.24356459081172943,0.7807461023330688,COMPLETE
45,0.5981969833374023,Sigmoid,96,416,20,0.0006975573790404227,1,0.6852758585613878,0.00024183503247851476,1.3762166500091553,0.45867520570755005,0.5981969833374023,COMPLETE
46,0.7761701345443726,ReLU,90,351,22,0.0013752087263750594,1,0.7969741136068801,0.00010295189992364378,0.8965568542480469,0.23820801079273224,0.7761701345443726,COMPLETE
47,0.7735540866851807,ReLU,39,351,19,0.00035085462361654545,1,0.7340432657402067,0.0003386847742711398,1.0810898542404175,0.25976407527923584,0.7735540866851807,COMPLETE
48,0.7718895077705383,ReLU,78,448,20,0.0009503146959689637,1,0.6626168601615846,0.0005513565607388277,0.7787037491798401,0.25118041038513184,0.7718895077705383,COMPLETE
49,0.7436566352844238,Leaky,71,330,22,0.0014988661693768116,1,0.5774409215660041,0.00028780116299045497,0.874775767326355,0.27037280797958374,0.7436566352844238,COMPLETE
50,0.7935227751731873,ReLU,65,386,24,0.0019452415890493914,1,0.7470920847586047,5.925726305961762e-05,0.8989396691322327,0.22416749596595764,0.7935227751731873,COMPLETE
51,0.7972570657730103,ReLU,57,383,24,0.0019067154471877745,1,0.7399547729851228,9.684954980656132e-05,1.0150794982910156,0.22470976412296295,0.7972570657730103,COMPLETE
52,0.8010571599006653,ReLU,51,386,24,0.000742640388711713,1,0.7515017613208501,5.0984884105950666e-05,0.8974472284317017,0.2154626101255417,0.8010571599006653,COMPLETE
53,0.7850760221481323,ReLU,51,383,24,0.000830084327821752,1,0.6608809890963471,4.6824727978137994e-05,0.9076439142227173,0.2356279343366623,0.7850760221481323,COMPLETE
54,0.7780884504318237,ReLU,48,393,24,0.0007328097871289454,1,0.6568217883811959,4.081627153775902e-05,0.9882062077522278,0.24486899375915527,0.7780884504318237,COMPLETE
55,0.7802407145500183,ReLU,55,478,23,0.00032387365419775247,1,0.7892304432234188,5.397978633820722e-05,1.0415120124816895,0.2325700968503952,0.7802407145500183,COMPLETE
56,0.7667731046676636,ReLU,43,422,24,0.0010086915891233963,1,0.632527772075532,3.185676606199982e-05,0.8276458978652954,0.24895957112312317,0.7667731046676636,COMPLETE
57,0.771791398525238,ReLU,58,381,22,0.00059419144478383,1,0.6763496779149774,2.0367414980236324e-05,0.8654513359069824,0.25391682982444763,0.771791398525238,COMPLETE
58,0.7619417309761047,Sigmoid,52,441,23,0.002094343247649467,1,0.5780395529073928,8.4049938718376e-05,1.1196156740188599,0.251086950302124,0.7619417309761047,COMPLETE
59,0.7934391498565674,Tanh,65,467,23,0.005094193855197498,1,0.798641978471074,1.1328936132430848e-05,0.8226017355918884,0.2185841202735901,0.7934391498565674,COMPLETE
60,0.7849504351615906,Tanh,66,465,22,0.005074496503992804,1,0.7747863198150355,1.0153185679542745e-05,0.9098692536354065,0.23416654765605927,0.7849504351615906,COMPLETE
61,0.815664529800415,Tanh,63,497,24,0.0028363430144395965,1,0.6667536695886132,6.49517164666687e-05,0.8965559005737305,0.20416833460330963,0.815664529800415,COMPLETE
62,0.8314868211746216,Tanh,63,489,23,0.0065933850861201885,1,0.7529520081635823,6.738828419774316e-05,0.8565717339515686,0.1814785599708557,0.8314868211746216,COMPLETE
63,0.815116822719574,Tanh,63,500,23,0.00607097731868543,1,0.7550239686867032,6.986484186705244e-05,0.9120447635650635,0.20013907551765442,0.815116822719574,COMPLETE
64,0.8252311944961548,Tanh,63,492,23,0.009680389775054738,1,0.7856071418031503,6.693864648296437e-05,1.202647089958191,0.18664725124835968,0.8252311944961548,COMPLETE
65,0.7597631216049194,Tanh,59,494,24,0.010730113150759321,1,0.6172948866131412,6.990864662238351e-05,0.8015255928039551,0.25818830728530884,0.7597631216049194,COMPLETE
66,0.7887679934501648,Tanh,63,499,23,0.008434706713268443,1,0.6885559818858605,0.00010992444501040514,0.9464117288589478,0.24377897381782532,0.7887679934501648,COMPLETE
67,0.7835814952850342,Tanh,54,480,22,0.006166557660257658,1,0.7589168273697974,6.400123428106257e-05,0.8231029510498047,0.23655585944652557,0.7835814952850342,COMPLETE
68,0.7583773136138916,Tanh,69,458,21,0.006687174813296996,1,0.6036331449855692,2.8916297827727584e-05,0.7340845465660095,0.25390732288360596,0.7583773136138916,COMPLETE
69,0.7465664744377136,Tanh,57,426,24,0.011498229536928941,1,0.5411902914890608,5.4826845161609114e-05,0.8611975312232971,0.2699441611766815,0.7465664744377136,COMPLETE
70,0.784724235534668,Tanh,62,482,23,0.0192907825669555,1,0.648451938091559,8.329082284411511e-05,0.8865761756896973,0.23362472653388977,0.784724235534668,COMPLETE
71,0.8022874593734741,Tanh,65,466,23,0.004524672362471932,1,0.7943232156543216,3.6419849495462145e-05,0.7806738615036011,0.21213777363300323,0.8022874593734741,COMPLETE
72,0.8193546533584595,Tanh,68,411,23,0.003352250200013414,1,0.7470688109450759,3.8389770428746205e-05,0.8642282485961914,0.1961224228143692,0.8193546533584595,COMPLETE
73,0.7706894874572754,Tanh,47,404,22,0.003205567764343885,1,0.7052847294322958,3.834957479520461e-05,0.7241455912590027,0.26409903168678284,0.7706894874572754,COMPLETE
74,0.8333593010902405,Tanh,68,434,21,0.0037397255334585015,1,0.7609523799274347,2.676298024761295e-05,1.0554050207138062,0.1791151463985443,0.8333593010902405,COMPLETE
75,0.7952556014060974,Tanh,72,447,21,0.004103806192925465,1,0.7973376315130634,2.6716221706376422e-05,0.8070671558380127,0.2181067317724228,0.7952556014060974,COMPLETE
76,0.8063017129898071,Tanh,68,469,23,0.009536348215984224,1,0.6824012185240759,3.862526427526085e-05,0.6933091878890991,0.21961840987205505,0.8063017129898071,COMPLETE
77,0.7995030879974365,Tanh,68,471,23,0.00912094274727186,1,0.6853949808503362,2.334565976786982e-05,0.7786767482757568,0.22887568175792694,0.7995030879974365,COMPLETE
78,0.7734968662261963,Tanh,62,500,21,0.00690350873162089,1,0.6405263749329347,3.6010903874798e-05,0.8341315984725952,0.24158522486686707,0.7734968662261963,COMPLETE
79,0.7694060802459717,Tanh,67,455,22,0.004180649994074221,1,0.5890169016814564,4.135443019157141e-05,0.8211261034011841,0.24180909991264343,0.7694060802459717,COMPLETE
80,0.7961282730102539,Tanh,73,431,23,0.006087205633592433,1,0.6966558911147139,1.7050518109484336e-05,1.5793405771255493,0.2314438819885254,0.7961282730102539,COMPLETE
81,0.8193195462226868,Tanh,60,490,23,0.009210251170910864,1,0.770085019360151,4.455579820201305e-05,1.3594884872436523,0.1937716007232666,0.8193195462226868,COMPLETE
82,0.8052317500114441,Tanh,64,483,23,0.0130529921916442,1,0.7746789812772016,3.7179167308163876e-05,1.3054733276367188,0.21208231151103973,0.8052317500114441,COMPLETE
83,0.7928466200828552,Tanh,60,488,21,0.013783078008100342,1,0.705527720929071,2.4428227984722786e-05,1.0337426662445068,0.23910638689994812,0.7928466200828552,COMPLETE
84,0.734697699546814,Tanh,69,486,22,0.009516577617430626,1,0.6245132892583961,4.829267367794367e-05,0.7207764387130737,0.2853354811668396,0.734697699546814,COMPLETE
85,0.7746802568435669,Tanh,63,474,22,0.007488037231052242,1,0.7555520223151919,3.17578152835699e-05,0.9415164589881897,0.24451565742492676,0.7746802568435669,COMPLETE
86,0.7353765964508057,Tanh,77,437,20,0.020168693029146693,1,0.6532989132964752,7.176474523624435e-05,5.818065166473389,0.2905150055885315,0.7353765964508057,COMPLETE
87,0.7396502494812012,Tanh,60,455,23,0.012585400242487572,1,0.5551316653454138,1.8974579905704987e-05,1.5123224258422852,0.27921175956726074,0.7396502494812012,COMPLETE
88,0.7811473608016968,Tanh,72,491,21,0.025788560617446724,1,0.7628481600780863,0.00012007204477287753,0.947429358959198,0.2364315390586853,0.7811473608016968,COMPLETE
89,0.751979649066925,Tanh,64,411,4,0.010539925396525925,1,0.7084132011700445,6.462620647628799e-05,1.5299798250198364,0.2876751124858856,0.751979649066925,COMPLETE
90,0.7667431831359863,Tanh,56,457,24,0.005818075701559049,1,0.6038835633185164,0.00013384313499813715,0.8008113503456116,0.24578839540481567,0.7667431831359863,COMPLETE
91,0.8211286067962646,Tanh,67,469,23,0.0034796007723180925,1,0.7552693480066308,3.5088658890192156e-05,1.0415924787521362,0.19411012530326843,0.8211286067962646,COMPLETE
92,0.8227874040603638,Tanh,68,478,23,0.0035787764580110866,1,0.760453565055014,4.8159505835460104e-05,0.9800373911857605,0.1919381469488144,0.8227874040603638,COMPLETE
93,0.7951163053512573,Tanh,68,475,22,0.003462960204252509,1,0.6752593703811203,4.75115980398816e-05,0.7993662357330322,0.22730085253715515,0.7951163053512573,COMPLETE
94,0.8102923631668091,Tanh,75,499,24,0.0031139059044675145,1,0.7259211727050981,3.02815549037408e-05,1.2626780271530151,0.2173057198524475,0.8102923631668091,COMPLETE
95,0.8015137910842896,Tanh,74,499,24,0.002774027955567047,1,0.7295956255273238,8.270632961553088e-05,1.1260954141616821,0.22521193325519562,0.8015137910842896,COMPLETE
96,0.8265140056610107,Tanh,70,488,24,0.0034743822473588186,1,0.7480789595535174,2.9474695249185398e-05,0.9117312431335449,0.18806755542755127,0.8265140056610107,COMPLETE
97,0.7972950339317322,Leaky,71,449,23,0.005059660866865885,1,0.7521896382728269,5.4159568145529816e-05,0.9127728343009949,0.21928569674491882,0.7972950339317322,COMPLETE
98,0.7686141729354858,Tanh,61,437,22,0.0037174343616969306,1,0.6401807092600336,1.5351068778766654e-05,0.8135413527488708,0.24780845642089844,0.7686141729354858,COMPLETE
99,0.8155589699745178,Tanh,11,488,21,0.002583117048590585,1,0.751027901823034,2.7513218607759552e-05,0.9538438320159912,0.19956155121326447,0.8155589699745178,COMPLETE
100,0.7805701494216919,Tanh,24,485,21,0.0026123438974682417,1,0.7982876174139213,2.1275339332600683e-05,0.9155256748199463,0.23249666392803192,0.7805701494216919,COMPLETE
101,0.5339281558990479,Tanh,16,490,1,0.007663551881836718,1,0.7591304640032728,2.998805763674417e-05,2.4234731197357178,0.5094389915466309,0.5339281558990479,COMPLETE
102,0.7858972549438477,Tanh,66,464,24,0.0038212338531507985,1,0.7097081562008523,4.532723732965918e-05,1.427657127380371,0.2457493096590042,0.7858972549438477,COMPLETE
103,0.8027735948562622,Tanh,70,475,20,0.005116286723202461,1,0.7669190323397758,2.736178425876675e-05,1.0734728574752808,0.21481703221797943,0.8027735948562622,COMPLETE
104,0.7887012362480164,Tanh,58,462,23,0.0023995751241322884,1,0.6723931203176873,6.116396458420061e-05,1.1297129392623901,0.2340618222951889,0.7887012362480164,COMPLETE
105,0.7805192470550537,Tanh,34,491,22,0.0032944394405066036,1,0.7280459965496364,2.4142611543668983e-05,11.827756881713867,0.25100815296173096,0.7805192470550537,COMPLETE
106,0.8021547794342041,Sigmoid,67,443,23,0.006148805686058789,1,0.7628195007742231,7.242629484783593e-05,0.9073767066001892,0.21373677253723145,0.8021547794342041,COMPLETE
107,0.7858837842941284,Tanh,54,478,8,0.0017216533927157658,1,0.705939357864946,1.4087612171383654e-05,0.9878780841827393,0.2471432238817215,0.7858837842941284,COMPLETE
108,0.785699188709259,Tanh,61,454,24,0.0044554177380520055,1,0.6567267154183831,2.0810378544796653e-05,2.6623475551605225,0.23647089302539825,0.785699188709259,COMPLETE
109,0.8006147146224976,Tanh,64,493,21,0.002339678958810368,1,0.682387614857173,4.4654360841582806e-05,0.762434184551239,0.22606641054153442,0.8006147146224976,COMPLETE
110,0.7645561099052429,Leaky,59,430,19,0.007687561387518234,1,0.7999537529642233,3.395599312350933e-05,0.9791865944862366,0.2486448734998703,0.7645561099052429,COMPLETE
111,0.8012063503265381,Tanh,75,499,24,0.0029435881317932426,1,0.7207462177203365,3.144354103879081e-05,0.7942204475402832,0.22774286568164825,0.8012063503265381,COMPLETE
112,0.8223121166229248,Tanh,70,483,24,0.003343274065124825,1,0.7400510292767312,2.7210368378679695e-05,1.2222490310668945,0.19694001972675323,0.8223121166229248,COMPLETE
113,0.7939727902412415,Tanh,70,480,22,0.004491084438549601,1,0.7401349334751843,2.4323146978220306e-05,0.8055751919746399,0.22834984958171844,0.7939727902412415,COMPLETE
114,0.7739695906639099,Tanh,73,471,23,0.005528551797962384,1,0.6362608285248221,5.212054119883106e-05,0.8593107461929321,0.243391215801239,0.7739695906639099,COMPLETE
115,0.8177915215492249,Tanh,66,486,24,0.003374665865307464,1,0.7658567691386946,4.210606224212852e-05,1.1052577495574951,0.19774754345417023,0.8177915215492249,COMPLETE
116,0.8083047866821289,Tanh,67,464,24,0.0034869648841596157,1,0.7752260290691043,1.7700265700415567e-05,10.784952163696289,0.20934350788593292,0.8083047866821289,COMPLETE
117,0.7851748466491699,Tanh,69,485,24,0.002283876060768721,1,0.6952697260064787,4.3970305362335143e-05,0.9064841866493225,0.24260789155960083,0.7851748466491699,COMPLETE
118,0.818403422832489,Tanh,11,418,23,0.001721126242766232,1,0.7324288398993836,2.701170544491022e-05,1.0329465866088867,0.20767436921596527,0.818403422832489,COMPLETE
119,0.7685831785202026,Tanh,66,421,23,0.0017501103782249239,1,0.6037646089438088,3.818100505625194e-05,0.7571707367897034,0.24384954571723938,0.7685831785202026,COMPLETE
120,0.7812730073928833,Tanh,71,408,24,0.0019993745853030143,1,0.6672693359789276,9.5457326590214e-05,0.871631920337677,0.24226008355617523,0.7812730073928833,COMPLETE
121,0.7743006348609924,Tanh,15,478,22,0.002879822836763255,1,0.7323963328276161,2.586210783940215e-05,0.9686426520347595,0.2581104338169098,0.7743006348609924,COMPLETE
122,0.819566011428833,Tanh,14,447,23,0.003880574633890055,1,0.7695316730570854,5.5933349280451426e-05,1.0895506143569946,0.19402040541172028,0.819566011428833,COMPLETE
123,0.8023499250411987,Tanh,10,396,23,0.004484702292554638,1,0.77775466060375,5.909922898442011e-05,1.2070872783660889,0.2115805298089981,0.8023499250411987,COMPLETE
124,0.8105549812316895,Tanh,62,452,24,0.003803977376793604,1,0.798600123622148,3.354846201701051e-05,0.8027434945106506,0.20047199726104736,0.8105549812316895,COMPLETE
125,0.7780646085739136,Sigmoid,20,444,23,0.0016219650608604046,1,0.697859869644415,5.2644844149218143e-05,2.129175901412964,0.2534244656562805,0.7780646085739136,COMPLETE
126,0.7932182550430298,Tanh,65,436,22,0.001170976003845643,1,0.7247743061917925,2.0586445010393792e-05,0.7162989974021912,0.23565424978733063,0.7932182550430298,COMPLETE
127,0.7752683758735657,Tanh,15,469,24,0.0034065888056763693,1,0.6430930335154931,8.179343444986853e-05,1.2464481592178345,0.24200089275836945,0.7752683758735657,COMPLETE
128,0.7721229791641235,Tanh,12,370,23,0.006644317888877757,1,0.6733157745239876,1.3317331371355157e-05,0.7949167490005493,0.2520733177661896,0.7721229791641235,COMPLETE
129,0.781920313835144,Tanh,78,460,22,0.004857328455591635,1,0.7593804899112996,4.303667333087021e-05,0.8676934838294983,0.2387576550245285,0.781920313835144,COMPLETE
130,0.8074474930763245,Tanh,29,447,23,0.0019690424039890703,1,0.7107502152528304,6.298742519119117e-05,0.9224085211753845,0.21944335103034973,0.8074474930763245,COMPLETE
