number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,1.0136899948120117,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.3452481031417847,1.0136899948120117,7.939338684082031e-05,COMPLETE
1,0.9368904829025269,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.1994309425354004,0.9368904829025269,0.030893981456756592,COMPLETE
2,1.05111563205719,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,1.5037338733673096,1.05111563205719,0.018040478229522705,COMPLETE
3,0.32038095593452454,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,7.845063209533691,0.32038095593452454,0.6878446340560913,COMPLETE
4,0.6480130553245544,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,4.865771770477295,0.6480130553245544,0.40347063541412354,COMPLETE
5,0.5356468558311462,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.757326602935791,0.5356468558311462,0.4959118962287903,COMPLETE
6,0.32869207859039307,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,1.0657496452331543,0.32869207859039307,0.6554696559906006,COMPLETE
7,0.2978121042251587,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.5763211250305176,0.2978121042251587,0.685042679309845,COMPLETE
8,0.6368979811668396,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,1.4716261625289917,0.6368979811668396,0.4178491234779358,COMPLETE
9,0.3229976296424866,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,2.0268540382385254,0.3229976296424866,0.6971479654312134,COMPLETE
