number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,0.9695619344711304,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.012481927871704,0.9695619344711304,0.15857970714569092,COMPLETE
1,0.9854547381401062,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.4378057718276978,0.9854547381401062,0.057289958000183105,COMPLETE
2,1.0697753429412842,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,0.9897975325584412,1.0697753429412842,-0.011473536491394043,COMPLETE
3,0.2712264657020569,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,81.08184814453125,0.2712264657020569,0.7698509097099304,COMPLETE
4,0.45543527603149414,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,0.8085132837295532,0.45543527603149414,0.5695501565933228,COMPLETE
5,0.3351806402206421,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.8983911275863647,0.3351806402206421,0.704897940158844,COMPLETE
6,0.25008976459503174,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,0.8565656542778015,0.25008976459503174,0.7525981664657593,COMPLETE
7,0.2543300986289978,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.7419241666793823,0.2543300986289978,0.760778546333313,COMPLETE
8,0.30445170402526855,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,0.6584742665290833,0.30445170402526855,0.7163859605789185,COMPLETE
9,0.26000556349754333,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.3532510995864868,0.26000556349754333,0.7728822231292725,COMPLETE
10,0.2447967678308487,Leaky,Leaky,Sigmoid,37,489,15,1.0,22.0,0.04272274816226783,3,0.7508950765561601,0.013414740693873158,0.7982569932937622,0.2447967678308487,0.7583655118942261,COMPLETE
11,0.22501690685749054,Leaky,Leaky,Sigmoid,39,488,15,1.0,24.0,0.09865483133311452,3,0.7330588704579284,0.011369471562899906,0.7319353818893433,0.22501690685749054,0.7626565098762512,COMPLETE
12,0.24648340046405792,Leaky,Leaky,Sigmoid,35,496,15,1.0,23.0,0.09284123732009288,3,0.7923625993182466,0.00741727059015037,0.7454900145530701,0.24648340046405792,0.7632256150245667,COMPLETE
13,0.2744806706905365,Leaky,Leaky,Sigmoid,46,416,17,2.0,23.0,0.07866423121464465,3,0.7849181559184394,0.010566782626685017,1.0737018585205078,0.2744806706905365,0.7376207113265991,COMPLETE
14,0.1574997752904892,Leaky,Leaky,Tanh,71,415,18,10.0,24.0,0.0341703786733068,3,0.6508980241126978,0.0011515378625407235,0.6791449189186096,0.1574997752904892,0.8314709663391113,COMPLETE
15,0.18163970112800598,Sigmoid,Tanh,Tanh,74,405,19,13.0,2.0,0.021257391440792372,3,0.6017919030785369,0.0005597335672043225,0.9731777906417847,0.18163970112800598,0.8139373064041138,COMPLETE
16,0.2613633871078491,Sigmoid,Tanh,Tanh,72,402,19,13.0,1.0,0.018262182252792785,3,0.3314086232116881,0.00047090567561981235,1.3931480646133423,0.2613633871078491,0.7442951202392578,COMPLETE
17,0.1885320395231247,Sigmoid,Tanh,Tanh,77,393,19,13.0,4.0,0.004420428258130095,3,0.622610660030666,0.000602147207774381,7.321287155151367,0.1885320395231247,0.831074059009552,COMPLETE
18,0.2618279457092285,Sigmoid,Tanh,,75,220,24,9.0,,0.032217839394426795,2,0.5821457889627366,0.002557628993486276,1.6987327337265015,0.2618279457092285,0.7609224915504456,COMPLETE
19,0.2399139553308487,Sigmoid,ReLU,Tanh,65,440,12,16.0,12.0,0.006517658655242912,3,0.39350155128062203,0.00023280962240396962,2.7179036140441895,0.2399139553308487,0.7900643944740295,COMPLETE
20,0.21887172758579254,Sigmoid,Tanh,,84,361,17,17.0,,0.027480746092194676,2,0.5967953589681755,0.0016256074567044363,1.2251877784729004,0.21887172758579254,0.7676920890808105,COMPLETE
21,0.186288520693779,Sigmoid,Tanh,Tanh,78,373,19,10.0,1.0,0.004803166708983022,3,0.6457708867133521,0.0005852673987575693,0.7347262501716614,0.186288520693779,0.8279867172241211,COMPLETE
22,0.16054481267929077,Sigmoid,Tanh,ReLU,79,377,21,9.0,7.0,0.010006412824706167,3,0.6550341503205233,0.0006927769473720931,0.6319002509117126,0.16054481267929077,0.8500847816467285,COMPLETE
23,0.24574914574623108,Sigmoid,Tanh,ReLU,65,426,21,7.0,8.0,0.015628898577722015,3,0.49594319944378557,0.003046765553507919,1.8052678108215332,0.24574914574623108,0.7700927257537842,COMPLETE
24,0.17252172529697418,Sigmoid,Tanh,ReLU,53,454,17,11.0,17.0,0.0352220444451938,3,0.6674166991810595,0.0009966322360917758,0.9984288215637207,0.17252172529697418,0.8248284459114075,COMPLETE
25,0.16279816627502441,Sigmoid,Leaky,,50,466,12,10.0,,0.046659868651787076,2,0.6769946681628679,0.0010430042477971339,0.7975748777389526,0.16279816627502441,0.8478633761405945,COMPLETE
26,0.2197866588830948,Leaky,Leaky,,51,359,12,6.0,,0.009148789396001347,2,0.45381568840235226,0.00020141202300997328,1.0906596183776855,0.2197866588830948,0.7963683605194092,COMPLETE
27,0.17502979934215546,Tanh,Leaky,,61,74,11,9.0,,0.059333358962932334,2,0.6826763369061525,0.001774498773272108,0.807176411151886,0.17502979934215546,0.8256605863571167,COMPLETE
28,0.22941040992736816,Sigmoid,Leaky,,82,460,9,4.0,,0.05460782449545563,2,0.7911263580834336,0.0045121779485587385,0.634028971195221,0.22941040992736816,0.8012435436248779,COMPLETE
29,0.1967906504869461,Leaky,Leaky,,100,205,24,16.0,,0.0222276893215025,2,0.4735870268513782,0.0011680135394651272,1.2433792352676392,0.1967906504869461,0.8267046809196472,COMPLETE
30,0.18805870413780212,Leaky,ReLU,,69,240,13,8.0,,0.009280680695540555,2,0.5378224894313778,9.407259276053189e-05,1.375824213027954,0.18805870413780212,0.8364967703819275,COMPLETE
31,0.17910726368427277,Sigmoid,Tanh,ReLU,49,454,17,11.0,17.0,0.0423211965611162,3,0.6559640563159275,0.0008621487488646485,0.7631161212921143,0.17910726368427277,0.7997040748596191,COMPLETE
32,0.16710780560970306,Sigmoid,Sigmoid,Leaky,56,438,17,11.0,17.0,0.033953722841329005,3,0.6847540511242471,0.0003977545118664546,0.7628406882286072,0.16710780560970306,0.843367874622345,COMPLETE
33,0.15708132088184357,Sigmoid,Sigmoid,Leaky,57,441,21,11.0,17.0,0.028804648724401815,3,0.6818435801659908,0.000263174056294896,1.1255595684051514,0.15708132088184357,0.8507614135742188,COMPLETE
34,0.20308589935302734,Sigmoid,Sigmoid,Leaky,44,145,22,15.0,10.0,0.018070502823327363,3,0.5897907059326918,0.00033809918902814775,1.0881736278533936,0.20308589935302734,0.8227152228355408,COMPLETE
35,0.27929502725601196,ReLU,Sigmoid,,59,376,1,4.0,,0.05696857530232935,2,0.44830041134840615,0.00013997466624023384,1.1156318187713623,0.27929502725601196,0.7542508244514465,COMPLETE
36,0.17506462335586548,Sigmoid,Sigmoid,Leaky,68,310,21,14.0,19.0,0.0022784296934714007,3,0.7019472921876805,8.638613706836617e-05,0.8015099167823792,0.17506462335586548,0.8366252183914185,COMPLETE
37,0.22275397181510925,Tanh,ReLU,,27,268,7,18.0,,0.0003721120144546223,2,0.547369480251006,0.0008685390268668149,1.4170613288879395,0.22275397181510925,0.8075776100158691,COMPLETE
38,0.2168668657541275,Sigmoid,Leaky,ReLU,83,469,23,9.0,6.0,0.00703107174242895,3,0.42156627100496574,0.00037377766194058735,2.2316734790802,0.2168668657541275,0.8108814358711243,COMPLETE
39,0.20961058139801025,ReLU,Sigmoid,Leaky,42,427,4,19.0,14.0,0.013439471377557051,3,0.5189263919319336,0.0020205471093187074,2.958876848220825,0.20961058139801025,0.8140365481376648,COMPLETE
40,0.16224609315395355,Sigmoid,Leaky,,56,333,22,7.0,,0.026277773593141162,2,0.711029314801188,3.889431005101764e-05,0.5654143691062927,0.16224609315395355,0.838604211807251,COMPLETE
41,0.1707003116607666,Sigmoid,Leaky,,56,344,21,7.0,,0.025671709823499683,2,0.7284183430571587,3.454938768094392e-05,0.5496529936790466,0.1707003116607666,0.8206138610839844,COMPLETE
42,0.18308225274085999,Sigmoid,Leaky,,61,385,23,5.0,,0.014056032855597608,2,0.6189610624060262,2.0952480613893127e-05,1.15585196018219,0.18308225274085999,0.8084432482719421,COMPLETE
43,0.16266439855098724,Sigmoid,Leaky,,48,296,20,24.0,,0.0611855065719434,2,0.7168096892361061,1.1623147061695021e-05,0.6763293743133545,0.16266439855098724,0.8220040798187256,COMPLETE
44,0.16229689121246338,Tanh,Leaky,,69,289,20,24.0,,0.07011842313822578,2,0.7359129780514826,1.276316846088433e-05,0.6423441171646118,0.16229689121246338,0.7992027401924133,COMPLETE
45,0.18627136945724487,Tanh,,,68,267,22,,,0.03127074885500784,1,0.7933397676136906,4.164936673472404e-05,0.9411795735359192,0.18627136945724487,0.8186941146850586,COMPLETE
46,0.1848229318857193,Tanh,Sigmoid,,89,330,20,24.0,,0.06527991398622494,2,0.571033724893332,1.5316721622791277e-05,0.8888789415359497,0.1848229318857193,0.8351197242736816,COMPLETE
47,0.18150411546230316,Tanh,,,72,305,18,,,0.0947090818982482,1,0.7245438582822928,2.667116449394894e-05,0.5531999468803406,0.18150411546230316,0.825279712677002,COMPLETE
48,0.1874401867389679,Tanh,Leaky,ReLU,80,280,23,12.0,20.0,0.011585669327609103,3,0.49195832553954005,6.875826481795853e-05,1.7175517082214355,0.1874401867389679,0.8152964115142822,COMPLETE
49,0.17522822320461273,Leaky,Leaky,,94,347,21,21.0,,0.020986621529912007,2,0.6301617305639611,5.0965789595470385e-05,0.7898503541946411,0.17522822320461273,0.8161015510559082,COMPLETE
50,0.18531183898448944,ReLU,Leaky,Leaky,11,246,16,7.0,14.0,0.04001646999177974,3,0.7987988624715302,1.1191300962776417e-05,0.7012827396392822,0.18531183898448944,0.7864663600921631,COMPLETE
51,0.15850311517715454,Leaky,Leaky,,63,324,20,24.0,,0.07193850799129192,2,0.708955156346017,1.8874208223966568e-05,0.7743418216705322,0.15850311517715454,0.7748736143112183,COMPLETE
52,0.21237318217754364,Leaky,Leaky,,64,325,18,23.0,,0.08844241319717973,2,0.5638485155819913,2.3459985439399156e-05,1.4979482889175415,0.21237318217754364,0.7933672070503235,COMPLETE
53,0.1587815135717392,Leaky,Leaky,,71,409,20,22.0,,0.04576763358050209,2,0.7401914809776107,1.8855576495001583e-05,0.6659560799598694,0.1587815135717392,0.8153143525123596,COMPLETE
54,0.17008832097053528,Leaky,Leaky,,59,409,22,22.0,,0.021131163780007282,2,0.6387730254530877,3.260449630282445e-05,0.7872432470321655,0.17008832097053528,0.8279185891151428,COMPLETE
55,0.19061215221881866,Leaky,ReLU,ReLU,55,367,24,21.0,8.0,0.027976735272515353,3,0.5989810879875205,1.93750659376916e-05,1.2254353761672974,0.19061215221881866,0.7823443412780762,COMPLETE
56,0.15701571106910706,Leaky,Sigmoid,,75,390,18,20.0,,0.04457760244307516,2,0.7343941504221779,5.349981446911015e-05,0.6449587345123291,0.15701571106910706,0.8359614610671997,COMPLETE
57,0.15354740619659424,Leaky,Sigmoid,Leaky,86,394,18,20.0,20.0,0.04459008713664046,3,0.7515032499689152,6.0222616236996334e-05,0.5984768271446228,0.15354740619659424,0.8236452341079712,COMPLETE
58,0.18560640513896942,Leaky,,,86,420,18,,,0.045735046527259016,1,0.7371233232757015,6.515821552162403e-05,0.6017290949821472,0.18560640513896942,0.8268129825592041,COMPLETE
59,0.15272262692451477,Leaky,Sigmoid,Leaky,75,443,16,20.0,20.0,0.0981543931272773,3,0.7609856187228472,0.00010993769407597573,0.8472582697868347,0.15272262692451477,0.8540297746658325,COMPLETE
60,0.18145640194416046,Leaky,Sigmoid,Leaky,74,499,14,19.0,20.0,0.09791403913458906,3,0.5223632508327312,0.00013069318961172994,1.1994751691818237,0.18145640194416046,0.8296021223068237,COMPLETE
61,0.14938785135746002,Leaky,Sigmoid,Leaky,76,481,16,20.0,21.0,0.06875643890834773,3,0.758400009776983,4.61527801535859e-05,0.699011504650116,0.14938785135746002,0.8472663164138794,COMPLETE
62,0.14570456743240356,Leaky,Sigmoid,Leaky,76,478,16,20.0,21.0,0.07477055602667809,3,0.6698170255138993,5.386135006674392e-05,0.7167295217514038,0.14570456743240356,0.83472740650177,COMPLETE
63,0.15910640358924866,Leaky,Sigmoid,Leaky,86,470,16,20.0,21.0,0.07222304846115869,3,0.6419527718999034,5.2942361147015216e-05,0.7696980237960815,0.15910640358924866,0.8240163326263428,COMPLETE
64,0.14813190698623657,Leaky,Sigmoid,Leaky,75,477,14,18.0,19.0,0.03654232082456063,3,0.7614744809263388,0.00011110616819237313,0.8243868350982666,0.14813190698623657,0.8299398422241211,COMPLETE
65,0.16522978246212006,Leaky,Sigmoid,Leaky,76,442,14,18.0,18.0,0.050780919137549556,3,0.771768124053087,0.00011133256702011306,0.9401766657829285,0.16522978246212006,0.8431233167648315,COMPLETE
66,0.17041315138339996,Leaky,Sigmoid,Leaky,91,478,16,20.0,21.0,0.04056168443735361,3,0.7993657327078577,0.00015488305745847683,0.5553569197654724,0.17041315138339996,0.8314862251281738,COMPLETE
67,0.18774092197418213,Leaky,Sigmoid,Leaky,81,485,15,20.0,19.0,0.07328660578983516,3,0.605188774916202,8.106284233026743e-05,1.034429907798767,0.18774092197418213,0.8002874851226807,COMPLETE
68,0.150700643658638,Leaky,Sigmoid,Leaky,78,448,14,17.0,22.0,0.016595352445841864,3,0.6771058419922423,0.0001073397560595145,0.7635005116462708,0.150700643658638,0.8490294218063354,COMPLETE
69,0.15664169192314148,Leaky,Sigmoid,Leaky,87,451,13,17.0,23.0,0.0942221420975596,3,0.6740394589851112,5.9331449208641616e-05,0.8244534730911255,0.15664169192314148,0.8239178657531738,COMPLETE
70,0.14733807742595673,Leaky,Sigmoid,Leaky,87,453,13,17.0,22.0,0.0987830563941,3,0.6825815762359511,0.00010860142015003965,0.7419687509536743,0.14733807742595673,0.8270801901817322,COMPLETE
71,0.14996843039989471,Leaky,Sigmoid,Leaky,98,454,13,17.0,22.0,0.08411944136003771,3,0.6669881888099924,0.00010504529806992318,0.8234202265739441,0.14996843039989471,0.8267240524291992,COMPLETE
72,0.19101327657699585,Leaky,Sigmoid,Leaky,100,481,11,17.0,22.0,0.099168858731461,3,0.570359700706129,0.00011958154755198839,1.0161024332046509,0.19101327657699585,0.8080517053604126,COMPLETE
73,0.1599634736776352,Leaky,Sigmoid,Leaky,96,493,14,18.0,22.0,0.060351159175895015,3,0.7554100500038029,0.00016698918173492337,0.6659071445465088,0.1599634736776352,0.8281324505805969,COMPLETE
74,0.13062797486782074,Leaky,Sigmoid,Leaky,84,429,15,16.0,21.0,0.053153632732326254,3,0.6758034850437113,9.543580925178982e-05,0.851502537727356,0.13062797486782074,0.8395196199417114,COMPLETE
75,0.13546374440193176,Leaky,Sigmoid,Leaky,78,434,15,15.0,24.0,0.07071947264601418,3,0.6739042507809603,9.971055527314839e-05,0.9204556941986084,0.13546374440193176,0.8491325974464417,COMPLETE
76,0.1482933759689331,Leaky,Sigmoid,Sigmoid,93,428,13,15.0,24.0,0.03564716418730508,3,0.6670329304279198,8.308511589809366e-05,0.6181497573852539,0.1482933759689331,0.8451583385467529,COMPLETE
77,0.17475172877311707,Leaky,Sigmoid,Sigmoid,92,432,13,15.0,24.0,0.034184962810280266,3,0.6308785047949214,0.00018442483223451647,0.6177847981452942,0.17475172877311707,0.8182798624038696,COMPLETE
78,0.18473047018051147,Leaky,Sigmoid,Sigmoid,96,463,11,15.0,24.0,0.07413487401893211,3,0.5511901161829006,7.428629918819821e-05,1.3889626264572144,0.18473047018051147,0.8012098073959351,COMPLETE
79,0.18381854891777039,Leaky,Sigmoid,Sigmoid,84,476,15,16.0,23.0,0.057509323629361904,3,0.5937618630743597,9.158665221960732e-05,0.7959917187690735,0.18381854891777039,0.8253374099731445,COMPLETE
80,0.1650209277868271,Leaky,Sigmoid,Sigmoid,95,500,10,14.0,23.0,0.054387665952871284,3,0.6583797536035881,0.00023832852429173343,0.7456189393997192,0.1650209277868271,0.8433539867401123,COMPLETE
81,0.15327660739421844,Leaky,Sigmoid,Leaky,89,456,15,16.0,22.0,0.036191810586692526,3,0.6864440636103583,9.625129327762119e-05,0.6341919898986816,0.15327660739421844,0.8347291350364685,COMPLETE
82,0.15318742394447327,Leaky,Sigmoid,Leaky,79,422,14,17.0,21.0,0.01818603814701802,3,0.6918685312760812,4.265464622146276e-05,0.5463135242462158,0.15318742394447327,0.8482307195663452,COMPLETE
83,0.1581970602273941,Leaky,Sigmoid,Leaky,98,464,13,14.0,22.0,0.06851194990135616,3,0.655938002040554,0.00014245128568207862,0.7575854659080505,0.1581970602273941,0.8396978378295898,COMPLETE
84,0.19558022916316986,Leaky,Sigmoid,Leaky,93,448,12,18.0,24.0,0.07920106984812304,3,0.5971223297146895,7.297724247571686e-05,1.3792155981063843,0.19558022916316986,0.7920165061950684,COMPLETE
85,0.18434566259384155,Leaky,Sigmoid,Leaky,83,168,14,19.0,23.0,0.025499792815909222,3,0.626962616400908,0.0002104652726664272,0.7641218900680542,0.18434566259384155,0.8077952861785889,COMPLETE
86,0.14907890558242798,Leaky,Sigmoid,Leaky,77,431,15,16.0,21.0,0.05311205103484703,3,0.6979105779663325,0.00010003146338712822,0.6028986573219299,0.14907890558242798,0.8442089557647705,COMPLETE
87,0.13805554807186127,ReLU,Sigmoid,Sigmoid,81,431,15,16.0,21.0,0.051327274436117336,3,0.696240276853507,4.613408318950935e-05,0.7379991412162781,0.13805554807186127,0.8361589312553406,COMPLETE
88,0.15526051819324493,ReLU,Sigmoid,Sigmoid,80,433,16,15.0,19.0,0.035144396835135025,3,0.7137226802129446,3.2849723157138945e-05,0.6726227402687073,0.15526051819324493,0.841374933719635,COMPLETE
89,0.17159368097782135,ReLU,ReLU,Sigmoid,73,413,15,13.0,21.0,0.052698378753021934,3,0.7671252362157346,4.555727268484777e-05,1.1830804347991943,0.17159368097782135,0.8000299334526062,COMPLETE
