number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,0.008627653121948242,Tanh,96,218,4,4.207988669606632e-05,1,0.4582013868952863,0.0024810409748678114,1.9831794500350952,1.1423505544662476,0.008627653121948242,COMPLETE
1,0.23371350765228271,Tanh,98,59,5,5.3370327626039544e-05,1,0.5646386642932582,7.068974950624602e-05,1.0836350917816162,0.8822025060653687,0.23371350765228271,COMPLETE
2,0.7256736159324646,Sigmoid,22,325,19,0.0006672367170464204,1,0.18358318781006536,0.0002920433847181409,1.392362356185913,0.27758482098579407,0.7256736159324646,COMPLETE
3,0.6534731388092041,Sigmoid,25,324,20,0.07286653737491042,1,0.1144846978456873,0.06245139574743072,0.7312297224998474,0.3671698272228241,0.6534731388092041,COMPLETE
4,0.027734696865081787,Sigmoid,55,105,16,0.00010842262717330161,1,0.10741277311947185,0.0433792069749094,1.0418251752853394,1.0193943977355957,0.027734696865081787,COMPLETE
5,0.8045586347579956,Leaky,80,487,23,0.002463768595899745,1,0.7054270142609772,0.03795853142670639,0.854300856590271,0.20966029167175293,0.8045586347579956,COMPLETE
6,0.769409716129303,Leaky,34,225,14,0.000132965214572995,1,0.560305062386961,0.00026730883107816685,1.2623432874679565,0.2627948224544525,0.769409716129303,COMPLETE
7,0.7393319606781006,ReLU,28,398,18,0.00672093005015611,1,0.10115491015452849,0.018274508859816022,0.6763230562210083,0.27594268321990967,0.7393319606781006,COMPLETE
8,0.5731281042098999,Sigmoid,66,439,8,0.00017535949529764417,1,0.1989897438445013,1.795698422567761e-05,0.9831451177597046,0.4300347566604614,0.5731281042098999,COMPLETE
9,0.783032238483429,ReLU,74,103,12,0.012130221181165156,1,0.48647145240701695,0.0017583640270008513,2.3173270225524902,0.24372635781764984,0.783032238483429,COMPLETE
10,0.8189795613288879,Leaky,79,491,22,0.0017404157466432903,1,0.7508950765561601,0.010540963318040455,0.6615711450576782,0.20444224774837494,0.8189795613288879,COMPLETE
11,0.8205738067626953,Leaky,81,492,23,0.0017143477552760739,1,0.7959603266871323,0.00974371454191917,0.7348737716674805,0.20998193323612213,0.8205738067626953,COMPLETE
