number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
23,0.5427770018577576,2023-10-30 13:45:21.959848,2023-10-30 13:45:24.512139,0 days 00:00:02.552291,ReLU,,64,22,,0.0008367175805666923,1,350,0.6424503806251206,0.00015802162450623546,"tensor(0.5428, device='cuda:0')",COMPLETE
24,0.35162705183029175,2023-10-30 13:45:24.512526,2023-10-30 13:45:25.031387,0 days 00:00:00.518861,ReLU,,52,15,,0.034851428185985224,1,460,0.4392860879642444,4.8557117888665284e-05,"tensor(0.3516, device='cuda:0')",COMPLETE
25,0.3449302911758423,2023-10-30 13:45:25.031771,2023-10-30 13:45:25.365527,0 days 00:00:00.333756,ReLU,Tanh,100,18,9.0,0.015509855411707078,2,494,0.36028506386670966,0.00017373540122958116,"tensor(0.3449, device='cuda:0')",COMPLETE
26,0.4741440415382385,2023-10-30 13:45:25.365915,2023-10-30 13:45:25.642603,0 days 00:00:00.276688,ReLU,,23,11,,0.037842707264411544,1,394,0.5386701061271923,0.00046436714538205853,"tensor(0.4741, device='cuda:0')",COMPLETE
27,0.3507488965988159,2023-10-30 13:45:25.642985,2023-10-30 13:45:26.065225,0 days 00:00:00.422240,ReLU,Tanh,57,22,21.0,0.008281066557534385,2,422,0.46127653725002055,0.00012215231157138476,"tensor(0.3507, device='cuda:0')",COMPLETE
28,0.35564595460891724,2023-10-30 13:45:26.065601,2023-10-30 13:45:26.990935,0 days 00:00:00.925334,Leaky,,29,15,,0.018828203506219495,1,456,0.7103453925939807,1.116972186523349e-05,"tensor(0.3556, device='cuda:0')",COMPLETE
29,0.3526575267314911,2023-10-30 13:45:26.991315,2023-10-30 13:45:28.648585,0 days 00:00:01.657270,Sigmoid,Leaky,38,13,14.0,0.0012968519703663575,2,153,0.5563546863778258,7.183393027737097e-05,"tensor(0.3527, device='cuda:0')",COMPLETE
30,0.38798004388809204,2023-10-30 13:45:28.648961,2023-10-30 13:45:28.899437,0 days 00:00:00.250476,ReLU,Sigmoid,45,18,9.0,0.090984356022262,2,216,0.3474357144910305,0.000565923940419203,"tensor(0.3880, device='cuda:0')",COMPLETE
31,0.36282503604888916,2023-10-30 13:45:28.899823,2023-10-30 13:45:29.052197,0 days 00:00:00.152374,ReLU,Tanh,98,18,8.0,0.01762261247836611,2,490,0.37152498902359027,0.00021314694934682361,"tensor(0.3628, device='cuda:0')",COMPLETE
32,0.29062914848327637,2023-10-30 13:45:29.052576,2023-10-30 13:45:29.495856,0 days 00:00:00.443280,ReLU,Tanh,80,20,11.0,0.016062605145747807,2,477,0.42537796286054946,0.0001745311288827597,"tensor(0.2906, device='cuda:0')",COMPLETE
33,0.34376031160354614,2023-10-30 13:45:29.496228,2023-10-30 13:45:29.729090,0 days 00:00:00.232862,ReLU,Tanh,84,20,16.0,0.045201633725935685,2,393,0.4518511451277135,8.779494263501679e-05,"tensor(0.3438, device='cuda:0')",COMPLETE
34,0.3087480664253235,2023-10-30 13:45:29.729461,2023-10-30 13:45:31.090141,0 days 00:00:01.360680,ReLU,Tanh,69,24,12.0,0.003738381038751747,2,466,0.5954428804127784,0.00033623340395236366,"tensor(0.3087, device='cuda:0')",COMPLETE
35,0.3715289235115051,2023-10-30 13:45:31.090522,2023-10-30 13:45:31.459696,0 days 00:00:00.369174,Leaky,Tanh,61,21,19.0,0.011710492133862108,2,436,0.4226618268417159,0.00020352768858797104,"tensor(0.3715, device='cuda:0')",COMPLETE
36,0.5460706949234009,2023-10-30 13:45:31.460073,2023-10-30 13:45:34.581677,0 days 00:00:03.121604,Sigmoid,Tanh,50,16,2.0,0.025893743778999206,2,370,0.5395925847619936,0.0013970081059569918,"tensor(0.5461, device='cuda:0')",COMPLETE
37,0.3981446623802185,2023-10-30 13:45:34.582047,2023-10-30 13:45:35.548716,0 days 00:00:00.966669,Tanh,Tanh,76,14,12.0,0.006016764780498573,2,479,0.6836323956697857,2.7257846068338003e-05,"tensor(0.3981, device='cuda:0')",COMPLETE
38,0.3382808268070221,2023-10-30 13:45:35.549109,2023-10-30 13:45:37.317637,0 days 00:00:01.768528,ReLU,,94,19,,0.002167724388811749,1,407,0.582420580840208,0.00011638524884979197,"tensor(0.3383, device='cuda:0')",COMPLETE
39,0.4694705605506897,2023-10-30 13:45:37.318052,2023-10-30 13:45:37.407758,0 days 00:00:00.089706,Leaky,ReLU,87,22,8.0,0.05071982877553707,2,441,0.2811338737484185,0.00044291248730460867,"tensor(0.4695, device='cuda:0')",COMPLETE
40,0.40830057859420776,2023-10-30 13:45:37.408123,2023-10-30 13:45:37.974158,0 days 00:00:00.566035,Tanh,Sigmoid,43,20,14.0,0.011901591037531706,2,306,0.389920570933156,4.5845372261539586e-05,"tensor(0.4083, device='cuda:0')",COMPLETE
41,0.3856709897518158,2023-10-30 13:45:37.974531,2023-10-30 13:45:39.462118,0 days 00:00:01.487587,ReLU,Tanh,69,24,12.0,0.003387350380479565,2,470,0.603905490013893,0.00019062928550456023,"tensor(0.3857, device='cuda:0')",COMPLETE
42,0.27592626214027405,2023-10-30 13:45:39.462524,2023-10-30 13:45:40.423083,0 days 00:00:00.960559,ReLU,Tanh,81,23,11.0,0.004091285952103613,2,497,0.7940299504854057,0.000282110101164498,"tensor(0.2759, device='cuda:0')",COMPLETE
43,0.36579498648643494,2023-10-30 13:45:40.423496,2023-10-30 13:45:40.969138,0 days 00:00:00.545642,ReLU,Tanh,83,23,10.0,0.007620614702053425,2,491,0.7769395431196771,0.00027174767349327105,"tensor(0.3658, device='cuda:0')",COMPLETE
44,0.26545625925064087,2023-10-30 13:45:40.969534,2023-10-30 13:45:41.345640,0 days 00:00:00.376106,ReLU,Tanh,90,21,11.0,0.01596656465086599,2,434,0.6577607762251594,0.00013598283243630775,"tensor(0.2655, device='cuda:0')",COMPLETE
45,0.36005690693855286,2023-10-30 13:45:41.346031,2023-10-30 13:45:42.367881,0 days 00:00:01.021850,Sigmoid,Leaky,92,21,11.0,0.010538836070570375,2,428,0.7957857353574991,8.152851632659851e-05,"tensor(0.3601, device='cuda:0')",COMPLETE
46,0.3150840103626251,2023-10-30 13:45:42.368268,2023-10-30 13:45:43.054557,0 days 00:00:00.686289,ReLU,ReLU,89,23,14.0,0.004573896694559989,2,336,0.690246030983581,0.00014356148764988727,"tensor(0.3151, device='cuda:0')",COMPLETE
47,0.40566280484199524,2023-10-30 13:45:43.054958,2023-10-30 13:45:45.771442,0 days 00:00:02.716484,ReLU,Tanh,77,6,6.0,0.002412500668404194,2,382,0.6559791268895196,0.0006786153038572175,"tensor(0.4057, device='cuda:0')",COMPLETE
48,0.29825150966644287,2023-10-30 13:45:45.771811,2023-10-30 13:45:46.248684,0 days 00:00:00.476873,Tanh,Tanh,64,19,16.0,0.024625888055943984,2,444,0.7090018855234468,0.0004390146145617379,"tensor(0.2983, device='cuda:0')",COMPLETE
49,0.3922092914581299,2023-10-30 13:45:46.249079,2023-10-30 13:45:47.019199,0 days 00:00:00.770120,ReLU,,72,22,,0.007306187274167754,1,399,0.5044762814264372,0.001066108359963605,"tensor(0.3922, device='cuda:0')",COMPLETE
50,0.2879287004470825,2023-10-30 13:45:47.019569,2023-10-30 13:45:47.749042,0 days 00:00:00.729473,ReLU,ReLU,81,20,18.0,0.005260939939497984,2,420,0.6186152716695182,0.00011640599957361554,"tensor(0.2879, device='cuda:0')",COMPLETE
51,0.3364185690879822,2023-10-30 13:45:47.749411,2023-10-30 13:45:48.642120,0 days 00:00:00.892709,ReLU,ReLU,82,20,23.0,0.005308268040468708,2,414,0.6215310779301176,0.00013256004743716093,"tensor(0.3364, device='cuda:0')",COMPLETE
52,0.3042334020137787,2023-10-30 13:45:48.642532,2023-10-30 13:45:49.607289,0 days 00:00:00.964757,ReLU,ReLU,87,21,18.0,0.010050489491571122,2,451,0.7281809771908107,0.00010067880801740335,"tensor(0.3042, device='cuda:0')",COMPLETE
53,0.44272807240486145,2023-10-30 13:45:49.607687,2023-10-30 13:45:51.475975,0 days 00:00:01.868288,ReLU,ReLU,60,23,11.0,0.003714898202660346,2,479,0.6592652532241277,0.00032632444726524433,"tensor(0.4427, device='cuda:0')",COMPLETE
54,0.3457798659801483,2023-10-30 13:45:51.476372,2023-10-30 13:45:51.774612,0 days 00:00:00.298240,ReLU,ReLU,79,19,22.0,0.016117125392214323,2,500,0.5620013169505159,0.0002028406251369752,"tensor(0.3458, device='cuda:0')",COMPLETE
55,0.3640269935131073,2023-10-30 13:45:51.775010,2023-10-30 13:45:52.058436,0 days 00:00:00.283426,ReLU,ReLU,48,17,18.0,0.06219317226930182,2,378,0.795074006026058,6.31528086165732e-05,"tensor(0.3640, device='cuda:0')",COMPLETE
56,0.375016987323761,2023-10-30 13:45:52.058863,2023-10-30 13:45:52.297760,0 days 00:00:00.238897,Leaky,Tanh,96,24,13.0,0.03353020619008296,2,423,0.7345152603120904,0.00014953745046079103,"tensor(0.3750, device='cuda:0')",COMPLETE
