number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,-0.37762928009033203,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,0.9973239898681641,4.278054237365723,-0.37762928009033203,COMPLETE
1,-0.36630821228027344,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.1442224979400635,9.095003128051758,-0.36630821228027344,COMPLETE
2,-0.15031564235687256,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,1.9555490016937256,9.384194374084473,-0.15031564235687256,COMPLETE
3,-0.01152050495147705,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,2.1388320922851562,3.083529472351074,-0.01152050495147705,COMPLETE
4,-0.11426210403442383,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,1.0605804920196533,7.54775333404541,-0.11426210403442383,COMPLETE
5,0.00667041540145874,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.9360226392745972,2.4406044483184814,0.00667041540145874,COMPLETE
6,-0.07969355583190918,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,1.9294353723526,7.317349910736084,-0.07969355583190918,COMPLETE
7,-0.0020787715911865234,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.9096760749816895,2.263719081878662,-0.0020787715911865234,COMPLETE
8,-0.27061891555786133,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,1.4124832153320312,10.365619659423828,-0.27061891555786133,COMPLETE
9,-0.38802778720855713,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,2.203798294067383,3.4103753566741943,-0.38802778720855713,COMPLETE
10,-0.17526841163635254,Tanh,Leaky,Sigmoid,36,129,15,1.0,22.0,0.04272274816226783,3,0.7508950765561601,0.08620070809626805,2.9798200130462646,1.119551181793213,-0.17526841163635254,COMPLETE
11,0.11330020427703857,Sigmoid,Tanh,Tanh,73,394,15,14.0,3.0,0.014492119241216447,3,0.32461138128253453,0.008043842836468718,2.3150110244750977,2.3783087730407715,0.11330020427703857,COMPLETE
12,0.047885000705718994,Sigmoid,Tanh,Tanh,66,491,17,14.0,1.0,0.09107368576186006,3,0.34613783846999896,0.00890877599787255,2.3009531497955322,2.7799320220947266,0.047885000705718994,COMPLETE
13,0.10854417085647583,Sigmoid,Tanh,Tanh,73,494,18,14.0,2.0,0.07577551525044468,3,0.3366097931814733,0.007787591322123923,2.0323891639709473,2.542724132537842,0.10854417085647583,COMPLETE
14,0.1508820652961731,Sigmoid,Tanh,Tanh,75,414,18,14.0,1.0,0.03173333755895349,3,0.33522984881112317,0.0005532218590182475,1.9317240715026855,2.4219627380371094,0.1508820652961731,COMPLETE
15,-0.2397841215133667,Sigmoid,Tanh,Tanh,76,418,12,17.0,8.0,0.013115141093012442,3,0.1919026384881103,0.0005556798953131388,5.907654762268066,8.032776832580566,-0.2397841215133667,COMPLETE
16,0.09806030988693237,Sigmoid,Tanh,ReLU,46,389,18,9.0,10.0,0.034188547839834056,3,0.30075426780244224,0.0008634548498242442,2.166105031967163,2.272096633911133,0.09806030988693237,COMPLETE
17,-0.11179506778717041,Sigmoid,Tanh,Leaky,80,437,15,10.0,1.0,0.005820288719064515,3,0.17275258884903127,0.00030616588882088246,2.74409818649292,6.637913703918457,-0.11179506778717041,COMPLETE
18,0.0071242451667785645,Sigmoid,ReLU,,49,364,24,18.0,,0.027084834591982923,2,0.2779879152559512,0.002863256667035683,2.674532651901245,2.2515149116516113,0.0071242451667785645,COMPLETE
19,0.1103479266166687,Sigmoid,Leaky,Tanh,84,222,20,17.0,7.0,0.004525353512120389,3,0.39350155128062203,0.00017472062095994165,2.11702823638916,2.712024450302124,0.1103479266166687,COMPLETE
20,-0.1257532835006714,Leaky,Tanh,,68,451,12,10.0,,0.0004553727373930536,2,0.23339225265817368,0.0025818947645002577,1.433301329612732,7.524576187133789,-0.1257532835006714,COMPLETE
21,0.07638794183731079,Sigmoid,Leaky,Tanh,84,231,21,17.0,5.0,0.0036894525702185514,3,0.3783576962015507,0.0001604646214169376,2.36250901222229,2.6597490310668945,0.07638794183731079,COMPLETE
22,0.0408363938331604,Sigmoid,Leaky,Tanh,79,158,19,13.0,6.0,0.019679139615664736,3,0.4374669628486933,0.00044128964112235403,157.1728973388672,3.0931010246276855,0.0408363938331604,COMPLETE
23,0.09486633539199829,Sigmoid,Leaky,Tanh,99,258,16,19.0,15.0,0.005811702643234534,3,0.312425436479074,0.0010526986233063815,2.138967514038086,2.2801425457000732,0.09486633539199829,COMPLETE
24,0.14344245195388794,Sigmoid,Tanh,Tanh,58,365,20,15.0,5.0,0.03881603844146546,3,0.31515973694172417,8.463084413016946e-05,2.1158368587493896,2.2974612712860107,0.14344245195388794,COMPLETE
25,0.1380293369293213,Sigmoid,Tanh,,54,371,13,14.0,,0.043521528546810434,2,0.2958155462440741,8.378519425630552e-05,2.051135301589966,2.0412638187408447,0.1380293369293213,COMPLETE
26,0.1500759720802307,Sigmoid,Tanh,,55,358,13,11.0,,0.052189646804134335,2,0.25734819788193375,7.870583413245977e-05,1.9579846858978271,1.919998049736023,0.1500759720802307,COMPLETE
27,-0.13164472579956055,Sigmoid,Tanh,,41,352,17,7.0,,0.08313947486264048,2,0.24319019942762202,1.240366830254757e-05,1.8920903205871582,7.5329365730285645,-0.13164472579956055,COMPLETE
28,-0.4742281436920166,Leaky,Tanh,,58,313,10,11.0,,0.04012239346103912,2,0.1674519895751547,0.00010256515669975984,1.9364453554153442,12.263835906982422,-0.4742281436920166,COMPLETE
29,0.11421984434127808,Leaky,Sigmoid,,62,427,22,6.0,,0.02294460229488516,2,0.25938089340459725,3.9089223742551726e-05,1.9810242652893066,2.00099778175354,0.11421984434127808,COMPLETE
30,-0.14819908142089844,Sigmoid,ReLU,,51,262,19,3.0,,0.06697884797859481,2,0.2123727902948243,3.0317360969758758e-05,2.0180037021636963,7.781628608703613,-0.14819908142089844,COMPLETE
31,0.1439381241798401,Sigmoid,Tanh,,54,383,11,12.0,,0.052237039897257496,2,0.2868083271760649,7.863826854359162e-05,2.0855727195739746,2.027271032333374,0.1439381241798401,COMPLETE
32,0.12665832042694092,Sigmoid,Tanh,,45,379,10,12.0,,0.05371849980676301,2,0.27839880373048925,7.558008573269636e-05,2.779676914215088,1.9804511070251465,0.12665832042694092,COMPLETE
33,0.07538950443267822,Sigmoid,Tanh,,58,416,7,8.0,,0.029059132101926698,2,0.34152527760686274,2.6059584582068407e-05,2.009728193283081,2.6372921466827393,0.07538950443267822,COMPLETE
34,-0.23965120315551758,Sigmoid,Tanh,,70,471,11,15.0,,0.09934628674204277,2,0.2323968006735254,5.8874767793008946e-05,1.7603765726089478,8.285874366760254,-0.23965120315551758,COMPLETE
35,0.16812872886657715,ReLU,Tanh,,29,305,8,12.0,,0.02073518504828681,2,0.2861128831030988,0.00012499807374811382,2.0708611011505127,1.9699844121932983,0.16812872886657715,COMPLETE
36,0.3079044818878174,ReLU,Tanh,,27,302,1,12.0,,0.008552976871317373,2,0.26312240308035884,0.0002961699053892865,1.5743438005447388,1.5634596347808838,0.3079044818878174,COMPLETE
37,-0.1930828094482422,ReLU,ReLU,,30,292,2,10.0,,0.00900525236183201,2,0.25384277326360083,0.00026123612224371876,1.4485459327697754,7.941906452178955,-0.1930828094482422,COMPLETE
38,-0.28081440925598145,ReLU,,,11,312,1,,,0.0163956365118171,1,0.3748741534899905,0.00014095803380949898,1.0846155881881714,3.6883935928344727,-0.28081440925598145,COMPLETE
39,0.0019306540489196777,ReLU,Tanh,,27,246,4,12.0,,0.00907405551264446,2,0.20709542361746605,0.0002805361754202565,1.6809712648391724,6.764163017272949,0.0019306540489196777,COMPLETE
40,0.03838735818862915,ReLU,Sigmoid,,24,336,7,23.0,,0.0025454670847012313,2,0.44029902915891034,4.5523630110758605e-05,157.55471801757812,3.100998640060425,0.03838735818862915,COMPLETE
41,0.1233224868774414,ReLU,Tanh,,37,291,9,12.0,,0.0218531839755514,2,0.28038421050657086,0.0001167986702298605,2.715015172958374,1.9880157709121704,0.1233224868774414,COMPLETE
42,0.1605374813079834,ReLU,Tanh,,41,202,6,11.0,,0.023826092333776906,2,0.26445996455143067,6.128917510166609e-05,1.9264600276947021,1.8963652849197388,0.1605374813079834,COMPLETE
43,-0.2375948429107666,ReLU,Tanh,,32,198,4,8.0,,0.020268069283625793,2,0.24995496437761192,2.112321233234691e-05,1.4380712509155273,8.23820686340332,-0.2375948429107666,COMPLETE
44,-0.008469939231872559,ReLU,,,40,176,6,,,0.008676281995392547,1,0.3516758399777538,0.0002250825173993418,2.547084093093872,2.944474220275879,-0.008469939231872559,COMPLETE
45,0.104267418384552,ReLU,Tanh,,17,100,3,10.0,,0.013873619830619717,2,0.30978714592250944,4.9013671732556514e-05,2.2688755989074707,2.256460189819336,0.104267418384552,COMPLETE
46,0.13961642980575562,Tanh,Sigmoid,,28,274,6,16.0,,0.029841958871712745,2,0.26784449792178966,0.00012619153490620112,1.9701756238937378,1.9436264038085938,0.13961642980575562,COMPLETE
47,-0.10649824142456055,ReLU,,,35,318,2,,,0.060335035965822466,1,0.23613997569479925,0.00044355695556099443,1.543211579322815,7.395874500274658,-0.10649824142456055,COMPLETE
48,0.1154513955116272,ReLU,Tanh,,24,200,9,13.0,,0.014420219317824369,2,0.3179103891030496,1.8908919209621206e-05,2.248723268508911,2.3725388050079346,0.1154513955116272,COMPLETE
49,0.1142154335975647,Tanh,Tanh,,12,345,1,11.0,,0.029901617793953218,2,0.35821084635262757,0.0001985348158587036,1.89497971534729,2.556572914123535,0.1142154335975647,COMPLETE
50,0.11306595802307129,ReLU,Tanh,,40,399,14,5.0,,0.006620150366355006,2,0.2926967150819634,3.595294964881116e-05,2.0438060760498047,2.1003806591033936,0.11306595802307129,COMPLETE
51,0.12177848815917969,ReLU,Tanh,,63,404,8,11.0,,0.05105184263465669,2,0.2884775137094002,7.150790254239917e-05,2.0878894329071045,2.0797481536865234,0.12177848815917969,COMPLETE
52,0.13387531042099,ReLU,Tanh,,46,332,11,13.0,,0.06218454749123886,2,0.26638736974801147,6.388978038274041e-05,1.8571937084197998,1.9565956592559814,0.13387531042099,COMPLETE
