number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
657,0.16163109242916107,Leaky,Tanh,,91,284,13,19.0,,0.08176200998993034,2,0.6935253035725665,0.0005810598597180926,0.9433134198188782,0.16163109242916107,0.8510830998420715,COMPLETE
658,0.1514270156621933,Sigmoid,Tanh,,91,284,12,19.0,,0.0778294068444163,2,0.701838941433051,0.0005723055436034865,0.6541681885719299,0.1514270156621933,0.8587148189544678,COMPLETE
659,0.18107780814170837,Sigmoid,Tanh,,92,282,12,20.0,,0.0836613172855282,2,0.6990348122456975,0.0005658508734856117,1.1142704486846924,0.18107780814170837,0.8336124420166016,COMPLETE
660,0.19279064238071442,Sigmoid,Tanh,,90,267,12,20.0,,0.09828861645552535,2,0.6972618872931483,0.00043917204775552825,0.7716211080551147,0.19279064238071442,0.8218078017234802,COMPLETE
661,0.20766746997833252,Sigmoid,Tanh,,91,287,13,19.0,,0.05781395455629637,2,0.6194592063865015,0.0005731893896138718,0.9036348462104797,0.20766746997833252,0.8148928880691528,COMPLETE
662,0.16410081088542938,Sigmoid,Tanh,,91,276,12,18.0,,0.08047705551278538,2,0.7038016030373172,0.000383009755609666,0.5709460973739624,0.16410081088542938,0.845873236656189,COMPLETE
663,0.17417357861995697,Sigmoid,Tanh,,90,262,12,19.0,,0.08000798229090877,2,0.7003405865736813,0.0004300943813445108,0.9072579741477966,0.17417357861995697,0.8384498357772827,COMPLETE
664,0.2083175778388977,Sigmoid,Tanh,,91,283,12,19.0,,0.061163538318154534,2,0.6232468546648895,0.00041087822509612625,0.7813376188278198,0.2083175778388977,0.8119378089904785,COMPLETE
665,0.19294898211956024,Sigmoid,Tanh,,92,275,13,18.0,,0.08393927453212437,2,0.6900806216874177,0.0004998659890528513,0.8997036814689636,0.19294898211956024,0.8228249549865723,COMPLETE
666,0.21504920721054077,Sigmoid,Tanh,,90,287,13,17.0,,0.09924257784129016,2,0.518730317036407,0.0005798864468394401,4.266499042510986,0.21504920721054077,0.8103039264678955,COMPLETE
667,0.1687413603067398,Sigmoid,Tanh,,92,257,12,18.0,,0.054618352558317235,2,0.700940136273207,0.0003588607483497098,0.6089564561843872,0.1687413603067398,0.8437100648880005,COMPLETE
668,0.22831130027770996,Sigmoid,Tanh,,92,247,12,18.0,,0.05781163828345466,2,0.58015406949948,0.0003312155330231643,1.7596323490142822,0.22831130027770996,0.7984333634376526,COMPLETE
669,0.1948954164981842,Sigmoid,Tanh,,90,261,13,17.0,,0.08064467935136573,2,0.6363770444851579,0.00036388561907022574,1.0978310108184814,0.1948954164981842,0.8245357275009155,COMPLETE
670,0.16003504395484924,Sigmoid,Tanh,,94,269,12,19.0,,0.057740235479743,2,0.6923762987151985,0.0003405477701396184,0.9194730520248413,0.16003504395484924,0.8523096442222595,COMPLETE
671,0.17327147722244263,Sigmoid,Tanh,,93,268,12,19.0,,0.05634360140457247,2,0.6514869647713603,0.00028996550747765207,0.6136741638183594,0.17327147722244263,0.8404072523117065,COMPLETE
672,0.26936766505241394,Sigmoid,Sigmoid,,94,256,13,19.0,,0.0767960898959583,2,0.342845999595587,0.00048521176065044404,2.6767563819885254,0.26936766505241394,0.7702300548553467,COMPLETE
673,0.16704969108104706,Sigmoid,Tanh,,92,280,13,18.0,,0.0651097434330395,2,0.6979936565222215,0.0003472440268330752,0.6447650790214539,0.16704969108104706,0.8457908630371094,COMPLETE
674,0.22757451236248016,Sigmoid,Tanh,,90,279,12,18.0,,0.06230375623498655,2,0.6025582012165731,0.00033627677382547293,0.7511230111122131,0.22757451236248016,0.8012646436691284,COMPLETE
675,0.2817257046699524,Sigmoid,Tanh,,92,269,13,19.0,,0.09887573892542512,2,0.6949441436984833,0.00041017942548470605,1.5532562732696533,0.2817257046699524,0.7415374517440796,COMPLETE
