number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,4.364418029785156,Tanh,96,218,4,4.207988669606632e-05,1,0.4582013868952863,0.0024810409748678114,1.3649541139602661,4.364418029785156,-0.40544044971466064,COMPLETE
1,2.3229153156280518,Tanh,98,59,5,5.3370327626039544e-05,1,0.5646386642932582,7.068974950624602e-05,1.1938467025756836,2.3229153156280518,0.0058536529541015625,COMPLETE
2,6.152126789093018,Sigmoid,22,325,19,0.0006672367170464204,1,0.18358318781006536,0.0002920433847181409,1.1251897811889648,6.152126789093018,-0.030429840087890625,COMPLETE
3,8.923795700073242,Sigmoid,25,324,20,0.07286653737491042,1,0.1144846978456873,0.06245139574743072,1.6622477769851685,8.923795700073242,-0.31740498542785645,COMPLETE
4,11.008907318115234,Sigmoid,55,105,16,0.00010842262717330161,1,0.10741277311947185,0.0433792069749094,1.0161796808242798,11.008907318115234,-0.34947311878204346,COMPLETE
5,1.8462836742401123,Leaky,80,487,23,0.002463768595899745,1,0.7054270142609772,0.03795853142670639,2.0792057514190674,1.8462836742401123,-0.10801839828491211,COMPLETE
6,2.470079183578491,Leaky,34,225,14,0.000132965214572995,1,0.560305062386961,0.00026730883107816685,1.0373400449752808,2.470079183578491,-0.0571286678314209,COMPLETE
7,11.697737693786621,ReLU,28,398,18,0.00672093005015611,1,0.10115491015452849,0.018274508859816022,5.283767223358154,11.697737693786621,-0.4339100122451782,COMPLETE
8,7.467614650726318,Sigmoid,66,439,8,0.00017535949529764417,1,0.1989897438445013,1.795698422567761e-05,1.05594003200531,7.467614650726318,-0.1525566577911377,COMPLETE
9,3.918950080871582,ReLU,74,103,12,0.012130221181165156,1,0.48647145240701695,0.0017583640270008513,6.553075790405273,3.918950080871582,-0.19684863090515137,COMPLETE
10,0.5711085796356201,Leaky,79,491,22,0.0017404157466432903,1,0.7508950765561601,0.010540963318040455,7.514201641082764,0.5711085796356201,0.40046876668930054,COMPLETE
11,0.5313118100166321,Leaky,81,492,23,0.0017143477552760739,1,0.7959603266871323,0.00974371454191917,1.5035803318023682,0.5313118100166321,0.173850417137146,COMPLETE
12,0.49851539731025696,Leaky,50,498,24,0.0008233011500597547,1,0.7920771485203731,0.007015697292702693,1.4376533031463623,0.49851539731025696,0.22484636306762695,COMPLETE
13,3.4862663745880127,Leaky,46,397,24,1.3625220514033477e-05,1,0.3885347402137153,0.006377498741418522,1.0431039333343506,3.4862663745880127,-0.14363431930541992,COMPLETE
14,0.47074681520462036,Leaky,48,431,11,0.0004608727640677891,1,0.7989400854982043,0.004582661415004826,1.332437515258789,0.47074681520462036,0.26802438497543335,COMPLETE
15,2.101529359817505,Leaky,11,405,10,0.00046145129346657833,1,0.34053695267341566,0.0015056820284628394,1.523931622505188,2.101529359817505,0.2632230520248413,COMPLETE
16,1.8481731414794922,Leaky,45,343,1,0.0005787231346792016,1,0.5818540160656134,0.004326277961525457,1.029300332069397,1.8481731414794922,-0.0936051607131958,COMPLETE
17,1.8702392578125,Leaky,55,447,8,0.00038104125703148945,1,0.664780967691038,0.09789579231127454,2.7287731170654297,1.8702392578125,-0.20008337497711182,COMPLETE
18,3.0032107830047607,Tanh,38,257,14,0.0002765630200682984,1,0.42759772428707027,0.000520919995712054,1.6804571151733398,3.0032107830047607,0.06035411357879639,COMPLETE
19,2.8499691486358643,ReLU,64,362,11,0.0010112336711233178,1,0.6391932093004027,0.017677483672454534,2.510866403579712,2.8499691486358643,-0.5499234199523926,COMPLETE
20,0.7598134279251099,Leaky,47,448,16,0.004459090734115458,1,0.7985587478143563,0.004551412170464143,1.9639390707015991,0.7598134279251099,-0.18145227432250977,COMPLETE
21,0.5103112459182739,Leaky,89,497,22,0.0014426745537641772,1,0.7720798506046097,0.010572268314157132,1.5354740619659424,0.5103112459182739,0.1439231038093567,COMPLETE
22,3.621903896331787,Leaky,60,453,21,0.0009596612251478277,1,0.542755860971844,0.0033925133945763484,2.2107908725738525,3.621903896331787,-0.47412025928497314,COMPLETE
23,2.483316659927368,Leaky,90,499,17,0.0003895852682376518,1,0.6427054115107973,0.01694558305394319,2.374837636947632,2.483316659927368,-0.35052359104156494,COMPLETE
24,0.5153025388717651,Leaky,40,419,24,0.0011028079016015776,1,0.7784512591535914,0.0009736230693016851,1.5499389171600342,0.5153025388717651,0.1355499029159546,COMPLETE
25,3.023920774459839,Leaky,69,379,21,0.00023206061355064394,1,0.48955423065634407,0.006336681224505786,2.8074440956115723,3.023920774459839,0.07649356126785278,COMPLETE
26,2.9662821292877197,Leaky,51,469,14,0.00302782223876808,1,0.6551656681675923,0.002692493157435523,2.2503702640533447,2.9662821292877197,-0.9595482349395752,COMPLETE
27,1.9941284656524658,ReLU,89,428,19,0.0014100273375261846,1,0.675266456406652,0.02957418164991369,2.9494245052337646,1.9941284656524658,-0.22140085697174072,COMPLETE
28,2.826058864593506,Tanh,55,297,9,0.0007263199141021033,1,0.5259712429025307,0.008053366332069257,2.51880145072937,2.826058864593506,0.184018075466156,COMPLETE
29,3.519751787185669,Tanh,88,171,6,9.461020054687196e-05,1,0.4407306095642104,0.002468965255462274,25.63442611694336,3.519751787185669,-0.09146702289581299,COMPLETE
30,1.9906734228134155,Leaky,31,372,1,0.0003378491963411718,1,0.7125826917838683,0.01726202192030061,0.9678710699081421,1.9906734228134155,-0.194671630859375,COMPLETE
31,0.5158695578575134,Leaky,40,423,24,0.0010821748578680528,1,0.7851307833844967,0.0010279035652394778,1.5491403341293335,0.5158695578575134,0.1345987319946289,COMPLETE
32,2.6447594165802,Leaky,36,472,22,0.00068183639599293,1,0.5834885671532325,0.0013307754391598881,2.6016526222229004,2.6447594165802,-0.5649629831314087,COMPLETE
33,2.1173691749572754,Leaky,42,415,24,0.00021231578971541562,1,0.6154207324970031,0.0007930281269173267,2.537013292312622,2.1173691749572754,-0.158591628074646,COMPLETE
34,0.695462703704834,Leaky,19,462,20,0.002529902168152458,1,0.7389960131364538,0.002235308118671907,5.005374908447266,0.695462703704834,0.2153671383857727,COMPLETE
35,1.617450475692749,Sigmoid,58,296,22,0.0005979729175724322,1,0.6069286776734921,0.0038409688210195967,7.184375286102295,1.617450475692749,0.10890614986419678,COMPLETE
36,3.5892763137817383,Tanh,100,472,20,0.0011881734084548965,1,0.5174161031282095,0.005253479749960286,4.362687110900879,3.5892763137817383,-0.03634941577911377,COMPLETE
