number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
21,0.1959618628025055,2023-10-31 17:46:52.202575,2023-10-31 17:46:52.789785,0 days 00:00:00.587210,Sigmoid,,,47,11,,,0.037440245032010995,1,283,0.5665789800786971,2.2593597173099214e-05,144.84194550690827,tensor(0.1960),tensor(0.8276),COMPLETE
22,0.2071676403284073,2023-10-31 17:46:52.790108,2023-10-31 17:46:53.056169,0 days 00:00:00.266061,Sigmoid,,,56,10,,,0.06443848527387822,1,205,0.6164578353683667,2.7843725029372515e-05,123.55721221923828,tensor(0.2072),tensor(0.8138),COMPLETE
23,0.2392815798521042,2023-10-31 17:46:53.056494,2023-10-31 17:46:54.208169,0 days 00:00:01.151675,Sigmoid,,,51,5,,,0.04747356333004146,1,301,0.4146765306844016,6.548953471913453e-05,196.59599461349538,tensor(0.2393),tensor(0.7930),COMPLETE
24,0.23675037920475006,2023-10-31 17:46:54.208516,2023-10-31 17:46:54.742628,0 days 00:00:00.534112,Tanh,,,63,10,,,0.015102743854881561,1,386,0.5382602937590424,2.470291264680375e-05,228.98098373413086,tensor(0.2368),tensor(0.7945),COMPLETE
25,0.16398277878761292,2023-10-31 17:46:54.742970,2023-10-31 17:46:55.181292,0 days 00:00:00.438322,Sigmoid,Leaky,,44,14,24.0,,0.04327099396328012,2,242,0.6567429891893882,6.880667851809744e-05,80.77785746256511,tensor(0.1640),tensor(0.8420),COMPLETE
26,0.15697959065437317,2023-10-31 17:46:55.181636,2023-10-31 17:46:55.675391,0 days 00:00:00.493755,Sigmoid,Leaky,Leaky,44,21,24.0,23.0,0.0392271418497062,3,169,0.6925447699827703,2.3863768209651462e-05,80.13260688781739,tensor(0.1570),tensor(0.8371),COMPLETE
27,0.16660630702972412,2023-10-31 17:46:55.675755,2023-10-31 17:46:56.515112,0 days 00:00:00.839357,Sigmoid,Leaky,Leaky,22,21,24.0,22.0,0.019518725182046254,3,165,0.6832197137108994,6.576819606379252e-05,108.66530437858738,tensor(0.1666),tensor(0.8310),COMPLETE
28,0.16168232262134552,2023-10-31 17:46:56.515497,2023-10-31 17:46:57.578169,0 days 00:00:01.062672,Sigmoid,Leaky,Leaky,24,21,24.0,24.0,0.01971140904254256,3,164,0.6995393763561529,8.175791957700352e-05,94.3504927664092,tensor(0.1617),tensor(0.8280),COMPLETE
29,0.14150579273700714,2023-10-31 17:46:57.578541,2023-10-31 17:46:58.024136,0 days 00:00:00.445595,Tanh,Leaky,Leaky,39,17,22.0,24.0,0.014752050717641905,3,242,0.6762665279993314,3.9353002272952525e-05,78.99642795469703,tensor(0.1415),tensor(0.8676),COMPLETE
30,0.17285338044166565,2023-10-31 17:46:58.024505,2023-10-31 17:46:59.268547,0 days 00:00:01.244042,Tanh,Leaky,Leaky,18,18,21.0,24.0,0.005130950660945424,3,174,0.7865359738983655,3.107687686560114e-05,77.29908491064,tensor(0.1729),tensor(0.8493),COMPLETE
