number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
87,0.2178449183702469,2023-10-31 17:47:29.267144,2023-10-31 17:47:29.557092,0 days 00:00:00.289948,Tanh,Leaky,Tanh,37,16,19.0,9.0,0.03629640506267769,3,232,0.5615272752127588,0.0002066871179974617,142.95269459691542,tensor(0.2178),tensor(0.7938),COMPLETE
88,0.1637493520975113,2023-10-31 17:47:29.557466,2023-10-31 17:47:29.958855,0 days 00:00:00.401389,ReLU,ReLU,Tanh,45,18,16.0,16.0,0.01130139194526456,3,445,0.7606151077729754,0.0003127717949618388,88.73206453065615,tensor(0.1637),tensor(0.8531),COMPLETE
89,0.18227092921733856,2023-10-31 17:47:29.959258,2023-10-31 17:47:30.186979,0 days 00:00:00.227721,Tanh,Leaky,,51,24,22.0,,0.017502739975721403,2,177,0.6266178224105327,9.453552946796985e-05,90.41732279459636,tensor(0.1823),tensor(0.8296),COMPLETE
90,0.1499643325805664,2023-10-31 17:47:30.187401,2023-10-31 17:47:30.706154,0 days 00:00:00.518753,Leaky,ReLU,Tanh,41,22,20.0,18.0,0.006149989597611556,3,456,0.7098856838226857,0.0008560174883963009,73.90948536085045,tensor(0.1500),tensor(0.8596),COMPLETE
91,0.1443975567817688,2023-10-31 17:47:30.706532,2023-10-31 17:47:31.171690,0 days 00:00:00.465158,Leaky,ReLU,Tanh,41,22,20.0,18.0,0.0061685846622860675,3,210,0.6763054295935175,0.0009528783346535261,83.55855524817179,tensor(0.1444),tensor(0.8673),COMPLETE
92,0.15375933051109314,2023-10-31 17:47:31.172061,2023-10-31 17:47:31.642185,0 days 00:00:00.470124,Leaky,ReLU,Tanh,36,23,18.0,20.0,0.0042778272470453136,3,204,0.6614756907605861,0.0010173831103934858,70.83815449040111,tensor(0.1538),tensor(0.8591),COMPLETE
93,0.16787505149841309,2023-10-31 17:47:31.642635,2023-10-31 17:47:32.253707,0 days 00:00:00.611072,Leaky,ReLU,Tanh,33,23,22.0,17.0,0.008631606442471157,3,248,0.7999720171626997,0.000588988765790742,71.24169031778972,tensor(0.1679),tensor(0.8487),COMPLETE
94,0.1536518633365631,2023-10-31 17:47:32.254093,2023-10-31 17:47:32.964967,0 days 00:00:00.710874,Leaky,ReLU,Tanh,48,24,19.0,22.0,0.006079617525401191,3,156,0.6825701163636982,0.00032352534512521537,78.73256793775056,tensor(0.1537),tensor(0.8563),COMPLETE
95,0.2128223031759262,2023-10-31 17:47:32.965350,2023-10-31 17:47:33.208473,0 days 00:00:00.243123,Leaky,ReLU,Tanh,41,22,20.0,13.0,0.013617199788882164,3,193,0.5992091054039344,0.0004732373591546576,123.72200775146484,tensor(0.2128),tensor(0.8075),COMPLETE
96,1.0960826873779297,2023-10-31 17:47:33.208840,2023-10-31 17:47:33.372695,0 days 00:00:00.163855,ReLU,Sigmoid,ReLU,43,21,3.0,1.0,0.021492829429302234,3,210,0.730809755927938,0.001334296543089286,100.65720421927315,tensor(1.0961),tensor(-0.0016),COMPLETE
97,0.15890170633792877,2023-10-31 17:47:33.373064,2023-10-31 17:47:33.874500,0 days 00:00:00.501436,Tanh,Leaky,Tanh,53,20,21.0,15.0,0.010908955907377366,3,265,0.7654585506268343,0.0001234932118523622,79.12106638688307,tensor(0.1589),tensor(0.8447),COMPLETE
98,0.18610678613185883,2023-10-31 17:47:33.874886,2023-10-31 17:47:34.218908,0 days 00:00:00.344022,ReLU,ReLU,Leaky,35,14,21.0,18.0,0.008287532794154647,3,232,0.633842773894454,0.0006824785807414815,81.81706364949544,tensor(0.1861),tensor(0.8200),COMPLETE
99,0.15074510872364044,2023-10-31 17:47:34.219283,2023-10-31 17:47:34.689675,0 days 00:00:00.470392,Tanh,Tanh,Tanh,57,19,12.0,16.0,0.015122711750444759,3,221,0.7043279065671247,0.0008929241034355874,69.52505717958722,tensor(0.1507),tensor(0.8581),COMPLETE
100,0.18862712383270264,2023-10-31 17:47:34.690062,2023-10-31 17:47:35.251381,0 days 00:00:00.561319,ReLU,ReLU,,39,24,23.0,,0.00508807720819273,2,186,0.560868456400739,0.00016457805484300277,149.71405332382412,tensor(0.1886),tensor(0.8321),COMPLETE
101,0.1494724005460739,2023-10-31 17:47:35.251775,2023-10-31 17:47:35.854153,0 days 00:00:00.602378,Leaky,ReLU,Tanh,40,22,20.0,20.0,0.006005029359529233,3,464,0.7065371479638864,0.0008685662833112711,71.53561344853154,tensor(0.1495),tensor(0.8503),COMPLETE
102,0.14142070710659027,2023-10-31 17:47:35.854554,2023-10-31 17:47:36.381769,0 days 00:00:00.527215,Leaky,ReLU,Tanh,46,23,22.0,20.0,0.006866511755315414,3,493,0.66213152856338,0.0004019779621756185,80.83470399039132,tensor(0.1414),tensor(0.8699),COMPLETE
103,0.1558884233236313,2023-10-31 17:47:36.382133,2023-10-31 17:47:36.801123,0 days 00:00:00.418990,Leaky,ReLU,Tanh,46,15,24.0,21.0,0.007216228754466172,3,431,0.6584938947155281,0.00025545660499974696,77.03094204989347,tensor(0.1559),tensor(0.8550),COMPLETE
104,0.21044115722179413,2023-10-31 17:47:36.801513,2023-10-31 17:47:37.043577,0 days 00:00:00.242064,Leaky,ReLU,Tanh,49,23,22.0,23.0,0.010245051749350328,3,483,0.6117166647249658,0.00038117387227666464,157.39427830622748,tensor(0.2104),tensor(0.8063),COMPLETE
105,0.16434533894062042,2023-10-31 17:47:37.043967,2023-10-31 17:47:37.533813,0 days 00:00:00.489846,Leaky,Leaky,Sigmoid,43,24,14.0,18.0,0.026831720485720186,3,491,0.7463078210075271,0.00021336075295841928,81.8824331110174,tensor(0.1643),tensor(0.8418),COMPLETE
106,0.1645287275314331,2023-10-31 17:47:37.534220,2023-10-31 17:47:37.866930,0 days 00:00:00.332710,ReLU,ReLU,Tanh,37,11,22.0,19.0,0.01568315826506589,3,395,0.6382042862289561,0.0002919831367890746,81.13044293721516,tensor(0.1645),tensor(0.8469),COMPLETE
107,0.1565343588590622,2023-10-31 17:47:37.867328,2023-10-31 17:47:38.539777,0 days 00:00:00.672449,Tanh,Sigmoid,Tanh,60,17,21.0,17.0,0.0202352624378268,3,496,0.6892204583018259,0.0004815198774193555,71.19170602162679,tensor(0.1565),tensor(0.8556),COMPLETE
108,0.1872016042470932,2023-10-31 17:47:38.540161,2023-10-31 17:47:38.838517,0 days 00:00:00.298356,Leaky,ReLU,Tanh,67,16,19.0,14.0,0.01286719460742164,3,199,0.5902554040136702,0.0004358427734337012,99.58584993535823,tensor(0.1872),tensor(0.8300),COMPLETE
109,0.14376889169216156,2023-10-31 17:47:38.838922,2023-10-31 17:47:39.217772,0 days 00:00:00.378850,ReLU,Leaky,Tanh,51,23,23.0,24.0,0.009268674012842858,3,238,0.7678223818902637,0.000178342260349212,77.28806861671242,tensor(0.1438),tensor(0.8649),COMPLETE
110,0.15694400668144226,2023-10-31 17:47:39.218147,2023-10-31 17:47:39.714748,0 days 00:00:00.496601,ReLU,Leaky,Tanh,55,21,23.0,22.0,0.008174988199244799,3,245,0.7653835802732205,0.00017477323502641397,73.38549520455155,tensor(0.1569),tensor(0.8579),COMPLETE
111,0.15125086903572083,2023-10-31 17:47:39.715132,2023-10-31 17:47:40.077438,0 days 00:00:00.362306,ReLU,Leaky,Tanh,52,23,23.0,24.0,0.010427962613799876,3,213,0.7274946208302367,0.0003188244463200871,66.44221785261824,tensor(0.1513),tensor(0.8589),COMPLETE
112,0.1435060352087021,2023-10-31 17:47:40.077801,2023-10-31 17:47:40.372690,0 days 00:00:00.294889,ReLU,Leaky,Tanh,45,22,21.0,24.0,0.0067375379356836,3,234,0.6731836642555229,0.0002296917015304819,91.05426446322737,tensor(0.1435),tensor(0.8661),COMPLETE
113,0.154474139213562,2023-10-31 17:47:40.373070,2023-10-31 17:47:40.690999,0 days 00:00:00.317929,ReLU,Leaky,Tanh,44,22,21.0,24.0,0.004817609889013444,3,256,0.6655131457805976,0.00021034228593740095,69.36254169094947,tensor(0.1545),tensor(0.8579),COMPLETE
114,0.1804262399673462,2023-10-31 17:47:40.691372,2023-10-31 17:47:40.897316,0 days 00:00:00.205944,ReLU,Leaky,Tanh,50,21,24.0,23.0,0.0069865507887080696,3,234,0.6281873687747863,0.0001119767677698001,83.81749621304598,tensor(0.1804),tensor(0.8253),COMPLETE
115,0.1554744392633438,2023-10-31 17:47:40.897726,2023-10-31 17:47:41.562744,0 days 00:00:00.665018,ReLU,Leaky,Tanh,46,23,20.0,24.0,0.004345943389357092,3,227,0.7755846650041308,0.0002519659386640931,80.59077403584465,tensor(0.1555),tensor(0.8627),COMPLETE
116,0.16024404764175415,2023-10-31 17:47:41.563146,2023-10-31 17:47:41.994368,0 days 00:00:00.431222,ReLU,Leaky,Tanh,56,22,22.0,22.0,0.00290693201607562,3,242,0.7297854211375454,0.0001339032739926284,70.74730213483174,tensor(0.1602),tensor(0.8547),COMPLETE
117,0.1542232781648636,2023-10-31 17:47:41.994748,2023-10-31 17:47:42.408251,0 days 00:00:00.413503,ReLU,Leaky,Tanh,48,23,18.0,11.0,0.008989660988062005,3,278,0.6550580106701781,7.37339108256746e-05,78.49303716023763,tensor(0.1542),tensor(0.8556),COMPLETE
118,0.1550702005624771,2023-10-31 17:47:42.408634,2023-10-31 17:47:42.888994,0 days 00:00:00.480360,ReLU,Leaky,Leaky,42,20,22.0,16.0,0.012602062383584639,3,263,0.7040299841247393,5.756914120680739e-05,83.05270351833768,tensor(0.1551),tensor(0.8491),COMPLETE
119,0.14907865226268768,2023-10-31 17:47:42.889383,2023-10-31 17:47:43.275482,0 days 00:00:00.386099,ReLU,ReLU,ReLU,61,22,23.0,23.0,0.005950106896644735,3,168,0.6754165069141469,0.00017720868019540943,86.76450866699219,tensor(0.1491),tensor(0.8598),COMPLETE
120,0.2195061594247818,2023-10-31 17:47:43.275877,2023-10-31 17:47:43.777798,0 days 00:00:00.501921,Sigmoid,Leaky,Tanh,53,21,21.0,12.0,0.017131843907386913,3,213,0.799897347243742,0.0005920442737548332,74.59716705322266,tensor(0.2195),tensor(0.8039),COMPLETE
121,0.1901051253080368,2023-10-31 17:47:43.778202,2023-10-31 17:47:44.277156,0 days 00:00:00.498954,Tanh,Sigmoid,,44,24,20.0,,0.01062146192734183,2,223,0.613729955573799,0.0004029546328126668,125.40065087212457,tensor(0.1901),tensor(0.8325),COMPLETE
122,0.14742769300937653,2023-10-31 17:47:44.277547,2023-10-31 17:47:44.889849,0 days 00:00:00.612302,Tanh,ReLU,Tanh,38,23,16.0,19.0,0.01504019173451207,3,250,0.6833247728353811,0.00033853457921034064,86.33699368563565,tensor(0.1474),tensor(0.8549),COMPLETE
123,0.17645417153835297,2023-10-31 17:47:44.890220,2023-10-31 17:47:45.186376,0 days 00:00:00.296156,ReLU,ReLU,Tanh,33,22,15.0,19.0,0.014993229547128197,3,251,0.7439060722993321,0.0002768519267978737,85.65670413062686,tensor(0.1765),tensor(0.8249),COMPLETE
124,0.14954200387001038,2023-10-31 17:47:45.186764,2023-10-31 17:47:45.874835,0 days 00:00:00.688071,Tanh,ReLU,Tanh,46,23,21.0,21.0,0.007499701162292264,3,269,0.6495671613337611,0.00022770117162894122,77.92673014322916,tensor(0.1495),tensor(0.8605),COMPLETE
125,0.15900707244873047,2023-10-31 17:47:45.875221,2023-10-31 17:47:46.159353,0 days 00:00:00.284132,ReLU,ReLU,Tanh,36,23,16.0,20.0,0.011337332528222291,3,238,0.6957748174426168,0.00015912026285422518,83.74603503683339,tensor(0.1590),tensor(0.8449),COMPLETE
126,0.18083815276622772,2023-10-31 17:47:46.159747,2023-10-31 17:47:47.164446,0 days 00:00:01.004699,Tanh,ReLU,Sigmoid,40,24,19.0,17.0,0.008959313888285685,3,209,0.58153607346116,0.0003344329529480726,89.75593481331228,tensor(0.1808),tensor(0.8372),COMPLETE
127,0.1951768547296524,2023-10-31 17:47:47.164818,2023-10-31 17:47:47.555644,0 days 00:00:00.390826,Leaky,Tanh,Tanh,42,12,22.0,18.0,0.01828143818353916,3,229,0.547447073167195,0.00010264579832694371,154.63536204462466,tensor(0.1952),tensor(0.8025),COMPLETE
128,0.15561674535274506,2023-10-31 17:47:47.556025,2023-10-31 17:47:47.876286,0 days 00:00:00.320261,ReLU,ReLU,Tanh,50,23,20.0,16.0,0.013907184253878277,3,298,0.7324938605923603,0.0005176627049815002,76.76785254478455,tensor(0.1556),tensor(0.8500),COMPLETE
129,0.18381695449352264,2023-10-31 17:47:47.876657,2023-10-31 17:47:48.356773,0 days 00:00:00.480116,Tanh,Leaky,Tanh,31,22,17.0,15.0,0.006858647015616796,3,287,0.6083756620259482,0.0004308184540013231,111.85131370730517,tensor(0.1838),tensor(0.8352),COMPLETE
130,0.1601227968931198,2023-10-31 17:47:48.357153,2023-10-31 17:47:48.797424,0 days 00:00:00.440271,ReLU,ReLU,Leaky,38,21,21.0,24.0,0.022368622750995437,3,372,0.6780641619307143,0.0006987229256710181,104.08045000907703,tensor(0.1601),tensor(0.8483),COMPLETE
131,0.17035551369190216,2023-10-31 17:47:48.797796,2023-10-31 17:47:49.221711,0 days 00:00:00.423915,Tanh,Sigmoid,,35,24,22.0,,0.027036132941009025,2,197,0.633716609618766,0.00034233888654215455,89.46721649169922,tensor(0.1704),tensor(0.8434),COMPLETE
132,0.14184772968292236,2023-10-31 17:47:49.222087,2023-10-31 17:47:49.594381,0 days 00:00:00.372294,Tanh,Leaky,Tanh,40,24,18.0,18.0,0.01854483027077522,3,252,0.7049420821946816,0.00026773521478455864,76.03412235144413,tensor(0.1418),tensor(0.8557),COMPLETE
133,0.14569102227687836,2023-10-31 17:47:49.594790,2023-10-31 17:47:50.005245,0 days 00:00:00.410455,Tanh,Leaky,Tanh,43,23,17.0,18.0,0.01156193861147649,3,256,0.7125866551897654,0.00025870455474012933,81.8411737743177,tensor(0.1457),tensor(0.8628),COMPLETE
134,0.15233811736106873,2023-10-31 17:47:50.005622,2023-10-31 17:47:50.555743,0 days 00:00:00.550121,Tanh,Leaky,Tanh,43,24,17.0,19.0,0.012353586252770598,3,254,0.7045853068513295,0.00018728404254780837,73.6211313211693,tensor(0.1523),tensor(0.8531),COMPLETE
135,0.14666442573070526,2023-10-31 17:47:50.556131,2023-10-31 17:47:51.038338,0 days 00:00:00.482207,Tanh,Leaky,Tanh,40,23,16.0,18.0,0.018637401151074234,3,246,0.7588808659282653,0.0002666087956128603,81.35485523503002,tensor(0.1467),tensor(0.8665),COMPLETE
136,0.14784769713878632,2023-10-31 17:47:51.038714,2023-10-31 17:47:51.476094,0 days 00:00:00.437380,Tanh,Leaky,Tanh,41,23,16.0,18.0,0.03328000602555367,3,247,0.757052113618375,0.00024026951138802463,82.24521214253194,tensor(0.1478),tensor(0.8626),COMPLETE
137,0.1591922640800476,2023-10-31 17:47:51.476489,2023-10-31 17:47:51.970728,0 days 00:00:00.494239,Tanh,Leaky,Tanh,48,22,15.0,17.0,0.01873318405393825,3,273,0.7759373952131834,0.00020739059119908082,105.09941076725087,tensor(0.1592),tensor(0.8512),COMPLETE
138,0.15338419377803802,2023-10-31 17:47:51.971108,2023-10-31 17:47:52.394265,0 days 00:00:00.423157,Tanh,Leaky,Tanh,45,24,18.0,18.0,0.014123644099741473,3,261,0.7356499930690618,0.00013779553217574533,60.552933311462404,tensor(0.1534),tensor(0.8510),COMPLETE
139,0.15191321074962616,2023-10-31 17:47:52.394687,2023-10-31 17:47:52.935860,0 days 00:00:00.541173,Tanh,Leaky,Tanh,37,22,14.0,9.0,0.009500017628569177,3,237,0.6937226298185074,0.0017314359639663218,69.94496471323866,tensor(0.1519),tensor(0.8563),COMPLETE
140,0.17447930574417114,2023-10-31 17:47:52.936269,2023-10-31 17:47:53.213678,0 days 00:00:00.277409,Tanh,Leaky,Tanh,34,23,17.0,19.0,0.02103907288523864,3,252,0.6432062996048498,0.00015074192859193796,85.62510216754416,tensor(0.1745),tensor(0.8313),COMPLETE
141,0.15079477429389954,2023-10-31 17:47:53.214058,2023-10-31 17:47:53.677024,0 days 00:00:00.462966,Tanh,Leaky,Tanh,41,23,16.0,18.0,0.030464655785575577,3,245,0.7584625001651568,0.000260421002325399,80.06331370427058,tensor(0.1508),tensor(0.8524),COMPLETE
142,0.14592240750789642,2023-10-31 17:47:53.677408,2023-10-31 17:47:54.178334,0 days 00:00:00.500926,Tanh,Leaky,Tanh,40,23,16.0,18.0,0.03681482099746988,3,220,0.7203317218813314,0.00022307179525064385,71.67684676430441,tensor(0.1459),tensor(0.8606),COMPLETE
143,0.162153959274292,2023-10-31 17:47:54.178739,2023-10-31 17:47:54.461495,0 days 00:00:00.282756,Tanh,Leaky,Tanh,38,24,16.0,20.0,0.04598916097804646,3,226,0.7194886076212583,0.00027146198566534266,80.22983468097189,tensor(0.1622),tensor(0.8134),COMPLETE
144,0.1569649577140808,2023-10-31 17:47:54.461867,2023-10-31 17:47:54.740798,0 days 00:00:00.278931,Tanh,Leaky,Tanh,58,23,17.0,17.0,0.011855519330618519,3,218,0.6702285245982997,8.83193469936794e-05,82.30777393687855,tensor(0.1570),tensor(0.8557),COMPLETE
145,0.1504029780626297,2023-10-31 17:47:54.741196,2023-10-31 17:47:55.277045,0 days 00:00:00.535849,Tanh,Leaky,Tanh,44,22,14.0,17.0,0.01542137236026543,3,236,0.7705846142421638,0.00018113136012213357,92.49892505009969,tensor(0.1504),tensor(0.8629),COMPLETE
146,0.16869696974754333,2023-10-31 17:47:55.277491,2023-10-31 17:47:55.649853,0 days 00:00:00.372362,Tanh,Leaky,Tanh,40,24,18.0,18.0,0.02293397664898335,3,184,0.7096367794709649,0.00032053344435046757,102.6597945690155,tensor(0.1687),tensor(0.8386),COMPLETE
147,0.24795305728912354,2023-10-31 17:47:55.650258,2023-10-31 17:47:56.228417,0 days 00:00:00.578159,Sigmoid,Leaky,Tanh,64,23,15.0,19.0,0.010477408798880733,3,206,0.3759356325993041,0.0002232045457375233,1012.1232696762659,tensor(0.2480),tensor(0.7940),COMPLETE
148,0.18100890517234802,2023-10-31 17:47:56.228806,2023-10-31 17:47:56.459387,0 days 00:00:00.230581,Leaky,Leaky,Tanh,43,21,16.0,23.0,0.0180117801858512,3,260,0.7999077206109326,3.8768372018741454e-05,73.73078685336642,tensor(0.1810),tensor(0.8326),COMPLETE
149,0.23676100373268127,2023-10-31 17:47:56.459790,2023-10-31 17:47:56.655395,0 days 00:00:00.195605,Tanh,Leaky,Leaky,36,22,17.0,18.0,0.005720460857154572,3,217,0.2569103823553231,0.00012242772378572703,398.3877740157278,tensor(0.2368),tensor(0.7697),COMPLETE
150,0.18437139689922333,2023-10-31 17:47:56.655765,2023-10-31 17:47:57.023243,0 days 00:00:00.367478,Tanh,Leaky,Tanh,46,24,18.0,21.0,0.00953425299949016,3,275,0.6233709318233431,0.00040470344148380396,86.03964786529541,tensor(0.1844),tensor(0.8260),COMPLETE
151,0.1597743034362793,2023-10-31 17:47:57.023619,2023-10-31 17:47:57.311803,0 days 00:00:00.288184,Tanh,Leaky,Tanh,41,23,16.0,18.0,0.031647857377408495,3,248,0.7452364231248714,0.00023574456899364178,74.93510341644287,tensor(0.1598),tensor(0.8409),COMPLETE
152,0.16067221760749817,2023-10-31 17:47:57.312198,2023-10-31 17:47:57.651502,0 days 00:00:00.339304,Tanh,Leaky,Tanh,39,23,16.0,19.0,0.050392211450547855,3,240,0.6813295474604991,0.0002418166122024323,114.86199239095052,tensor(0.1607),tensor(0.7890),COMPLETE
153,0.15766482055187225,2023-10-31 17:47:57.651914,2023-10-31 17:47:58.117317,0 days 00:00:00.465403,Tanh,Leaky,Tanh,42,23,15.0,20.0,0.04186685597653884,3,230,0.756413360420801,0.00029907604283820977,97.53095149993896,tensor(0.1577),tensor(0.8296),COMPLETE
154,0.161121666431427,2023-10-31 17:47:58.117726,2023-10-31 17:47:58.656003,0 days 00:00:00.538277,Tanh,Leaky,Tanh,38,24,17.0,17.0,0.03372523563490363,3,250,0.7107611975733622,0.0001845662703720522,84.64399453868036,tensor(0.1611),tensor(0.8261),COMPLETE
155,0.16734817624092102,2023-10-31 17:47:58.656383,2023-10-31 17:47:59.100946,0 days 00:00:00.444563,Tanh,Leaky,ReLU,47,22,19.0,18.0,0.024738158184510556,3,267,0.6491306796366686,0.0003601354828980671,89.75551816250416,tensor(0.1673),tensor(0.8336),COMPLETE
156,0.16503208875656128,2023-10-31 17:47:59.101343,2023-10-31 17:47:59.422776,0 days 00:00:00.321433,Leaky,Leaky,Tanh,40,23,23.0,17.0,0.0389042730445155,3,193,0.6787932800458705,0.00226435584598111,108.82619397393589,tensor(0.1650),tensor(0.8421),COMPLETE
157,0.19827702641487122,2023-10-31 17:47:59.423144,2023-10-31 17:47:59.671674,0 days 00:00:00.248530,Tanh,ReLU,Tanh,43,22,16.0,16.0,0.07673011300406123,3,222,0.7254300218715292,0.0001502638813312531,102.20830466530539,tensor(0.1983),tensor(0.7851),COMPLETE
158,0.1730591356754303,2023-10-31 17:47:59.672060,2023-10-31 17:48:00.155381,0 days 00:00:00.483321,Tanh,Leaky,Tanh,33,24,14.0,19.0,0.01413833805989536,3,232,0.7627985672977055,0.00048448750314566876,119.63795157039867,tensor(0.1731),tensor(0.8454),COMPLETE
159,0.20063474774360657,2023-10-31 17:48:00.155775,2023-10-31 17:48:00.888423,0 days 00:00:00.732648,Tanh,Tanh,Sigmoid,54,23,18.0,6.0,0.008199243929569142,3,244,0.6503655774630064,0.0039005941073865812,119.11569730970595,tensor(0.2006),tensor(0.8142),COMPLETE
160,0.22184301912784576,2023-10-31 17:48:00.888850,2023-10-31 17:48:01.144550,0 days 00:00:00.255700,Leaky,ReLU,Tanh,30,21,19.0,12.0,0.056954567917829164,3,210,0.598974911719096,0.00021334615276260527,157.78775367736816,tensor(0.2218),tensor(0.7979),COMPLETE
161,0.1518549770116806,2023-10-31 17:48:01.144952,2023-10-31 17:48:01.704384,0 days 00:00:00.559432,Tanh,Leaky,Tanh,40,13,22.0,18.0,0.016754746598113275,3,260,0.6645838512931541,0.0003121995288420352,79.82329458560584,tensor(0.1519),tensor(0.8559),COMPLETE
162,0.1687294840812683,2023-10-31 17:48:01.704796,2023-10-31 17:48:02.058851,0 days 00:00:00.354055,Tanh,,,36,18,,,0.02009295894452928,1,466,0.6987507084384055,0.0002689888871008717,65.08426702590216,tensor(0.1687),tensor(0.8368),COMPLETE
163,0.2163526713848114,2023-10-31 17:48:02.059217,2023-10-31 17:48:02.363632,0 days 00:00:00.304415,Tanh,Leaky,Leaky,38,6,21.0,24.0,0.012054025349436654,3,240,0.47603553478348254,0.0003661686196783618,199.85396321614584,tensor(0.2164),tensor(0.8054),COMPLETE
164,0.1698024719953537,2023-10-31 17:48:02.364009,2023-10-31 17:48:02.679481,0 days 00:00:00.315472,Tanh,ReLU,Tanh,45,23,21.0,22.0,0.01632031121531312,3,219,0.7396000217458099,0.0002774578658772774,76.09668213980538,tensor(0.1698),tensor(0.8310),COMPLETE
165,0.14684563875198364,2023-10-31 17:48:02.679913,2023-10-31 17:48:03.011128,0 days 00:00:00.331215,Tanh,Leaky,Tanh,42,24,21.0,17.0,0.011959655038545864,3,318,0.6729420235546741,0.00020134399491747072,88.86190973917643,tensor(0.1468),tensor(0.8541),COMPLETE
166,0.18243901431560516,2023-10-31 17:48:03.011518,2023-10-31 17:48:03.331819,0 days 00:00:00.320301,ReLU,Leaky,Tanh,41,24,20.0,17.0,0.007119794400957066,3,313,0.6227032932015382,0.00019213021926914537,379.06096378449473,tensor(0.1824),tensor(0.8315),COMPLETE
167,0.14095015823841095,2023-10-31 17:48:03.332210,2023-10-31 17:48:03.663349,0 days 00:00:00.331139,Tanh,Leaky,Tanh,48,24,22.0,16.0,0.011454782459742572,3,286,0.6869497076832218,0.0001015727766597701,89.23621716218837,tensor(0.1410),tensor(0.8582),COMPLETE
168,0.14172714948654175,2023-10-31 17:48:03.663722,2023-10-31 17:48:03.973809,0 days 00:00:00.310087,Tanh,Leaky,Tanh,51,24,22.0,16.0,0.011174429745771115,3,289,0.691222332512333,7.540648729135202e-05,76.08314098011364,tensor(0.1417),tensor(0.8629),COMPLETE
169,0.18052919209003448,2023-10-31 17:48:03.974201,2023-10-31 17:48:04.271463,0 days 00:00:00.297262,ReLU,Leaky,Tanh,51,24,22.0,16.0,0.010679215102418121,3,329,0.5692624753514265,7.737196001664332e-05,135.4995342053865,tensor(0.1805),tensor(0.8357),COMPLETE
170,0.21608763933181763,2023-10-31 17:48:04.271863,2023-10-31 17:48:04.759085,0 days 00:00:00.487222,Sigmoid,Leaky,Tanh,56,24,23.0,15.0,0.008359408136124413,3,308,0.5243029730437435,6.373818739822588e-05,347.8457653257582,tensor(0.2161),tensor(0.8009),COMPLETE
171,0.1435254067182541,2023-10-31 17:48:04.759493,2023-10-31 17:48:05.143058,0 days 00:00:00.383565,Tanh,Leaky,Tanh,49,24,22.0,16.0,0.012855307153445418,3,284,0.6958146975009659,0.0001084416939497488,80.08314437866211,tensor(0.1435),tensor(0.8572),COMPLETE
172,0.14695365726947784,2023-10-31 17:48:05.143465,2023-10-31 17:48:05.539615,0 days 00:00:00.396150,Tanh,Leaky,Tanh,49,24,23.0,16.0,0.012233242754890752,3,277,0.7145275848726789,0.00010470613283161817,68.49844551086426,tensor(0.1470),tensor(0.8510),COMPLETE
173,0.15766866505146027,2023-10-31 17:48:05.539990,2023-10-31 17:48:05.819691,0 days 00:00:00.279701,Tanh,Leaky,Tanh,53,24,22.0,16.0,0.01019157239472631,3,289,0.6565440676880405,9.372543757425842e-05,94.27659773826599,tensor(0.1577),tensor(0.8497),COMPLETE
174,0.15335170924663544,2023-10-31 17:48:05.820083,2023-10-31 17:48:06.229197,0 days 00:00:00.409114,Tanh,Leaky,Tanh,49,24,21.0,16.0,0.012884669281377574,3,295,0.6934966374492622,0.00011138297051982817,81.19044654313907,tensor(0.1534),tensor(0.8550),COMPLETE
175,0.16786187887191772,2023-10-31 17:48:06.229594,2023-10-31 17:48:06.620254,0 days 00:00:00.390660,Tanh,Leaky,Tanh,47,23,22.0,14.0,0.008946522036175165,3,349,0.6338787136008989,0.00013219161808453953,99.34693678035292,tensor(0.1679),tensor(0.8403),COMPLETE
176,0.16513633728027344,2023-10-31 17:48:06.620643,2023-10-31 17:48:06.999174,0 days 00:00:00.378531,Tanh,Leaky,Tanh,50,24,24.0,15.0,0.0066751461600728975,3,321,0.723891912801382,8.601463241190829e-05,63.112230702450404,tensor(0.1651),tensor(0.8444),COMPLETE
177,0.1418149173259735,2023-10-31 17:48:06.999573,2023-10-31 17:48:07.383518,0 days 00:00:00.383945,Leaky,Leaky,Tanh,45,23,22.0,17.0,0.013961318807310844,3,301,0.6668952743430545,5.278242864772572e-05,79.22811694022937,tensor(0.1418),tensor(0.8647),COMPLETE
178,0.197356715798378,2023-10-31 17:48:07.383890,2023-10-31 17:48:07.612537,0 days 00:00:00.228647,Leaky,Leaky,Tanh,48,22,22.0,10.0,0.013996207664183432,3,269,0.6035598255774635,5.894762678099698e-05,122.66657623291016,tensor(0.1974),tensor(0.8177),COMPLETE
179,0.16866987943649292,2023-10-31 17:48:07.612939,2023-10-31 17:48:08.109028,0 days 00:00:00.496089,Leaky,Leaky,ReLU,45,22,23.0,14.0,0.007811556027142339,3,305,0.7981806051762036,3.331111895399221e-05,74.28500623481219,tensor(0.1687),tensor(0.8328),COMPLETE
