number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,0.9695619344711304,Leaky,ReLU,96,218,2,21.0,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.012481927871704,0.9695619344711304,0.15857970714569092,COMPLETE
1,0.9854547381401062,Sigmoid,,57,187,8,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.4378057718276978,0.9854547381401062,0.057289958000183105,COMPLETE
2,1.0697753429412842,ReLU,Sigmoid,63,281,23,24.0,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,0.9897975325584412,1.0697753429412842,-0.011473536491394043,COMPLETE
3,0.2712264657020569,ReLU,,33,460,5,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,81.08184814453125,0.2712264657020569,0.7698509097099304,COMPLETE
4,0.45543527603149414,Tanh,,93,319,10,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,0.8085132837295532,0.45543527603149414,0.5695501565933228,COMPLETE
5,0.3351806402206421,Tanh,,22,294,5,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.8983911275863647,0.3351806402206421,0.704897940158844,COMPLETE
6,0.25008976459503174,Leaky,,16,397,8,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,0.8565656542778015,0.25008976459503174,0.7525981664657593,COMPLETE
7,0.2543300986289978,ReLU,,90,337,14,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.7419241666793823,0.2543300986289978,0.760778546333313,COMPLETE
8,0.30445170402526855,Tanh,Sigmoid,19,61,22,6.0,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,0.6584742665290833,0.30445170402526855,0.7163859605789185,COMPLETE
9,0.26000556349754333,ReLU,,89,335,20,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.3532510995864868,0.26000556349754333,0.7728822231292725,COMPLETE
10,0.2363395094871521,Leaky,Tanh,37,489,15,1.0,0.04272274816226783,2,0.7508950765561601,0.013414740693873158,0.6864362955093384,0.2363395094871521,0.7794151306152344,COMPLETE
11,0.22957687079906464,Leaky,Tanh,42,499,15,1.0,0.06721991440155001,2,0.7252324729761269,0.013791005359636446,0.643077552318573,0.22957687079906464,0.7790114283561707,COMPLETE
12,0.2517789602279663,Leaky,Tanh,41,487,16,1.0,0.09481416981576445,2,0.7912707267412229,0.006377498741418522,0.6668439507484436,0.2517789602279663,0.7237852811813354,COMPLETE
13,0.21640248596668243,Leaky,Tanh,43,415,18,1.0,0.09890655434492254,2,0.6834073591731422,0.012570280371391069,0.7767683863639832,0.21640248596668243,0.7711738348007202,COMPLETE
14,0.16221590340137482,Leaky,Tanh,69,412,19,10.0,0.08802700744592917,2,0.6651736391623702,0.0018862311534532442,0.7871060371398926,0.16221590340137482,0.8272938132286072,COMPLETE
15,0.24635449051856995,Sigmoid,Leaky,71,394,19,12.0,0.02047147040324719,2,0.3549903651250428,0.0007879372113265802,1.0203760862350464,0.24635449051856995,0.7771164178848267,COMPLETE
16,0.19171175360679626,Leaky,Tanh,76,388,18,10.0,0.006223444635816401,2,0.5867684505989258,0.0018617481965231412,0.7869988679885864,0.19171175360679626,0.8320759534835815,COMPLETE
17,0.19765660166740417,Leaky,Tanh,77,425,11,12.0,0.004444446270630075,2,0.5665009720111747,0.0007933620934577487,1.5394055843353271,0.19765660166740417,0.8259611129760742,COMPLETE
18,0.20919504761695862,Leaky,ReLU,78,230,24,8.0,0.0305450141214691,2,0.625705923554418,0.0023031759316527616,1.1289480924606323,0.20919504761695862,0.8020095825195312,COMPLETE
19,0.21094046533107758,Sigmoid,Leaky,65,361,21,16.0,0.007720478502271252,2,0.4401787642290942,0.0003038966192821778,1.5035781860351562,0.21094046533107758,0.8154417276382446,COMPLETE
20,0.25325119495391846,Leaky,Tanh,52,123,17,8.0,0.025308681659140485,2,0.34932795514722165,0.0029654800581376956,0.9938786625862122,0.25325119495391846,0.7832257747650146,COMPLETE
21,0.19542302191257477,Leaky,Tanh,79,415,13,13.0,0.005215184886470762,2,0.5765390169367092,0.0007272738925806128,1.2697689533233643,0.19542302191257477,0.8263689875602722,COMPLETE
22,0.20755635201931,Leaky,Tanh,82,452,12,17.0,0.004830236375203925,2,0.6121469524471571,0.0002604633380143122,0.9506450295448303,0.20755635201931,0.8189526796340942,COMPLETE
23,0.2022082507610321,Leaky,Tanh,70,366,13,15.0,0.01608686225535123,2,0.5070080806094276,0.0012829176679078822,2.5277798175811768,0.2022082507610321,0.814197301864624,COMPLETE
24,0.15819111466407776,Leaky,Tanh,86,450,18,10.0,0.0444300254061149,2,0.6541732780350936,0.0005786393387933732,0.5690129399299622,0.15819111466407776,0.8457916975021362,COMPLETE
25,0.16181038320064545,Leaky,Tanh,85,456,19,9.0,0.054099310982223925,2,0.6718624375430373,0.0004195516172099828,0.6525196433067322,0.16181038320064545,0.8070259094238281,COMPLETE
26,0.16398976743221283,Leaky,Leaky,86,454,20,5.0,0.051153655661311054,2,0.7757669116445326,0.000454699806947192,0.6911295652389526,0.16398976743221283,0.8372588753700256,COMPLETE
27,0.1641538143157959,Sigmoid,ReLU,97,446,22,9.0,0.04077127528360743,2,0.6877129070960162,0.00011621744897624758,0.7182589173316956,0.1641538143157959,0.8286125659942627,COMPLETE
28,0.1476227045059204,Tanh,Sigmoid,100,371,17,4.0,0.023141365879837627,2,0.6710070900032157,0.00045068465354468655,0.7853466272354126,0.1476227045059204,0.8595696687698364,COMPLETE
29,0.20917575061321259,Tanh,Sigmoid,99,235,18,5.0,0.02237673256081866,2,0.4741682205065927,0.0004972736524308886,1.5559041500091553,0.20917575061321259,0.816341757774353,COMPLETE
30,0.21065843105316162,Tanh,Sigmoid,99,367,16,4.0,0.034631118083759155,2,0.4548219184203886,0.00010251385265708658,1.3935242891311646,0.21065843105316162,0.7998581528663635,COMPLETE
31,0.1674157977104187,Tanh,Sigmoid,84,431,20,10.0,0.06434500704450791,2,0.654422859805062,0.0005354111866926828,0.6293613910675049,0.1674157977104187,0.8426668643951416,COMPLETE
32,0.15368936955928802,Tanh,Tanh,92,481,17,6.0,0.014933139606539041,2,0.6708826897323799,0.00032192256194193557,0.7155643701553345,0.15368936955928802,0.8467918038368225,COMPLETE
33,0.17683154344558716,Tanh,Sigmoid,93,474,16,7.0,0.013583625025597611,2,0.7876030122396874,0.00033594626672365943,0.5690505504608154,0.17683154344558716,0.8344734907150269,COMPLETE
34,0.19164541363716125,Tanh,Tanh,88,471,17,3.0,0.025551400710597028,2,0.6161666190042808,0.0001757005304171771,1.0683362483978271,0.19164541363716125,0.7928280830383301,COMPLETE
35,0.183901846408844,Tanh,Tanh,93,442,24,3.0,0.05282512881265838,2,0.5178366023460712,6.49613957995511e-05,1.4917947053909302,0.183901846408844,0.8153127431869507,COMPLETE
36,0.208187073469162,Tanh,Sigmoid,94,264,2,7.0,0.010292608033224066,2,0.677058706728895,0.0002175975253721983,1.0980643033981323,0.208187073469162,0.8119463920593262,COMPLETE
37,0.21028824150562286,ReLU,,100,298,22,,0.0025662270873937857,1,0.5707691193165836,2.967962447004563e-05,1.1318364143371582,0.21028824150562286,0.8156947493553162,COMPLETE
38,0.16481076180934906,Tanh,ReLU,57,166,9,14.0,0.01648850725596939,2,0.723055839471972,0.00039706477047339784,0.7920548319816589,0.16481076180934906,0.8425065875053406,COMPLETE
39,0.22108915448188782,Tanh,,83,471,15,,0.00829012008397399,1,0.4289589075637261,0.0011549352816895297,20.48432159423828,0.22108915448188782,0.8009921908378601,COMPLETE
40,0.2758173942565918,Sigmoid,Tanh,51,344,14,18.0,0.0003798310400210411,2,0.5049665625006471,0.0001642531852142282,1.3834763765335083,0.2758173942565918,0.7570871114730835,COMPLETE
41,0.17453506588935852,Leaky,Tanh,72,409,19,10.0,0.09996522950035057,2,0.6464904016531994,0.0006841587444798913,0.5298303365707397,0.17453506588935852,0.801910400390625,COMPLETE
42,0.17161016166210175,ReLU,Tanh,67,387,19,11.0,0.035877147200137176,2,0.797872110472212,0.0013254064505414506,0.5117155313491821,0.17161016166210175,0.8410108685493469,COMPLETE
43,0.1476222574710846,Leaky,Tanh,62,432,21,7.0,0.06226451224560984,2,0.7110930942933336,0.00034841026303273834,0.6627871990203857,0.1476222574710846,0.8384371995925903,COMPLETE
44,0.15706270933151245,Tanh,Sigmoid,61,499,21,6.0,0.05592237857132046,2,0.704688861182471,0.0002972002650746419,0.7824501991271973,0.15706270933151245,0.8451290726661682,COMPLETE
45,0.1516648232936859,Tanh,Sigmoid,60,499,22,5.0,0.01568835699094496,2,0.7199272734550392,0.0003633099743042788,0.5429447293281555,0.1516648232936859,0.847624659538269,COMPLETE
46,0.15700960159301758,Tanh,Sigmoid,61,500,23,6.0,0.01396526798971311,2,0.7228988443652307,0.00030552941680476786,0.5983483195304871,0.15700960159301758,0.855065107345581,COMPLETE
47,0.1766604781150818,Tanh,,25,482,23,,0.011981839306169213,1,0.721391806535014,0.00012116056314572379,0.652593195438385,0.1766604781150818,0.8401150107383728,COMPLETE
48,0.19109754264354706,Tanh,Sigmoid,60,484,23,3.0,0.01871170956340406,2,0.5824807771507584,0.00019691223146137675,1.3469102382659912,0.19109754264354706,0.8174713850021362,COMPLETE
49,0.19169217348098755,Tanh,Sigmoid,50,432,21,24.0,0.00835149269276851,2,0.555089961436228,0.00025927996141258367,1.1710587739944458,0.19169217348098755,0.8306071162223816,COMPLETE
50,0.17887383699417114,Tanh,Sigmoid,46,498,24,5.0,0.01501589553222329,2,0.7980003028997966,9.016952293373284e-05,0.7967736124992371,0.17887383699417114,0.8429432511329651,COMPLETE
51,0.1569129228591919,Tanh,Sigmoid,58,495,21,6.0,0.030257950984052432,2,0.7300739114524185,0.00032000261869543863,0.6442251801490784,0.1569129228591919,0.848562479019165,COMPLETE
52,0.1484840363264084,Tanh,Sigmoid,56,473,22,6.0,0.032059788667712565,2,0.7132178566275587,0.0003484833316081846,0.6668110489845276,0.1484840363264084,0.8557115793228149,COMPLETE
53,0.16063015162944794,Tanh,Sigmoid,55,468,21,2.0,0.031209522711995164,2,0.7440501136710294,0.00014481286581713055,0.7643247842788696,0.16063015162944794,0.8500802516937256,COMPLETE
54,0.169106587767601,Tanh,Sigmoid,38,466,22,4.0,0.021889665044890122,2,0.6407721034354967,0.00040439601343473993,0.8083080053329468,0.169106587767601,0.8374412655830383,COMPLETE
55,0.2287771850824356,Tanh,Sigmoid,11,433,6,7.0,0.071136243566131,2,0.6099978670637154,0.0008487610831130505,1.147544026374817,0.2287771850824356,0.7624017000198364,COMPLETE
56,0.18361665308475494,ReLU,Sigmoid,30,405,20,4.0,0.030187804480982357,2,0.538869272612944,0.00022193281347829546,1.6431397199630737,0.18361665308475494,0.8267519474029541,COMPLETE
57,0.15722568333148956,Tanh,Leaky,47,381,17,8.0,0.021341539628477152,2,0.732176531707285,0.000588295287675176,0.5558257699012756,0.15722568333148956,0.8401812314987183,COMPLETE
58,0.20003512501716614,Tanh,Sigmoid,74,481,20,6.0,0.010364726948048976,2,0.6090985600980294,0.0009250135230050642,1.700015664100647,0.20003512501716614,0.8141032457351685,COMPLETE
59,0.19528083503246307,Sigmoid,ReLU,65,458,22,2.0,0.07118067275147319,2,0.5490805649383056,0.00015802831841216702,1.456072211265564,0.19528083503246307,0.8220836520195007,COMPLETE
60,0.15811891853809357,Tanh,Sigmoid,55,423,23,5.0,0.04116562282736843,2,0.6946900866274379,0.0004059697817846977,0.645140528678894,0.15811891853809357,0.8469369411468506,COMPLETE
61,0.160831481218338,Tanh,Sigmoid,62,497,23,6.0,0.016136919885023127,2,0.7331532462068555,0.00027630209637365897,0.6772335171699524,0.160831481218338,0.8410691618919373,COMPLETE
62,0.1737293004989624,Tanh,Sigmoid,57,486,24,7.0,0.027897946065435664,2,0.7488578632983681,0.0003378627618669742,0.6147913336753845,0.1737293004989624,0.8288581371307373,COMPLETE
63,0.1568266749382019,Tanh,Sigmoid,60,499,21,4.0,0.012165916232453049,2,0.6841328788736335,0.0005430343911867734,0.8762693405151367,0.1568266749382019,0.8499100804328918,COMPLETE
64,0.1811489313840866,Tanh,Sigmoid,58,438,21,2.0,0.04190737356672085,2,0.6262096475832899,0.0005234500917176978,0.9760792255401611,0.1811489313840866,0.8157159686088562,COMPLETE
65,0.15543495118618011,Tanh,Leaky,65,463,20,22.0,0.006590496244261659,2,0.6744850949884978,0.0007031290844842041,0.782940149307251,0.15543495118618011,0.8514453172683716,COMPLETE
66,0.15061616897583008,Tanh,Leaky,67,456,18,23.0,0.005798159906250418,2,0.6729991708932602,0.0006813825916299485,0.7501676678657532,0.15061616897583008,0.8512389659881592,COMPLETE
67,0.19134485721588135,Tanh,Leaky,67,460,18,21.0,0.006154340479645716,2,0.6054381724637117,0.0010256550234776511,1.6332261562347412,0.19134485721588135,0.8157472610473633,COMPLETE
68,0.1828235536813736,ReLU,Leaky,80,318,17,22.0,0.0035156025839577416,2,0.49789587054718365,0.0007074206950706555,1.6822892427444458,0.1828235536813736,0.8387426733970642,COMPLETE
69,0.1701812893152237,Sigmoid,Leaky,74,417,20,22.0,0.006850523092913255,2,0.6503482506887962,0.0013896095391406468,0.7303255200386047,0.1701812893152237,0.8427602052688599,COMPLETE
70,0.1824895292520523,Tanh,Leaky,64,445,18,20.0,0.009183615154282225,2,0.5914623650294705,0.0007097827380631348,1.2049779891967773,0.1824895292520523,0.8333243131637573,COMPLETE
71,0.15288498997688293,Tanh,Leaky,54,476,19,19.0,0.011873217942640416,2,0.6883345776572369,0.0005718324443124046,0.6545499563217163,0.15288498997688293,0.855143666267395,COMPLETE
72,0.1490127295255661,Tanh,Leaky,68,476,19,23.0,0.005677212655035358,2,0.6676387652024859,0.00045483920356973124,0.8843175172805786,0.1490127295255661,0.8557736873626709,COMPLETE
73,0.152173712849617,Tanh,Leaky,48,59,19,23.0,0.022579712166610696,2,0.7672825758103965,0.0002283519738575687,0.6578832268714905,0.152173712849617,0.8560354113578796,COMPLETE
74,0.1568935066461563,Tanh,Leaky,53,93,19,23.0,0.023299363980599355,2,0.7904797655792604,0.00023064062917349694,0.6792356371879578,0.1568935066461563,0.8531882166862488,COMPLETE
75,0.19031181931495667,Tanh,Leaky,42,141,16,24.0,0.019411355943029916,2,0.5565911067389554,0.00044944884602705264,1.571189045906067,0.19031181931495667,0.8213644623756409,COMPLETE
76,0.1619848906993866,Tanh,Leaky,50,195,22,21.0,0.004406867473401852,2,0.761502028009998,0.00020478516445804297,0.7922098636627197,0.1619848906993866,0.8549254536628723,COMPLETE
77,0.17370599508285522,Leaky,Leaky,45,258,19,19.0,0.011639659699783785,2,0.6310265473514703,0.0009368720436684588,0.8354378938674927,0.17370599508285522,0.8264308571815491,COMPLETE
78,0.18581914901733398,Tanh,Leaky,39,62,18,23.0,0.002437841105277873,2,0.7647605834952091,0.000408886026555495,0.9260529279708862,0.18581914901733398,0.837023138999939,COMPLETE
79,0.15663409233093262,Tanh,,48,445,14,,0.019069524764283773,1,0.6988814659462237,0.0005902414171157597,0.6631009578704834,0.15663409233093262,0.8362252712249756,COMPLETE
80,0.19108237326145172,Leaky,Leaky,68,394,19,23.0,0.009965697429210149,2,0.5849799263798723,0.00025970095743393923,0.8738253712654114,0.19108237326145172,0.8301511406898499,COMPLETE
81,0.1512785404920578,Tanh,Leaky,53,474,17,20.0,0.036242257114254654,2,0.6615946738463784,0.00033690040506120615,0.7370600700378418,0.1512785404920578,0.8330609798431396,COMPLETE
82,0.16208665072917938,Tanh,Leaky,53,478,17,20.0,0.03495182639568342,2,0.6525196743248746,0.00038352430826242307,0.7652268409729004,0.16208665072917938,0.8314839601516724,COMPLETE
83,0.1551412045955658,Tanh,Leaky,33,453,18,21.0,0.04858939527216424,2,0.7074480851047139,0.0005113279818891668,0.6221027374267578,0.1551412045955658,0.8309109210968018,COMPLETE
84,0.1673135906457901,Tanh,Leaky,54,472,15,17.0,0.02506043890418424,2,0.7637253577293485,0.00018777162160042807,2.31888484954834,0.1673135906457901,0.8288820385932922,COMPLETE
85,0.15249103307724,Tanh,Leaky,50,424,20,24.0,0.03705430087001303,2,0.671747094964499,0.00025788880397210445,0.6554984450340271,0.15249103307724,0.8498657941818237,COMPLETE
86,0.18351469933986664,Tanh,ReLU,49,429,20,24.0,0.07530482920288176,2,0.6370116125751878,0.00014401770048250867,0.7375554442405701,0.18351469933986664,0.8243640065193176,COMPLETE
87,0.21570909023284912,ReLU,Leaky,44,377,16,23.0,0.054048081353327705,2,0.5351103098627663,0.00035293310352793903,1.4646708965301514,0.21570909023284912,0.8003677129745483,COMPLETE
88,0.18163207173347473,Sigmoid,Leaky,57,401,22,24.0,0.03880207568106288,2,0.5734188707524709,0.00025959198650546395,1.049437403678894,0.18163207173347473,0.8324553966522217,COMPLETE
89,0.1676667183637619,Tanh,Leaky,70,422,20,22.0,0.08379634213259593,2,0.7973018281702068,0.00022763759850630595,0.7221295237541199,0.1676667183637619,0.8152555823326111,COMPLETE
90,0.16146816313266754,Leaky,Leaky,63,353,17,13.0,0.05845919550062925,2,0.6688826441200328,0.0004559793505427264,0.7467984557151794,0.16146816313266754,0.8238661289215088,COMPLETE
91,0.15639561414718628,Tanh,Leaky,51,322,19,20.0,0.02521214888015175,2,0.6885346088714894,0.0006183802327159186,0.857784628868103,0.15639561414718628,0.842119574546814,COMPLETE
92,0.14528299868106842,Tanh,Leaky,59,487,21,19.0,0.01772460747471188,2,0.7075448002170952,0.00034978014296086965,0.6463971734046936,0.14528299868106842,0.8444945216178894,COMPLETE
93,0.15531130135059357,Tanh,Leaky,59,486,21,15.0,0.01656985640927027,2,0.7541748130315726,0.000325878783595496,0.6155491471290588,0.15531130135059357,0.8430484533309937,COMPLETE
94,0.15591540932655334,Tanh,Leaky,62,463,11,23.0,0.031252005053981936,2,0.7152427982507111,0.00018183237727849476,0.6787706613540649,0.15591540932655334,0.8347429037094116,COMPLETE
95,0.190406933426857,Tanh,ReLU,72,440,22,24.0,0.04649847748222894,2,0.6098679545441352,0.0002824419115718992,0.9644883275032043,0.190406933426857,0.8001930117607117,COMPLETE
96,0.17736858129501343,Tanh,Tanh,56,489,21,21.0,0.01937223596784562,2,0.648677258142498,0.0008196442636370536,0.7092002630233765,0.17736858129501343,0.8229326605796814,COMPLETE
97,0.16240446269512177,Tanh,Leaky,52,452,20,8.0,0.038177459633215956,2,0.7544357246913528,0.0004762774522220552,0.5499409437179565,0.16240446269512177,0.848025918006897,COMPLETE
