number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
26,0.4183238744735718,2023-10-30 14:27:01.526339,2023-10-30 14:27:08.842388,0 days 00:00:07.316049,ReLU,Leaky,30,14,10.0,0.01,2,450,0.7,0.01,"tensor(0.4183, device='cuda:0')",COMPLETE
27,0.37375450134277344,2023-10-30 14:27:08.842767,2023-10-30 14:27:11.562579,0 days 00:00:02.719812,Tanh,Sigmoid,90,16,20.0,0.001,2,400,0.7,0.001,"tensor(0.3738, device='cuda:0')",COMPLETE
28,0.3143284022808075,2023-10-30 14:27:11.562973,2023-10-30 14:27:13.592041,0 days 00:00:02.029068,Leaky,Tanh,100,21,16.0,0.01,2,350,0.6,0.001,"tensor(0.3143, device='cuda:0')",COMPLETE
29,0.33186137676239014,2023-10-30 14:27:13.592441,2023-10-30 14:27:15.008607,0 days 00:00:01.416166,ReLU,,90,11,,0.1,1,200,0.8,0.001,"tensor(0.3319, device='cuda:0')",COMPLETE
30,0.9299429059028625,2023-10-30 14:27:15.009036,2023-10-30 14:27:15.277363,0 days 00:00:00.268327,ReLU,Tanh,100,18,10.0,0.01,2,200,0.1,0.01,"tensor(0.9299, device='cuda:0')",COMPLETE
31,0.28696078062057495,2023-10-30 14:27:15.277748,2023-10-30 14:27:16.568289,0 days 00:00:01.290541,Tanh,Tanh,100,15,12.0,0.01,2,200,0.7,0.001,"tensor(0.2870, device='cuda:0')",COMPLETE
32,0.3568243682384491,2023-10-30 14:27:16.568679,2023-10-30 14:27:17.837129,0 days 00:00:01.268450,Tanh,Tanh,100,15,13.0,0.01,2,200,0.7,0.001,"tensor(0.3568, device='cuda:0')",COMPLETE
33,0.4247339367866516,2023-10-30 14:27:17.837513,2023-10-30 14:27:19.313503,0 days 00:00:01.475990,Tanh,Tanh,100,13,7.0,0.01,2,200,0.8,1e-05,"tensor(0.4247, device='cuda:0')",COMPLETE
34,0.5718374848365784,2023-10-30 14:27:19.313920,2023-10-30 14:27:20.066687,0 days 00:00:00.752767,Tanh,Tanh,70,16,17.0,0.01,2,200,0.3,0.1,"tensor(0.5718, device='cuda:0')",COMPLETE
35,0.3335925340652466,2023-10-30 14:27:20.067091,2023-10-30 14:27:23.020618,0 days 00:00:02.953527,Tanh,Tanh,60,19,14.0,0.01,2,450,0.5,0.001,"tensor(0.3336, device='cuda:0')",COMPLETE
36,0.3559589385986328,2023-10-30 14:27:23.021007,2023-10-30 14:27:25.523410,0 days 00:00:02.502403,Tanh,Tanh,40,13,11.0,0.01,2,200,0.7,1e-05,"tensor(0.3560, device='cuda:0')",COMPLETE
37,0.6615150570869446,2023-10-30 14:27:25.523831,2023-10-30 14:27:25.717057,0 days 00:00:00.193226,Sigmoid,,100,21,,0.001,1,50,0.4,0.001,"tensor(0.6615, device='cuda:0')",COMPLETE
38,0.5848714113235474,2023-10-30 14:27:25.717465,2023-10-30 14:27:26.651250,0 days 00:00:00.933785,Tanh,Tanh,100,17,19.0,0.01,2,400,0.2,0.1,"tensor(0.5849, device='cuda:0')",COMPLETE
39,0.580978274345398,2023-10-30 14:27:26.651665,2023-10-30 14:27:29.197450,0 days 00:00:02.545785,Sigmoid,ReLU,30,11,14.0,0.0001,2,350,0.3,0.001,"tensor(0.5810, device='cuda:0')",COMPLETE
40,1.0243245363235474,2023-10-30 14:27:29.197861,2023-10-30 14:27:33.148288,0 days 00:00:03.950427,ReLU,,20,23,,1e-05,1,200,0.7,0.0001,"tensor(1.0243, device='cuda:0')",COMPLETE
41,0.3102562725543976,2023-10-30 14:27:33.148684,2023-10-30 14:27:34.424990,0 days 00:00:01.276306,Tanh,Tanh,100,15,12.0,0.01,2,200,0.7,0.001,"tensor(0.3103, device='cuda:0')",COMPLETE
42,0.29791727662086487,2023-10-30 14:27:34.425394,2023-10-30 14:27:35.725943,0 days 00:00:01.300549,Tanh,Tanh,100,15,8.0,0.01,2,200,0.7,0.001,"tensor(0.2979, device='cuda:0')",COMPLETE
43,0.5478858351707458,2023-10-30 14:27:35.726333,2023-10-30 14:27:36.074675,0 days 00:00:00.348342,Tanh,Tanh,60,18,11.0,0.01,2,200,0.1,0.001,"tensor(0.5479, device='cuda:0')",COMPLETE
44,0.30548006296157837,2023-10-30 14:27:36.075111,2023-10-30 14:27:41.476509,0 days 00:00:05.401398,Tanh,Leaky,50,8,5.0,0.01,2,500,0.7,0.001,"tensor(0.3055, device='cuda:0')",COMPLETE
45,0.4987964332103729,2023-10-30 14:27:41.476906,2023-10-30 14:27:42.248446,0 days 00:00:00.771540,Leaky,Sigmoid,40,17,15.0,0.1,2,100,0.4,0.01,"tensor(0.4988, device='cuda:0')",COMPLETE
46,0.3056551516056061,2023-10-30 14:27:42.248852,2023-10-30 14:27:51.466580,0 days 00:00:09.217728,Tanh,Tanh,10,20,9.0,0.01,2,300,0.5,0.001,"tensor(0.3057, device='cuda:0')",COMPLETE
47,1.5797563791275024,2023-10-30 14:27:51.467013,2023-10-30 14:27:52.458688,0 days 00:00:00.991675,Sigmoid,Leaky,100,12,1.0,1e-05,2,150,0.7,1e-05,"tensor(1.5798, device='cuda:0')",COMPLETE
48,0.2870830297470093,2023-10-30 14:27:52.459123,2023-10-30 14:27:54.385381,0 days 00:00:01.926258,ReLU,Tanh,70,14,4.0,0.01,2,200,0.8,0.001,"tensor(0.2871, device='cuda:0')",COMPLETE
49,0.3683864176273346,2023-10-30 14:27:54.385777,2023-10-30 14:27:56.779826,0 days 00:00:02.394049,ReLU,Tanh,70,14,4.0,0.001,2,250,0.8,0.001,"tensor(0.3684, device='cuda:0')",COMPLETE
50,0.586317777633667,2023-10-30 14:27:56.780224,2023-10-30 14:27:59.352912,0 days 00:00:02.572688,ReLU,ReLU,70,10,4.0,0.0001,2,350,0.6,0.0001,"tensor(0.5863, device='cuda:0')",COMPLETE
51,0.3981459438800812,2023-10-30 14:27:59.353316,2023-10-30 14:28:01.235774,0 days 00:00:01.882458,ReLU,Tanh,70,16,18.0,0.01,2,200,0.8,0.001,"tensor(0.3981, device='cuda:0')",COMPLETE
52,0.24879685044288635,2023-10-30 14:28:01.236174,2023-10-30 14:28:02.980578,0 days 00:00:01.744404,ReLU,Tanh,80,15,12.0,0.01,2,200,0.8,0.001,"tensor(0.2488, device='cuda:0')",COMPLETE
53,0.49423086643218994,2023-10-30 14:28:02.980981,2023-10-30 14:28:04.891229,0 days 00:00:01.910248,ReLU,Tanh,70,13,14.0,0.01,2,200,0.8,0.001,"tensor(0.4942, device='cuda:0')",COMPLETE
54,0.4205394983291626,2023-10-30 14:28:04.891616,2023-10-30 14:28:06.661869,0 days 00:00:01.770253,ReLU,Tanh,80,17,15.0,0.01,2,200,0.8,0.001,"tensor(0.4205, device='cuda:0')",COMPLETE
55,0.34653714299201965,2023-10-30 14:28:06.662284,2023-10-30 14:28:08.412654,0 days 00:00:01.750370,ReLU,Sigmoid,80,18,17.0,0.01,2,200,0.8,0.001,"tensor(0.3465, device='cuda:0')",COMPLETE
56,0.6763566732406616,2023-10-30 14:28:08.413052,2023-10-30 14:28:12.759564,0 days 00:00:04.346512,ReLU,Tanh,80,14,13.0,0.01,2,500,0.8,0.1,"tensor(0.6764, device='cuda:0')",COMPLETE
57,0.6688599586486816,2023-10-30 14:28:12.759967,2023-10-30 14:28:13.611189,0 days 00:00:00.851222,ReLU,Tanh,80,1,11.0,0.01,2,350,0.2,0.001,"tensor(0.6689, device='cuda:0')",COMPLETE
58,1.0239918231964111,2023-10-30 14:28:13.611567,2023-10-30 14:28:14.931416,0 days 00:00:01.319849,ReLU,Tanh,20,16,8.0,1e-05,2,50,0.8,0.001,"tensor(1.0240, device='cuda:0')",COMPLETE
59,0.3008180260658264,2023-10-30 14:28:14.931819,2023-10-30 14:28:16.465494,0 days 00:00:01.533675,Leaky,Leaky,90,19,22.0,0.1,2,450,0.3,0.001,"tensor(0.3008, device='cuda:0')",COMPLETE
60,0.6831125020980835,2023-10-30 14:28:16.465884,2023-10-30 14:28:16.689133,0 days 00:00:00.223249,ReLU,Tanh,50,15,17.0,0.01,2,100,0.1,0.01,"tensor(0.6831, device='cuda:0')",COMPLETE
61,0.4103735089302063,2023-10-30 14:28:16.689523,2023-10-30 14:28:17.986500,0 days 00:00:01.296977,Tanh,Tanh,100,15,12.0,0.01,2,200,0.7,0.001,"tensor(0.4104, device='cuda:0')",COMPLETE
62,0.392985999584198,2023-10-30 14:28:17.986888,2023-10-30 14:28:19.282052,0 days 00:00:01.295164,ReLU,Tanh,100,17,15.0,0.01,2,200,0.7,0.001,"tensor(0.3930, device='cuda:0')",COMPLETE
63,0.2802509367465973,2023-10-30 14:28:19.282434,2023-10-30 14:28:20.555437,0 days 00:00:01.273003,Tanh,Tanh,100,11,13.0,0.01,2,200,0.7,0.001,"tensor(0.2803, device='cuda:0')",COMPLETE
64,0.31356745958328247,2023-10-30 14:28:20.555821,2023-10-30 14:28:21.843703,0 days 00:00:01.287882,ReLU,Tanh,100,13,13.0,0.01,2,200,0.7,0.001,"tensor(0.3136, device='cuda:0')",COMPLETE
65,0.42138028144836426,2023-10-30 14:28:21.844098,2023-10-30 14:28:28.374489,0 days 00:00:06.530391,Tanh,ReLU,30,8,16.0,0.01,2,400,0.7,0.001,"tensor(0.4214, device='cuda:0')",COMPLETE
66,0.38934481143951416,2023-10-30 14:28:28.374880,2023-10-30 14:28:36.056353,0 days 00:00:07.681473,Sigmoid,Tanh,10,11,9.0,0.01,2,250,0.5,0.001,"tensor(0.3893, device='cuda:0')",COMPLETE
67,0.3518194556236267,2023-10-30 14:28:36.056785,2023-10-30 14:28:37.041342,0 days 00:00:00.984557,ReLU,Sigmoid,100,12,19.0,0.001,2,150,0.7,0.0001,"tensor(0.3518, device='cuda:0')",COMPLETE
68,0.5681639313697815,2023-10-30 14:28:37.041830,2023-10-30 14:28:38.333467,0 days 00:00:01.291637,Tanh,Tanh,100,9,14.0,0.0001,2,200,0.7,1e-05,"tensor(0.5682, device='cuda:0')",COMPLETE
69,0.4386758506298065,2023-10-30 14:28:38.333894,2023-10-30 14:28:39.827076,0 days 00:00:01.493182,Leaky,,60,14,,0.01,1,300,0.4,0.001,"tensor(0.4387, device='cuda:0')",COMPLETE
70,0.7535083293914795,2023-10-30 14:28:39.827460,2023-10-30 14:28:42.183189,0 days 00:00:02.355729,ReLU,Tanh,40,16,11.0,0.01,2,200,0.6,0.1,"tensor(0.7535, device='cuda:0')",COMPLETE
71,0.37999698519706726,2023-10-30 14:28:42.183610,2023-10-30 14:28:43.551682,0 days 00:00:01.368072,Tanh,Tanh,100,15,12.0,0.01,2,200,0.7,0.001,"tensor(0.3800, device='cuda:0')",COMPLETE
72,0.4062369763851166,2023-10-30 14:28:43.552086,2023-10-30 14:28:44.948222,0 days 00:00:01.396136,Tanh,Tanh,100,16,10.0,0.01,2,200,0.7,0.001,"tensor(0.4062, device='cuda:0')",COMPLETE
73,0.37111958861351013,2023-10-30 14:28:44.948626,2023-10-30 14:28:46.264112,0 days 00:00:01.315486,Tanh,Tanh,100,14,13.0,0.01,2,200,0.7,0.001,"tensor(0.3711, device='cuda:0')",COMPLETE
74,0.33028414845466614,2023-10-30 14:28:46.264527,2023-10-30 14:28:48.683314,0 days 00:00:02.418787,Tanh,Tanh,100,18,15.0,0.01,2,350,0.7,0.001,"tensor(0.3303, device='cuda:0')",COMPLETE
75,0.2757514715194702,2023-10-30 14:28:48.683705,2023-10-30 14:28:50.273048,0 days 00:00:01.589343,Tanh,Tanh,100,17,12.0,0.01,2,200,0.8,0.001,"tensor(0.2758, device='cuda:0')",COMPLETE
