number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.3602934181690216,2023-09-05 14:14:05.198911,2023-09-05 14:14:05.426311,0 days 00:00:00.227400,ReLU,Sigmoid,ReLU,,71,6,7.0,23.0,,0.013039975781009154,3,308,0.1400166834146789,0.0015814327008723732,163.80219197827716,COMPLETE
1,0.29952922463417053,2023-09-05 14:14:05.426624,2023-09-05 14:14:08.887944,0 days 00:00:03.461320,Tanh,,,,32,13,,,,0.0006759290150392088,1,235,0.3694590060430876,0.005344463138372592,124.69049624179272,COMPLETE
2,0.278156042098999,2023-09-05 14:14:08.888197,2023-09-05 14:14:10.340692,0 days 00:00:01.452495,Tanh,Tanh,Leaky,,18,12,16.0,8.0,,0.008766470818022851,3,116,0.2884204893651303,0.00011541099930375896,1821.8844674917368,COMPLETE
3,0.2896188497543335,2023-09-05 14:14:10.340973,2023-09-05 14:14:10.516779,0 days 00:00:00.175806,Leaky,Leaky,,,49,16,13.0,,,0.0570011805851476,2,277,0.18031346520624153,0.00041145862180548494,298.79210075965295,COMPLETE
4,0.6250040531158447,2023-09-05 14:14:10.517054,2023-09-05 14:14:11.159700,0 days 00:00:00.642646,ReLU,Sigmoid,,,37,2,18.0,,,0.002961645875316705,2,296,0.3210536911446198,0.07062457368577953,118.90785648511803,COMPLETE
5,0.7375581860542297,2023-09-05 14:14:11.159971,2023-09-05 14:14:11.435845,0 days 00:00:00.275874,Leaky,ReLU,Sigmoid,,65,3,20.0,16.0,,0.03386730790862455,3,192,0.27598620819297637,0.04701962749221839,165.66334424700057,COMPLETE
6,0.9029500484466553,2023-09-05 14:14:11.436114,2023-09-05 14:14:13.468261,0 days 00:00:02.032147,Sigmoid,Tanh,Sigmoid,Sigmoid,28,5,8.0,10.0,22.0,1.9158023505323032e-05,4,196,0.6872448643617891,0.005024192581329555,101.03540878295898,COMPLETE
7,0.9966129064559937,2023-09-05 14:14:13.468571,2023-09-05 14:14:16.719743,0 days 00:00:03.251172,Leaky,Leaky,Sigmoid,,38,24,22.0,18.0,,1.0154720321911595e-05,3,228,0.6761594738223329,0.051369739587543234,104.51579078038533,COMPLETE
8,0.2612890601158142,2023-09-05 14:14:16.720029,2023-09-05 14:14:17.472595,0 days 00:00:00.752566,Tanh,Leaky,,,18,22,5.0,,,0.011723346010390151,2,246,0.3674378258124744,0.004988041463584213,103.2912098811223,COMPLETE
9,0.3204672336578369,2023-09-05 14:14:17.472832,2023-09-05 14:14:18.391354,0 days 00:00:00.918522,Sigmoid,Sigmoid,Leaky,,38,6,12.0,15.0,,0.004220588306189995,3,54,0.3385361496130107,0.005367068800064272,145.13105053371854,COMPLETE
