number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
23,0.3388415277004242,2023-09-05 14:15:52.605080,2023-09-05 14:16:00.815982,0 days 00:00:08.210902,Sigmoid,ReLU,Tanh,,50,24,15.0,12.0,,0.0007812357864778246,3,319,0.5496425134902551,0.0006768872415984361,108.13569614291191,COMPLETE
24,0.299085795879364,2023-09-05 14:16:00.816257,2023-09-05 14:16:23.314616,0 days 00:00:22.498359,Leaky,Sigmoid,Tanh,ReLU,34,18,12.0,9.0,16.0,0.00019368374066269225,4,434,0.6856106621682146,0.00030699781218737556,107.61568401705834,COMPLETE
25,0.3172430098056793,2023-09-05 14:16:23.315073,2023-09-05 14:16:28.743976,0 days 00:00:05.428903,ReLU,Tanh,,,64,14,9.0,,,0.0005358567280247154,2,221,0.7981850822525057,0.0011238771794569516,114.196046095628,COMPLETE
26,0.2865547835826874,2023-09-05 14:16:28.744235,2023-09-05 14:16:33.038929,0 days 00:00:04.294694,ReLU,Leaky,Tanh,,55,22,5.0,18.0,,0.0011929129082549005,3,296,0.39620813678152045,5.1034702787558115e-05,180.48640935561235,COMPLETE
27,0.29199838638305664,2023-09-05 14:16:33.039221,2023-09-05 14:16:34.136313,0 days 00:00:01.097092,Leaky,Leaky,Leaky,,73,21,5.0,22.0,,0.003559394806596489,3,299,0.4036338925681793,0.00012202421954724351,166.01988929299748,COMPLETE
28,0.3149767518043518,2023-09-05 14:16:34.136591,2023-09-05 14:16:38.980733,0 days 00:00:04.844142,Sigmoid,Tanh,,,52,22,5.0,,,0.0011844063281621423,2,281,0.5006158160775908,0.0005659604579851208,129.07892603212403,COMPLETE
29,0.32031720876693726,2023-09-05 14:16:38.981000,2023-09-05 14:16:42.397207,0 days 00:00:03.416207,Sigmoid,ReLU,ReLU,,51,24,3.0,17.0,,0.0021109282094748947,3,330,0.38307565788201525,1.1186927702315522e-05,102.80514558009838,COMPLETE
30,0.3317028880119324,2023-09-05 14:16:42.397474,2023-09-05 14:16:47.043927,0 days 00:00:04.646453,ReLU,Sigmoid,Sigmoid,,32,20,7.0,5.0,,0.000821677862505547,3,245,0.32233311486399224,1.8333417806358774e-05,127.02610934510523,COMPLETE
31,0.29771125316619873,2023-09-05 14:16:47.044206,2023-09-05 14:16:53.674414,0 days 00:00:06.630208,ReLU,Leaky,Tanh,Sigmoid,57,18,12.0,20.0,7.0,0.00039818836750610915,4,355,0.5017353092032701,5.3384859885699777e-05,97.44698851722539,COMPLETE
32,0.42372003197669983,2023-09-05 14:16:53.674687,2023-09-05 14:16:53.979097,0 days 00:00:00.304410,ReLU,Leaky,Tanh,,47,20,9.0,15.0,,0.08882401194409917,3,293,0.4002911897477625,2.423366377786939e-05,168.48611068725586,COMPLETE
33,0.3451462686061859,2023-09-05 14:16:53.979376,2023-09-05 14:16:56.374904,0 days 00:00:02.395528,ReLU,Leaky,,,59,22,3.0,,,0.001525503311920281,2,336,0.6555219970915377,8.460188245538252e-05,132.26884027254783,COMPLETE
34,0.30853602290153503,2023-09-05 14:16:56.375157,2023-09-05 14:16:58.848042,0 days 00:00:02.472885,ReLU,Leaky,Tanh,,65,17,19.0,13.0,,0.0009810878039715294,3,203,0.5392181746659636,0.00023799298896459532,112.4185249386853,COMPLETE
35,0.330252081155777,2023-09-05 14:16:58.848305,2023-09-05 14:17:05.326002,0 days 00:00:06.477697,Leaky,Leaky,Tanh,Leaky,72,14,17.0,10.0,16.0,0.00020288272824367867,4,464,0.45746703566923114,0.00017317272521059609,163.6128355337649,COMPLETE
