number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.28815850615501404,2023-09-05 14:14:07.271241,2023-09-05 14:14:07.801683,0 days 00:00:00.530442,Tanh,,,,27,21,,,,0.01139606161183694,1,498,0.17142136354677343,0.001352858628857206,1193.5703115609977,COMPLETE
1,0.3367398977279663,2023-09-05 14:14:07.801986,2023-09-05 14:14:07.918340,0 days 00:00:00.116354,ReLU,,,,79,8,,,,0.02583692739386412,1,283,0.17313007130632974,0.04949206335262235,89.36647994429977,COMPLETE
2,0.9726983308792114,2023-09-05 14:14:07.918599,2023-09-05 14:14:08.263780,0 days 00:00:00.345181,ReLU,ReLU,Sigmoid,,31,12,6.0,6.0,,0.011714095854494382,3,169,0.30652928901717574,0.04427907463499708,101.58513853285048,COMPLETE
3,0.36229634284973145,2023-09-05 14:14:08.264071,2023-09-05 14:14:08.524615,0 days 00:00:00.260544,Leaky,ReLU,Leaky,,66,17,2.0,4.0,,0.020985312734222994,3,268,0.17264060098914516,0.0012160115723101389,118.8568391542177,COMPLETE
4,0.33515214920043945,2023-09-05 14:14:08.532512,2023-09-05 14:14:09.308177,0 days 00:00:00.775665,Tanh,Leaky,,,54,10,19.0,,,0.028893689101566474,2,292,0.22191339104249524,0.023353039107857833,131.7554832458496,COMPLETE
5,0.3931998014450073,2023-09-05 14:14:09.308428,2023-09-05 14:14:11.118983,0 days 00:00:01.810555,Leaky,,,,26,20,,,,4.285778638367711e-05,1,308,0.12043038461717538,2.061885162619137e-05,92.8575406012597,COMPLETE
6,0.29245302081108093,2023-09-05 14:14:11.119258,2023-09-05 14:14:13.498057,0 days 00:00:02.378799,Tanh,,,,63,9,,,,0.002768159612130418,1,346,0.6509789459992451,1.2038581208181964e-05,82.484616664418,COMPLETE
7,0.3494594693183899,2023-09-05 14:14:13.498517,2023-09-05 14:14:15.359759,0 days 00:00:01.861242,ReLU,,,,32,8,,,,0.00016520613550037897,1,182,0.24845007329661933,0.00011302225010309136,99.25796118935386,COMPLETE
8,0.4206215441226959,2023-09-05 14:14:15.359995,2023-09-05 14:14:15.637027,0 days 00:00:00.277032,Sigmoid,,,,80,16,,,,0.002384292130428533,1,114,0.1068534133756574,0.02190459447869232,108.62227819600237,COMPLETE
9,0.3295823931694031,2023-09-05 14:14:15.637251,2023-09-05 14:14:15.842799,0 days 00:00:00.205548,ReLU,Tanh,,,60,7,1.0,,,0.07457889171352128,2,489,0.29710029514150244,0.00030210472378012484,90.11471106789328,COMPLETE
10,0.28088444471359253,2023-09-05 14:14:15.843038,2023-09-05 14:14:28.723710,0 days 00:00:12.880672,Tanh,Sigmoid,ReLU,ReLU,18,24,23.0,24.0,24.0,0.0004739797225848507,4,500,0.4131655942525298,0.0026122706693307626,836.7775049793477,COMPLETE
11,0.28942689299583435,2023-09-05 14:14:28.723995,2023-09-05 14:14:44.251308,0 days 00:00:15.527313,Tanh,Sigmoid,ReLU,ReLU,10,23,24.0,24.0,24.0,0.00047107565564992,4,492,0.44983096762081587,0.0037199248057199694,99.71790947547326,COMPLETE
12,0.30322250723838806,2023-09-05 14:14:44.251604,2023-09-05 14:14:49.159015,0 days 00:00:04.907411,Tanh,Sigmoid,ReLU,Sigmoid,18,24,14.0,24.0,9.0,0.0011496160787319608,4,407,0.4270153860039804,0.0027927641685732505,84.74339360062794,COMPLETE
13,0.29910847544670105,2023-09-05 14:14:49.159302,2023-09-05 14:14:51.117736,0 days 00:00:01.958434,Tanh,Sigmoid,Tanh,,43,20,23.0,15.0,,0.005269018341664576,3,408,0.7397065580817819,0.005612459910176861,88.50211266108921,COMPLETE
14,0.8849601149559021,2023-09-05 14:14:51.118005,2023-09-05 14:14:57.447565,0 days 00:00:06.329560,Sigmoid,Leaky,,,43,1,14.0,,,1.0885327044588148e-05,2,419,0.39318534064026517,0.000709546392592902,150.6874826290158,COMPLETE
