number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
23,0.5196378231048584,2023-09-05 14:16:42.223682,2023-09-05 14:16:56.483117,0 days 00:00:14.259435,ReLU,ReLU,,,28,18,12.0,,,3.661038380826436e-05,2,176,0.49266990274135264,0.0025261126621869932,128.9343806180087,COMPLETE
24,0.4367256164550781,2023-09-05 14:16:56.483526,2023-09-05 14:17:12.642814,0 days 00:00:16.159288,ReLU,,,,29,13,,,,0.00015014067426175523,1,344,0.6397290820978586,0.02772975980901779,129.66663617865984,COMPLETE
25,0.5763598084449768,2023-09-05 14:17:12.643058,2023-09-05 14:17:18.845267,0 days 00:00:06.202209,ReLU,Sigmoid,,,10,8,9.0,,,0.0003377904995737526,2,54,0.5290398192517294,0.010930100847270249,146.1472853201407,COMPLETE
26,0.5596794486045837,2023-09-05 14:17:18.845528,2023-09-05 14:17:26.030584,0 days 00:00:07.185056,ReLU,ReLU,Leaky,,58,16,20.0,1.0,,7.705269456481164e-05,3,288,0.6806888440409858,0.00660337397355396,122.34343674447801,COMPLETE
27,0.4159860610961914,2023-09-05 14:17:26.030835,2023-09-05 14:17:28.610123,0 days 00:00:02.579288,ReLU,Tanh,,,43,23,15.0,,,0.0015406569802731856,2,171,0.6685007410230684,0.0412608660253379,111.48873996734619,COMPLETE
28,0.41092032194137573,2023-09-05 14:17:28.610374,2023-09-05 14:17:37.225814,0 days 00:00:08.615440,Tanh,,,,24,12,,,,0.0006623163136817936,1,249,0.5358863477079155,0.001906978218531749,125.57039590245749,COMPLETE
29,0.471747487783432,2023-09-05 14:17:37.226071,2023-09-05 14:17:38.585512,0 days 00:00:01.359441,Sigmoid,Leaky,,,48,10,9.0,,,0.003400979078176474,2,87,0.40557673459414234,0.003802749207549289,178.311063306085,COMPLETE
30,0.3506752848625183,2023-09-05 14:17:38.585914,2023-09-05 14:17:58.743736,0 days 00:00:20.157822,ReLU,Tanh,Sigmoid,,16,7,13.0,6.0,,0.00024477077408082467,3,334,0.6928547723347643,0.0023599238173272648,161.290259320971,COMPLETE
31,0.43796101212501526,2023-09-05 14:17:58.744005,2023-09-05 14:18:18.097691,0 days 00:00:19.353686,ReLU,Tanh,Sigmoid,,16,7,13.0,6.0,,0.00012694467398051185,3,343,0.6031300598435066,0.001843533348163318,225.35168238698094,COMPLETE
32,0.5546210408210754,2023-09-05 14:18:18.097949,2023-09-05 14:18:25.819794,0 days 00:00:07.721845,ReLU,Tanh,Sigmoid,,16,3,16.0,6.0,,0.0002417358362276204,3,451,0.6993340997399464,0.000757153340847856,258.421332243447,COMPLETE
33,0.37123146653175354,2023-09-05 14:18:25.820053,2023-09-05 14:18:31.197131,0 days 00:00:05.377078,ReLU,Tanh,,,33,9,11.0,,,0.0005746569744132324,2,342,0.7145309587259812,0.0037848033623082795,249.06144287867576,COMPLETE
34,0.5070704221725464,2023-09-05 14:18:31.197378,2023-09-05 14:18:48.404879,0 days 00:00:17.207501,ReLU,Tanh,Sigmoid,,24,6,14.0,9.0,,0.00011798219975001324,3,409,0.589537141240374,0.011571864989014245,147.42296558169264,COMPLETE
35,0.3809027671813965,2023-09-05 14:18:48.405144,2023-09-05 14:18:53.071680,0 days 00:00:04.666536,Leaky,Leaky,,,34,21,17.0,,,0.0002464490756490467,2,207,0.4809635395000439,0.004529627095783057,117.48516801474752,COMPLETE
36,0.3808378577232361,2023-09-05 14:18:53.071945,2023-09-05 14:18:58.049316,0 days 00:00:04.977371,Tanh,Tanh,Tanh,,15,18,18.0,15.0,,0.0013155263827862688,3,158,0.603055317753012,0.0023561977204201697,117.44248302562816,COMPLETE
37,0.4992351233959198,2023-09-05 14:18:58.049577,2023-09-05 14:18:59.393910,0 days 00:00:01.344333,Leaky,ReLU,,,73,11,12.0,,,9.289733062701668e-05,2,279,0.16557571451495998,0.007056932560018021,187.39933410425766,COMPLETE
38,0.5745350122451782,2023-09-05 14:18:59.394172,2023-09-05 14:19:19.630912,0 days 00:00:20.236740,ReLU,Sigmoid,Sigmoid,Tanh,26,14,7.0,4.0,24.0,5.1370453690548025e-05,4,463,0.5455058504158303,0.0016147240278116164,155.7557734578011,COMPLETE
39,0.4537351727485657,2023-09-05 14:19:19.631201,2023-09-05 14:19:26.619845,0 days 00:00:06.988644,Sigmoid,Leaky,Sigmoid,,19,5,10.0,9.0,,0.0005322398731841963,3,105,0.7269946813384719,0.0006939268696768645,157.95402403331937,COMPLETE
40,0.41825681924819946,2023-09-05 14:19:26.620108,2023-09-05 14:19:32.212707,0 days 00:00:05.592599,Leaky,,,,83,9,,,,0.0002597184112788385,1,427,0.6295785806031532,0.0031011808460779627,125.10113989943922,COMPLETE
41,0.3701995015144348,2023-09-05 14:19:32.212955,2023-09-05 14:19:50.565447,0 days 00:00:18.352492,ReLU,Tanh,,,11,12,14.0,,,0.00016722911599826342,2,253,0.7862765801670188,0.004934418195020163,143.51544331763074,COMPLETE
42,0.417441725730896,2023-09-05 14:19:50.565705,2023-09-05 14:20:05.624311,0 days 00:00:15.058606,ReLU,Tanh,,,12,13,10.0,,,0.0001806504902269628,2,304,0.7956864436316973,0.004608422549181213,137.37904757331398,COMPLETE
43,0.4543312191963196,2023-09-05 14:20:05.624563,2023-09-05 14:20:16.933415,0 days 00:00:11.308852,ReLU,Tanh,,,21,15,12.0,,,0.00010093129917967096,2,233,0.711771676892029,0.002572395764433077,123.98007277460057,COMPLETE
44,0.3605576157569885,2023-09-05 14:20:16.933670,2023-09-05 14:20:23.043827,0 days 00:00:06.110157,ReLU,Tanh,,,14,11,8.0,,,0.0003943429668393986,2,195,0.5673056243927735,0.0013465284267903113,107.91990920475551,COMPLETE
45,0.3716374635696411,2023-09-05 14:20:23.044075,2023-09-05 14:20:25.499416,0 days 00:00:02.455341,ReLU,ReLU,,,61,7,5.0,,,0.0008361456452344748,2,140,0.5851973672262728,0.0010453193619052504,145.85042697361538,COMPLETE
46,0.43653982877731323,2023-09-05 14:20:25.499673,2023-09-05 14:20:29.307732,0 days 00:00:03.808059,Sigmoid,Leaky,,,53,9,8.0,,,0.0003518079854224991,2,208,0.5574915262858027,0.0003808956469328381,135.07615782664374,COMPLETE
47,0.35115188360214233,2023-09-05 14:20:29.307988,2023-09-05 14:20:35.193825,0 days 00:00:05.885837,ReLU,Tanh,Leaky,,33,10,4.0,4.0,,0.00044928114154975455,3,157,0.6690734915684401,0.0012721500715169606,119.64011732939701,COMPLETE
48,0.49552908539772034,2023-09-05 14:20:35.194094,2023-09-05 14:20:39.092494,0 days 00:00:03.898400,ReLU,Tanh,Leaky,,45,11,2.0,4.0,,0.0004814952227866825,3,492,0.6670273316083634,0.0002599294874015024,156.35972371495757,COMPLETE
49,0.3697989881038666,2023-09-05 14:20:39.092754,2023-09-05 14:20:41.558020,0 days 00:00:02.465266,ReLU,Tanh,Leaky,Tanh,33,10,5.0,2.0,1.0,0.0010913628928517053,4,151,0.5014837857561522,0.0011528640100100798,131.78900166829428,COMPLETE
50,0.561640202999115,2023-09-05 14:20:41.558290,2023-09-05 14:20:47.285897,0 days 00:00:05.727607,Tanh,Tanh,Leaky,,20,7,4.0,4.0,,0.0005067806765156846,3,111,0.6165721669487553,0.0016192017711404508,141.1454163284989,COMPLETE
51,0.4207212030887604,2023-09-05 14:20:47.286167,2023-09-05 14:21:02.802991,0 days 00:00:15.516824,ReLU,Sigmoid,Leaky,,15,15,15.0,8.0,,0.00028050738355128436,3,195,0.7437291265074256,0.0031371248735632077,154.14411465241946,COMPLETE
52,0.481613427400589,2023-09-05 14:21:02.803261,2023-09-05 14:21:18.462564,0 days 00:00:15.659303,ReLU,ReLU,,,14,5,5.0,,,0.00034418887197740173,2,227,0.723802191440713,0.0019976360569350935,170.26267188656172,COMPLETE
53,0.4271150529384613,2023-09-05 14:21:18.462825,2023-09-05 14:21:22.998667,0 days 00:00:04.535842,ReLU,Tanh,ReLU,,23,13,1.0,7.0,,0.0007242280048073678,3,127,0.6538766803636353,0.0012842313808451686,159.45676795296046,COMPLETE
54,0.3985455632209778,2023-09-05 14:21:22.998933,2023-09-05 14:21:25.769484,0 days 00:00:02.770551,ReLU,Tanh,,,66,11,7.0,,,0.00044857755184679685,2,167,0.5732090088230815,0.0008873926638799828,118.59926536697114,COMPLETE
55,0.4482300877571106,2023-09-05 14:21:25.769753,2023-09-05 14:21:37.106963,0 days 00:00:11.337210,ReLU,Leaky,,,19,9,13.0,,,0.00015272757388496558,2,191,0.7441091009407766,0.009188367297119669,243.93015293301087,COMPLETE
56,0.4325917661190033,2023-09-05 14:21:37.107221,2023-09-05 14:21:41.732231,0 days 00:00:04.625010,ReLU,ReLU,Tanh,,27,6,22.0,13.0,,0.0010937885859323945,3,371,0.675036284696261,0.016613716124412963,133.26200746235094,COMPLETE
57,0.39295411109924316,2023-09-05 14:21:41.732495,2023-09-05 14:21:52.545845,0 days 00:00:10.813350,Leaky,Tanh,,,10,16,16.0,,,0.0002131884051911118,2,238,0.5213834545495293,0.0027226230976320925,111.80488262900823,COMPLETE
58,0.37913650274276733,2023-09-05 14:21:52.546098,2023-09-05 14:21:57.241937,0 days 00:00:04.695839,ReLU,,,,36,14,,,,0.0007821942943068418,1,324,0.7990593597447532,0.005939224522884168,117.79001197129666,COMPLETE
59,0.3829687237739563,2023-09-05 14:21:57.242190,2023-09-05 14:22:01.442018,0 days 00:00:04.199828,ReLU,Tanh,,,31,10,14.0,,,0.000310534807157895,2,183,0.4589436211459345,0.0005791578971940073,111.4504883979839,COMPLETE
60,0.40858837962150574,2023-09-05 14:22:01.442272,2023-09-05 14:22:09.243890,0 days 00:00:07.801618,Sigmoid,Leaky,Leaky,Leaky,18,19,10.0,3.0,16.0,0.0018959024735733547,4,138,0.627570974996412,0.003559439449416138,558.2731146131243,COMPLETE
