number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
26,0.3647899329662323,2023-09-03 09:42:46.489878,2023-09-03 09:42:49.183180,0 days 00:00:02.693302,Sigmoid,Sigmoid,,8,8,13.0,,0.0001339854599779807,2,60,0.5195458395641946,0.016514065565471234,COMPLETE
27,0.2294982224702835,2023-09-03 09:42:49.183434,2023-09-03 09:42:55.418127,0 days 00:00:06.234693,ReLU,,,2,14,,,0.00031186015103268876,1,40,0.6340669306807336,0.0019630876318101854,COMPLETE
28,0.2214551866054535,2023-09-03 09:42:55.418369,2023-09-03 09:42:57.930557,0 days 00:00:02.512188,Leaky,ReLU,Leaky,16,16,17.0,24.0,0.0008097260388074254,3,100,0.4102358010181196,0.025641613734652704,COMPLETE
29,0.30061841011047363,2023-09-03 09:42:57.930843,2023-09-03 09:43:00.357944,0 days 00:00:02.427101,Tanh,Tanh,,4,22,9.0,,7.859972749479272e-05,2,40,0.36055721206683533,2.528909836290917e-05,COMPLETE
30,0.3725462555885315,2023-09-03 09:43:00.358200,2023-09-03 09:43:02.245856,0 days 00:00:01.887656,Tanh,,,12,11,,,3.3074866675867895e-05,1,80,0.5056726850276435,8.040890657083371e-05,COMPLETE
31,0.24294143915176392,2023-09-03 09:43:02.246106,2023-09-03 09:43:03.479657,0 days 00:00:01.233551,Leaky,Tanh,,30,12,14.0,,0.0004485843457570575,2,80,0.5491666154831086,0.0043231781346642385,COMPLETE
32,0.19812645018100739,2023-09-03 09:43:03.479916,2023-09-03 09:43:04.996109,0 days 00:00:01.516193,Leaky,Tanh,,30,9,17.0,,0.00026692412735679854,2,80,0.6811561420107187,0.005650752857930276,COMPLETE
33,0.27475324273109436,2023-09-03 09:43:04.996374,2023-09-03 09:43:06.511760,0 days 00:00:01.515386,Leaky,Tanh,,30,5,21.0,,0.00023442373899025887,2,80,0.6845240902558558,0.00917639290152608,COMPLETE
34,0.42989060282707214,2023-09-03 09:43:06.512015,2023-09-03 09:43:08.358114,0 days 00:00:01.846099,Leaky,Tanh,Sigmoid,30,7,17.0,2.0,9.517830796124947e-05,3,80,0.698066353675873,6.490361856282397e-05,COMPLETE
35,0.2109319120645523,2023-09-03 09:43:08.358376,2023-09-03 09:43:14.555921,0 days 00:00:06.197545,Tanh,Tanh,,4,10,12.0,,0.0007386728531043866,2,60,0.6205769341286461,0.0002590062162016057,COMPLETE
36,0.34765124320983887,2023-09-03 09:43:14.556189,2023-09-03 09:43:19.010230,0 days 00:00:04.454041,Sigmoid,Tanh,,10,2,18.0,,0.000244803216232733,2,80,0.7936331890317241,0.018294081440791848,COMPLETE
37,0.25369882583618164,2023-09-03 09:43:19.010488,2023-09-03 09:43:30.689879,0 days 00:00:11.679391,Leaky,,,2,9,,,0.002808225419669108,1,80,0.6012279051823038,0.040876204360583056,COMPLETE
