number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
26,0.6336641907691956,2023-09-03 09:42:58.292499,2023-09-03 09:43:01.675406,0 days 00:00:03.382907,ReLU,Leaky,Tanh,4,22,13.0,4.0,0.04406678292286464,3,40,0.38776420517353916,0.00033157240273738525,COMPLETE
27,0.26113149523735046,2023-09-03 09:43:01.675681,2023-09-03 09:43:03.568207,0 days 00:00:01.892526,Sigmoid,Leaky,,4,23,5.0,,0.02017591624329491,2,40,0.26645604548091134,4.598935026516145e-05,COMPLETE
28,0.24415771663188934,2023-09-03 09:43:03.568471,2023-09-03 09:43:09.513628,0 days 00:00:05.945157,Leaky,Sigmoid,Tanh,4,24,10.0,19.0,0.004502909848610525,3,60,0.4540571983034152,2.416932146023982e-05,COMPLETE
29,0.314229816198349,2023-09-03 09:43:09.513899,2023-09-03 09:43:10.547130,0 days 00:00:01.033231,Leaky,Sigmoid,Tanh,30,8,10.0,19.0,0.0015919212647296063,3,60,0.4836009403688522,2.2731770930754713e-05,COMPLETE
30,0.24511855840682983,2023-09-03 09:43:10.547400,2023-09-03 09:43:20.228615,0 days 00:00:09.681215,Leaky,Sigmoid,Tanh,4,13,3.0,19.0,0.004174295451774234,3,60,0.7556652971565259,1.0972621230615387e-05,COMPLETE
31,0.28621572256088257,2023-09-03 09:43:20.228900,2023-09-03 09:43:30.074117,0 days 00:00:09.845217,Leaky,Sigmoid,Tanh,4,13,3.0,19.0,0.0039287400018414,3,60,0.765207162124432,2.0022667853494474e-05,COMPLETE
32,0.2947402000427246,2023-09-03 09:43:30.074399,2023-09-03 09:43:38.663777,0 days 00:00:08.589378,Leaky,Sigmoid,Tanh,4,6,3.0,19.0,0.0015236462151056558,3,60,0.6746821551987553,1.1735215339640957e-05,COMPLETE
33,0.2262941598892212,2023-09-03 09:43:38.664058,2023-09-03 09:43:46.806189,0 days 00:00:08.142131,Leaky,Sigmoid,Tanh,4,11,8.0,24.0,0.00504994041025559,3,60,0.6351808920384211,2.4266866606961597e-05,COMPLETE
34,0.23409678041934967,2023-09-03 09:43:46.806455,2023-09-03 09:43:48.687639,0 days 00:00:01.881184,Leaky,Sigmoid,Tanh,16,10,11.0,24.0,0.007365678659308032,3,60,0.5249710766002095,3.90230635389195e-05,COMPLETE
35,0.4680536985397339,2023-09-03 09:43:48.687933,2023-09-03 09:43:50.550896,0 days 00:00:01.862963,Leaky,Sigmoid,Tanh,16,3,7.0,24.0,0.0007073698730300401,3,60,0.5236566438743061,2.2606220638542355e-05,COMPLETE
36,0.26785823702812195,2023-09-03 09:43:50.551171,2023-09-03 09:43:52.770626,0 days 00:00:02.219455,Leaky,Sigmoid,Tanh,16,9,8.0,24.0,0.006593995309454034,3,60,0.6208599432944854,4.4349331515398255e-05,COMPLETE
37,0.2614572048187256,2023-09-03 09:43:52.770899,2023-09-03 09:43:54.941085,0 days 00:00:02.170186,Leaky,Sigmoid,Tanh,16,21,10.0,21.0,0.001313197233483925,3,60,0.6076761325029003,1.893892201741622e-05,COMPLETE
38,0.23672780394554138,2023-09-03 09:43:54.941361,2023-09-03 09:44:01.048242,0 days 00:00:06.106881,ReLU,Sigmoid,ReLU,8,19,8.0,21.0,0.0027357134592662807,3,100,0.539104267545928,3.1863341152117985e-05,COMPLETE
39,0.2343740165233612,2023-09-03 09:44:01.048520,2023-09-03 09:44:06.766363,0 days 00:00:05.717843,ReLU,Sigmoid,ReLU,8,15,5.0,22.0,0.0020174744892951326,3,100,0.5184744106628367,5.320498529944971e-05,COMPLETE
40,0.24510671198368073,2023-09-03 09:44:06.766644,2023-09-03 09:44:12.482989,0 days 00:00:05.716345,ReLU,Sigmoid,ReLU,8,15,5.0,21.0,0.00213504291755979,3,100,0.5244407194891236,5.746242019020358e-05,COMPLETE
41,0.19998078048229218,2023-09-03 09:44:12.483266,2023-09-03 09:44:19.543887,0 days 00:00:07.060621,ReLU,Sigmoid,ReLU,8,19,7.0,22.0,0.002595836823942962,3,100,0.6489901245528819,3.366659896273841e-05,COMPLETE
42,0.24337294697761536,2023-09-03 09:44:19.544169,2023-09-03 09:44:26.692954,0 days 00:00:07.148785,ReLU,Sigmoid,ReLU,8,19,7.0,21.0,0.0008921124639915515,3,100,0.6571697927058213,5.08172210640505e-05,COMPLETE
43,0.2018396109342575,2023-09-03 09:44:26.693234,2023-09-03 09:44:32.761628,0 days 00:00:06.068394,ReLU,ReLU,ReLU,8,14,6.0,22.0,0.00276615340320251,3,100,0.5659568002958005,3.430514391267439e-05,COMPLETE
44,0.2491435557603836,2023-09-03 09:44:32.761904,2023-09-03 09:44:39.038137,0 days 00:00:06.276233,ReLU,ReLU,ReLU,8,15,6.0,22.0,0.0005524109956115937,3,100,0.5802633432444418,3.648724756041698e-05,COMPLETE
45,0.31538790464401245,2023-09-03 09:44:39.038408,2023-09-03 09:44:46.556993,0 days 00:00:07.518585,ReLU,ReLU,ReLU,8,11,4.0,17.0,0.009263980050729629,3,100,0.6964348201799871,1.0004198451450356e-05,COMPLETE
46,0.2513795793056488,2023-09-03 09:44:46.557273,2023-09-03 09:44:53.433081,0 days 00:00:06.875808,ReLU,ReLU,ReLU,10,14,6.0,8.0,0.0028230839283251356,3,100,0.7828892560830175,6.58148179357922e-05,COMPLETE
