number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
26,0.2654625475406647,2023-09-03 09:45:01.713164,2023-09-03 09:45:04.816238,0 days 00:00:03.103074,Sigmoid,Leaky,,4,17,7.0,,0.003699814682153223,2,60,0.30360443622478805,0.0012284918961066227,COMPLETE
27,0.25617516040802,2023-09-03 09:45:04.816508,2023-09-03 09:45:05.454436,0 days 00:00:00.637928,Tanh,Leaky,,16,14,5.0,,0.013888802062856103,2,40,0.3318614376447122,0.0005193815664691607,COMPLETE
28,0.2957960367202759,2023-09-03 09:45:05.454706,2023-09-03 09:45:06.041001,0 days 00:00:00.586295,ReLU,Leaky,,30,20,9.0,,0.002630054282330787,2,80,0.2480508909890608,8.851182725037194e-05,COMPLETE
29,0.2552932798862457,2023-09-03 09:45:06.041261,2023-09-03 09:45:08.089634,0 days 00:00:02.048373,ReLU,Leaky,Leaky,10,11,9.0,11.0,0.0016615472291450324,3,60,0.3926895746268212,0.0031799400628495823,COMPLETE
30,0.253743052482605,2023-09-03 09:45:08.089920,2023-09-03 09:45:09.331288,0 days 00:00:01.241368,Leaky,Tanh,,12,20,3.0,,0.0010810692866066133,2,60,0.3342136358167379,0.000267077304870196,COMPLETE
31,0.27741530537605286,2023-09-03 09:45:09.331553,2023-09-03 09:45:19.244941,0 days 00:00:09.913388,Leaky,,,2,22,,,0.00046163573877648,1,80,0.502136175703544,0.00016168865068905315,COMPLETE
32,0.2445480227470398,2023-09-03 09:45:19.245197,2023-09-03 09:45:27.733621,0 days 00:00:08.488424,Leaky,,,2,23,,,0.0008776023186392517,1,80,0.4230243444611425,0.0007940630729838464,COMPLETE
33,0.19210809469223022,2023-09-03 09:45:27.733876,2023-09-03 09:45:48.613856,0 days 00:00:20.879980,Leaky,ReLU,,2,22,6.0,,0.00020459739492510043,2,80,0.7939192149623882,0.00043141382448211584,COMPLETE
34,0.2409479171037674,2023-09-03 09:45:48.614119,2023-09-03 09:46:13.766198,0 days 00:00:25.152079,Leaky,ReLU,,2,19,7.0,,0.00015064582030692512,2,100,0.7618386749216016,0.00034686739727462866,COMPLETE
35,0.2608422338962555,2023-09-03 09:46:13.766472,2023-09-03 09:46:18.674204,0 days 00:00:04.907732,Leaky,ReLU,,8,22,6.0,,6.95757535061095e-05,2,80,0.6912226511848145,0.0007123694415091314,COMPLETE
36,0.4592922627925873,2023-09-03 09:46:18.674480,2023-09-03 09:46:37.054073,0 days 00:00:18.379593,Leaky,ReLU,,2,21,3.0,,0.00021134301908450173,2,80,0.6868488462116641,0.0015320784718550636,COMPLETE
37,0.5535351634025574,2023-09-03 09:46:37.054337,2023-09-03 09:46:47.238439,0 days 00:00:10.184102,Sigmoid,ReLU,,2,7,12.0,,7.784809481611392e-05,2,40,0.770086590866882,0.0009829109683201509,COMPLETE
38,0.9147284626960754,2023-09-03 09:46:47.238695,2023-09-03 09:47:03.959106,0 days 00:00:16.720411,Tanh,ReLU,ReLU,4,19,9.0,3.0,0.00034559138823991804,3,100,0.765990327975929,0.0005145491871024251,COMPLETE
39,0.284878134727478,2023-09-03 09:47:03.959379,2023-09-03 09:47:06.991070,0 days 00:00:03.031691,Leaky,Leaky,,12,13,5.0,,0.00015541414526666741,2,80,0.6294725856159216,0.0002966655616603722,COMPLETE
40,0.3516159951686859,2023-09-03 09:47:06.991336,2023-09-03 09:47:07.918115,0 days 00:00:00.926779,Leaky,Tanh,,30,16,2.0,,0.0004927223294470972,2,60,0.5454305403019694,0.00013176301209126757,COMPLETE
41,0.23444516956806183,2023-09-03 09:47:07.918390,2023-09-03 09:47:18.434279,0 days 00:00:10.515889,Leaky,,,2,24,,,0.0010614091243060146,1,80,0.5143121809567934,0.00020260746267444934,COMPLETE
42,0.2050568014383316,2023-09-03 09:47:18.434533,2023-09-03 09:47:44.726803,0 days 00:00:26.292270,Leaky,Tanh,Tanh,2,23,4.0,15.0,0.0006151912688225172,3,80,0.7999082768942362,0.0002835673298523532,COMPLETE
43,0.22972024977207184,2023-09-03 09:47:44.727079,2023-09-03 09:48:07.741211,0 days 00:00:23.014132,Leaky,Tanh,Tanh,2,21,4.0,15.0,0.0006295206954891622,3,80,0.6991695571329257,0.0004479200193821852,COMPLETE
44,0.24570322036743164,2023-09-03 09:48:07.741482,2023-09-03 09:48:33.954055,0 days 00:00:26.212573,Leaky,Tanh,Tanh,2,22,3.0,18.0,0.00022819966834413297,3,80,0.7997874958795796,0.0007355165989549088,COMPLETE
45,0.21734674274921417,2023-09-03 09:48:33.954342,2023-09-03 09:49:00.271472,0 days 00:00:26.317130,Sigmoid,Tanh,Tanh,2,23,6.0,21.0,0.0013609943509044604,3,100,0.6322633625970251,0.00029634180560848204,COMPLETE
46,0.2434883862733841,2023-09-03 09:49:00.271750,2023-09-03 09:49:06.797184,0 days 00:00:06.525434,Leaky,Tanh,Tanh,8,21,24.0,14.0,0.002676297375925564,3,80,0.7256096551539368,0.0010985136465548272,COMPLETE
47,0.21681877970695496,2023-09-03 09:49:06.797480,2023-09-03 09:49:17.319945,0 days 00:00:10.522465,ReLU,Sigmoid,,2,19,8.0,,0.0005885179153091848,2,40,0.7847789155397983,0.00011098746150162905,COMPLETE
48,0.20715650916099548,2023-09-03 09:49:17.320231,2023-09-03 09:49:19.995603,0 days 00:00:02.675372,Leaky,ReLU,Tanh,16,23,4.0,8.0,0.001697744949621062,3,80,0.5784904094107597,0.0003817128739297154,COMPLETE
49,0.25025874376296997,2023-09-03 09:49:19.995886,2023-09-03 09:49:22.616834,0 days 00:00:02.620948,Tanh,ReLU,ReLU,16,23,1.0,7.0,0.004375801661708178,3,80,0.5757700328796443,0.000618500410656338,COMPLETE
50,0.2368754744529724,2023-09-03 09:49:22.617103,2023-09-03 09:49:25.127845,0 days 00:00:02.510742,Leaky,ReLU,,16,23,4.0,,0.0015719396503512226,2,80,0.669120137572245,0.00017919363236089923,COMPLETE
51,0.20204764604568481,2023-09-03 09:49:25.128110,2023-09-03 09:49:28.023686,0 days 00:00:02.895576,Leaky,ReLU,Tanh,16,20,6.0,11.0,0.0018743479392917665,3,80,0.6305397566938377,0.00035215739031237316,COMPLETE
52,0.23615571856498718,2023-09-03 09:49:28.023964,2023-09-03 09:49:30.364660,0 days 00:00:02.340696,Leaky,ReLU,Tanh,16,24,6.0,11.0,0.0019779252973997842,3,80,0.5013766689600104,0.00031240523916490595,COMPLETE
53,0.26411113142967224,2023-09-03 09:49:30.364933,2023-09-03 09:49:33.237156,0 days 00:00:02.872223,Leaky,ReLU,Tanh,16,11,2.0,6.0,0.0009073557234131007,3,80,0.6353571824767495,0.0005280408546164414,COMPLETE
54,0.2234603762626648,2023-09-03 09:49:33.237425,2023-09-03 09:49:35.967892,0 days 00:00:02.730467,Leaky,ReLU,Leaky,16,21,8.0,12.0,0.006913641078298646,3,80,0.5791320118252514,0.0002469571321096831,COMPLETE
55,0.2654687166213989,2023-09-03 09:49:35.968165,2023-09-03 09:49:38.726693,0 days 00:00:02.758528,Leaky,ReLU,,16,22,4.0,,0.0003678438350497816,2,80,0.7278048432285192,0.00039389861047403553,COMPLETE
56,0.23135237395763397,2023-09-03 09:49:38.726961,2023-09-03 09:49:42.478479,0 days 00:00:03.751518,Leaky,ReLU,Sigmoid,10,23,18.0,1.0,0.0013714685746315592,3,80,0.519206891225427,0.0001578779109207139,COMPLETE
57,0.27500274777412415,2023-09-03 09:49:42.478750,2023-09-03 09:49:44.126051,0 days 00:00:01.647301,Leaky,Leaky,,30,20,6.0,,0.0006637085446955516,2,80,0.7208989165099855,0.0009401915437243506,COMPLETE
58,0.21863791346549988,2023-09-03 09:49:44.126335,2023-09-03 09:49:47.236815,0 days 00:00:03.110480,Leaky,Sigmoid,Tanh,16,17,10.0,9.0,0.0020744249662096106,3,80,0.6597514377684555,8.240766041016465e-05,COMPLETE
59,0.2888409197330475,2023-09-03 09:49:47.237089,2023-09-03 09:49:55.482241,0 days 00:00:08.245152,Sigmoid,ReLU,,4,3,8.0,,0.0032370079320851574,2,80,0.6192142573571128,0.00040721320496872804,COMPLETE
60,0.24286313354969025,2023-09-03 09:49:55.482505,2023-09-03 09:49:58.908366,0 days 00:00:03.425861,Leaky,ReLU,Tanh,12,9,2.0,8.0,0.005047889226722811,3,80,0.583322418953985,0.0002110634530118597,COMPLETE
61,0.22563865780830383,2023-09-03 09:49:58.908640,2023-09-03 09:50:18.426358,0 days 00:00:19.517718,Leaky,Tanh,Tanh,2,20,5.0,13.0,0.0011946569560937897,3,60,0.7988972359312584,0.00029175696108711436,COMPLETE
62,0.22535468637943268,2023-09-03 09:50:18.426635,2023-09-03 09:50:35.889224,0 days 00:00:17.462589,Leaky,Tanh,Tanh,2,18,5.0,17.0,0.0020055520618014137,3,60,0.7169712618277739,0.000605153028827666,COMPLETE
63,0.21482117474079132,2023-09-03 09:50:35.889509,2023-09-03 09:50:54.026354,0 days 00:00:18.136845,Leaky,Leaky,Tanh,2,24,7.0,22.0,0.0008416655172189562,3,80,0.552580485938489,0.0003966918830545284,COMPLETE
64,0.20827965438365936,2023-09-03 09:50:54.026631,2023-09-03 09:51:09.715615,0 days 00:00:15.688984,Leaky,Leaky,Tanh,2,24,7.0,10.0,0.002940559776058332,3,80,0.4791312065938482,0.00041902302897454653,COMPLETE
65,0.22008705139160156,2023-09-03 09:51:09.715916,2023-09-03 09:51:12.202894,0 days 00:00:02.486978,ReLU,Leaky,Tanh,16,24,7.0,10.0,0.0008892059317534559,3,80,0.5340967840693501,0.0007536707511346709,COMPLETE
66,0.24279417097568512,2023-09-03 09:51:12.203178,2023-09-03 09:51:27.775321,0 days 00:00:15.572143,Tanh,Leaky,Tanh,2,24,4.0,6.0,0.0026026906584630857,3,80,0.4733029972316714,0.00042803151612128075,COMPLETE
67,0.22233939170837402,2023-09-03 09:51:27.775607,2023-09-03 09:51:31.651963,0 days 00:00:03.876356,Leaky,Leaky,Tanh,10,23,6.0,14.0,0.0006980996390900321,3,80,0.5528609028104415,0.0003322320379676866,COMPLETE
