number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
24,0.26359885931015015,2023-09-03 22:29:38.298676,2023-09-03 22:29:39.389423,0 days 00:00:01.090747,Leaky,Sigmoid,Leaky,Sigmoid,30,9,21.0,18.0,9.0,0.0019333073786814172,4,40,0.680328592170686,0.00047275935282851093,COMPLETE
25,0.2205052226781845,2023-09-03 22:29:39.389726,2023-09-03 22:29:44.180004,0 days 00:00:04.790278,Leaky,ReLU,ReLU,,4,12,15.0,8.0,,0.000520055621951649,3,40,0.5649374344397048,3.002067862823967e-05,COMPLETE
26,0.21654300391674042,2023-09-03 22:29:44.180306,2023-09-03 22:29:52.058019,0 days 00:00:07.877713,ReLU,ReLU,,,4,11,15.0,,,0.0005241580928127693,2,80,0.5722161024567501,8.054942740333003e-05,COMPLETE
27,0.2544437646865845,2023-09-03 22:29:52.058300,2023-09-03 22:30:04.602346,0 days 00:00:12.544046,ReLU,ReLU,,,4,5,16.0,,,0.00013230814283961772,2,80,0.7815739813922473,0.00011102253139106948,COMPLETE
28,0.21824388206005096,2023-09-03 22:30:04.602808,2023-09-03 22:30:33.859761,0 days 00:00:29.256953,ReLU,ReLU,,,4,17,20.0,,,0.00041424137697576184,2,80,0.6709058733348828,6.678348573700314e-05,COMPLETE
29,0.24070198833942413,2023-09-03 22:30:33.860239,2023-09-03 22:30:43.352165,0 days 00:00:09.491926,ReLU,ReLU,,,10,13,11.0,,,0.0010005949185719935,2,80,0.5104780523259427,0.0005145142339864164,COMPLETE
30,0.28122586011886597,2023-09-03 22:30:43.352636,2023-09-03 22:30:56.633474,0 days 00:00:13.280838,ReLU,,,,4,10,,,,0.0001478341717728332,1,80,0.4084512277431656,0.054143386751849105,COMPLETE
31,0.22064712643623352,2023-09-03 22:30:56.633941,2023-09-03 22:31:18.299292,0 days 00:00:21.665351,ReLU,ReLU,,,4,18,20.0,,,0.0003869414478146122,2,80,0.6884217762303305,6.851592265229479e-05,COMPLETE
32,0.19678211212158203,2023-09-03 22:31:18.299584,2023-09-03 22:31:27.754829,0 days 00:00:09.455245,ReLU,ReLU,,,4,18,19.0,,,0.0004424577406270808,2,80,0.5977129000640871,1.819119201631657e-05,COMPLETE
33,0.20676057040691376,2023-09-03 22:31:27.755103,2023-09-03 22:31:35.881073,0 days 00:00:08.125970,ReLU,ReLU,,,4,21,18.0,,,0.00027537323754367,2,80,0.586749649482762,1.3661496304244038e-05,COMPLETE
34,0.22350259125232697,2023-09-03 22:31:35.881348,2023-09-03 22:31:48.067672,0 days 00:00:12.186324,ReLU,ReLU,,,4,24,18.0,,,0.0002172310795960755,2,80,0.5789243614636479,1.560713150375957e-05,COMPLETE
35,0.2669111490249634,2023-09-03 22:31:48.068108,2023-09-03 22:31:50.256265,0 days 00:00:02.188157,ReLU,ReLU,,,16,21,15.0,,,6.749024313322847e-05,2,80,0.5040620771255901,1.6460456547351192e-05,COMPLETE
36,0.20542477071285248,2023-09-03 22:31:50.256554,2023-09-03 22:31:53.400730,0 days 00:00:03.144176,ReLU,,,,8,20,,,,0.0012010183916897233,1,80,0.5672369698917697,3.444078758013234e-05,COMPLETE
37,0.21850378811359406,2023-09-03 22:31:53.400994,2023-09-03 22:31:56.723107,0 days 00:00:03.322113,Sigmoid,,,,8,20,,,,0.0011417034333882018,1,80,0.6082359407715081,4.067868835781916e-05,COMPLETE
38,0.20109401643276215,2023-09-03 22:31:56.723377,2023-09-03 22:32:00.694895,0 days 00:00:03.971518,ReLU,,,,8,22,,,,0.0006408700233110578,1,80,0.7327083482256413,2.0241102791133977e-05,COMPLETE
39,0.365119993686676,2023-09-03 22:32:00.695163,2023-09-03 22:32:04.091827,0 days 00:00:03.396664,ReLU,,,,8,22,,,,1.1922923932154365e-05,1,80,0.6212506930965854,1.989330615937549e-05,COMPLETE
40,0.20901063084602356,2023-09-03 22:32:04.092095,2023-09-03 22:32:08.127558,0 days 00:00:04.035463,ReLU,,,,8,19,,,,0.0002682007400191189,1,80,0.7372646474938735,1.2099697875125739e-05,COMPLETE
41,0.24266235530376434,2023-09-03 22:32:08.127827,2023-09-03 22:32:12.180460,0 days 00:00:04.052633,ReLU,,,,8,19,,,,0.0003371274862551466,1,80,0.7361767332021342,1.1374757113144434e-05,COMPLETE
42,0.2314026653766632,2023-09-03 22:32:12.180723,2023-09-03 22:32:15.641292,0 days 00:00:03.460569,ReLU,,,,8,16,,,,0.0006222284348078228,1,80,0.6315135963039421,1.8606899511735365e-05,COMPLETE
43,0.23519892990589142,2023-09-03 22:32:15.641567,2023-09-03 22:32:19.638114,0 days 00:00:03.996547,Tanh,,,,8,22,,,,0.0002111361423550301,1,80,0.7289026688839189,1.4173637802964353e-05,COMPLETE
44,0.20961222052574158,2023-09-03 22:32:19.638391,2023-09-03 22:32:22.901558,0 days 00:00:03.263167,ReLU,,,,8,18,,,,0.00034540623585312396,1,60,0.7773423019301746,3.547537470549581e-05,COMPLETE
45,0.24722839891910553,2023-09-03 22:32:22.901838,2023-09-03 22:32:26.377760,0 days 00:00:03.475922,Sigmoid,,,,8,24,,,,0.0007076166571105743,1,80,0.6360493007551412,2.442493789623568e-05,COMPLETE
46,0.22709928452968597,2023-09-03 22:32:26.378027,2023-09-03 22:32:29.293639,0 days 00:00:02.915612,ReLU,,,,8,21,,,,0.0010931315752749958,1,80,0.5306532625758551,1.111806377975502e-05,COMPLETE
47,0.22559259831905365,2023-09-03 22:32:29.293914,2023-09-03 22:32:42.745701,0 days 00:00:13.451787,ReLU,,,,2,16,,,,0.00014531965980042787,1,80,0.6088493824769825,4.804307371709236e-05,COMPLETE
48,0.23660585284233093,2023-09-03 22:32:42.745963,2023-09-03 22:32:46.069597,0 days 00:00:03.323634,Tanh,,,,8,19,,,,0.00027378363371447325,1,60,0.7951555034925157,2.021228333496789e-05,COMPLETE
49,0.21637380123138428,2023-09-03 22:32:46.069877,2023-09-03 22:32:47.526072,0 days 00:00:01.456195,ReLU,,,,16,22,,,,0.0004722120951824179,1,80,0.47892314844155565,1.0051644245741594e-05,COMPLETE
50,0.19874663650989532,2023-09-03 22:32:47.526341,2023-09-03 22:32:54.281342,0 days 00:00:06.755001,ReLU,Leaky,,,8,20,22.0,,,0.0008495119641701847,2,80,0.7175709937246086,3.291755550904872e-05,COMPLETE
51,0.17618241906166077,2023-09-03 22:32:54.281617,2023-09-03 22:33:00.411650,0 days 00:00:06.130033,ReLU,Leaky,,,8,20,22.0,,,0.0007587563435284958,2,80,0.7099633820385034,3.287159973365637e-05,COMPLETE
52,0.20671193301677704,2023-09-03 22:33:00.411930,2023-09-03 22:33:05.382545,0 days 00:00:04.970615,ReLU,Leaky,,,8,23,22.0,,,0.00138956997627355,2,80,0.5785353845047795,3.5926060342560506e-05,COMPLETE
53,0.2081126719713211,2023-09-03 22:33:05.382820,2023-09-03 22:33:11.966046,0 days 00:00:06.583226,ReLU,Leaky,,,8,23,22.0,,,0.0013184393113269894,2,80,0.6429850774630108,5.077412043281533e-05,COMPLETE
