number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.3327872157096863,2023-09-04 11:48:08.564459,2023-09-04 11:48:09.124938,0 days 00:00:00.560479,Tanh,Tanh,Tanh,ReLU,53,13,4.0,6.0,10.0,0.00029853071048904057,4,208,0.13636180763501274,8.937119384742582e-05,108.94470196385538,COMPLETE
1,0.2462095022201538,2023-09-04 11:48:09.125271,2023-09-04 11:48:09.782735,0 days 00:00:00.657464,Sigmoid,ReLU,,,48,8,7.0,,,0.003348484211833433,2,280,0.10098199135209479,1.6561187272371702e-05,99.65254393986294,COMPLETE
2,1.0448484420776367,2023-09-04 11:48:09.783723,2023-09-04 11:48:09.886173,0 days 00:00:00.102450,ReLU,ReLU,Leaky,Sigmoid,97,9,9.0,12.0,21.0,0.004018724450835657,4,485,0.5239610656002998,0.02456931285875136,101.055363741788,COMPLETE
3,0.4114612340927124,2023-09-04 11:48:09.886461,2023-09-04 11:48:11.624305,0 days 00:00:01.737844,Tanh,,,,48,21,,,,1.72008542155491e-05,1,290,0.35734280755965303,3.599224344833887e-05,117.43427908009497,COMPLETE
4,0.9477292895317078,2023-09-04 11:48:11.624573,2023-09-04 11:48:13.265887,0 days 00:00:01.641314,Leaky,Sigmoid,Leaky,Tanh,49,1,2.0,9.0,23.0,4.577305594420269e-05,4,416,0.13096494113625695,0.03590450846190684,99.76209139823914,COMPLETE
5,0.2860543727874756,2023-09-04 11:48:13.266172,2023-09-04 11:48:13.608167,0 days 00:00:00.341995,Tanh,Tanh,Leaky,,53,5,1.0,10.0,,0.0026564308525720854,3,191,0.1372518390447149,0.00020395507107694015,113.10077354431152,COMPLETE
6,0.30565497279167175,2023-09-04 11:48:13.608453,2023-09-04 11:48:14.746001,0 days 00:00:01.137548,Sigmoid,ReLU,ReLU,,71,11,18.0,10.0,,0.00015563336788282765,3,286,0.20107276649245592,1.6310580698150554e-05,108.82109678041685,COMPLETE
7,0.35020309686660767,2023-09-04 11:48:14.746290,2023-09-04 11:48:16.341371,0 days 00:00:01.595081,Tanh,Leaky,Leaky,ReLU,53,7,4.0,19.0,14.0,0.00013745603241711686,4,444,0.10475758320329702,0.0005550436674248499,155.41433511338792,COMPLETE
8,0.338735431432724,2023-09-04 11:48:16.341656,2023-09-04 11:48:16.816300,0 days 00:00:00.474644,Sigmoid,ReLU,,,11,15,15.0,,,0.000818019626016819,2,151,0.10213741530166974,0.03359053941276371,598.2204434625033,COMPLETE
9,0.3274737000465393,2023-09-04 11:48:16.816556,2023-09-04 11:48:17.900407,0 days 00:00:01.083851,ReLU,Leaky,Leaky,Leaky,30,2,22.0,24.0,3.0,0.0010629177178125696,4,139,0.26181501201820123,0.0004758291953594366,121.86688663983585,COMPLETE
