number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.2861579656600952,2023-09-04 11:57:29.576447,2023-09-04 11:57:30.086186,0 days 00:00:00.509739,Leaky,ReLU,Sigmoid,,16,17,9.0,19.0,,0.09213955071187102,3,94,0.6079490319997704,3.326685556377521e-05,127.52542114257812,COMPLETE
1,0.9620448350906372,2023-09-04 11:57:30.086512,2023-09-04 11:57:31.253618,0 days 00:00:01.167106,Leaky,Sigmoid,ReLU,Sigmoid,47,7,5.0,9.0,9.0,9.233743292655525e-05,4,208,0.1779340851111036,8.964326668213052e-05,99.89339718451866,COMPLETE
2,0.34463879466056824,2023-09-04 11:57:31.253941,2023-09-04 11:57:31.386468,0 days 00:00:00.132527,Tanh,ReLU,Sigmoid,ReLU,41,1,22.0,12.0,9.0,0.020351842449764936,4,457,0.13986144928430055,3.707936541365974e-05,667.6815056434044,COMPLETE
3,0.2316846251487732,2023-09-04 11:57:31.386770,2023-09-04 11:57:31.854017,0 days 00:00:00.467247,Sigmoid,,,,95,10,,,,0.023962306858321288,1,453,0.5683725792797565,0.002181700435583238,81.52825540571071,COMPLETE
4,0.29448622465133667,2023-09-04 11:57:31.854275,2023-09-04 11:57:32.196357,0 days 00:00:00.342082,ReLU,Sigmoid,,,18,3,10.0,,,0.008603751001831254,2,131,0.2948641555491258,0.0020776637336499455,102.4483871459961,COMPLETE
5,0.25625666975975037,2023-09-04 11:57:32.196613,2023-09-04 11:57:32.390438,0 days 00:00:00.193825,Tanh,Sigmoid,,,49,16,7.0,,,0.0074002804789835164,2,394,0.15371310314925954,0.001338317811767223,192.8313203539167,COMPLETE
6,0.4028906226158142,2023-09-04 11:57:32.390693,2023-09-04 11:57:35.077938,0 days 00:00:02.687245,Leaky,Tanh,ReLU,ReLU,25,15,2.0,14.0,2.0,8.79585324749137e-05,4,177,0.3162951722388405,0.001226074745102604,219.03161539196296,COMPLETE
7,0.21015337109565735,2023-09-04 11:57:35.078434,2023-09-04 11:57:35.803277,0 days 00:00:00.724843,Sigmoid,ReLU,ReLU,,70,9,16.0,21.0,,0.01119556384941512,3,357,0.42660907657452013,0.0003234931923090759,105.35005968466572,COMPLETE
8,0.3360784649848938,2023-09-04 11:57:35.803589,2023-09-04 11:57:36.439574,0 days 00:00:00.635985,Sigmoid,Tanh,Leaky,ReLU,70,19,15.0,4.0,12.0,0.0009246859134151961,4,395,0.342789596896039,0.057394359047408604,142.84125332716036,COMPLETE
9,0.2914721965789795,2023-09-04 11:57:36.439852,2023-09-04 11:57:40.123770,0 days 00:00:03.683918,Tanh,Leaky,Sigmoid,,39,11,7.0,15.0,,8.08104324869953e-05,3,442,0.29062769490267065,0.00038862362833890185,122.40087724918693,COMPLETE
10,0.8832460641860962,2023-09-04 11:57:40.124048,2023-09-04 11:57:40.635937,0 days 00:00:00.511889,Sigmoid,,,,71,24,,,,1.0495763539992404e-05,1,339,0.10017847320511464,1.3134496243064404e-05,107.22089971131632,COMPLETE
11,0.2674155831336975,2023-09-04 11:57:40.636190,2023-09-04 11:57:40.975573,0 days 00:00:00.339383,Sigmoid,,,,100,9,,,,0.07484514540489798,1,288,0.5876083615327062,0.007034767189183063,369.60239066329655,COMPLETE
12,0.23216381669044495,2023-09-04 11:57:40.975832,2023-09-04 11:57:42.377723,0 days 00:00:01.401891,Sigmoid,ReLU,,,96,5,17.0,,,0.0030409779548552646,2,476,0.49260119760295906,0.00018596907231703224,416.7184802001377,COMPLETE
13,0.211777463555336,2023-09-04 11:57:42.377978,2023-09-04 11:57:43.058909,0 days 00:00:00.680931,Sigmoid,Leaky,Tanh,,80,11,24.0,24.0,,0.025741933074809133,3,328,0.7810089753229782,0.0004846185241552608,76.03874027027803,COMPLETE
14,0.20239785313606262,2023-09-04 11:57:43.059179,2023-09-04 11:57:43.609750,0 days 00:00:00.550571,ReLU,Leaky,Tanh,,76,13,22.0,23.0,,0.0017656533571473523,3,279,0.7783586429692588,0.0003540050011685591,110.33000750419421,COMPLETE
15,0.23507189750671387,2023-09-04 11:57:43.610020,2023-09-04 11:57:44.015294,0 days 00:00:00.405274,ReLU,Leaky,Tanh,,63,14,20.0,24.0,,0.0015030314731507366,3,241,0.39956174152670454,0.00012578854906592196,116.287558210657,COMPLETE
16,0.2022886872291565,2023-09-04 11:57:44.015573,2023-09-04 11:57:46.283079,0 days 00:00:02.267506,ReLU,Leaky,ReLU,,82,21,17.0,20.0,,0.0006978817852549657,3,285,0.7708614792785108,0.00034156824498317187,96.69824176364475,COMPLETE
17,0.1888418197631836,2023-09-04 11:57:46.283359,2023-09-04 11:57:47.730778,0 days 00:00:01.447419,ReLU,Leaky,,,87,22,19.0,,,0.0006509945642970197,2,264,0.7678543556256754,7.112161709117434e-05,93.1875587745949,COMPLETE
18,0.21466891467571259,2023-09-04 11:57:47.731041,2023-09-04 11:57:48.749418,0 days 00:00:01.018377,ReLU,Leaky,,,86,24,13.0,,,0.0004162662086363027,2,176,0.7589032746642095,5.81511133409129e-05,106.37080908881293,COMPLETE
19,0.20747552812099457,2023-09-04 11:57:48.749853,2023-09-04 11:57:53.621988,0 days 00:00:04.872135,ReLU,Leaky,,,88,21,18.0,,,0.00038477907304597,2,258,0.6365333789469729,2.7195121703026424e-05,173.8495757039388,COMPLETE
20,0.20258882641792297,2023-09-04 11:57:53.622251,2023-09-04 11:57:54.098160,0 days 00:00:00.475909,ReLU,Leaky,,,57,21,12.0,,,0.004504561845099485,2,51,0.4797080232020718,1.3579908715799133e-05,80.22163540709252,COMPLETE
21,0.19782903790473938,2023-09-04 11:57:54.098411,2023-09-04 11:57:54.949182,0 days 00:00:00.850771,ReLU,Leaky,Tanh,,80,21,20.0,18.0,,0.0021762811632855135,3,283,0.7741247115849874,0.00015340012917182386,89.70421273367745,COMPLETE
22,0.19435526430606842,2023-09-04 11:57:54.949444,2023-09-04 11:57:57.253818,0 days 00:00:02.304374,ReLU,Leaky,Leaky,,86,21,19.0,18.0,,0.0009547513007408636,3,221,0.6945240253849776,0.00014084024659646307,80.36154194201453,COMPLETE
