number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.38166606426239014,2023-09-04 20:47:20.671543,2023-09-04 20:47:21.342796,0 days 00:00:00.671253,ReLU,Sigmoid,ReLU,Leaky,95,5,15.0,14.0,24.0,0.071764910231574,4,168,0.6656559026206766,0.0007733896344811371,134.02627686531312,COMPLETE
1,0.8189959526062012,2023-09-04 20:47:21.343132,2023-09-04 20:47:23.191664,0 days 00:00:01.848532,ReLU,Leaky,Tanh,ReLU,13,10,6.0,22.0,20.0,4.7987477191563404e-05,4,186,0.11872703068141356,1.1098295378835023e-05,301.54594388572116,COMPLETE
2,0.9397653937339783,2023-09-04 20:47:23.191983,2023-09-04 20:47:24.130286,0 days 00:00:00.938303,Sigmoid,,,,83,20,,,,4.275723065903526e-05,1,375,0.2100625981946185,0.0031569925032229884,76383640.29333334,COMPLETE
3,0.6904091835021973,2023-09-04 20:47:24.130580,2023-09-04 20:47:28.463275,0 days 00:00:04.332695,Tanh,Leaky,Sigmoid,Tanh,91,5,8.0,3.0,11.0,0.00010043028783382234,4,389,0.7448711601963863,0.004747865791747249,175.08392159430105,COMPLETE
4,0.8350602984428406,2023-09-04 20:47:28.463585,2023-09-04 20:47:29.801435,0 days 00:00:01.337850,Tanh,,,,16,22,,,,0.00023549556480120302,1,275,0.1359127157653623,0.00893932320360059,184.08117936567828,COMPLETE
5,0.6833104491233826,2023-09-04 20:47:29.801793,2023-09-04 20:47:35.693401,0 days 00:00:05.891608,Tanh,ReLU,Leaky,,17,8,9.0,24.0,,4.497022583139794e-05,3,200,0.5791567438385194,0.0034853423669997424,159.0125179672241,COMPLETE
6,0.8844634890556335,2023-09-04 20:47:35.693709,2023-09-04 20:47:35.832083,0 days 00:00:00.138374,Sigmoid,Tanh,Sigmoid,ReLU,29,1,12.0,5.0,24.0,0.00021167930113156304,4,275,0.2991524225334135,2.1519477422992563e-05,95.45155906677246,COMPLETE
7,0.6983891129493713,2023-09-04 20:47:35.832421,2023-09-04 20:47:37.394767,0 days 00:00:01.562346,ReLU,Sigmoid,Sigmoid,,23,16,17.0,17.0,,0.00016088104860236753,3,58,0.7191927857614826,0.0034856145846608793,135.39776006238213,COMPLETE
8,0.8121685981750488,2023-09-04 20:47:37.395069,2023-09-04 20:47:37.478930,0 days 00:00:00.083861,Leaky,,,,19,8,,,,0.08721873928841162,1,280,0.18528679127830247,3.006157207202698e-05,270.3800811767578,COMPLETE
9,0.49078530073165894,2023-09-04 20:47:37.479217,2023-09-04 20:47:38.661144,0 days 00:00:01.181927,Tanh,ReLU,,,70,16,6.0,,,0.00044517801029811833,2,371,0.20946791304613663,0.0042361515851588915,164.28631488974847,COMPLETE
10,0.9840596318244934,2023-09-04 20:47:38.661439,2023-09-04 20:47:38.840163,0 days 00:00:00.178724,ReLU,Sigmoid,ReLU,,49,1,23.0,11.0,,0.009425202458515244,3,112,0.4334827673955223,0.09773974238162378,103.6585488319397,COMPLETE
11,0.397757887840271,2023-09-04 20:47:38.840559,2023-09-04 20:47:41.184201,0 days 00:00:02.343642,Leaky,ReLU,,,73,15,2.0,,,0.0009486753932233222,2,481,0.35655360349467097,0.0002430610182958953,121.25177898922482,COMPLETE
12,0.36179670691490173,2023-09-04 20:47:41.184500,2023-09-04 20:47:42.161756,0 days 00:00:00.977256,Leaky,ReLU,,,100,14,2.0,,,0.002298730663389987,2,492,0.43940825329203764,0.0003653368551677196,368.8953857421875,COMPLETE
13,0.33444955945014954,2023-09-04 20:47:42.162080,2023-09-04 20:47:42.927772,0 days 00:00:00.765692,Leaky,Sigmoid,,,100,12,17.0,,,0.004216220692123495,2,487,0.49294649256390255,0.00035546748013214936,158.33281756591796,COMPLETE
14,0.33036530017852783,2023-09-04 20:47:42.928021,2023-09-04 20:47:43.826114,0 days 00:00:00.898093,Leaky,Tanh,,,99,13,20.0,,,0.003279050749203795,2,469,0.4694419742042087,0.0001474592883541477,130.35693689982097,COMPLETE
15,0.3130468428134918,2023-09-04 20:47:43.826386,2023-09-04 20:47:44.999559,0 days 00:00:01.173173,Leaky,Tanh,,,49,12,21.0,,,0.004358083209394041,2,444,0.4980209719595534,6.289777189203165e-05,123.0905605978217,COMPLETE
16,0.5438959002494812,2023-09-04 20:47:44.999833,2023-09-04 20:47:49.706534,0 days 00:00:04.706701,Leaky,Tanh,,,43,19,24.0,,,1.3147651501845466e-05,2,425,0.5432652885079187,8.36689643712606e-05,116.71890143899357,COMPLETE
17,0.413231760263443,2023-09-04 20:47:49.706796,2023-09-04 20:47:50.023355,0 days 00:00:00.316559,Leaky,Tanh,Leaky,,65,11,20.0,9.0,,0.01207094103840355,3,422,0.35344848104408505,7.057343100721176e-05,147.9925508287218,COMPLETE
18,0.3953650891780853,2023-09-04 20:47:50.023630,2023-09-04 20:47:51.561084,0 days 00:00:01.537454,Leaky,,,,36,19,,,,0.0012041877121249014,1,329,0.5852330466948126,0.00011949316487273255,417.8788357438712,COMPLETE
19,0.3703593611717224,2023-09-04 20:47:51.561346,2023-09-04 20:47:52.136740,0 days 00:00:00.575394,Leaky,Tanh,,,58,24,20.0,,,0.007654287143651602,2,443,0.4006384066436248,3.9518815782131764e-05,127.98677035740444,COMPLETE
20,0.5702648758888245,2023-09-04 20:47:52.137040,2023-09-04 20:47:52.317007,0 days 00:00:00.179967,Sigmoid,Tanh,Tanh,,80,9,21.0,1.0,,0.015917422327164393,3,325,0.2893667732432095,0.00013511941141965283,152.24686858233284,COMPLETE
21,0.4680495858192444,2023-09-04 20:47:52.317327,2023-09-04 20:47:52.813884,0 days 00:00:00.496557,Leaky,Sigmoid,,,87,13,17.0,,,0.004156040078741681,2,497,0.49144740504335077,0.0003178533413742768,154.8982822672526,COMPLETE
22,0.35051241517066956,2023-09-04 20:47:52.814147,2023-09-04 20:47:53.759220,0 days 00:00:00.945073,Leaky,Tanh,,,100,12,17.0,,,0.002690233083994824,2,458,0.47620188934503793,0.000672502296037386,134.77314988622126,COMPLETE
23,0.30542534589767456,2023-09-04 20:47:53.759475,2023-09-04 20:47:56.081643,0 days 00:00:02.322168,Leaky,Tanh,,,54,17,14.0,,,0.0011628561492129776,2,407,0.5922587278249035,0.00014589894182892205,96.61923381769769,COMPLETE
24,0.4754103422164917,2023-09-04 20:47:56.082047,2023-09-04 20:48:00.869083,0 days 00:00:04.787036,Leaky,,,,55,17,,,,0.0006846276483575025,1,404,0.6396680382388311,5.171685873588643e-05,179.14726591582345,COMPLETE
25,0.2979218363761902,2023-09-04 20:48:00.869342,2023-09-04 20:48:02.945938,0 days 00:00:02.076596,Leaky,Tanh,,,42,18,14.0,,,0.0014585141587251833,2,347,0.7396483166714741,0.00011492950156015754,115.09357770284016,COMPLETE
26,0.4192853271961212,2023-09-04 20:48:02.946191,2023-09-04 20:48:03.813381,0 days 00:00:00.867190,Leaky,Tanh,ReLU,,44,18,13.0,19.0,,0.0012240854547584203,3,345,0.79724448272914,1.9623400680252735e-05,103.5977847040916,COMPLETE
27,0.3020099699497223,2023-09-04 20:48:03.813651,2023-09-04 20:48:07.011182,0 days 00:00:03.197531,Leaky,Tanh,,,34,22,12.0,,,0.00059235972266271,2,308,0.7997222420490172,5.443492306934477e-05,130.03583632960465,COMPLETE
28,0.4888373613357544,2023-09-04 20:48:07.011461,2023-09-04 20:48:11.651530,0 days 00:00:04.640069,Sigmoid,,,,32,22,,,,0.0003880237924860036,1,295,0.7937980979669645,3.596561182161293e-05,748.1421413098351,COMPLETE
