number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.48353105783462524,2023-09-04 22:31:46.080767,2023-09-04 22:31:46.791258,0 days 00:00:00.710491,ReLU,Sigmoid,,,87,5,9.0,,,0.012450468509313754,2,215,0.7601146226113792,0.000510985884648214,234.2487399452611,COMPLETE
1,0.5242270231246948,2023-09-04 22:31:46.791653,2023-09-04 22:31:46.959753,0 days 00:00:00.168100,Leaky,Sigmoid,,,65,5,6.0,,,0.015526386639380567,2,153,0.1703907607054673,0.0004537272620789008,162.03053154379634,COMPLETE
2,0.9012575149536133,2023-09-04 22:31:46.960053,2023-09-04 22:31:48.050600,0 days 00:00:01.090547,Sigmoid,ReLU,Sigmoid,,58,8,9.0,6.0,,8.279682729574493e-05,3,148,0.3844752803010028,3.041580744995667e-05,139.72864573710675,COMPLETE
3,0.4298965334892273,2023-09-04 22:31:48.050938,2023-09-04 22:31:50.267336,0 days 00:00:02.216398,Leaky,Leaky,Tanh,,21,5,17.0,10.0,,0.00035995182217843944,3,169,0.3173852304543233,0.0007173923506041064,169.76825438730816,COMPLETE
4,0.5726854205131531,2023-09-04 22:31:50.267624,2023-09-04 22:31:51.936227,0 days 00:00:01.668603,ReLU,Tanh,Tanh,Leaky,88,17,20.0,22.0,4.0,0.0003889133919956495,4,289,0.3141512885652694,0.04691381107281639,562.6789960498215,COMPLETE
5,0.5183199644088745,2023-09-04 22:31:51.936529,2023-09-04 22:31:53.171569,0 days 00:00:01.235040,Tanh,Sigmoid,Leaky,,100,2,17.0,14.0,,0.001975435216695017,3,350,0.2690461375038145,3.7182995913135825e-05,294.71161733522007,COMPLETE
6,0.6482267379760742,2023-09-04 22:31:53.171988,2023-09-04 22:31:54.114713,0 days 00:00:00.942725,Sigmoid,,,,21,24,,,,0.0002749827734097089,1,61,0.4421358470856663,0.004031363363108415,316.10603907850924,COMPLETE
7,0.46440982818603516,2023-09-04 22:31:54.116701,2023-09-04 22:31:54.552518,0 days 00:00:00.435817,ReLU,Sigmoid,ReLU,Tanh,17,24,20.0,20.0,9.0,0.010106385145408835,4,109,0.10061365553561574,0.0016337856709026282,158.8833658695221,COMPLETE
8,0.37391605973243713,2023-09-04 22:31:54.553002,2023-09-04 22:32:00.365184,0 days 00:00:05.812182,Tanh,Leaky,Leaky,ReLU,45,18,8.0,6.0,23.0,0.0005641673369453966,4,135,0.7647542307696129,0.0072293188074999785,158.14680236240602,COMPLETE
9,0.38967910408973694,2023-09-04 22:32:00.365649,2023-09-04 22:32:01.627047,0 days 00:00:01.261398,Tanh,Tanh,Tanh,Leaky,81,16,8.0,19.0,13.0,0.006162913625829864,4,412,0.5084214877410883,0.0030193528527558675,231.24631839328342,COMPLETE
10,0.6085911393165588,2023-09-04 22:32:01.627555,2023-09-04 22:32:16.815356,0 days 00:00:15.187801,Tanh,,,,39,18,,,,1.1695571718607366e-05,1,464,0.7353197756056686,0.09969896026519452,165.8369480988075,COMPLETE
11,0.35352638363838196,2023-09-04 22:32:16.815809,2023-09-04 22:32:22.016649,0 days 00:00:05.200840,Tanh,Leaky,Leaky,ReLU,45,15,3.0,1.0,24.0,0.002753467026091524,4,497,0.5676657213348615,0.010378886467844108,189.18221081874168,COMPLETE
12,0.6180127859115601,2023-09-04 22:32:22.017129,2023-09-04 22:32:23.573531,0 days 00:00:01.556402,Tanh,Leaky,Leaky,ReLU,41,13,1.0,1.0,24.0,0.06436916773013741,4,284,0.6103326319275775,0.017926055062807894,286.6932049375592,COMPLETE
