number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.4709390103816986,2023-09-04 21:13:05.716422,2023-09-04 21:13:06.290490,0 days 00:00:00.574068,Tanh,,,,58,12,,,,0.0002811068126500484,1,326,0.21517794338135263,0.05031257990469364,109.26870961091956,COMPLETE
1,0.5043611526489258,2023-09-04 21:13:06.290777,2023-09-04 21:13:06.647194,0 days 00:00:00.356417,Tanh,,,,18,1,,,,0.01727803300829538,1,406,0.3988139061396018,0.022678845630729732,121.61167560924183,COMPLETE
2,1.0305931568145752,2023-09-04 21:13:06.647457,2023-09-04 21:13:06.767583,0 days 00:00:00.120126,Sigmoid,Sigmoid,Leaky,ReLU,59,1,18.0,7.0,23.0,0.009633496811768161,4,74,0.4306391763373212,0.008131721925648282,100.4839789650657,COMPLETE
3,0.3296153247356415,2023-09-04 21:13:06.767867,2023-09-04 21:13:07.778663,0 days 00:00:01.010796,Tanh,Tanh,Tanh,,84,16,20.0,6.0,,0.0012189953177264056,3,440,0.7534779035944645,0.0005359659780970929,117.24120345342727,COMPLETE
4,0.3884052336215973,2023-09-04 21:13:07.778942,2023-09-04 21:13:08.155271,0 days 00:00:00.376329,Leaky,ReLU,,,13,3,14.0,,,0.006777492642648716,2,417,0.2842460936655276,0.07384209239130697,179.17670887914198,COMPLETE
5,0.4655441641807556,2023-09-04 21:13:08.155534,2023-09-04 21:13:08.326487,0 days 00:00:00.170953,Tanh,ReLU,ReLU,,73,2,24.0,15.0,,0.011526605860212516,3,153,0.4972766405762337,0.047157735045572996,129.3111696243286,COMPLETE
6,0.3765384554862976,2023-09-04 21:13:08.326757,2023-09-04 21:13:10.220302,0 days 00:00:01.893545,Tanh,Leaky,Leaky,Leaky,28,9,15.0,10.0,1.0,0.0005183149406455463,4,197,0.2781277680149493,0.0001463566048604208,123.10804039814751,COMPLETE
7,0.4763582944869995,2023-09-04 21:13:10.220624,2023-09-04 21:13:10.481412,0 days 00:00:00.260788,Leaky,Leaky,Sigmoid,,53,12,23.0,12.0,,0.0005475351258038309,3,65,0.21782922237114077,0.006254136186913381,128.77027059701774,COMPLETE
8,0.40560272336006165,2023-09-04 21:13:10.481705,2023-09-04 21:13:11.447200,0 days 00:00:00.965495,Tanh,Sigmoid,Sigmoid,,77,6,23.0,18.0,,0.0014979301889679988,3,111,0.6158726404319405,0.002435861628233262,110.84265012998839,COMPLETE
9,1.0253440141677856,2023-09-04 21:13:11.447491,2023-09-04 21:13:11.544281,0 days 00:00:00.096790,ReLU,Tanh,Sigmoid,Sigmoid,87,11,22.0,1.0,12.0,0.007711371435098328,4,316,0.13858512766318107,0.022364821272776895,100.67303737517327,COMPLETE
