number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.5106281042098999,2023-09-04 13:47:30.908729,2023-09-04 13:47:34.087755,0 days 00:00:03.179026,Leaky,Tanh,,,80,3,17.0,,,6.598124080234736e-05,2,486,0.4902442430518944,0.0029926151957127226,204.79647442539041,COMPLETE
1,0.39665764570236206,2023-09-04 13:47:34.088050,2023-09-04 13:47:34.431725,0 days 00:00:00.343675,Tanh,Sigmoid,Leaky,,62,11,23.0,22.0,,0.008238601837969416,3,175,0.22221421033564964,1.1259100225794927e-05,175.90937428534787,COMPLETE
2,0.38033774495124817,2023-09-04 13:47:34.432022,2023-09-04 13:47:38.483011,0 days 00:00:04.050989,Leaky,Sigmoid,Tanh,Leaky,67,10,9.0,17.0,21.0,0.0005800431681137387,4,410,0.6014993295066144,1.013601859830838e-05,152.16169237536053,COMPLETE
3,0.5030609965324402,2023-09-04 13:47:38.483314,2023-09-04 13:47:39.667704,0 days 00:00:01.184390,ReLU,Leaky,,,62,16,23.0,,,3.6989704896593015e-05,2,376,0.19209204755550147,0.00013360905704648418,177.02542106141436,COMPLETE
4,0.46987324953079224,2023-09-04 13:47:39.668015,2023-09-04 13:47:40.065975,0 days 00:00:00.397960,ReLU,,,,21,11,,,,0.0028585714570551306,1,134,0.23012165053633693,0.0001554656617099642,167.11883864864225,COMPLETE
5,0.8986953496932983,2023-09-04 13:47:40.066233,2023-09-04 13:47:40.131450,0 days 00:00:00.065217,Tanh,Sigmoid,Leaky,,63,23,24.0,23.0,,0.007510638298835283,3,64,0.2500487277516303,0.08693514405433658,102.08322016398112,COMPLETE
6,0.7419306039810181,2023-09-04 13:47:40.131735,2023-09-04 13:47:40.345676,0 days 00:00:00.213941,Leaky,ReLU,Sigmoid,,75,2,24.0,10.0,,0.00048259665367733726,3,101,0.11316408876355569,6.527852112416123e-05,208.63392488083036,COMPLETE
7,0.5283442735671997,2023-09-04 13:47:40.345976,2023-09-04 13:47:43.015766,0 days 00:00:02.669790,ReLU,,,,22,12,,,,0.00016208380229849385,1,257,0.4061822857956089,0.052993780905856595,180.45179742597884,COMPLETE
8,0.41596996784210205,2023-09-04 13:47:43.016025,2023-09-04 13:47:45.114252,0 days 00:00:02.098227,Sigmoid,Leaky,Tanh,Tanh,39,13,5.0,4.0,19.0,0.0008782083863281868,4,200,0.3531050797536611,0.0007922919388446766,166.52374713897706,COMPLETE
9,0.45300039649009705,2023-09-04 13:47:45.114727,2023-09-04 13:47:45.599393,0 days 00:00:00.484666,Tanh,Leaky,,,20,23,14.0,,,0.013005818109961991,2,188,0.5067734418580543,4.1819798900253705e-05,216.09809112548828,COMPLETE
