number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
25,0.2662481367588043,2023-09-04 00:36:42.094095,2023-09-04 00:37:46.859532,0 days 00:01:04.765437,ReLU,Sigmoid,Leaky,,2,24,5.0,1.0,,0.0005416371851312844,3,100,0.33389474958922916,1.8969603453441823e-05,COMPLETE
26,0.28809085488319397,2023-09-04 00:37:46.860000,2023-09-04 00:38:27.667515,0 days 00:00:40.807515,ReLU,Sigmoid,,,2,17,4.0,,,0.00025364041834609753,2,100,0.2622771616064247,0.00010976164366475234,COMPLETE
27,0.21689298748970032,2023-09-04 00:38:27.667976,2023-09-04 00:39:03.150460,0 days 00:00:35.482484,ReLU,Sigmoid,Tanh,,2,18,8.0,24.0,,0.0009765791574971574,3,100,0.1807697110905626,1.5540130369256044e-05,COMPLETE
28,0.42991703748703003,2023-09-04 00:39:03.150929,2023-09-04 00:39:09.810386,0 days 00:00:06.659457,ReLU,Sigmoid,Tanh,,12,19,9.0,21.0,,0.0011948968188040233,3,100,0.18905792073852382,3.0739946383222804e-05,COMPLETE
29,0.31128600239753723,2023-09-04 00:39:09.810834,2023-09-04 00:39:26.270964,0 days 00:00:16.460130,ReLU,ReLU,Tanh,,4,22,8.0,15.0,,0.0002317822771992188,3,100,0.17599237169692308,9.863854412193398e-05,COMPLETE
30,0.4333023130893707,2023-09-04 00:39:26.271253,2023-09-04 00:39:26.960751,0 days 00:00:00.689498,ReLU,Sigmoid,Tanh,,30,18,3.0,23.0,,0.0011050618499609348,3,40,0.16591816436872794,0.00033205997237923827,COMPLETE
31,0.24753616750240326,2023-09-04 00:39:26.961206,2023-09-04 00:39:54.217524,0 days 00:00:27.256318,ReLU,Sigmoid,,,2,17,4.0,,,0.0004914769397419988,2,100,0.41300734889471713,1.6494618777933282e-05,COMPLETE
32,0.28677675127983093,2023-09-04 00:39:54.217797,2023-09-04 00:40:02.812967,0 days 00:00:08.595170,ReLU,Sigmoid,,,4,20,7.0,,,0.0004255297888778605,2,100,0.31571810828197183,1.055040483625662e-05,COMPLETE
33,0.18409067392349243,2023-09-04 00:40:02.813233,2023-09-04 00:40:17.885530,0 days 00:00:15.072297,Leaky,Sigmoid,,,2,18,12.0,,,0.0027138416945737534,2,100,0.2571469800309328,2.7663021617194233e-05,COMPLETE
34,0.2689685523509979,2023-09-04 00:40:17.885810,2023-09-04 00:40:19.796624,0 days 00:00:01.910814,Leaky,Sigmoid,Tanh,,16,20,11.0,14.0,,0.0018660771033932072,3,80,0.26350270972579454,3.211126559632187e-05,COMPLETE
35,0.23745617270469666,2023-09-04 00:40:19.796914,2023-09-04 00:40:46.369559,0 days 00:00:26.572645,Leaky,Sigmoid,Leaky,ReLU,2,24,13.0,20.0,1.0,0.0027653283020462956,4,100,0.26248032537390176,6.972383527453496e-05,COMPLETE
36,0.2307378202676773,2023-09-04 00:40:46.369843,2023-09-04 00:40:57.439813,0 days 00:00:11.069970,Leaky,Sigmoid,,,2,19,9.0,,,0.0010034181848197798,2,100,0.22323437357055662,2.7075324244098416e-05,COMPLETE
37,0.20811182260513306,2023-09-04 00:40:57.440087,2023-09-04 00:40:58.612607,0 days 00:00:01.172520,Leaky,Sigmoid,Sigmoid,,12,15,6.0,11.0,,0.0028618573596548794,3,100,0.10065520025464132,0.00013277191180614768,COMPLETE
38,0.3324175775051117,2023-09-04 00:40:58.612885,2023-09-04 00:40:59.112912,0 days 00:00:00.500027,Leaky,ReLU,Sigmoid,,12,13,7.0,12.0,,0.003433931309348678,3,40,0.10456543017036908,0.00013639067299082066,COMPLETE
39,0.24522769451141357,2023-09-04 00:40:59.113189,2023-09-04 00:41:00.245530,0 days 00:00:01.132341,Leaky,Tanh,Sigmoid,Tanh,12,15,12.0,10.0,24.0,0.009385204701358034,4,80,0.10051467546025532,0.0002499443263770399,COMPLETE
40,0.2278841882944107,2023-09-04 00:41:00.245813,2023-09-04 00:41:01.966269,0 days 00:00:01.720456,Leaky,Leaky,Sigmoid,,12,21,3.0,7.0,,0.002708103505500424,3,100,0.14940141948291047,8.05946584022142e-05,COMPLETE
41,0.3100185990333557,2023-09-04 00:41:01.966552,2023-09-04 00:41:05.278872,0 days 00:00:03.312320,Leaky,Sigmoid,Tanh,,10,18,6.0,17.0,,0.001406396294144666,3,100,0.19699396711278447,1.321450672505254e-05,COMPLETE
42,0.6692484617233276,2023-09-04 00:41:05.279154,2023-09-04 00:41:06.422790,0 days 00:00:01.143636,Sigmoid,Sigmoid,,,12,16,6.0,,,0.000861604738670689,2,100,0.1207879812806621,3.442573740023111e-05,COMPLETE
43,0.2996685206890106,2023-09-04 00:41:06.423060,2023-09-04 00:41:11.428416,0 days 00:00:05.005356,Leaky,Sigmoid,Sigmoid,,4,14,17.0,12.0,,0.0028491482742391914,3,100,0.15970217441391565,2.0744884114817994e-05,COMPLETE
44,0.23297357559204102,2023-09-04 00:41:11.428701,2023-09-04 00:41:14.383997,0 days 00:00:02.955296,Leaky,Sigmoid,,,8,18,8.0,,,0.007496414932794024,2,100,0.2211956059944707,1.0610342181207856e-05,COMPLETE
45,0.5436782240867615,2023-09-04 00:41:14.384271,2023-09-04 00:41:14.830457,0 days 00:00:00.446186,Sigmoid,Leaky,,,16,22,3.0,,,0.00146869099415349,2,40,0.14731285253856083,6.410503446457674e-05,COMPLETE
46,0.26688045263290405,2023-09-04 00:41:14.830729,2023-09-04 00:41:26.072751,0 days 00:00:11.242022,ReLU,ReLU,Tanh,,2,16,10.0,1.0,,0.0008077995152699289,3,100,0.18477674511661377,4.188716309915554e-05,COMPLETE
47,0.17215336859226227,2023-09-04 00:41:26.073048,2023-09-04 00:41:35.723649,0 days 00:00:09.650601,Leaky,Sigmoid,Sigmoid,ReLU,10,12,5.0,15.0,3.0,0.0034500857427523196,4,100,0.3261778064451879,1.5458525744943728e-05,COMPLETE
48,0.1781383752822876,2023-09-04 00:41:35.724178,2023-09-04 00:41:47.796858,0 days 00:00:12.072680,Leaky,Sigmoid,Sigmoid,ReLU,10,12,18.0,21.0,2.0,0.0040353501902647805,4,100,0.24310099992596979,1.3898161562901983e-05,COMPLETE
49,1.068847894668579,2023-09-04 00:41:47.797386,2023-09-04 00:42:09.766784,0 days 00:00:21.969398,Leaky,Leaky,Sigmoid,ReLU,10,12,19.0,15.0,1.0,0.004028207273314052,4,80,0.31119697275438557,1.0065754680835253e-05,COMPLETE
50,0.21339964866638184,2023-09-04 00:42:09.767293,2023-09-04 00:42:15.985482,0 days 00:00:06.218189,Leaky,Tanh,Sigmoid,ReLU,10,12,17.0,20.0,7.0,0.006109640920992904,4,60,0.23865423699886532,5.55497669161178e-05,COMPLETE
51,0.18416211009025574,2023-09-04 00:42:15.985788,2023-09-04 00:42:18.623575,0 days 00:00:02.637787,Leaky,Tanh,Sigmoid,ReLU,10,11,18.0,20.0,7.0,0.005150838046881328,4,60,0.26859109532163133,5.1370755153759705e-05,COMPLETE
52,0.20784057676792145,2023-09-04 00:42:18.623890,2023-09-04 00:42:22.841827,0 days 00:00:04.217937,Leaky,Tanh,Sigmoid,ReLU,10,10,23.0,22.0,7.0,0.0037384108661087973,4,60,0.27301372606009494,3.819880549668018e-05,COMPLETE
53,0.21448038518428802,2023-09-04 00:42:22.842339,2023-09-04 00:42:25.870945,0 days 00:00:03.028606,Leaky,Tanh,Sigmoid,ReLU,10,9,20.0,22.0,7.0,0.004552424608942405,4,60,0.2745301730558319,3.8714319156627696e-05,COMPLETE
54,0.24837416410446167,2023-09-04 00:42:25.871254,2023-09-04 00:42:28.558281,0 days 00:00:02.687027,Leaky,Tanh,Sigmoid,ReLU,10,10,23.0,19.0,6.0,0.009822188674553395,4,60,0.28192504789206624,1.4926686975878773e-05,COMPLETE
55,0.18175707757472992,2023-09-04 00:42:28.558583,2023-09-04 00:42:31.587948,0 days 00:00:03.029365,Leaky,Tanh,Sigmoid,ReLU,10,11,22.0,22.0,5.0,0.006567816513727974,4,60,0.31456886421368735,2.411506351210568e-05,COMPLETE
56,0.16576799750328064,2023-09-04 00:42:31.588253,2023-09-04 00:42:34.767558,0 days 00:00:03.179305,Leaky,Tanh,Sigmoid,ReLU,10,11,18.0,17.0,4.0,0.006288652775090467,4,60,0.3321656561697237,1.867983829855355e-05,COMPLETE
57,0.181488499045372,2023-09-04 00:42:34.767875,2023-09-04 00:42:38.106882,0 days 00:00:03.339007,Leaky,Tanh,ReLU,ReLU,10,14,15.0,17.0,3.0,0.01459902314115705,4,60,0.33837907127748235,2.108900728531962e-05,COMPLETE
58,0.1729898601770401,2023-09-04 00:42:38.107194,2023-09-04 00:42:41.270295,0 days 00:00:03.163101,Leaky,Tanh,ReLU,ReLU,10,14,16.0,17.0,3.0,0.017859846204777853,4,60,0.3330847344047136,1.8927099400997514e-05,COMPLETE
59,1.0087924003601074,2023-09-04 00:42:41.270613,2023-09-04 00:42:44.901444,0 days 00:00:03.630831,Leaky,Tanh,ReLU,ReLU,10,13,15.0,17.0,3.0,0.016368897468765436,4,60,0.33914943711279616,1.4652721280180132e-05,COMPLETE
60,0.14287720620632172,2023-09-04 00:42:44.901753,2023-09-04 00:42:49.935860,0 days 00:00:05.034107,Sigmoid,Tanh,ReLU,ReLU,10,14,16.0,16.0,3.0,0.012137669533915079,4,60,0.38652478934407003,2.0111568411396714e-05,COMPLETE
61,0.152155339717865,2023-09-04 00:42:49.936157,2023-09-04 00:42:53.563704,0 days 00:00:03.627547,Sigmoid,Tanh,ReLU,ReLU,10,14,16.0,16.0,3.0,0.012589681947380249,4,60,0.3833644609333759,1.8795504459624185e-05,COMPLETE
62,1.0431334972381592,2023-09-04 00:42:53.564016,2023-09-04 00:42:58.843804,0 days 00:00:05.279788,Sigmoid,Tanh,ReLU,ReLU,10,13,16.0,15.0,3.0,0.030001238490435737,4,60,0.38019376339008143,1.363522309220679e-05,COMPLETE
63,0.6003624796867371,2023-09-04 00:42:58.844113,2023-09-04 00:43:03.141964,0 days 00:00:04.297851,Sigmoid,Tanh,ReLU,ReLU,10,14,19.0,14.0,4.0,0.011239591200977781,4,60,0.39019499203766883,1.852497064192444e-05,COMPLETE
