number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.22918319702148438,2023-09-03 22:28:32.296397,2023-09-03 22:28:35.410838,0 days 00:00:03.114441,Sigmoid,ReLU,,,16,24,13.0,,,0.004756024287605262,2,100,0.4201067627987766,0.0001646416714164899,COMPLETE
1,0.17175135016441345,2023-09-03 22:28:35.411141,2023-09-03 22:29:12.309449,0 days 00:00:36.898308,ReLU,Tanh,Tanh,Leaky,2,19,3.0,12.0,14.0,0.0014599795262451906,4,100,0.34483472608742877,3.432696997837927e-05,COMPLETE
2,0.1943587064743042,2023-09-03 22:29:12.309765,2023-09-03 22:29:21.565216,0 days 00:00:09.255451,ReLU,Tanh,,,2,16,5.0,,,0.00687364655182037,2,100,0.18744683587856711,0.00010974821862804665,COMPLETE
3,0.2685178816318512,2023-09-03 22:29:21.565517,2023-09-03 22:29:35.592120,0 days 00:00:14.026603,Sigmoid,ReLU,Tanh,Sigmoid,16,19,6.0,9.0,13.0,0.05241278836392441,4,100,0.42206238803422763,0.0016401718648470247,COMPLETE
4,0.6993873119354248,2023-09-03 22:29:35.592634,2023-09-03 22:29:49.841335,0 days 00:00:14.248701,Tanh,,,,2,4,,,,3.4832140601333325e-05,1,40,0.306604211025893,0.0009906848552168864,COMPLETE
5,0.3384925127029419,2023-09-03 22:29:49.841803,2023-09-03 22:29:52.835788,0 days 00:00:02.993985,Leaky,ReLU,Leaky,,12,22,4.0,8.0,,0.0015825240467362304,3,60,0.13204704743690232,5.747783362997661e-05,COMPLETE
6,0.38887444138526917,2023-09-03 22:29:52.836313,2023-09-03 22:29:59.589879,0 days 00:00:06.753566,Tanh,,,,16,2,,,,0.014200366555655906,1,60,0.6917542720612108,4.2857939217608804e-05,COMPLETE
7,0.7632710337638855,2023-09-03 22:29:59.590369,2023-09-03 22:30:03.720410,0 days 00:00:04.130041,Sigmoid,ReLU,Tanh,Sigmoid,16,8,14.0,23.0,22.0,8.329318277359417e-05,4,80,0.15724534674479126,1.5877125347732584e-05,COMPLETE
8,0.6682426929473877,2023-09-03 22:30:03.720918,2023-09-03 22:30:07.037655,0 days 00:00:03.316737,Tanh,,,,10,23,,,,2.0773314902309045e-05,1,100,0.12891867361140355,0.001255459237133642,COMPLETE
9,1.030616044998169,2023-09-03 22:30:07.038111,2023-09-03 22:30:40.377202,0 days 00:00:33.339091,ReLU,Tanh,ReLU,,2,8,2.0,5.0,,0.09919137089233716,3,40,0.41543871670922033,0.06250400906998879,COMPLETE
