number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.28860828280448914,2023-09-04 13:47:29.271124,2023-09-04 13:47:29.561129,0 days 00:00:00.290005,Sigmoid,,,,42,10,,,,0.016406649577117606,1,206,0.4086489626423148,0.021757903390758244,93.14885893322173,COMPLETE
1,0.2399476319551468,2023-09-04 13:47:29.561412,2023-09-04 13:47:30.336181,0 days 00:00:00.774769,Tanh,Leaky,ReLU,,31,1,15.0,16.0,,0.06157595748296318,3,296,0.7004941430478306,0.0001349708628942103,162.30832890101843,COMPLETE
2,0.3048549294471741,2023-09-04 13:47:30.337045,2023-09-04 13:47:30.536771,0 days 00:00:00.199726,ReLU,,,,100,21,,,,0.0005639238933245316,1,137,0.11109341872142474,0.0001996774391162701,83.03620342616617,COMPLETE
3,0.3273305594921112,2023-09-04 13:47:30.537041,2023-09-04 13:47:30.939384,0 days 00:00:00.402343,Sigmoid,Tanh,Sigmoid,,83,16,10.0,1.0,,0.013262917308453444,3,353,0.38038707303042196,0.004099415738772285,105.21376104915844,COMPLETE
4,0.2421020120382309,2023-09-04 13:47:30.939661,2023-09-04 13:47:32.665813,0 days 00:00:01.726152,Leaky,Tanh,,,49,11,22.0,,,8.66564659722952e-05,2,319,0.29559562857382865,0.001324806329361515,94.50654532692649,COMPLETE
5,0.44012436270713806,2023-09-04 13:47:32.666094,2023-09-04 13:47:32.833613,0 days 00:00:00.167519,Sigmoid,,,,86,2,,,,0.0016954802076610974,1,94,0.14535213680004982,3.391562358177389e-05,103.58669573195438,COMPLETE
6,1.3741260766983032,2023-09-04 13:47:32.833872,2023-09-04 13:47:33.814663,0 days 00:00:00.980791,ReLU,Sigmoid,Leaky,,81,15,22.0,1.0,,9.051938147976057e-05,3,170,0.37033882430206216,0.0077351029419362935,198.06007223690258,COMPLETE
7,0.3692103922367096,2023-09-04 13:47:33.814971,2023-09-04 13:47:34.305590,0 days 00:00:00.490619,Sigmoid,Leaky,,,78,10,4.0,,,0.0009091425610606223,2,327,0.22197191962728305,0.0006803124191687045,100.7485210519088,COMPLETE
8,0.1632290929555893,2023-09-04 13:47:34.305850,2023-09-04 13:47:36.744410,0 days 00:00:02.438560,Leaky,,,,56,22,,,,0.00022913779742333857,1,260,0.7213085080537254,0.0009565558628880874,96.5197582244873,COMPLETE
9,0.21005946397781372,2023-09-04 13:47:36.744643,2023-09-04 13:47:38.401734,0 days 00:00:01.657091,ReLU,Leaky,,,85,23,3.0,,,0.0005047033493872838,2,450,0.2871693117881068,0.027117524719309193,93.50837393574331,COMPLETE
10,0.3081551790237427,2023-09-04 13:47:38.401963,2023-09-04 13:47:58.349484,0 days 00:00:19.947521,Leaky,ReLU,Tanh,ReLU,18,19,14.0,24.0,15.0,1.0570288996080686e-05,4,457,0.7893679594229845,0.07146259870795928,107.76005771227948,COMPLETE
11,0.2809441089630127,2023-09-04 13:47:58.349753,2023-09-04 13:48:01.794227,0 days 00:00:03.444474,ReLU,Leaky,,,61,24,1.0,,,0.00026518899347200016,2,483,0.6152927461044309,0.06694332357211219,93.07847905810414,COMPLETE
12,0.2068183720111847,2023-09-04 13:48:01.794474,2023-09-04 13:48:02.366486,0 days 00:00:00.572012,Leaky,,,,64,24,,,,0.001825517216287451,1,403,0.5526517470218235,0.0027094712801533772,84.07247276306153,COMPLETE
13,0.19243121147155762,2023-09-04 13:48:02.366709,2023-09-04 13:48:03.107747,0 days 00:00:00.741038,Leaky,,,,64,19,,,,0.0034142723194973365,1,234,0.5047593287314872,0.001849213518700011,96.78805035616445,COMPLETE
14,0.24306203424930573,2023-09-04 13:48:03.107979,2023-09-04 13:48:03.416441,0 days 00:00:00.308462,Leaky,,,,65,18,,,,0.0031859098935490115,1,238,0.5274090581958618,0.0007933259606939993,75.99775557084517,COMPLETE
15,0.15683303773403168,2023-09-04 13:48:03.416669,2023-09-04 13:48:05.470485,0 days 00:00:02.053816,Leaky,Sigmoid,Tanh,Sigmoid,44,6,9.0,12.0,1.0,0.005111711278994626,4,243,0.7715861687219864,1.0951725821423444e-05,61.69021553568321,COMPLETE
16,0.18375568091869354,2023-09-04 13:48:05.470755,2023-09-04 13:48:07.525904,0 days 00:00:02.055149,Tanh,Sigmoid,Tanh,Sigmoid,35,7,9.0,12.0,1.0,0.006436009266867742,4,265,0.7950148597805592,1.786479669441362e-05,76.86856598451914,COMPLETE
17,0.49051326513290405,2023-09-04 13:48:07.526173,2023-09-04 13:48:08.463760,0 days 00:00:00.937587,Leaky,Sigmoid,Tanh,Sigmoid,13,3,17.0,11.0,1.0,0.08423513193717307,4,383,0.6581112136683813,1.5907091581159227e-05,110.77548097309314,COMPLETE
18,0.2783052921295166,2023-09-04 13:48:08.464046,2023-09-04 13:48:09.360918,0 days 00:00:00.896872,Leaky,ReLU,Sigmoid,,28,6,7.0,18.0,,0.0002288447500130007,3,58,0.46965020722199763,6.629295432326583e-05,84.30566116859173,COMPLETE
19,0.16943319141864777,2023-09-04 13:48:09.361203,2023-09-04 13:48:10.327295,0 days 00:00:00.966092,Leaky,Sigmoid,Leaky,Leaky,50,6,19.0,7.0,24.0,0.025786180005566813,4,183,0.6336492324241023,1.0434772250473669e-05,66.33779883384705,COMPLETE
20,0.14751367270946503,2023-09-04 13:48:10.327572,2023-09-04 13:48:11.278331,0 days 00:00:00.950759,Tanh,Sigmoid,ReLU,,43,12,12.0,8.0,,0.00765396959417892,3,138,0.7909935064146781,0.0003478238402824802,76.65398326286903,COMPLETE
21,0.1702321469783783,2023-09-04 13:48:11.278586,2023-09-04 13:48:12.786102,0 days 00:00:01.507516,Tanh,Sigmoid,ReLU,,43,14,11.0,7.0,,0.005844515736422432,3,133,0.7998192947210532,0.0002906291667197394,60.70914421552493,COMPLETE
22,0.19424930214881897,2023-09-04 13:48:12.786369,2023-09-04 13:48:13.838469,0 days 00:00:01.052100,Tanh,Sigmoid,ReLU,Tanh,55,12,7.0,7.0,9.0,0.006290460709814484,4,265,0.6280226338259225,0.00043832875696822533,184.5607450358073,COMPLETE
23,0.17067016661167145,2023-09-04 13:48:13.838739,2023-09-04 13:48:14.461743,0 days 00:00:00.623004,Tanh,Sigmoid,ReLU,,39,8,13.0,10.0,,0.03704449449149823,3,141,0.6848707088310138,9.669523190711171e-05,76.25217310587566,COMPLETE
24,0.20109854638576508,2023-09-04 13:48:14.462011,2023-09-04 13:48:15.092292,0 days 00:00:00.630281,Tanh,Sigmoid,,,24,4,7.0,,,0.01817632785290017,2,218,0.555245028905944,5.1565457028002274e-05,85.40671333106789,COMPLETE
25,0.1753644049167633,2023-09-04 13:48:15.092546,2023-09-04 13:48:15.500018,0 days 00:00:00.407472,Leaky,Tanh,Tanh,Sigmoid,72,13,17.0,16.0,9.0,0.010420231559868591,4,91,0.45574331688990827,0.0003548366519436249,68.10142500504203,COMPLETE
26,0.1543903648853302,2023-09-04 13:48:15.500293,2023-09-04 13:48:15.797363,0 days 00:00:00.297070,Leaky,ReLU,Tanh,,50,17,12.0,5.0,,0.037872555177992234,3,187,0.7117752282471808,0.00018760921007076594,60.91869273938631,COMPLETE
27,0.1616520881652832,2023-09-04 13:48:15.797628,2023-09-04 13:48:16.225033,0 days 00:00:00.427405,Tanh,ReLU,Tanh,,48,17,12.0,4.0,,0.0382630099728422,3,188,0.5711675567797467,0.00016726210047903443,138.77030383839326,COMPLETE
28,0.223276749253273,2023-09-04 13:48:16.225297,2023-09-04 13:48:16.614443,0 days 00:00:00.389146,Leaky,ReLU,Tanh,,37,9,9.0,5.0,,0.09032868311827996,3,102,0.6888449651982699,5.16742306306412e-05,82.0298331124442,COMPLETE
29,0.1891675889492035,2023-09-04 13:48:16.614704,2023-09-04 13:48:17.274156,0 days 00:00:00.659452,Sigmoid,ReLU,Tanh,ReLU,55,13,16.0,9.0,16.0,0.018769869580089683,4,168,0.43982949151590445,9.834431741962173e-05,70.50893471457742,COMPLETE
30,0.1688966304063797,2023-09-04 13:48:17.274435,2023-09-04 13:48:17.813014,0 days 00:00:00.538579,Tanh,ReLU,ReLU,,44,4,12.0,4.0,,0.011149317611450002,3,214,0.5933278253354995,2.30723315376088e-05,74.22371121456749,COMPLETE
31,0.17274436354637146,2023-09-04 13:48:17.813275,2023-09-04 13:48:18.459709,0 days 00:00:00.646434,Tanh,ReLU,Tanh,,47,16,12.0,4.0,,0.03849605377206386,3,193,0.7959159492482535,0.0001810117722454706,67.18593339359059,COMPLETE
32,0.1598339080810547,2023-09-04 13:48:18.459986,2023-09-04 13:48:19.175257,0 days 00:00:00.715271,Tanh,ReLU,Tanh,,32,17,10.0,14.0,,0.04150658152524893,3,152,0.5749612180018435,0.0001402188454457929,63.67114706039429,COMPLETE
33,0.18432417511940002,2023-09-04 13:48:19.175533,2023-09-04 13:48:19.640609,0 days 00:00:00.465076,Tanh,ReLU,Tanh,,33,20,9.0,14.0,,0.05892691059146865,3,131,0.6870908490153652,0.00011259904862778994,79.13698647238992,COMPLETE
