number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
25,0.3056904673576355,2023-09-04 00:29:59.039619,2023-09-04 00:30:06.999055,0 days 00:00:07.959436,Tanh,Sigmoid,Leaky,,4,7,9.0,24.0,,0.01499004075522866,3,80,0.3141118807589264,0.00014645353896134122,COMPLETE
26,0.2802097797393799,2023-09-04 00:30:06.999337,2023-09-04 00:30:14.114540,0 days 00:00:07.115203,ReLU,Sigmoid,Leaky,,4,7,9.0,24.0,,0.01696443917565414,3,80,0.2811923871196251,8.277440501776106e-05,COMPLETE
27,0.29535144567489624,2023-09-04 00:30:14.114832,2023-09-04 00:30:22.842671,0 days 00:00:08.727839,ReLU,Sigmoid,Leaky,,4,4,11.0,20.0,,0.011719098761926772,3,80,0.2781705859019646,0.00010107613730500833,COMPLETE
28,0.74427330493927,2023-09-04 00:30:22.842968,2023-09-04 00:30:32.179812,0 days 00:00:09.336844,ReLU,Sigmoid,Leaky,Leaky,4,7,7.0,20.0,1.0,0.026528848809059324,4,80,0.23589669107659894,6.697621965758764e-05,COMPLETE
29,0.5442923307418823,2023-09-04 00:30:32.180110,2023-09-04 00:30:41.136711,0 days 00:00:08.956601,ReLU,Sigmoid,Sigmoid,Leaky,4,3,15.0,22.0,22.0,0.011073354340963194,4,80,0.2879376866447048,3.9612290065284264e-05,COMPLETE
30,0.557174801826477,2023-09-04 00:30:41.137010,2023-09-04 00:30:46.358972,0 days 00:00:05.221962,ReLU,Sigmoid,Leaky,,4,7,1.0,17.0,,0.0029714145840619073,3,80,0.20674940289079888,2.4621655655524797e-05,COMPLETE
31,0.3952365517616272,2023-09-04 00:30:46.359261,2023-09-04 00:30:53.300997,0 days 00:00:06.941736,ReLU,Sigmoid,Leaky,,4,3,11.0,21.0,,0.00921825042345058,3,80,0.27519865110785213,7.381200979202347e-05,COMPLETE
32,0.41247111558914185,2023-09-04 00:30:53.301290,2023-09-04 00:30:56.064192,0 days 00:00:02.762902,ReLU,Sigmoid,Leaky,,10,4,7.0,24.0,,0.026858693209489994,3,80,0.25953034377759354,0.00011459194091057905,COMPLETE
33,0.2740214765071869,2023-09-04 00:30:56.064478,2023-09-04 00:31:03.430795,0 days 00:00:07.366317,ReLU,Sigmoid,Leaky,,4,5,12.0,17.0,,0.011747296709614035,3,80,0.29243657152957747,0.0002813662647326138,COMPLETE
34,0.27123790979385376,2023-09-04 00:31:03.431077,2023-09-04 00:31:15.982864,0 days 00:00:12.551787,ReLU,Sigmoid,Leaky,,4,5,13.0,17.0,,0.006638212139658867,3,80,0.37987314511697073,0.0002780764954508456,COMPLETE
35,0.3957456350326538,2023-09-04 00:31:15.983139,2023-09-04 00:31:18.734251,0 days 00:00:02.751112,Sigmoid,Sigmoid,Leaky,,16,5,14.0,17.0,,0.00308258298511443,3,80,0.38994771954429197,0.00025254229064993193,COMPLETE
36,0.36771857738494873,2023-09-04 00:31:18.734536,2023-09-04 00:31:20.270492,0 days 00:00:01.535956,ReLU,Leaky,Leaky,,30,2,16.0,11.0,,0.005997777427693763,3,80,0.3684890374947826,0.000373316826140134,COMPLETE
37,0.2676103413105011,2023-09-04 00:31:20.270768,2023-09-04 00:31:26.168241,0 days 00:00:05.897473,ReLU,Sigmoid,Leaky,Tanh,12,6,19.0,15.0,15.0,0.0018177109409056853,4,80,0.4293682741937884,0.00023951218965845481,COMPLETE
38,0.3910060524940491,2023-09-04 00:31:26.168541,2023-09-04 00:31:29.315869,0 days 00:00:03.147328,ReLU,Sigmoid,Leaky,Tanh,12,5,19.0,16.0,15.0,0.0018689860526997883,4,40,0.42985653722934297,0.0006198695243789713,COMPLETE
39,0.3463413715362549,2023-09-04 00:31:29.316157,2023-09-04 00:31:34.078086,0 days 00:00:04.761929,Sigmoid,ReLU,Leaky,Tanh,12,11,20.0,9.0,18.0,0.0008162194267893327,4,80,0.43805516583757714,0.00032624512459036094,COMPLETE
40,0.4840165376663208,2023-09-04 00:31:34.078387,2023-09-04 00:31:38.639651,0 days 00:00:04.561264,ReLU,Leaky,Tanh,Sigmoid,12,4,19.0,15.0,7.0,0.0003084476031148239,4,80,0.4038342693433519,0.00021568882576430759,COMPLETE
41,0.3490404486656189,2023-09-04 00:31:38.639956,2023-09-04 00:31:43.624581,0 days 00:00:04.984625,ReLU,Sigmoid,Leaky,,10,6,12.0,18.0,,0.002196609407600985,3,80,0.34642728793135374,0.0001551766061778609,COMPLETE
42,0.24919241666793823,2023-09-04 00:31:43.624868,2023-09-04 00:31:47.663708,0 days 00:00:04.038840,ReLU,Sigmoid,Leaky,,8,8,15.0,22.0,,0.004301258734335784,3,80,0.308934083685489,0.0002597871099733424,COMPLETE
43,0.2410029172897339,2023-09-04 00:31:47.664009,2023-09-04 00:31:53.621370,0 days 00:00:05.957361,ReLU,Sigmoid,Leaky,,8,8,15.0,22.0,,0.003935511430371954,3,80,0.4590843674314036,0.0006947504863493863,COMPLETE
