number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.7550954222679138,2023-09-03 12:04:56.952380,2023-09-03 12:04:58.706702,0 days 00:00:01.754322,ReLU,Sigmoid,Tanh,,4,2,4.0,1.0,,0.0005979821416832711,3,40,0.13433826644624683,0.00046936124866642155,COMPLETE
1,0.4914275109767914,2023-09-03 12:04:58.707015,2023-09-03 12:05:00.326821,0 days 00:00:01.619806,Tanh,Sigmoid,,,16,8,20.0,,,0.000539510096414536,2,40,0.5544469220079852,0.0001818638263332854,COMPLETE
2,0.4760647416114807,2023-09-03 12:05:00.327094,2023-09-03 12:05:03.125260,0 days 00:00:02.798166,Leaky,ReLU,Leaky,,2,3,10.0,16.0,,0.013361552345432319,3,40,0.11504024506558011,0.002084607898240158,COMPLETE
3,0.639991044998169,2023-09-03 12:05:03.125543,2023-09-03 12:05:04.275963,0 days 00:00:01.150420,Leaky,Leaky,,,12,5,22.0,,,0.08575738586388325,2,80,0.15511954260412333,0.055484333791410136,COMPLETE
4,0.36926212906837463,2023-09-03 12:05:04.276239,2023-09-03 12:05:08.029476,0 days 00:00:03.753237,Sigmoid,,,,2,22,,,,0.028721549024437344,1,80,0.1244821285041655,1.5288343270861406e-05,COMPLETE
5,0.7989369034767151,2023-09-03 12:05:08.029732,2023-09-03 12:05:11.201101,0 days 00:00:03.171369,ReLU,,,,16,4,,,,2.1749857936620416e-05,1,100,0.5920827714497876,0.07634599298358503,COMPLETE
6,1.0377751588821411,2023-09-03 12:05:11.201347,2023-09-03 12:05:18.579585,0 days 00:00:07.378238,Sigmoid,ReLU,ReLU,,2,6,16.0,13.0,,0.08457873275362886,3,60,0.1952708285651054,1.7540612855710517e-05,COMPLETE
7,1.031733512878418,2023-09-03 12:05:18.579880,2023-09-03 12:05:19.806775,0 days 00:00:01.226895,Sigmoid,Sigmoid,Tanh,Sigmoid,30,7,12.0,4.0,22.0,0.09647898092020679,4,80,0.23553381490151573,0.09164173461546615,COMPLETE
8,0.9475000500679016,2023-09-03 12:05:19.807059,2023-09-03 12:05:21.334776,0 days 00:00:01.527717,ReLU,ReLU,Sigmoid,Leaky,10,12,5.0,6.0,11.0,0.0035879021040964637,4,40,0.2304158625052894,0.019944126091998644,COMPLETE
9,0.7794800400733948,2023-09-03 12:05:21.335037,2023-09-03 12:05:23.590181,0 days 00:00:02.255144,Leaky,ReLU,ReLU,,10,2,20.0,10.0,,0.0009410907772377614,3,60,0.27540575724379845,0.02502162453559715,COMPLETE
10,0.35777026414871216,2023-09-03 12:05:23.590434,2023-09-03 12:05:24.581650,0 days 00:00:00.991216,Sigmoid,,,,8,24,,,,0.011740034715714335,1,80,0.11802112371554765,1.4794057346753518e-05,COMPLETE
11,0.3587549328804016,2023-09-03 12:05:24.581896,2023-09-03 12:05:25.449325,0 days 00:00:00.867429,Sigmoid,,,,8,24,,,,0.01116037835840986,1,80,0.10294417838162495,2.452727352234556e-05,COMPLETE
12,0.3818435072898865,2023-09-03 12:05:25.449578,2023-09-03 12:05:26.348473,0 days 00:00:00.898895,Sigmoid,,,,8,24,,,,0.006339609150498094,1,80,0.10582398595792211,5.731290083337631e-05,COMPLETE
13,0.5822251439094543,2023-09-03 12:05:26.348715,2023-09-03 12:05:27.442493,0 days 00:00:01.093778,Sigmoid,Tanh,,,8,19,2.0,,,0.0036766499263535227,2,80,0.10148110622993403,1.1448073944108496e-05,COMPLETE
14,0.3477483093738556,2023-09-03 12:05:27.442737,2023-09-03 12:05:29.083417,0 days 00:00:01.640680,Tanh,,,,8,18,,,,0.014823906858762679,1,100,0.1595746054039334,5.5544691338328316e-05,COMPLETE
15,0.37839582562446594,2023-09-03 12:05:29.083658,2023-09-03 12:05:30.660627,0 days 00:00:01.576969,Tanh,,,,8,17,,,,0.027263029381105287,1,100,0.15386887158673532,6.745477169165849e-05,COMPLETE
16,0.32027193903923035,2023-09-03 12:05:30.660877,2023-09-03 12:05:33.210361,0 days 00:00:02.549484,Tanh,Tanh,,,8,16,8.0,,,0.0021521618393025017,2,100,0.19348306305262125,6.570419082983099e-05,COMPLETE
17,0.3022315204143524,2023-09-03 12:05:33.210615,2023-09-03 12:05:36.312137,0 days 00:00:03.101522,Tanh,Tanh,,,12,15,9.0,,,0.0014116485601896875,2,100,0.3443041910904895,0.00015428821483675224,COMPLETE
18,0.44717487692832947,2023-09-03 12:05:36.312390,2023-09-03 12:05:39.654114,0 days 00:00:03.341724,Tanh,Tanh,,,12,13,8.0,,,0.00021057370514494865,2,100,0.372484673137552,0.00024395264064146473,COMPLETE
19,0.2637019157409668,2023-09-03 12:05:39.654376,2023-09-03 12:05:42.888843,0 days 00:00:03.234467,Tanh,Tanh,,,12,13,15.0,,,0.0020634903216508486,2,100,0.3590316044140083,0.001156557803868015,COMPLETE
20,0.31016257405281067,2023-09-03 12:05:42.889097,2023-09-03 12:05:46.415691,0 days 00:00:03.526594,Tanh,Tanh,,,12,11,15.0,,,0.0017558162441987132,2,100,0.39327454792464317,0.0015476594651804212,COMPLETE
21,0.2628052830696106,2023-09-03 12:05:46.415952,2023-09-03 12:05:49.765793,0 days 00:00:03.349841,Tanh,Tanh,,,12,11,15.0,,,0.0018436747601996916,2,100,0.3736524740601203,0.0014526396001269216,COMPLETE
22,0.4366266429424286,2023-09-03 12:05:49.766045,2023-09-03 12:05:53.149192,0 days 00:00:03.383147,Tanh,Tanh,,,12,14,15.0,,,0.00029192563510738347,2,100,0.37484670644133,0.0030596660097210954,COMPLETE
23,0.27868467569351196,2023-09-03 12:05:53.149450,2023-09-03 12:05:57.285944,0 days 00:00:04.136494,Tanh,Tanh,,,12,10,17.0,,,0.0014729066344564025,2,100,0.46095826124637634,0.0005720033674456568,COMPLETE
24,0.21560858190059662,2023-09-03 12:05:57.286207,2023-09-03 12:06:02.514419,0 days 00:00:05.228212,Tanh,Tanh,Sigmoid,,12,11,18.0,24.0,,0.003542339515275094,3,100,0.46967194226102954,0.0008443041149667384,COMPLETE
25,0.2868383824825287,2023-09-03 12:06:02.514691,2023-09-03 12:06:10.428600,0 days 00:00:07.913909,Tanh,Leaky,Sigmoid,,12,9,18.0,23.0,,0.0047232448166468375,3,100,0.7118999075095246,0.004516549275135412,COMPLETE
26,0.38743454217910767,2023-09-03 12:06:10.428886,2023-09-03 12:06:17.513517,0 days 00:00:07.084631,Tanh,Tanh,Sigmoid,Tanh,4,12,24.0,24.0,2.0,0.002820356719274524,4,60,0.3196448680549788,0.0010173142525094867,COMPLETE
27,0.24466675519943237,2023-09-03 12:06:17.513807,2023-09-03 12:06:19.673126,0 days 00:00:02.159319,Tanh,Tanh,Leaky,,30,10,12.0,18.0,,0.0057535712829272275,3,100,0.4259136906854733,0.0044802938047513825,COMPLETE
28,0.2678476572036743,2023-09-03 12:06:19.673411,2023-09-03 12:06:21.973737,0 days 00:00:02.300326,Tanh,Tanh,Leaky,,30,10,12.0,19.0,,0.005567792135106652,3,100,0.4583656398768387,0.005966986144732213,COMPLETE
29,0.32804492115974426,2023-09-03 12:06:21.974014,2023-09-03 12:06:24.149019,0 days 00:00:02.175005,ReLU,Leaky,Leaky,,30,8,13.0,19.0,,0.0008239541656908467,3,100,0.4342770588906824,0.0005934960321368505,COMPLETE
30,0.6629316210746765,2023-09-03 12:06:24.149301,2023-09-03 12:06:35.898963,0 days 00:00:11.749662,Tanh,Tanh,Leaky,ReLU,4,1,19.0,20.0,24.0,0.0058364569772719165,4,100,0.30543668737182156,0.006895743382415614,COMPLETE
31,0.2637900114059448,2023-09-03 12:06:35.899246,2023-09-03 12:06:38.456472,0 days 00:00:02.557226,Tanh,Tanh,Sigmoid,,30,14,14.0,15.0,,0.002202498592773984,3,100,0.5121327833496462,0.0012280065322811833,COMPLETE
32,0.37563273310661316,2023-09-03 12:06:38.456743,2023-09-03 12:06:42.888965,0 days 00:00:04.432222,Tanh,Tanh,Sigmoid,,12,11,11.0,21.0,,0.0007881620262596304,3,100,0.40323133941894335,0.0020499568967476027,COMPLETE
33,0.4192044138908386,2023-09-03 12:06:42.889239,2023-09-03 12:06:44.049505,0 days 00:00:01.160266,Tanh,Tanh,Leaky,,16,8,17.0,17.0,,0.00042810891411847483,3,40,0.3339398325979968,0.0008390057447581145,COMPLETE
34,0.270367294549942,2023-09-03 12:06:44.049776,2023-09-03 12:06:48.638823,0 days 00:00:04.589047,Leaky,Tanh,,,12,13,14.0,,,0.0012633732008221325,2,100,0.5093678446354752,0.0029020572461537905,COMPLETE
35,0.22963564097881317,2023-09-03 12:06:48.639101,2023-09-03 12:06:53.796206,0 days 00:00:05.157105,Tanh,Tanh,,,12,10,16.0,,,0.0032598449599307066,2,100,0.5843001108919823,0.000361691472273711,COMPLETE
36,0.23942294716835022,2023-09-03 12:06:53.796468,2023-09-03 12:06:55.075755,0 days 00:00:01.279287,Leaky,Tanh,ReLU,,30,6,22.0,24.0,,0.007297364891160887,3,40,0.6069820869545708,0.000446618354014866,COMPLETE
37,0.28569871187210083,2023-09-03 12:06:55.076024,2023-09-03 12:06:56.371829,0 days 00:00:01.295805,Leaky,Sigmoid,ReLU,,30,6,24.0,24.0,,0.009908295898270657,3,40,0.6294443209835138,0.000367014228803518,COMPLETE
38,0.7527018189430237,2023-09-03 12:06:56.372101,2023-09-03 12:06:58.016037,0 days 00:00:01.643936,Leaky,Tanh,ReLU,ReLU,30,4,21.0,22.0,1.0,0.020762228478729727,4,40,0.6466836672113809,0.00031251282362388495,COMPLETE
39,0.25620678067207336,2023-09-03 12:06:58.016320,2023-09-03 12:07:17.589533,0 days 00:00:19.573213,Leaky,Sigmoid,ReLU,,2,6,22.0,18.0,,0.008315857683545893,3,40,0.7820624006535553,0.0005215073534982099,COMPLETE
40,0.29470786452293396,2023-09-03 12:07:17.589812,2023-09-03 12:07:18.780738,0 days 00:00:01.190926,ReLU,Leaky,Tanh,,30,9,19.0,21.0,,0.044171812943996185,3,40,0.5734623777800537,0.00017623822551789928,COMPLETE
